X	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_1g	Y_20181208_15692b_10_3g	Y_20181208_15692b_10_4g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_18g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_4g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_7g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_13g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_1g	Y_20181208_15692b_13_4g	Y_20181208_15692b_13_5g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_3g	Y_20181208_15692b_14_5g	Y_20181208_15692b_15_1g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_4g	Y_20181208_15692b_17_5g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_2_6g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_3g	Y_20181208_15692b_3_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_3g	Y_20181208_15692b_5_4g	Y_20181208_15692b_6_1g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_4g	Y_20181208_15692b_7_1g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_7g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_8_8g	Y_20181208_15692b_8_9g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_4g	Y_20181208_15692b_9_5g	Y_20181208_15692b_9_6g
1.3342	32500.4297	30411.4551	32527.916	31743.5996	29148.6504	33186.3516	44560.957	31750.2754	36705.375	28191.4453	29283.7637	28793.2324	33327.9961	30755.4648	33628.668	26612.3184	33618.7266	33754.5273	31107.8066	31860.2129	36325.0898	30878.0586	33776.9844	29326.8184	34298.1289	34085.0898	31802.6953	31219.5488	28158.2617	32435.3398	30451.6797	32059.3711	31376.7852	30818.7754	32842.957	35730.2461	31952.2266	27535.3555	29563.5371	31879.8086	32973.6875	33272.8516	35446.7383	30082.2793	32947.3867	30691.1934	32378.9492	31802.541	39418.2031	31859.541	37925.1211	29996.6426	30560.1152	32840.2031	34459.2891	35014.8164	47133.8867	36526.2852	33873.0547	39544.582	31785.8223	26377.0723	32655.5156	28520.9277	36499.1797	36941.9102	39639.7188	NaN	34106.9922	27389.7969	28841.0996	32823.4375	27822.8887	36102.9766	32251.373	32134.3359
1.4676	31184.4766	30816.9102	31471.248	31848.8301	28563.8223	32286.2852	36360.9023	32592.1152	33728.2891	26833.2637	30437.7949	28858.1035	32844.5664	29502.4473	33297.5078	25475.4727	33586.625	32071.4863	29493.1035	30980.5078	33564.4336	30221.3457	32316.5977	30510.0625	32263.9375	33745.8477	31122.8047	31055.1699	27887.3301	32678.373	30542.002	31399.4746	30603.4629	30766.6738	31901.1816	33847.0977	31347.877	26616.3027	29944.0137	31990.4434	32814.375	33013.6484	35694.2578	28432.8379	30547.0781	31953.3223	31600.293	30942.7012	36337.6211	32400.3281	34235.1445	29639.5781	30558.2188	34585.582	33178.6836	33310.1953	38261.9258	35451.668	31574.9766	39247.8047	31704.5762	27184.3984	32518.2617	27643.8496	36508.2578	34615.9141	41692.4609	NaN	33806.8672	27468.1504	29393.4629	32645.3086	25840.4297	35574.5195	31192.4375	32291.3516
1.6011	31993.543	28774.6016	30691.6797	30888.6465	28508.6914	31757.0898	32596.2949	32704.3086	33324.5195	27564.1035	29861.9727	28618.2285	31875.1289	29750.3906	31095.3926	24639.7461	33816.4609	30370.3906	30497.2051	31661.4434	33793.6094	29921.1914	32885.0938	29551.9258	NaN	33807.7422	31287.9551	30213.873	26385.0625	31339.6641	29526.7207	29410.4531	30770.002	30926.5215	31376.7129	34652.1914	31624.9688	27198.6055	28832.752	31740.2969	31565.4199	33848.1211	36141.5625	28584.0469	31555.0293	32805.0547	31890.7383	30865.7188	33259.4922	31531.5195	32406.3516	30219.8809	30228.1113	34090.3359	32569.4043	33258.4648	36993.5625	36473.0781	33296.1758	37420.4492	31434.2871	NaN	32333.2539	26768.0117	35215.0938	33182.7031	39043.2461	NaN	33094.1641	28076.4316	27778.2852	32340.9355	25314.6855	NaN	32280.0078	32238.2148
1.7345	29770.3926	29364.9668	31401.748	31551.8633	29198.2402	30969.3848	31442.1484	32023.0371	32363.8008	27940.0781	30601.1641	28527.8691	31292.9688	28967.252	31468.4258	25478.6777	33765.7539	28086.293	30983.3652	31573.582	33749.8789	29482.498	32998.4414	29338.9316	NaN	32158.3281	29748.832	31499.8438	26727.3223	30195.2246	29870.3984	31220.3535	31006.3203	28801.2363	31868.4688	34809.1602	32833.3047	25290.7285	30768.4609	NaN	31105.7285	33535.168	35925.5547	28121	31221.9004	31132.8906	32584.4316	30315.5312	31998.6211	30033.1465	32520.1465	29733.3848	29253.6934	32838.6328	33181.5391	34140.1758	35712.5859	35427.3789	34045.5508	35578.3398	32240.6816	NaN	29595.7402	28471.8594	34810.6484	33885.5859	33831.3438	NaN	32642.875	27028.5742	NaN	32618.2207	25174.4238	NaN	33969.5508	34638.3125
1.8679	31138.1074	29960.7773	31726.5156	32198.3086	NaN	31165.0664	29831.8652	32400.1074	31407.8223	27126.5879	30099.8457	29258.9121	30143.5645	30308.2617	31710.0098	25361.084	31242.3301	29491.5352	30705.4688	30451.6953	33477.4062	30431.6172	31763.2207	29183.4629	NaN	33045.4609	30553.4512	NaN	27175.9609	30769.6504	30561.1328	30308.6797	30743.8242	28208.375	31035.5801	33829.1289	32781.2969	25624.7266	30056.0801	NaN	32417.9062	34200.3477	35259.3828	28402.7266	29321.8887	30670.3105	30742.8457	28641.5293	33251.3125	NaN	30757.2734	28458.002	29403.7617	32424.4961	33248.6367	33825.0703	34910.9102	NaN	35831.4062	33448.8984	30534.7578	NaN	28928.0332	27401.0195	34968.2188	32503.5645	31632.1191	NaN	32323.6289	26272.0195	NaN	32269.7305	NaN	NaN	35184.832	32660.8379
2.0013	31080.541	29769.5254	30130.5703	33200.1367	NaN	31658.4375	NaN	33241.2852	30719.4805	25347.4746	NaN	29310.6211	NaN	30125.3477	30953.4102	25215.7617	31340.2637	28620.377	30765.2109	30526.1758	33692.5156	29007.5801	32780.2461	28853.3418	NaN	33705.2812	30201.8184	NaN	27935.6523	29418.1211	29119.7168	31533.4414	30610.7656	29172.7402	29973.5879	32032.3906	32634.2539	26467.8828	27755.2051	NaN	31539.0293	33652.5469	35621.4844	27157.4316	31191.8516	31221.6621	33177.6641	28486.8965	31036.459	NaN	30339.6621	29750.2422	28379.3066	33739.6562	NaN	34039.7422	34410.5234	NaN	NaN	34819.5234	29819.7402	NaN	28665.8516	27506.3691	33789.8438	33586.0078	30503.998	NaN	33190.9805	25368.6348	NaN	31383.3984	NaN	NaN	33825.1914	32812.9688
2.1347	31517.5742	28824.2266	29417.1055	33293.5273	NaN	32361.082	NaN	NaN	30959.9863	NaN	NaN	29911.3691	NaN	31133.6074	31320.9609	24028.5449	31958.625	29176.7109	30275.4531	30229.8086	34400.293	29349.5625	30474.6719	29571.3496	NaN	32674.623	29504.7305	NaN	27774.1328	29426.5098	30452.6914	31357.375	29729.8711	NaN	31194.6602	33260.5742	32682.6621	25894.8262	28194.6758	NaN	NaN	32689.9297	34591.8203	27070.8828	30982.5508	31965.7598	33257.8516	29030.7559	31415.7734	NaN	31123.8633	29249.0605	29439.0059	33040.7266	NaN	32773.4297	34873.1875	NaN	NaN	35176.5039	30436.0371	NaN	30202.6406	NaN	33537.6523	31859.6582	30667.4023	NaN	33214.1758	27344.7246	NaN	30837.0566	NaN	NaN	34647.4414	33531.6953
2.2682	31136.9473	28610.4609	29814.5566	32235.7539	NaN	33344.3867	NaN	NaN	31550.6699	NaN	NaN	29140.2637	NaN	30838.9062	31395.3984	24524.6914	32042.2793	NaN	NaN	28678.4785	34388.4766	28607.0293	31122.5938	NaN	NaN	33345.1914	29226.5918	NaN	26151.9805	29410.1797	29519.8457	NaN	29003.3359	NaN	32651.2266	32408.1738	31079.9902	25576.4434	27829.7793	NaN	NaN	32002.8887	33209.3281	27792.0234	29739.7344	32097.7754	NaN	28024.0469	30605.6055	NaN	30930.9414	29720.75	28991.6445	32222.6191	NaN	30931.8145	32724.7051	NaN	NaN	34464.1172	29778.7988	NaN	NaN	NaN	33382.7617	32759.3008	29410.0234	NaN	32933.1719	25970.5566	NaN	31723.7734	NaN	NaN	33563.5117	32772.6602
2.4016	30177.0723	29264.625	30307.1992	NaN	NaN	32375.291	NaN	NaN	30650.4766	NaN	NaN	NaN	NaN	NaN	30995.3457	25004.3809	29876.4609	NaN	NaN	29826.9707	NaN	28428.5156	30144.2383	NaN	NaN	32079.3594	29905.3066	NaN	26312.8301	29754.2246	29438.0469	NaN	29408.043	NaN	33285.7227	32251.2559	31761.2383	26965.3164	NaN	NaN	NaN	31564.5293	31603.5684	NaN	NaN	31062.6914	NaN	28715.2656	30938.6523	NaN	29671.5293	29388.4004	28369.2812	32530.8848	NaN	31060.0957	33051.5781	NaN	NaN	34328.8164	30984.0996	NaN	NaN	NaN	33283.7891	33582.3828	27467.4258	NaN	31195.8359	24723.8047	NaN	31420.1582	NaN	NaN	33467.0117	32289.8203
2.535	29348.5352	29279.1289	32187.6152	NaN	NaN	32268.5801	NaN	NaN	31307.6426	NaN	NaN	NaN	NaN	NaN	30500.3477	23796.25	30292.3516	NaN	NaN	28325.0898	NaN	27796.3965	30230.2773	NaN	NaN	NaN	30036.3789	NaN	26222.1055	NaN	28890.0059	NaN	28341.6367	NaN	32569.3008	32949.4453	30755.5547	26432.8086	NaN	NaN	NaN	29891.5352	32998.8125	NaN	NaN	30976.3398	NaN	28095.2109	30731.6055	NaN	28817.9766	28141.2891	29848.0234	32655.9629	NaN	30412.0879	33915.5273	NaN	NaN	33791.1797	32005.3418	NaN	NaN	NaN	33693.4102	31874.1152	28303.7305	NaN	NaN	24981.0039	NaN	NaN	NaN	NaN	32742.7285	30858.3184
2.6684	30507.9062	28658.6973	30468.1777	NaN	NaN	29933.7363	NaN	NaN	31720.1035	NaN	NaN	NaN	NaN	NaN	28739.2246	24630.9609	31607.9902	NaN	NaN	28549.2871	NaN	NaN	28867.3867	NaN	NaN	NaN	28488.793	NaN	27831.6016	NaN	29709.0391	NaN	28409.4355	NaN	32672.1113	33562.5	29531.5898	NaN	NaN	NaN	NaN	30254.2812	32544.0918	NaN	NaN	30681.1543	NaN	NaN	29900.2539	NaN	31411.5039	27888.6328	30334.7051	32882.9336	NaN	29709.3203	32324.5039	NaN	NaN	33750.3047	31509.668	NaN	NaN	NaN	32777.3516	NaN	27530.4883	NaN	NaN	23991.9766	NaN	NaN	NaN	NaN	32184.5684	30907.5098
2.8019	29579.3672	27765.2891	31735.707	NaN	NaN	NaN	NaN	NaN	31136.7676	NaN	NaN	NaN	NaN	NaN	29435.6289	24552.3145	31790.0059	NaN	NaN	28650.4629	NaN	NaN	28203.6758	NaN	NaN	NaN	29855.4316	NaN	27283.1055	NaN	NaN	NaN	28139.0508	NaN	32504.8086	NaN	29909.3828	NaN	NaN	NaN	NaN	29167.4785	31365.4473	NaN	NaN	30626.1465	NaN	NaN	31730.8906	NaN	30294.9922	28862.6641	28162.9414	31876.6797	NaN	29526.8711	32311.6816	NaN	NaN	NaN	32701.9746	NaN	NaN	NaN	32691.125	NaN	27695.4492	NaN	NaN	25266.5371	NaN	NaN	NaN	NaN	32371.6836	31883.3926
2.9353	30918.9395	29115.875	29968.4082	NaN	NaN	NaN	NaN	NaN	30752.4609	NaN	NaN	NaN	NaN	NaN	31559.6289	23826.6953	30083.3223	NaN	NaN	28817.5762	NaN	NaN	NaN	NaN	NaN	NaN	28935.6914	NaN	26923.957	NaN	NaN	NaN	28380.7715	NaN	32793.7852	NaN	29748.6543	NaN	NaN	NaN	NaN	29184.0352	31924.9355	NaN	NaN	31215.1797	NaN	NaN	NaN	NaN	NaN	27946.3789	28221.7109	32649.4629	NaN	29132.2969	33069.4766	NaN	NaN	NaN	34047.3086	NaN	NaN	NaN	32409.7402	NaN	27620.6055	NaN	NaN	24561.2188	NaN	NaN	NaN	NaN	NaN	31956.4238
3.0687	28354.875	28762.7207	31209.1133	NaN	NaN	NaN	NaN	NaN	30085.4004	NaN	NaN	NaN	NaN	NaN	29793.5879	23568.9277	29526.627	NaN	NaN	28619.9141	NaN	NaN	NaN	NaN	NaN	NaN	28813.6465	NaN	26897.7461	NaN	NaN	NaN	27817.2402	NaN	30972.9199	NaN	28383.5059	NaN	NaN	NaN	NaN	27460.4531	31316.1992	NaN	NaN	31420.873	NaN	NaN	NaN	NaN	NaN	27481.3066	27907.2422	NaN	NaN	30332.0527	32658.0195	NaN	NaN	NaN	35073.9805	NaN	NaN	NaN	32016.3301	NaN	29246.1426	NaN	NaN	26314.6309	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	28874.752	28275.3027	NaN	NaN	NaN	NaN	NaN	NaN	29673	NaN	NaN	NaN	NaN	NaN	29176.0586	24854.5332	31026.9004	NaN	NaN	27090.8027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26131.9746	NaN	NaN	NaN	28487.1445	NaN	31501.3477	NaN	29467.3887	NaN	NaN	NaN	NaN	NaN	30198.0859	NaN	NaN	30819.8262	NaN	NaN	NaN	NaN	NaN	28569.2676	27857.3418	NaN	NaN	29884.0957	33403.9727	NaN	NaN	NaN	34519.9766	NaN	NaN	NaN	31698.9336	NaN	28009.4648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	28649.1094	28045.7754	NaN	NaN	NaN	NaN	NaN	NaN	30869.9121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30798.0566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26627.1738	NaN	NaN	NaN	27913.8047	NaN	32192.625	NaN	29877.4551	NaN	NaN	NaN	NaN	NaN	29351.2578	NaN	NaN	29064.998	NaN	NaN	NaN	NaN	NaN	27814.6328	26787.0957	NaN	NaN	NaN	30310.6973	NaN	NaN	NaN	35019.5625	NaN	NaN	NaN	32727.75	NaN	28089.4707	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	28640.791	NaN	NaN	NaN	NaN	NaN	NaN	31497.4336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28588.2695	NaN	32437.6719	NaN	29743.7285	NaN	NaN	NaN	NaN	NaN	29801.0195	NaN	NaN	30006.4707	NaN	NaN	NaN	NaN	NaN	27909.0488	25954.6699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33721.6953	NaN	NaN	NaN	30426.875	NaN	27897.0215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	28433.8535	NaN	NaN	NaN	NaN	NaN	NaN	30510.6309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27420.293	NaN	31260.0156	NaN	28647.4453	NaN	NaN	NaN	NaN	NaN	29515.8809	NaN	NaN	28800.1562	NaN	NaN	NaN	NaN	NaN	29276.9062	26581.2324	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32732.127	NaN	NaN	NaN	29627.3945	NaN	28173.252	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
