X	Y_20181208_15100b_1_2g	Y_20181208_15100b_1_3g	Y_20181208_15100b_1_4g	Y_20181208_15100b_1_6g	Y_20181208_15100b_1_7g	Y_20181208_15100b_10_1g	Y_20181208_15100b_10_2g	Y_20181208_15100b_10_4g	Y_20181208_15100b_11_1g	Y_20181208_15100b_11_2g	Y_20181208_15100b_11_3g	Y_20181208_15100b_11_4g	Y_20181208_15100b_13_10g	Y_20181208_15100b_13_11g	Y_20181208_15100b_13_15g	Y_20181208_15100b_13_1g	Y_20181208_15100b_13_3g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_5g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_7g	Y_20181208_15100b_13_9g	Y_20181208_15100b_14_10g	Y_20181208_15100b_14_1g	Y_20181208_15100b_14_4g	Y_20181208_15100b_14_5g	Y_20181208_15100b_15_1g	Y_20181208_15100b_15_4g	Y_20181208_15100b_15_7g	Y_20181208_15100b_16_1g	Y_20181208_15100b_16_2g	Y_20181208_15100b_16_8g	Y_20181208_15100b_16_9g	Y_20181208_15100b_17_1g	Y_20181208_15100b_17_3g	Y_20181208_15100b_17_4g	Y_20181208_15100b_17_6g	Y_20181208_15100b_17_7g	Y_20181208_15100b_17_8g	Y_20181208_15100b_17_9g	Y_20181208_15100b_18_1g	Y_20181208_15100b_18_2g	Y_20181208_15100b_18_3g	Y_20181208_15100b_18_4g	Y_20181208_15100b_18_5g	Y_20181208_15100b_18_8g	Y_20181208_15100b_18_9g	Y_20181208_15100b_19_1g	Y_20181208_15100b_19_2g	Y_20181208_15100b_19_3g	Y_20181208_15100b_19_4g	Y_20181208_15100b_19_5g	Y_20181208_15100b_19_6g	Y_20181208_15100b_19_7g	Y_20181208_15100b_19_9g	Y_20181208_15100b_2_2g	Y_20181208_15100b_2_3g	Y_20181208_15100b_20_10g	Y_20181208_15100b_20_11g	Y_20181208_15100b_20_12g	Y_20181208_15100b_20_2g	Y_20181208_15100b_20_4g	Y_20181208_15100b_20_8g	Y_20181208_15100b_20_9g	Y_20181208_15100b_21_10g	Y_20181208_15100b_21_12g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_2g	Y_20181208_15100b_21_3g	Y_20181208_15100b_21_4g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_8g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_22_3g	Y_20181208_15100b_22_5g	Y_20181208_15100b_22_6g	Y_20181208_15100b_22_7g	Y_20181208_15100b_22_9g	Y_20181208_15100b_23_10g	Y_20181208_15100b_23_1g	Y_20181208_15100b_23_2g	Y_20181208_15100b_23_5g	Y_20181208_15100b_24_1g	Y_20181208_15100b_25_2g	Y_20181208_15100b_25_3g	Y_20181208_15100b_25_4g	Y_20181208_15100b_26_11g	Y_20181208_15100b_26_1g	Y_20181208_15100b_26_3g	Y_20181208_15100b_26_6g	Y_20181208_15100b_27_10g	Y_20181208_15100b_27_1g	Y_20181208_15100b_27_3g	Y_20181208_15100b_27_5g	Y_20181208_15100b_28_1g	Y_20181208_15100b_29_1g	Y_20181208_15100b_29_5g	Y_20181208_15100b_30_2g	Y_20181208_15100b_30_3g	Y_20181208_15100b_32_5g	Y_20181208_15100b_32_6g	Y_20181208_15100b_4_1g	Y_20181208_15100b_4_2g	Y_20181208_15100b_4_5g	Y_20181208_15100b_5_2g	Y_20181208_15100b_5_3g	Y_20181208_15100b_5_5g	Y_20181208_15100b_5_6g	Y_20181208_15100b_6_1g	Y_20181208_15100b_6_2g	Y_20181208_15100b_6_6g	Y_20181208_15100b_7_1g	Y_20181208_15100b_7_3g	Y_20181208_15100b_7_5g	Y_20181208_15100b_8_1g	Y_20181208_15100b_8_2g	Y_20181208_15100b_8_3g	Y_20181208_15100b_8_4g	Y_20181208_15100b_9_1g	Y_20181208_15100b_9_3g
1.3342	NaN	30590.9492	NaN	30920.4355	29067.3945	34777.4609	31429.2617	31361.5664	28380.2715	30197.9102	30649.0117	33349.9453	29591.2168	32171.1191	32628.6465	27071.2383	31418.6953	29575.6211	29790.2793	28546.8965	27867.1973	29784.2715	30847.8906	25100.3203	26362.1016	26348.2285	25172.8672	29192.9902	31772.2344	27606.9004	26810.3008	30519.6094	29422.2344	29976.4922	28989.293	31180.1465	31747.5059	29027.7617	31319.8906	29915.3887	30264.5254	31671.8984	30557.9531	36974.918	28203.7676	30153.9062	33313.0586	31884.2148	30539.998	27500.3301	28718.2227	31288.4375	27098.832	28163.9316	29561.7852	31209.1895	30731.0391	NaN	28401.5195	27648.6992	NaN	28866.2109	33726.0039	37080.625	33664.3125	27948.7871	32496.4414	32919.4414	27435.8457	28321.8848	28435.873	38454.3789	34679.5859	29383.5527	29895.123	34088.0703	30059.4434	31075.959	33071.2266	30832.1699	NaN	28569.543	33022.1406	31366.459	28074.7305	32108.8086	30751.2949	27708.3301	29644.7754	29499.627	29851.2402	30490.0547	28425.123	24808.8672	33134.5	24074.7598	31934.1816	28625.293	28718.9277	34585.4961	29593.1348	30896.5078	24394.4492	30641.5215	31541.2871	30416.875	32777.6289	32879.3711	30104.9277	28865.3145	34395.7266	28106.1777	31737.7344	30803.8945	32087.6895	27857.7871	NaN	32255.1973	33997.9102	26437.0801	31196.6582
1.4676	NaN	30826.4844	NaN	32119.4043	27868.125	35276.0117	32430.7441	NaN	27109.1211	31679.2812	30650.3594	31672.2988	29067.6152	30219.3848	31955.7852	27246.5352	29045.75	29436.5684	30833.4336	28681.5137	28319.6465	30352.9668	28983.1016	25611.5645	27451.252	25862.3926	26253.8789	28687.1094	30707.3223	26767	27739.4004	30474.7383	30202.9043	31398.9082	29685.5312	30975.1953	31160.6543	29952.4648	NaN	29424.1426	30803.6465	30644.3398	28696.959	34952.2656	27971.1426	31309.8535	31799.4609	29295.3828	NaN	27091.2285	27648.1113	30840.8926	26165.9316	28785.6016	29145.9297	30728.1074	31326.1211	NaN	29062.1055	27205.6641	NaN	29289.4902	32361.916	37698.8047	33410.1953	NaN	31841.9902	30279.8594	28276.4766	30176.0703	27318.2109	35615.5117	32694.6016	28493.3789	NaN	33672.125	30461.3711	31239.5664	32547.791	31239.2676	NaN	30250.1367	31734.4961	29425.2207	28185.1172	31303.5	31309.6895	28756.7949	28423.0488	29578.8223	30357.873	29924.0156	27573.6348	25123.8945	32916.5469	24931.8535	32254.6484	28960.666	27770.832	32905.957	31522.0176	32016.123	25581.832	28835.9395	30880.502	29418.9648	31652.6191	32104.5938	29492.5312	29704.4609	33707.4375	26789.1895	30851.543	28332.7969	33157.4766	27804.4336	NaN	30791.2695	33951.1875	27778.1504	30589.9082
1.6011	NaN	30454.2637	NaN	32199.5508	27473.9551	34350.8281	31394.2695	NaN	27048.2324	32568.5371	30959.2422	30513.6191	30034.1582	31023.0039	30888.9512	26764.9023	28675.4531	30721.7188	29460.3711	29540.6328	27178.5977	31430.9863	NaN	25607.252	26846.6992	NaN	NaN	28606.4375	31773.2793	28144.8008	28207.0996	32958.7812	30375.6016	29667.2344	29754.9043	31788.9824	31615.2812	28518.9492	NaN	NaN	29837.1445	29610.9902	29581.7969	37311.3008	30517.1016	NaN	31857.1973	29564.1973	NaN	26286.3887	28127.1484	30279.7578	27850.6953	28433.6191	29404.9004	30456.0879	31090.4121	NaN	NaN	26956.041	NaN	NaN	31970.3223	35334.8398	33261.5703	NaN	30781.502	30611.3691	28243.6172	33015.0078	29260.3164	34399.9297	31824.6328	29346.293	NaN	32938.9375	30242.0996	NaN	31966.6836	29542.25	NaN	29933.6191	NaN	29952.8066	NaN	30982.3359	32147.2734	28544.7129	28819.4141	28870.5977	31078.5996	NaN	27277.3926	NaN	32801.6797	23749.7734	32197.0352	NaN	NaN	33550.5703	30801	31560.0254	24896.0684	29264.1387	30347.123	32256.5918	31517.5371	31363.6211	30228.082	30589.6348	32897.168	26900.8945	31327.6055	29681.8066	31935.4336	27083.6426	NaN	30877.1895	32942.5781	26676.2207	29785.1543
1.7345	NaN	29784.6074	NaN	30690.9902	28098.0684	32456.9297	32041.1875	NaN	27054.4043	NaN	31327.4258	31020.9609	29947.9453	31640.1582	31799.1953	28159.6973	26750.0098	29070.7344	29566.0957	28761.0625	27861.8555	30391.0039	NaN	23378.416	26938.6602	NaN	NaN	28009.5684	32051.8203	NaN	NaN	32559.7734	31218.6289	30408.668	29622.1426	31417.6445	31346.373	28066.8906	NaN	NaN	29808.8125	28335.7129	NaN	NaN	31115.1562	NaN	32015.5215	28397.6582	NaN	25151.334	28432.2812	30456.6973	25385.6973	27427.4414	29972.7402	29330.5762	31242.6953	NaN	NaN	26680.875	NaN	NaN	33116.7734	33438.7578	33251.7148	NaN	31001.166	29297.1172	NaN	NaN	29457.375	30977.3027	32864.6914	26498.7305	NaN	32381.3203	29627.0156	NaN	31694.207	30282.4668	NaN	28372.127	NaN	30035.8008	NaN	31176.2402	31326.6523	27650.2324	28404.4336	28971.9863	29900.6055	NaN	27822.2344	NaN	NaN	24262.123	31713.3945	NaN	NaN	NaN	30986.9355	31814.7812	24312.3066	29126.0859	29818.125	NaN	31210.2285	31518.9062	29223.6152	30622.3574	35285.0898	NaN	31593.0117	29743.375	31043.459	26567.5547	NaN	31127.5762	33239.9844	NaN	29234
1.8679	NaN	30098.2266	NaN	30680.2422	28376.3359	NaN	32732.7852	NaN	27359.0273	NaN	31116.1055	31368.2246	29560.3535	31903.4668	31125.0879	27970.8633	28464.7383	28121.1504	NaN	28402.6504	27351.5449	29619.8027	NaN	24323.4805	26639.4434	NaN	NaN	27498.4297	NaN	NaN	NaN	31888.4902	30391.4375	28410.2363	29268.8789	31156.4727	31006.0547	29335.1875	NaN	NaN	29794.1953	29200.3027	NaN	NaN	31129.8301	NaN	32038.6328	30040.5645	NaN	20888.8418	29383.8711	30415.1699	NaN	27425.9863	28896.498	28466.3242	30711.1094	NaN	NaN	27817.0137	NaN	NaN	33445.1172	35611.3594	NaN	NaN	NaN	29623.9414	NaN	NaN	27708.2832	29998.9883	32888.9062	27106.8047	NaN	33167.75	28898.2305	NaN	31658.7051	30073.4043	NaN	28308.2402	NaN	30615.543	NaN	31588.8555	32254.8418	27941.4668	26999.4082	29738.7598	28023.252	NaN	28246.1055	NaN	NaN	24061.3809	32710.9551	NaN	NaN	NaN	30058.7129	NaN	23513.4336	29877.6816	29566.3086	NaN	30356.168	32228.5156	29645.8457	30404.5293	35519.0625	NaN	29318.2949	29057.9629	31410.291	NaN	NaN	31712.3242	33152.8906	NaN	29285.1641
2.0013	NaN	29137.6562	NaN	31389.3516	28149.1973	NaN	31712.5273	NaN	26746.8496	NaN	32078.1113	NaN	29691.0996	31793.3105	32555.0508	26994.873	27080.9277	27686.5625	NaN	28929.375	27765.1465	30183.7188	NaN	24256.3789	25873.5977	NaN	NaN	NaN	NaN	NaN	NaN	31224.6035	30226.6758	30126.6074	28305.2246	30334.5605	30660.2754	28405.334	NaN	NaN	28486.7266	28580.1211	NaN	NaN	31415.002	NaN	31693.1953	29277.1367	NaN	NaN	28796.2324	NaN	NaN	27937.3516	28805.0859	29996.2656	30719.4336	NaN	NaN	NaN	NaN	NaN	33108.9297	33965.4375	NaN	NaN	NaN	28855.0293	NaN	NaN	NaN	30251.5938	31160.0625	27543.7324	NaN	32380.0957	27833.4766	NaN	31582.4062	NaN	NaN	30026.5723	NaN	29588.5176	NaN	30249.6523	32641.5352	NaN	NaN	29463.5137	29117.0273	NaN	28100.0586	NaN	NaN	23265.3594	32093.6211	NaN	NaN	NaN	30649.4648	NaN	24354.3262	28982.043	30001.3379	NaN	29948.4707	NaN	NaN	30774.1641	32222.4199	NaN	27566.3652	28254.2559	30794.4414	NaN	NaN	NaN	32005.6855	NaN	29581.0801
2.1347	NaN	30220.1973	NaN	31567.3047	27363.6641	NaN	32429.0547	NaN	25904.8984	NaN	30645.6172	NaN	28784.5898	31740.9785	31996.8203	26421.4062	27598.9062	29276.6855	NaN	28990.8359	NaN	30932.3809	NaN	24542.4844	26786.3203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29004.5664	29633.2129	29983.9551	30945.9258	31281.3203	27466.293	NaN	NaN	29072.748	28819.502	NaN	NaN	31596.0078	NaN	NaN	29174.4922	NaN	NaN	28523.9883	NaN	NaN	28480.1797	28922.9141	30505.3926	30798.9258	NaN	NaN	NaN	NaN	NaN	32087.2949	35029.5703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29663.7285	31360.7734	28913.0254	NaN	32699.6484	NaN	NaN	30745.2891	NaN	NaN	27871.5469	NaN	30367.8945	NaN	31661.4512	31432.2148	NaN	NaN	28478.9023	28635.3848	NaN	28824.4043	NaN	NaN	24525.7207	30638.6387	NaN	NaN	NaN	30557.9805	NaN	24096.0781	28838.6367	NaN	NaN	30625.584	NaN	NaN	29318.9863	33481.7305	NaN	28441.3672	29680.8359	29822.6543	NaN	NaN	NaN	32329.9414	NaN	30651.5469
2.2682	NaN	30701.3379	NaN	32363.2109	27980.6836	NaN	30464.1797	NaN	26210.6934	NaN	29797.5332	NaN	28227.373	31882.459	32349.6777	26535.5469	NaN	28621.4785	NaN	29062.2266	NaN	30483.1777	NaN	22916.6406	27404.5234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29400.7012	27824.0898	28453.1387	31458.6289	NaN	NaN	NaN	NaN	29745.4277	27412.2266	NaN	NaN	30850.7754	NaN	NaN	30066.3379	NaN	NaN	28900.043	NaN	NaN	26802.5312	30175.0996	29606.1914	31974.9453	NaN	NaN	NaN	NaN	NaN	31770.5098	33836.7461	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29181.2891	31041.0938	26867.3027	NaN	31430.6035	NaN	NaN	31811.9121	NaN	NaN	NaN	NaN	30583.1094	NaN	30935.6543	31710.9531	NaN	NaN	29539.4648	27325.4727	NaN	28243.1504	NaN	NaN	27205.5996	30914.9492	NaN	NaN	NaN	31390.8535	NaN	24772.666	27965.2148	NaN	NaN	NaN	NaN	NaN	30922.7637	33332.4805	NaN	27714.6699	29374.4922	31216.8652	NaN	NaN	NaN	31378.2715	NaN	29664.3809
2.4016	NaN	30650.4199	NaN	30718.9727	NaN	NaN	30236.6152	NaN	26777.8887	NaN	NaN	NaN	29197.6641	30913.2676	32276.3828	27027.2324	NaN	28374.457	NaN	29111.6445	NaN	30937.9922	NaN	NaN	26389.498	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27974.6953	NaN	31521.4316	NaN	NaN	NaN	NaN	28249.8047	27342.0957	NaN	NaN	29296.0605	NaN	NaN	29590.5742	NaN	NaN	28481.8066	NaN	NaN	26147.252	29209.4688	29374.3535	30479.0762	NaN	NaN	NaN	NaN	NaN	31417.166	35369.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30301.4199	26439.9375	NaN	30485.4531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31617.6758	NaN	NaN	31440.6543	NaN	NaN	28414.7578	28264.002	NaN	26976.1309	NaN	NaN	24865.5977	31642.959	NaN	NaN	NaN	NaN	NaN	23514.6348	28192.0449	NaN	NaN	NaN	NaN	NaN	NaN	31367.1621	NaN	26701.0801	29076.1367	30818.9453	NaN	NaN	NaN	31979.9883	NaN	29333.5098
2.535	NaN	32008.5039	NaN	31023.4219	NaN	NaN	NaN	NaN	26523.8789	NaN	NaN	NaN	NaN	30398.4941	30865.168	NaN	NaN	29073.4473	NaN	28056.5879	NaN	30650.2422	NaN	NaN	27143.6016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29486.6211	NaN	30870.0508	NaN	NaN	NaN	NaN	NaN	29555.2695	NaN	NaN	31126.6055	NaN	NaN	28737.2773	NaN	NaN	28646.8613	NaN	NaN	NaN	30317.6484	NaN	29201.0039	NaN	NaN	NaN	NaN	NaN	NaN	33365.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30213.7539	27164.0918	NaN	31671.5312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31572.1699	NaN	NaN	30768.1973	NaN	NaN	28578.4395	27758.3359	NaN	28000.5684	NaN	NaN	23817.0977	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33186.5039	NaN	27487.1699	28361.4863	29454.0312	NaN	NaN	NaN	NaN	NaN	27749.373
2.6684	NaN	31621.9336	NaN	29243.3789	NaN	NaN	NaN	NaN	27227.8262	NaN	NaN	NaN	NaN	NaN	30406.3242	NaN	NaN	27103.7578	NaN	27752.1504	NaN	29009.1309	NaN	NaN	25981.5312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29935.5918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30727.1328	NaN	NaN	29774.4316	NaN	NaN	30662.3398	NaN	NaN	NaN	28270.8848	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33374.3477	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26593.6836	NaN	31142.6309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30590.4414	NaN	NaN	29392.0391	NaN	NaN	28372.7266	26491.9688	NaN	27608.1309	NaN	NaN	25084.0254	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27110.0977	27662.3789	30423.1992	NaN	NaN	NaN	NaN	NaN	29603.6348
2.8019	NaN	30323.2617	NaN	NaN	NaN	NaN	NaN	NaN	27293.3613	NaN	NaN	NaN	NaN	NaN	28998.6289	NaN	NaN	28521.3398	NaN	27471.7812	NaN	NaN	NaN	NaN	24672.2305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29106.7969	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29218.9629	NaN	NaN	29053.1289	NaN	NaN	NaN	NaN	NaN	NaN	27854.7363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32560.0469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30070.332	NaN	NaN	29286.8867	NaN	NaN	28301.8457	NaN	NaN	27497.3223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27165.1699	28128.334	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	30634.4062	NaN	NaN	NaN	NaN	NaN	NaN	25889.8027	NaN	NaN	NaN	NaN	NaN	31263.3008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26107.6934	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29154.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29087.9668	NaN	NaN	28167.6465	NaN	NaN	NaN	NaN	NaN	NaN	28727.2852	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33007.1953	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30685.5938	NaN	NaN	30088.6074	NaN	NaN	28714.3125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28698.5801	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	31773.7852	NaN	NaN	NaN	NaN	NaN	NaN	25754.8164	NaN	NaN	NaN	NaN	NaN	30680.4219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26415.5879	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29652.4727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29066.2559	NaN	NaN	27726.2715	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30364.1367	NaN	NaN	30812.5059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27285.6543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26683.5918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30724.2891	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29268.3457	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30441.4023	NaN	NaN	30476.0996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25758.1406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28146.6133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28578.8027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25889.4238	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27615.0566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27232.5137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27915.5918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25777.4883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28594.6543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25817.8828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
