X	Y_20180212_14590b_10_2g	Y_20180212_14590b_10_5g	Y_20180212_14590b_12_6g	Y_20180212_14590b_13_2g	Y_20180212_14590b_16_2g	Y_20180212_14590b_16_4g	Y_20180212_14590b_17_1g	Y_20180212_14590b_1_4g	Y_20180212_14590b_1_9g	Y_20180212_14590b_20_3g	Y_20180212_14590b_22_2g	Y_20180212_14590b_26_6g	Y_20180212_14590b_28_2g	Y_20180212_14590b_28_3g	Y_20180212_14590b_29_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_30_5g	Y_20180212_14590b_33_2g	Y_20180212_14590b_34_1g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_4g	Y_20180212_14590b_40_2g	Y_20180212_14590b_44_4g	Y_20180212_14590b_44_6g	Y_20180212_14590b_47_1g	Y_20180212_14590b_47_7g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_4g	Y_20180212_14590b_5_6g	Y_20180212_14590b_7_6g	Y_20180212_14590b_9_7g
1.4676	15753.733	15901.251	21931.498	13912.311	15046.889	24381.393	16714.789	16924.363	18410.838	20309.09	25527.025	15277.278	NaN	15599.398	24657.014	32403.787	20494.035	28519.025	22213.939	32234.209	26784.488	28464.035	23218.684	16253.456	16064	20112.158	16141.761	21428.863	17135.875	NaN	22161.039	21533.193	23225.492
1.6011	14620.925	16027.536	20439.965	NaN	14479.887	26935.166	16739.029	16936.074	19733.08	20293.973	NaN	15878.357	NaN	15485.707	24621.07	NaN	23689.938	28491.562	22937.846	29150.883	30589.252	25020.195	24750.121	16184.937	NaN	21688.5	15254.177	19357.664	16821.02	NaN	25639.014	19210.852	24346.086
1.7345	14230.975	14403.668	22683.719	NaN	15448.262	27787.436	15767.567	18754.383	19808.455	21261.229	NaN	17651.211	NaN	15644.92	NaN	NaN	25830.047	27508.338	22689.082	NaN	29582.951	NaN	NaN	15149.88	NaN	NaN	NaN	19165.701	NaN	NaN	NaN	18597.215	24767.93
1.8679	14152.277	14399.61	25759.391	NaN	16237.372	NaN	16223.825	17869.859	20825.646	21789.375	NaN	18223.014	NaN	14831.61	NaN	NaN	31185.084	24083.893	20068.02	NaN	25041.92	NaN	NaN	14554.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22067.576
2.0013	NaN	13160.763	26865.541	NaN	17723.393	NaN	16355.473	17935.217	21005.516	23442.812	NaN	NaN	NaN	14145.186	NaN	NaN	36402.043	NaN	NaN	NaN	21433.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.1348	NaN	NaN	NaN	NaN	19585.17	NaN	16917.043	18754.797	23046.58	20981.857	NaN	NaN	NaN	13619.174	NaN	NaN	36134.066	NaN	NaN	NaN	18496.479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	20494.559	NaN	NaN	19915.586	24870.582	18473.977	NaN	NaN	NaN	NaN	NaN	NaN	32191.309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19838.561	23708.057	16760.02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20138.033	21165.906	16443.846	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19950.211	19421.92	16726.688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22645.152	18532.09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29201.791	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35131.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39803.906	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
