X	Y_20181208_15100_1_2g	Y_20181208_15100_1_3g	Y_20181208_15100_1_4g	Y_20181208_15100_1_6g	Y_20181208_15100_1_7g	Y_20181208_15100_10_1g	Y_20181208_15100_10_2g	Y_20181208_15100_10_4g	Y_20181208_15100_11_1g	Y_20181208_15100_11_2g	Y_20181208_15100_11_3g	Y_20181208_15100_11_4g	Y_20181208_15100_13_10g	Y_20181208_15100_13_11g	Y_20181208_15100_13_15g	Y_20181208_15100_13_1g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_13_5g	Y_20181208_15100_13_6g	Y_20181208_15100_13_7g	Y_20181208_15100_13_9g	Y_20181208_15100_14_10g	Y_20181208_15100_14_1g	Y_20181208_15100_14_4g	Y_20181208_15100_14_5g	Y_20181208_15100_15_1g	Y_20181208_15100_15_4g	Y_20181208_15100_15_7g	Y_20181208_15100_16_1g	Y_20181208_15100_16_2g	Y_20181208_15100_16_8g	Y_20181208_15100_16_9g	Y_20181208_15100_17_1g	Y_20181208_15100_17_3g	Y_20181208_15100_17_4g	Y_20181208_15100_17_6g	Y_20181208_15100_17_7g	Y_20181208_15100_17_8g	Y_20181208_15100_17_9g	Y_20181208_15100_18_1g	Y_20181208_15100_18_2g	Y_20181208_15100_18_3g	Y_20181208_15100_18_4g	Y_20181208_15100_18_5g	Y_20181208_15100_18_8g	Y_20181208_15100_18_9g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_19_3g	Y_20181208_15100_19_4g	Y_20181208_15100_19_5g	Y_20181208_15100_19_6g	Y_20181208_15100_19_7g	Y_20181208_15100_19_9g	Y_20181208_15100_2_2g	Y_20181208_15100_2_3g	Y_20181208_15100_20_10g	Y_20181208_15100_20_11g	Y_20181208_15100_20_12g	Y_20181208_15100_20_2g	Y_20181208_15100_20_4g	Y_20181208_15100_20_8g	Y_20181208_15100_20_9g	Y_20181208_15100_21_10g	Y_20181208_15100_21_12g	Y_20181208_15100_21_13g	Y_20181208_15100_21_2g	Y_20181208_15100_21_3g	Y_20181208_15100_21_4g	Y_20181208_15100_21_7g	Y_20181208_15100_21_8g	Y_20181208_15100_22_10g	Y_20181208_15100_22_2g	Y_20181208_15100_22_3g	Y_20181208_15100_22_5g	Y_20181208_15100_22_6g	Y_20181208_15100_22_7g	Y_20181208_15100_22_9g	Y_20181208_15100_23_10g	Y_20181208_15100_23_1g	Y_20181208_15100_23_2g	Y_20181208_15100_23_5g	Y_20181208_15100_24_1g	Y_20181208_15100_25_2g	Y_20181208_15100_25_3g	Y_20181208_15100_25_4g	Y_20181208_15100_26_11g	Y_20181208_15100_26_1g	Y_20181208_15100_26_3g	Y_20181208_15100_26_6g	Y_20181208_15100_27_10g	Y_20181208_15100_27_1g	Y_20181208_15100_27_3g	Y_20181208_15100_27_5g	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_29_5g	Y_20181208_15100_30_2g	Y_20181208_15100_30_3g	Y_20181208_15100_32_5g	Y_20181208_15100_32_6g	Y_20181208_15100_4_1g	Y_20181208_15100_4_2g	Y_20181208_15100_4_5g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_5_6g	Y_20181208_15100_6_1g	Y_20181208_15100_6_2g	Y_20181208_15100_6_6g	Y_20181208_15100_7_1g	Y_20181208_15100_7_3g	Y_20181208_15100_7_5g	Y_20181208_15100_8_1g	Y_20181208_15100_8_2g	Y_20181208_15100_8_3g	Y_20181208_15100_8_4g	Y_20181208_15100_9_1g	Y_20181208_15100_9_3g
1.3342	NaN	14332.7949	NaN	14516.4873	14171.1191	13825.5	15617.3066	13489.6543	14904.0615	14743.1797	16960.4453	15170.3438	12895.459	20564.959	16573.3086	13587.8662	18829.2773	15664.5283	14551.8867	14080.6934	14600.7051	16092.0088	12841.1416	16324.2148	13852.0645	13208.2764	10482.3857	15118.5547	14867.9062	11300	13114.5996	17684.4434	17173.6836	21121.2754	14393.6465	15758.5234	17253.2852	14294.5205	12318.7871	13608.2871	14960.6592	14105.7246	17686.9316	12309.3516	16452.3145	11581.5439	17751.6895	12822.7324	11406.1396	14007.4785	14391.2715	18209.9688	14633.7568	14546.874	13839.7412	15778.8037	14202.3838	NaN	12645.1074	12596.1211	NaN	11293.9961	15775.1592	16408.7949	17852.4805	13619.3711	17180.7754	14904.8984	15570.5703	15491.791	16839.5352	16846.248	15581.8682	12047.9053	11636.624	13493.9033	14720.8447	15263.8086	14986.3691	15624.3115	NaN	14561.8711	15280.1035	12330.3477	12229.8721	13473.7988	13236.96	13322.9209	16876.6543	16107.8818	14683.3604	12089.4951	15947.1777	10574.1689	14349.498	12310.4434	13359.7764	12648.9424	12859.4297	19959.4414	16912.4844	12925.6348	12317.1318	17230.9668	19364.5352	20673.1055	17074.0234	15465.999	19170.0117	13727.5977	16432.0762	11154.0576	13917.8018	14116.9688	15115.0361	14400.2363	NaN	12974.9834	14662.582	12996.4199	15394.7344
1.4676	NaN	14665.4678	NaN	14434.0977	14877.084	12659.6426	15713.1328	NaN	14482.3301	13522.0938	18160.7051	12896.0264	12648.332	22733.207	16613.8828	14050.4912	22054.8145	16667.5586	12895.8799	14602.9707	13341.8545	16836.9062	12547.3516	14162.3818	13883.3535	14110.9307	10423.6562	15916.249	13405.6689	10090.2998	11820.4004	16946.7578	15644.3477	20196.7676	14807.0029	15844.8633	16420.7363	14729.6553	NaN	12013.1064	15517.9248	13857.5049	15375.7998	12170.7246	15451.9062	11791.8545	19138.0117	13576.9795	NaN	14240.627	13428.709	20381.6465	15514.5498	13762.4883	14058.4404	15781.4219	14181.2207	NaN	12304.5605	12659.4971	NaN	12236.3291	17375.0957	17164.3301	17012.9961	NaN	15542.2734	14324.2725	13280.7832	13315.8584	13594.207	15625.7041	14899.8008	12553.7363	NaN	14148.5078	14856.2637	13809.9805	14161.0381	17198.9043	NaN	15586.0996	13393.0996	12151.1064	11720.3457	12576.8672	14169.9121	12719.2061	16211.7148	16024.0127	15752.6191	12111.4707	16390.5566	10482.0889	12584.002	13601.4541	13950.4902	11864.4551	13011.7969	18983.6934	18418.6602	11946.9922	13361.7949	15942.7715	16178.7432	20055.1543	18074.8926	17021.9941	16516.3594	13383.1494	16811.709	10213.3486	14585.8008	13587.3057	14557.6797	12586.667	NaN	13427.6201	14540.1816	12361.0342	14695.7188
1.6011	NaN	15006.917	NaN	14547.7344	15366.7197	12030.4678	16210.4424	NaN	14546.6865	13189.7949	21337.4141	11531.6045	12846.3428	19612.918	16488.0918	15590.7725	23106.5137	17189.1719	11704.9785	14692.251	12791.1748	17397.1543	NaN	13237.2334	14185.3428	NaN	NaN	16263.0732	12485.9404	9768.2998	11732.9004	14916.1553	16579.2695	17583.8945	13841.4893	15203.2539	14352.7275	14728.4873	NaN	NaN	16468.2871	13369.8105	14297.9775	11442.4521	15031.0986	NaN	19626.3828	12972.9111	NaN	12776.0938	15342.1309	18422.8516	13564.832	14355.7227	13627.0537	15647.6885	15223.1523	NaN	NaN	13090.7061	NaN	NaN	17800.2832	18493.9414	14836.0049	NaN	15700.2939	14610.3184	12370.2207	11967.6631	11932.2422	16659.9082	14746.0996	12609.2871	NaN	13722.0166	15335.8398	NaN	12198.1201	16889.2188	NaN	18227.8789	NaN	13286.418	NaN	12213.8926	14667.0342	11362.9648	14431.665	15276.0293	16027.5752	NaN	15147.7412	NaN	11833.374	13491.5977	15400.7744	NaN	NaN	15386.3564	20134.0781	10756.7383	14047.5254	15368.2539	13644.2207	18331.9414	18116.8066	19143.0137	14314	13098.8232	17092.5234	11026.2754	13498.5723	14783.2402	14855.1865	12025.501	NaN	12270.4551	15034.1631	11206.8682	14726.3389
1.7345	NaN	15339.1523	NaN	15101.1299	16597.3848	12075.3721	17271.3301	NaN	14987.498	NaN	22283.6836	12193.4824	12927.2637	17838.1738	16785.6406	17307.3711	22166.2285	16581.7852	11435.7754	15257.625	12282.541	18379.5918	NaN	14904.6494	13749.9316	NaN	NaN	14947.4492	11852.8037	NaN	NaN	13723.7607	17316.4629	17171.3555	12814.6123	15034.29	13132.3232	14265.6064	NaN	NaN	16115.8135	13195.7939	NaN	NaN	14576.4854	NaN	16317.7412	12884.293	NaN	12189.0889	16063.3916	15911.5576	11336.4854	14327.9531	14546.1045	15337.916	14364.7383	NaN	NaN	12891.3613	NaN	NaN	16585.8438	19169.1055	13077.873	NaN	13650.9492	14540.7266	NaN	NaN	10422.1553	17417.6504	14803.4209	13122.5957	NaN	14287.5859	18038.8457	NaN	10645.1055	14316.6064	NaN	19624.9883	NaN	13347.7422	NaN	12904.0879	14162.7646	10819.9404	14051.6689	15806.3574	15617.1523	NaN	17144.7109	NaN	NaN	13354.0859	16394.457	NaN	NaN	NaN	18400.3887	10937.0752	14388.8584	16053.3389	12562.4922	NaN	15704.1689	18638.207	13343.666	13357.7021	19013.1914	NaN	12488.0166	15731.5898	17040.7734	11398.6924	NaN	10736.3223	15288.542	NaN	15780.3545
1.8679	NaN	15120.7881	NaN	15807.9297	16453.543	NaN	17542.9336	NaN	14815.5801	NaN	20170.0371	12460.2598	15576.8701	17688.1562	16985.332	17801.082	17553.6602	16192.9639	NaN	15719.2031	12569.6523	17989.3086	NaN	13978.0107	13983.8008	NaN	NaN	13497.7412	NaN	NaN	NaN	12275.248	16275.7881	18879.5859	11439.0312	14258.6201	12598.3584	15117.1768	NaN	NaN	15533.8379	14322.7949	NaN	NaN	15195.6445	NaN	13231.2793	12384.9756	NaN	9413.0615	15224.3223	14886.4961	NaN	13744.6963	14967.6191	16160.2793	12598.0137	NaN	NaN	12247.0156	NaN	NaN	14813.4053	18737.8223	NaN	NaN	NaN	13470.5586	NaN	NaN	10715.1982	17616.7812	16202.4805	13978.2578	NaN	14347.8447	16013.8789	NaN	10490.3232	12408.6699	NaN	17106.1855	NaN	13378.21	NaN	13144.5723	14188.96	10836.6084	13484.2754	15565.4355	15980.833	NaN	17942.3828	NaN	NaN	14274.4414	17681.2266	NaN	NaN	NaN	15152.1846	NaN	14434.127	15771.8945	11606.96	NaN	13655.4609	16404.9785	12510.1309	12897.1699	20021.8594	NaN	12789.6035	16404.4238	16389.5781	NaN	NaN	10495.7021	14368.2852	NaN	16112.3584
2.0013	NaN	14971.1631	NaN	17014.9551	15015.5273	NaN	16410.2656	NaN	14682.6484	NaN	15920.9414	NaN	16644.4062	16920.623	17027.7871	15926.0859	13440.2744	16521.1836	NaN	16647.9355	13406.6191	18935.5254	NaN	11466.0342	14194.7627	NaN	NaN	NaN	NaN	NaN	NaN	11066.9395	14401.7666	19232.9277	11077.1074	14812.7275	11792.5283	14264.7324	NaN	NaN	15883.5508	14197.5264	NaN	NaN	14597.9404	NaN	11040.6592	13006.4414	NaN	NaN	16579.1543	NaN	NaN	12275.7666	14167.0752	14494.3662	11251.0293	NaN	NaN	NaN	NaN	NaN	14432.2783	17568.1992	NaN	NaN	NaN	10737.1592	NaN	NaN	NaN	15292.5713	16623.2129	14049.0703	NaN	14661.3662	13531.5947	NaN	10299.4551	NaN	NaN	13532.1357	NaN	12607.6865	NaN	12644.1035	13420.0518	NaN	NaN	15989.4209	16141.0518	NaN	17067.8359	NaN	NaN	14694.6045	17390.1875	NaN	NaN	NaN	13837.208	NaN	15050.8232	14509.8721	11249.4844	NaN	12534.0723	NaN	NaN	12265.1924	17882.2441	NaN	14553.4482	15796.6914	17250.3008	NaN	NaN	NaN	12672.1504	NaN	14350.208
2.1347	NaN	15155.0391	NaN	17787.9375	13610.8018	NaN	14774.2188	NaN	14603.5205	NaN	13788.2285	NaN	18669.623	14209.1172	17419.9062	12395.8496	10986.9541	18487.9453	NaN	16441.457	NaN	20173.6289	NaN	11174.0527	14474.1953	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13202.3545	14325.7217	10364.6211	15198.9111	10550.5332	12539.2168	NaN	NaN	14916.1426	13774.9785	NaN	NaN	14711.8613	NaN	NaN	13401.623	NaN	NaN	16756.6992	NaN	NaN	10926.6562	14662.1602	11283.7549	11141.6289	NaN	NaN	NaN	NaN	NaN	12453.1201	18407.4355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11883.8613	18010.252	13506.957	NaN	16093.9199	NaN	NaN	10440.5166	NaN	NaN	11638.4697	NaN	12941.166	NaN	11406.3535	13867.1426	NaN	NaN	16257.7109	15182.7441	NaN	15032.2793	NaN	NaN	13265.7539	15175.3828	NaN	NaN	NaN	12573.3418	NaN	15536.9551	12667.8633	NaN	NaN	12400.8662	NaN	NaN	12996.7334	15881.7324	NaN	15601.9434	16928.457	16310.7695	NaN	NaN	NaN	12269.748	NaN	13090.96
2.2682	NaN	15781.7422	NaN	15628.9678	13684.4297	NaN	12712.0596	NaN	14252.6914	NaN	12640.0098	NaN	16743.6172	11914.7949	17012.0332	10718.1191	NaN	18247.7988	NaN	15552.5166	NaN	19532.1797	NaN	10819.2881	15240.0605	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13058.1943	13286.7373	9913.9375	14921.79	NaN	NaN	NaN	NaN	14361.8369	12481.3193	NaN	NaN	14529.7373	NaN	NaN	14084.2803	NaN	NaN	19546.709	NaN	NaN	9794.4824	15767.6035	10144.5986	10929.8857	NaN	NaN	NaN	NaN	NaN	11522.79	17729.5918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11408.5752	17252.416	12726.0098	NaN	14772.457	NaN	NaN	10715.8428	NaN	NaN	NaN	NaN	14542.0732	NaN	11140.2236	13764.3916	NaN	NaN	15712.9795	14730.1289	NaN	12790.0078	NaN	NaN	13253.3682	13529.1006	NaN	NaN	NaN	12507.5234	NaN	14837.7021	11068.4121	NaN	NaN	NaN	NaN	NaN	12266.1982	13438.7871	NaN	14589.1426	16481.3945	14759.25	NaN	NaN	NaN	11640.3486	NaN	11666.8027
2.4016	NaN	16301.7061	NaN	13202.4844	NaN	NaN	11458.7432	NaN	13735.6016	NaN	NaN	NaN	13728.041	10931.8613	17613.1562	10331.1719	NaN	16221.0752	NaN	13568.4766	NaN	16057.7412	NaN	NaN	14641.5391	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11468.9824	NaN	15685.5254	NaN	NaN	NaN	NaN	13737.6172	11217.0195	NaN	NaN	14652.458	NaN	NaN	14284.6309	NaN	NaN	19998.2441	NaN	NaN	9059.3916	15917.0908	9596.0898	10539.3613	NaN	NaN	NaN	NaN	NaN	11204.9707	15675.0244	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13967.8545	11706.3389	NaN	13512.709	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14572.8496	NaN	NaN	15562.4678	NaN	NaN	15384.4883	13096.1055	NaN	12480.3359	NaN	NaN	11508.1699	13457.7227	NaN	NaN	NaN	NaN	NaN	13262.833	10302.3428	NaN	NaN	NaN	NaN	NaN	NaN	12725.6885	NaN	13129.582	15758.6797	12834.501	NaN	NaN	NaN	11115.2061	NaN	10857.9639
2.535	NaN	14902.6436	NaN	11855.2861	NaN	NaN	NaN	NaN	13778.082	NaN	NaN	NaN	NaN	10102.2861	18191.584	NaN	NaN	12652.5684	NaN	12224.9268	NaN	13972.3662	NaN	NaN	13211.5449	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10942.6426	NaN	15260.0234	NaN	NaN	NaN	NaN	NaN	10886.9736	NaN	NaN	14981.2979	NaN	NaN	15883.7617	NaN	NaN	17395.7871	NaN	NaN	NaN	13482.4512	NaN	9798.4561	NaN	NaN	NaN	NaN	NaN	NaN	13627.835	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11531.9863	10807.3184	NaN	12474.9014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15568.7119	NaN	NaN	15434.3252	NaN	NaN	15391.7207	10961.1611	NaN	12254.3926	NaN	NaN	11272.0293	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12115.4082	NaN	11808.5947	12612.876	12379.2998	NaN	NaN	NaN	NaN	NaN	10179.3867
2.6684	NaN	12708.6904	NaN	10918.6523	NaN	NaN	NaN	NaN	14417.6777	NaN	NaN	NaN	NaN	NaN	17506.4316	NaN	NaN	10298.291	NaN	11155.4668	NaN	12745.7295	NaN	NaN	10641.9443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14449.6289	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14161.3828	NaN	NaN	16156.332	NaN	NaN	14568.96	NaN	NaN	NaN	11840.0264	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12212.4512	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10541.0947	NaN	11249.6494	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16215.9541	NaN	NaN	15353.8359	NaN	NaN	14856.1143	9885.5908	NaN	11709.083	NaN	NaN	11539.9482	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10865.7334	12110.9043	12936.3594	NaN	NaN	NaN	NaN	NaN	10350.1201
2.8019	NaN	11293.3516	NaN	NaN	NaN	NaN	NaN	NaN	15204.2598	NaN	NaN	NaN	NaN	NaN	17724.793	NaN	NaN	9755.2705	NaN	10588.7451	NaN	NaN	NaN	NaN	10460.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13725.1084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14569.0127	NaN	NaN	14571.8311	NaN	NaN	NaN	NaN	NaN	NaN	11247.1777	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10423.875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16042.3809	NaN	NaN	15216.7666	NaN	NaN	12719.5254	NaN	NaN	11939.0957	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10628.9365	11616.417	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	10938.9219	NaN	NaN	NaN	NaN	NaN	NaN	15233.167	NaN	NaN	NaN	NaN	NaN	17121.7461	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9911.2119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11830.7646	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14516.8379	NaN	NaN	12235.9561	NaN	NaN	NaN	NaN	NaN	NaN	10815.6309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10034.8018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15140.0137	NaN	NaN	14207.4258	NaN	NaN	11347.9688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10880.5732	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	11261.1875	NaN	NaN	NaN	NaN	NaN	NaN	16781.1719	NaN	NaN	NaN	NaN	NaN	15257.4395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10053.4697	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10277.2793	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14601.2705	NaN	NaN	10668.9414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13459.4619	NaN	NaN	12435.4121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18062.6113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10851.1064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10349.1133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14779.0322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11616.0342	NaN	NaN	11641.9219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18599.7129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14849.9102	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10090.8252	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16799.4531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12670.1533	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13997.7422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11475.2666	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11184.6807	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10790.7568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9878.4287	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
