X	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_2g	Y_20181208_15694b_1_3g	Y_20181208_15694b_1_4g	Y_20181208_15694b_1_5g	Y_20181208_15694b_1_7g	Y_20181208_15694b_10_2g	Y_20181208_15694b_10_4g	Y_20181208_15694b_10_5g	Y_20181208_15694b_2_1g	Y_20181208_15694b_2_5g	Y_20181208_15694b_2_6g	Y_20181208_15694b_2_7g	Y_20181208_15694b_3_1g	Y_20181208_15694b_3_4g	Y_20181208_15694b_3_6g	Y_20181208_15694b_6_10g	Y_20181208_15694b_6_11g	Y_20181208_15694b_6_12g	Y_20181208_15694b_6_2g	Y_20181208_15694b_6_3g	Y_20181208_15694b_6_5g	Y_20181208_15694b_6_6g	Y_20181208_15694b_6_7g
1.4676	28023.3848	29268.9805	28615.9043	32596.2734	NaN	NaN	23765.5781	31580.2891	28562.7324	27048.4395	29012.3516	30692.6152	31768.043	29895.8008	31804.9336	26025.3906	28394.9199	30849.8242	28104.8789	27461.8711	29869.7363	31962.4766	32120.918	30724.3613
1.6011	28911.375	30197.5859	27833.4316	32417.1133	NaN	NaN	24446.6621	30224.2461	28686.3008	27138.1621	28601.543	29864.6445	32338.9805	30323.1855	31572.0859	26915.7246	26855.9805	29154.0059	28898.8262	27274.6309	30236.0879	30371.8027	30350.9258	NaN
1.7345	28152.0547	NaN	29510.4082	33425.3516	NaN	NaN	23798.373	30569.1895	29467.0625	26923.5137	28353.5117	29937.3945	NaN	30059.3066	32745.4121	25739.8594	28492.7754	28651.9238	28812.0879	28117.3145	29586.0254	30527.5762	31260.0371	NaN
1.8679	27844.8262	NaN	29693.2246	32007.0508	NaN	NaN	23345.4023	29960.8789	NaN	25833.459	28114.8203	29007.3555	NaN	30665.2852	31885.6445	26780.3457	27167.7285	28746.4453	28276.041	27248.9902	28832.2324	31657.1523	31123.5176	NaN
2.0013	26382.9258	NaN	28808.291	33131.4453	NaN	NaN	23788.3477	30728.0625	NaN	25427.6875	27147.5449	28736.7988	NaN	31994.4062	32067.9473	26190.4551	27446.75	28131.9707	NaN	26491.9668	28212.6758	NaN	31227.2129	NaN
2.1347	27335.6777	NaN	28964.2324	33390.5039	NaN	NaN	25965.75	NaN	NaN	26657.7871	NaN	28614.5332	NaN	29006.4473	31374.7207	26346.75	26685.498	27024.1758	NaN	26874.5488	NaN	NaN	31347.5273	NaN
2.2682	27165.7012	NaN	29256.1738	35279.6836	NaN	NaN	25391.9941	NaN	NaN	26322.1328	NaN	26026.1895	NaN	28288.3105	31485.5879	NaN	NaN	25768.3711	NaN	26555.1074	NaN	NaN	29916.9121	NaN
2.4016	25864.9746	NaN	28894.1113	34913.2578	NaN	NaN	24994.9258	NaN	NaN	25815.0215	NaN	26517.8926	NaN	30064.3906	31487.6895	NaN	NaN	NaN	NaN	25930.9727	NaN	NaN	31346.2188	NaN
2.535	24271.7637	NaN	27169.2441	34419.1719	NaN	NaN	24142.4512	NaN	NaN	25987.1582	NaN	NaN	NaN	28568.416	32507.3125	NaN	NaN	NaN	NaN	25577.8262	NaN	NaN	32013.1797	NaN
2.6684	25129.0645	NaN	27036.5566	NaN	NaN	NaN	25169.4453	NaN	NaN	24992.4102	NaN	NaN	NaN	27050.4707	33293.6953	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29400.2266	NaN
2.8019	27430.9141	NaN	27685.1328	NaN	NaN	NaN	23691.6836	NaN	NaN	25719.1855	NaN	NaN	NaN	NaN	33348.0156	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29966.7207	NaN
2.9353	NaN	NaN	27893.5723	NaN	NaN	NaN	23247.9727	NaN	NaN	25166.1562	NaN	NaN	NaN	NaN	32018.0586	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31278.3574	NaN
3.0687	NaN	NaN	26929.5684	NaN	NaN	NaN	22520.8848	NaN	NaN	24858.1836	NaN	NaN	NaN	NaN	32850.918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	26035.5859	NaN	NaN	NaN	NaN	NaN	NaN	26492.332	NaN	NaN	NaN	NaN	30166.3613	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	25925.3516	NaN	NaN	NaN	NaN	NaN	NaN	26369.0234	NaN	NaN	NaN	NaN	29666.5332	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	27398.5566	NaN	NaN	NaN	NaN	NaN	NaN	25576.3027	NaN	NaN	NaN	NaN	29716.5957	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	26621.4043	NaN	NaN	NaN	NaN	NaN	NaN	25963.25	NaN	NaN	NaN	NaN	29927.1055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	26401.9844	NaN	NaN	NaN	NaN	NaN	NaN	23984.1367	NaN	NaN	NaN	NaN	29893.0117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	27847.4082	NaN	NaN	NaN	NaN	NaN	NaN	23994.6367	NaN	NaN	NaN	NaN	30337.8613	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28813.9688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29525.752	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
