X	Y_20181208_15100_1_1g	Y_20181208_15100_1_3g	Y_20181208_15100_1_6g	Y_20181208_15100_10_1g	Y_20181208_15100_10_2g	Y_20181208_15100_10_3g	Y_20181208_15100_11_1g	Y_20181208_15100_11_2g	Y_20181208_15100_11_3g	Y_20181208_15100_12_1g	Y_20181208_15100_13_1g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_13_5g	Y_20181208_15100_13_6g	Y_20181208_15100_13_8g	Y_20181208_15100_14_2g	Y_20181208_15100_14_3g	Y_20181208_15100_15_2g	Y_20181208_15100_15_4g	Y_20181208_15100_15_6g	Y_20181208_15100_15_7g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_16_3g	Y_20181208_15100_16_4g	Y_20181208_15100_17_1g	Y_20181208_15100_17_5g	Y_20181208_15100_17_7g	Y_20181208_15100_18_1g	Y_20181208_15100_18_5g	Y_20181208_15100_18_7g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_19_3g	Y_20181208_15100_19_5g	Y_20181208_15100_19_6g	Y_20181208_15100_2_1g	Y_20181208_15100_2_2g	Y_20181208_15100_2_3g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_22_1g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_25_1g	Y_20181208_15100_25_2g	Y_20181208_15100_27_1g	Y_20181208_15100_3_1g	Y_20181208_15100_3_2g	Y_20181208_15100_3_3g	Y_20181208_15100_3_4g	Y_20181208_15100_3_5g	Y_20181208_15100_5_10g	Y_20181208_15100_5_11g	Y_20181208_15100_5_12g	Y_20181208_15100_5_13g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_5_7g	Y_20181208_15100_5_9g	Y_20181208_15100_6_3g	Y_20181208_15100_6_4g	Y_20181208_15100_6_5g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g	Y_20181208_15100_7_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_5g	Y_20181208_15100_7_9g	Y_20181208_15100_8_1g	Y_20181208_15100_8_2g	Y_20181208_15100_8_3g	Y_20181208_15100_8_4g	Y_20181208_15100_8_6g	Y_20181208_15100_9_2g
1.3342	13268.6064	NaN	13587.1865	15324.6982	16722.2578	14404.2568	15810.7695	16907.6914	12864.708	16961.4355	15669.4033	19952.4609	15958.2344	14699.6631	15180.4629	20862.6719	14672.6787	16950.1758	13479.501	15861.1387	14514.8438	17905.4277	15305.2988	15698.5195	13119.9443	15039.7051	16531.3652	14655.6338	13206.3906	15080.3213	13106.043	16879.3555	14206.6299	13245.0312	17703.9062	18530.0039	14190.2539	15785.6074	15052.3916	22019.8359	15439.5459	14473.5107	23280.4824	13777.4473	17293.1426	13664.54	14448.3281	15981.5244	17025.5449	14521.7656	14260.7676	14835.002	13871.3096	14016.0088	17212.3906	14788.5723	15211.2656	15519.7158	16625.3711	14354.3574	11813.5586	15468.8311	17011.0449	13721.6982	15860.2393	14561.7656	15617.043	22684.3047	16044.2471	14102.8252	14831.6055	16620.0898	NaN	16475.9746	21117.9785	15282.1982	16553.791
1.4676	10993.5381	NaN	14926.9561	14889.5479	17772.9824	14592.9795	17839.3145	16326.4141	13332.2998	17488.9355	14896.6875	22367.9961	14675.6143	13609.1201	13893.7188	20514.5879	14662.0215	17497.6113	14343.5557	15625.9697	12938.5889	19431.875	15060.3662	16619.3105	14616.7686	NaN	17823.0684	12779.5391	14331.584	15347.1025	NaN	15966.0645	13475.2256	13233.0322	21098.7031	17807.1504	12582.6729	18488.5664	16298.5361	22624.9258	16667.248	16249.4512	23010.1387	14191.9658	16622.7578	12867.9365	14985.3457	NaN	14971.8828	15252.127	13252.8848	14452.1982	13528.5068	14585.9424	16609.4297	14746.749	14214.7012	15556.3066	17944.3164	14287.9648	11100.2422	16509.5488	16802.1211	13954.9688	14937.1191	15352.8525	16414.877	23130.1328	14839.1777	14297.6221	15915.0527	16959.5195	NaN	15047.4355	20992.1641	15539.7666	14834.9736
1.6011	NaN	NaN	12994.665	14457.6553	18256.7617	13334.541	18803.375	16170.0098	13817.1416	15567.3682	13075.5322	22140.9746	12470.2539	12294.8711	13722.8135	16788.8125	14144.0977	17881.8574	14439.6465	14707.9307	12495.209	18828.3398	15387.4453	16565.8926	15019.1113	NaN	17358.8203	12359.4355	15271.8984	16390.7598	NaN	15821.9961	13419.2451	13211.6797	23156.6953	14588.377	10917.2793	19094.5781	17152.5684	23970.5137	16669.8945	18139.0234	21220.041	14015.0518	15948.2031	12402.2305	15096.6934	NaN	13956.6045	14833.3652	NaN	15037.541	14108.1182	13805.6006	16667.8008	14836.0703	14076.1475	14954.3564	18039.1289	15071.6445	11116.7344	17870.1543	15103.6162	14367.7158	12593.0586	16304.1279	18578.4258	20157.5215	14592.3945	14834.6885	15519.8154	16874.1016	NaN	14343.708	19119.627	16692.0977	12999.4561
1.7345	NaN	NaN	11608.582	14480.7803	18019.2754	13684.1797	20973.2441	15497.7373	13339.9121	12732.0186	12349.8711	19436.168	11181.2695	12501.8574	13717.2432	12408.0566	15322.8555	18837.4453	15356	14563.9062	11562.4043	19179.2754	15342.5068	14516.4795	16003.3848	NaN	14526.1016	NaN	15412.1572	17476.8535	NaN	15691.5029	13560.0205	13520.7578	21636.1406	NaN	NaN	18295.3262	17464.9746	24989.7246	18570.5234	15620.5352	18232.0488	14756.9658	16997.8281	12605.0625	14537.2471	NaN	12920.4404	14455.6758	NaN	14845.0283	14799.9648	13814.7549	16369.4395	15600.9111	13375.5576	15255.9658	18008.9219	16370.9492	NaN	18055.2891	13156.2939	15176.7041	11574.2041	15291.0254	19026.4492	16120.7959	14300.6641	15345.4746	14143.7529	17210.7773	NaN	13841.1211	16057.2012	17469.4395	NaN
1.8679	NaN	NaN	NaN	14527.4131	17850.3105	13967.6104	21374.9785	15215.2637	13614.3672	11768.8252	11274.54	16395.5957	11571.6006	12449.624	13800.0264	NaN	15831.3477	19620.3633	15234.1533	15104.9424	NaN	17008.0273	15869.2598	12520.4199	16068.001	NaN	12128.165	NaN	15167.0918	16553.6953	NaN	16035.9951	13081.8291	12709.7656	18033.7383	NaN	NaN	16808.6133	17617.3047	22171.3613	18285.6328	13631.0205	15243.1855	15936.9082	17334.6934	12424.0059	13701.3105	NaN	12933.9297	14528.002	NaN	14874.2158	15143.3018	14116.4961	15998.5723	16526.8516	13600.8018	16220.9258	16296.3467	16815.8477	NaN	14516.0986	NaN	15374.8525	11531.6572	13298.6055	17244.2949	15224.8086	13474.3408	14901.3721	14250.8682	17342.2129	NaN	12971.9678	13807.8369	18508.2129	NaN
2.0013	NaN	NaN	NaN	14069.9639	18268.8984	14140.9951	21390.7051	14248.2793	13865.6309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15327.1406	18503.7383	15524.0166	15737.123	NaN	15740.9854	15569.2158	NaN	15994.9414	NaN	10565.6055	NaN	15057.3691	15211.3779	NaN	16639.7754	13670.2344	11610.3428	16571.6406	NaN	NaN	15538.7588	16568.1445	17393.3047	16922.0254	11311.5996	13254.8223	16136.7754	18404.9785	12920.7637	12480.9482	NaN	NaN	14701.9863	NaN	15534.04	15978.4062	13848.6396	15876.8018	17327.2617	NaN	17274.9648	13726.0098	15920.6562	NaN	11790.3369	NaN	13821.8291	NaN	10777.8564	15550.502	13766.5234	13845.7139	13295.3389	15209.3809	18825.1055	NaN	13721.4033	NaN	17953.1719	NaN
2.1347	NaN	NaN	NaN	13853.2549	16654.2383	15448.0254	19882.3887	12567.0439	12699.7705	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12985.9395	16779.0645	16066.375	15747.9971	NaN	14807.4336	15250.8896	NaN	14430.4609	NaN	NaN	NaN	15896.5752	13609.0566	NaN	17441.0371	14094.7578	NaN	15676.9414	NaN	NaN	NaN	15794.1865	15023.7002	16470.3496	NaN	13161.6201	16549.8828	15674.3564	13850.3232	NaN	NaN	NaN	14732.6377	NaN	15178.9219	14859.457	14381.377	16691.6289	18520.6504	NaN	18429.1016	12238.9355	13326.3545	NaN	NaN	NaN	NaN	NaN	NaN	14067.5908	NaN	14265.8301	12783.3438	17889.9512	19348.7891	NaN	13902.8379	NaN	16154.335	NaN
2.2682	NaN	NaN	NaN	14432.7344	14925.3984	15152.1826	18834.0098	11329.0244	12701.0645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11289.9707	14412.1885	14654.0303	16722.1035	NaN	NaN	14681.3574	NaN	11911.373	NaN	NaN	NaN	14748.0371	13031.0303	NaN	16147.6494	14082.0703	NaN	NaN	NaN	NaN	NaN	16447.0195	14569.7812	NaN	NaN	12001.1943	18075.084	12817.2227	14801.2842	NaN	NaN	NaN	14126.7471	NaN	16275.4531	14598.6523	14011.4326	17353.8887	18385.2402	NaN	17672.2734	12048.1582	11794.7656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14179.7607	11974.2744	20588.877	16883.0742	NaN	14808.8779	NaN	14108.9287	NaN
2.4016	NaN	NaN	NaN	14976.5889	12804.417	16368.9082	17788.8301	10265.4805	13543.0576	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13984.4004	14858.083	16630.6387	NaN	NaN	15308.7627	NaN	NaN	NaN	NaN	NaN	14033.54	13985.5186	NaN	13731.9287	14166.7959	NaN	NaN	NaN	NaN	NaN	16785.5625	14478.3555	NaN	NaN	NaN	17215.3281	NaN	16226.3633	NaN	NaN	NaN	15211.4932	NaN	18163.1094	13744.6592	14728.6484	16814.2285	15430.1406	NaN	17390.0547	11654.7197	10729.6338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14760.0449	NaN	18164.9316	14340.5488	NaN	14960.6406	NaN	13267.2451	NaN
2.535	NaN	NaN	NaN	15113.7021	11958.8037	15644.0479	17902.2734	NaN	12884.1211	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15171.4395	16370.625	NaN	NaN	14940.5166	NaN	NaN	NaN	NaN	NaN	12131.3525	15318.4336	NaN	NaN	13915.0791	NaN	NaN	NaN	NaN	NaN	16511.5078	NaN	NaN	NaN	NaN	14663.4766	NaN	18087.3125	NaN	NaN	NaN	14443.9678	NaN	19320.9238	14245.7549	16141.5596	17025.8867	11907.0898	NaN	17677.1172	NaN	10131.0186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14930.1895	NaN	13969.3486	13076.9941	NaN	15589.9434	NaN	11876.585	NaN
2.6684	NaN	NaN	NaN	14734.4951	10872.3037	17178.168	17286.0254	NaN	12749.3154	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14413.9395	15801.623	NaN	NaN	15480.9453	NaN	NaN	NaN	NaN	NaN	11606.5254	15456.2803	NaN	NaN	13646.9951	NaN	NaN	NaN	NaN	NaN	16109.0439	NaN	NaN	NaN	NaN	11932.0742	NaN	15468.9023	NaN	NaN	NaN	12631.7168	NaN	17884.2363	14057.1377	15613.7578	18116.3633	10363.1846	NaN	17514.2676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16145.5381	NaN	12255.5361	11723.4482	NaN	15462.5098	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	12887.8076	NaN	18534.3027	15027.5645	NaN	12973.3564	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13461.6787	14803.0557	NaN	NaN	15725.7402	NaN	NaN	NaN	NaN	NaN	NaN	13939.3584	NaN	NaN	14593.1045	NaN	NaN	NaN	NaN	NaN	16331.8242	NaN	NaN	NaN	NaN	10408.9678	NaN	13141.4102	NaN	NaN	NaN	11844.6514	NaN	14677.9424	14781.6885	14055.8271	19376.0859	NaN	NaN	20596.7246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15393.1289	NaN	11905.6445	NaN	NaN	16929.9746	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	11938.3945	NaN	20069.2461	NaN	NaN	13447.1963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12297.1299	13372.8594	NaN	NaN	14064.8447	NaN	NaN	NaN	NaN	NaN	NaN	13475.3154	NaN	NaN	15102.085	NaN	NaN	NaN	NaN	NaN	16760.2266	NaN	NaN	NaN	NaN	NaN	NaN	12103.209	NaN	NaN	NaN	11003.4238	NaN	11522.5967	14020.2539	11546.2031	16476.7734	NaN	NaN	20515.3242	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13495.6211	NaN	NaN	NaN	NaN	16339.834	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	17214.3887	NaN	NaN	14909.3271	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11825.5576	NaN	NaN	NaN	NaN	NaN	NaN	15082.6895	NaN	NaN	16236.9297	NaN	NaN	NaN	NaN	NaN	19521.6055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10762.3643	NaN	10430.3027	14682.8457	9753.6133	14656.4424	NaN	NaN	18022.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10888.2881	NaN	NaN	NaN	NaN	15805.6377	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	13473.1162	NaN	NaN	15264.6201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15675.0879	NaN	NaN	19654.248	NaN	NaN	NaN	NaN	NaN	22007.0703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14185.0244	NaN	12298.1836	NaN	NaN	14743.9834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9760.7168	NaN	NaN	NaN	NaN	13134.8691	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	11334.9131	NaN	NaN	13112.8428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15436.4355	NaN	NaN	17931.7656	NaN	NaN	NaN	NaN	NaN	17861.4648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12313.8672	NaN	12532.2715	NaN	NaN	13309.7334	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10606.4316	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	10188.8721	NaN	NaN	11680.1572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15872.7402	NaN	NaN	14674.1348	NaN	NaN	NaN	NaN	NaN	14083.7695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10397.6699	NaN	12692.2764	NaN	NaN	11601.1973	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10853.249	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10343.1426	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14948.5117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11744.8516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11688.8633	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
