x	Y_20180130_15100b_1_13g	Y_20180130_15100b_1_15g	Y_20180130_15100b_1_5g	Y_20180130_15100b_1_8g	Y_20180130_15100b_10_13g	Y_20180130_15100b_10_14g	Y_20180130_15100b_10_2g	Y_20180130_15100b_10_3g	Y_20180130_15100b_10_4g	Y_20180130_15100b_10_7g	Y_20180130_15100b_11_12g	Y_20180130_15100b_11_13g	Y_20180130_15100b_11_9g	Y_20180130_15100b_12_12g	Y_20180130_15100b_12_13g	Y_20180130_15100b_12_16g	Y_20180130_15100b_12_1g	Y_20180130_15100b_12_6g	Y_20180130_15100b_12_7g	Y_20180130_15100b_12_8g	Y_20180130_15100b_13_13g	Y_20180130_15100b_13_2g	Y_20180130_15100b_13_3g	Y_20180130_15100b_13_4g	Y_20180130_15100b_13_5g	Y_20180130_15100b_13_9g	Y_20180130_15100b_15_10g	Y_20180130_15100b_15_13g	Y_20180130_15100b_15_15_1g	Y_20180130_15100b_15_2g	Y_20180130_15100b_15_7g	Y_20180130_15100b_15_8g	Y_20180130_15100b_15_9g	Y_20180130_15100b_16_12g	Y_20180130_15100b_16_1g	Y_20180130_15100b_16_4g	Y_20180130_15100b_17_11g	Y_20180130_15100b_17_4g	Y_20180130_15100b_18_10g	Y_20180130_15100b_18_11g	Y_20180130_15100b_18_24g	Y_20180130_15100b_18_4g	Y_20180130_15100b_18_6g	Y_20180130_15100b_18_7_1g	Y_20180130_15100b_18_8g	Y_20180130_15100b_18_9g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_7g	Y_20180130_15100b_19_8g	Y_20180130_15100b_2_2g	Y_20180130_15100b_2_5g	Y_20180130_15100b_2_6g	Y_20180130_15100b_2_8g	Y_20180130_15100b_20_11_2g	Y_20180130_15100b_20_12g	Y_20180130_15100b_20_14g	Y_20180130_15100b_20_1g	Y_20180130_15100b_20_2g	Y_20180130_15100b_20_5_1g	Y_20180130_15100b_20_5_2g	Y_20180130_15100b_20_9g	Y_20180130_15100b_21_1g	Y_20180130_15100b_21_7g	Y_20180130_15100b_22_11g	Y_20180130_15100b_22_14g	Y_20180130_15100b_22_6g	Y_20180130_15100b_23_10g	Y_20180130_15100b_23_8g	Y_20180130_15100b_24_11g	Y_20180130_15100b_24_14_1g	Y_20180130_15100b_24_15g	Y_20180130_15100b_24_7g	Y_20180130_15100b_3_14g	Y_20180130_15100b_3_5g	Y_20180130_15100b_4_17g	Y_20180130_15100b_4_1g	Y_20180130_15100b_4_20g	Y_20180130_15100b_4_21g	Y_20180130_15100b_4_22g	Y_20180130_15100b_4_6g	Y_20180130_15100b_4_7g	Y_20180130_15100b_5_11g	Y_20180130_15100b_5_12g	Y_20180130_15100b_5_15g	Y_20180130_15100b_5_16g	Y_20180130_15100b_5_18g	Y_20180130_15100b_5_1g	Y_20180130_15100b_5_5g	Y_20180130_15100b_5_7g	Y_20180130_15100b_6_10g	Y_20180130_15100b_6_2g	Y_20180130_15100b_6_9g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_16g	Y_20180130_15100b_8_3g	Y_20180130_15100b_8_8g	Y_20180130_15100b_9_12g	Y_20180130_15100b_9_1g	Y_20180130_15100b_9_2g	Y_20180130_15100b_9_3g	Y_20180130_15100b_9_5g
1.3342	34833.777	65796.016	57587.789	40784.047	37647.023	44644.238	38572.277	50122.246	62194.992	35458.953	42741.539	45164.531	67730.148	34707.918	51344.883	59976.086	36801.082	48018.801	41111.777	35331.727	49141.727	40021.324	45936.027	37841.082	44950.25	53113.391	58572.531	79032.375	44473.918	35689.082	42159.52	47084.059	57085.824	41360.672	39107.117	40367.277	47592.223	43082.527	38536.465	35688.398	37051.316	67295.688	41533.895	37860.711	39172.219	36193.52	61948.02	33578.648	36944.008	52331.828	36863.527	40283.188	38347.934	56086.844	43204.938	46733.734	79386.586	58611.918	43439.691	40038.555	42778.82	36768.723	65914.727	40550.766	42909.773	45984.926	80154.859	36541.961	55896.449	74051.227	42704.598	67952.453	91539.375	37580.242	44019.926	55450.473	46029.461	52886.711	34186	38745.391	37752.906	55198.152	145503.406	39551.832	82649.625	64275.484	52511.203	56029.297	58708.801	73330.148	46507.945	41552.09	35304.547	42536.332	38341.906	62209.711	68749.297	44245.535	66224.922	105641.969	88082.312
1.4676	41622.066	111191.531	87432.875	49247.723	44088.789	59239.754	40666.383	75008.414	90755.289	40177.746	54274.613	58512.02	105926.047	40921.312	70399.422	100076.656	39454.285	61870.535	54863.762	40923.062	57090.922	46635.18	64344.582	38679.453	64985.562	82315.789	89521.133	125044.094	47545.391	43383.805	51343.152	64708.41	86595.945	43532.543	47841.887	48566.289	60309.23	59381.934	43174.902	39087.172	38922.578	94623.141	45904.152	40533.207	42831.496	36750.562	72066.141	37950.5	44663.75	77036.328	38353.953	50149.523	44593.844	68370.211	53679.676	53095.816	90786.758	81905.25	52550.375	46051.875	52408.34	38568.867	100991.789	46240.812	54781.02	54950.324	124729.234	39278.82	102330.703	125814.391	52780.379	100050.539	92354.664	39860.07	53789.695	73948.133	59294.848	78459.812	37146.336	44693.234	39657.434	67936.875	146081.797	43297.727	118604.594	89934.641	75436.336	87698.766	85622.992	62525.934	62281.578	52545.188	36013.73	50614.34	41964.32	70315.398	107700.375	56189.875	95476.562	112858.438	100612.242
1.6011	52534.062	168240.875	127249.148	71588.258	54446.262	86122.984	46633.547	88817.773	126718.969	54611.352	88333.812	82528.055	119755.383	55603.082	108077.742	144739.656	49836.512	93526.664	81009.414	49561.773	86663.141	61740.934	95835.578	41372.121	96753.305	120757.344	138361.734	136682.766	61158.566	60866.324	68062.367	94925.875	116709.844	49777.449	69644.109	62445.172	86323.258	89615.75	53034.184	43321.281	41996.508	107830.695	56583.758	48695.648	54576.059	40702.004	57143.234	50976.434	67087.75	120907.641	48521.715	68785.031	55738.266	59400.59	59508.453	74639.273	73200.438	96251.25	76248.875	56531.074	74356.547	40262.199	127536.68	58808.762	78852.883	78576.039	144887.406	43525.652	169466.844	161234.625	76184.234	141057.297	68159.266	45832.285	74603.109	90946.211	82901.227	95323.586	48258.258	52319.496	46544.043	88205.867	94871.25	54057.898	121799.93	91907.539	109153.453	113948.531	111554.812	48619.867	99167.625	75172.195	40238.199	64218.562	48330.574	61722.762	162261.688	82739.094	104621.336	84207.023	77537.18
1.7345	66368.547	184085.781	104401.742	110396.75	66894.562	134795.094	57530.766	79020.82	118482.938	80487.023	143071.125	88287.977	94553.234	60099.18	128499.328	128637.703	62893.363	126484.172	99990.477	65938.836	132703.875	99070.008	119375.812	51112.637	108277.211	131640.25	156123.109	101695.969	97357.359	97020.695	103794.625	110398	95014.969	63496.113	80883.711	69825.328	107045.703	107583.539	63793.418	53918.539	53549.094	82172.336	75647.008	61239.027	69189.82	48252.605	43430.699	69011.117	78344.281	123715.719	70421.695	106563.242	79560.609	46467.871	52549.629	120804.953	49596.254	86616.539	114087.609	67316.391	82597.023	52384.859	112356.914	67121.867	80482.195	117906.789	103551.039	55618.77	166177.844	129946.82	129186.711	137481.594	50718.25	58073.871	110214.734	74019.328	90460.484	76876.523	75517.641	68721.344	56497.93	77228.102	59338.516	80588.609	88722.82	67311.289	110435.414	101111.148	102850.133	40124.648	114626.984	93956.484	54881.07	97950.008	60397.699	46440.492	165848.281	113057.312	86909.711	54555.645	54331.355
1.8679	71415.336	123182.758	61866.672	126553.867	66372.188	147667.672	75635.578	57323.574	77420.391	104694.344	140109.719	64214.676	58244.422	53639.422	101399.555	84121.305	74192.016	109649.531	81355.609	88894.094	146221.031	118257.258	95613.992	74059.109	80776.172	91937.078	125410.305	62486.301	145599.734	115498.938	133606.484	87736.375	60333.273	86316.844	63420.871	57186.617	90976.102	84346.484	60252.047	69227.859	67951.594	53908.867	103299.25	62963.102	68048.961	68497	NaN	62593.879	59633.359	90827.039	112454.766	132628.766	113421.32	38595.594	42923.023	143513.219	41084.898	65841.359	125108.93	59242.312	64751.852	70249.656	72827.648	60101.141	60853.559	130025.727	63184.754	67785.492	104549.719	74960.609	172109.578	87414.398	42938.73	76759.578	119537.297	53793.797	65850.422	52251.594	106363.109	77963.938	82911.484	56297.805	45348.469	93520.711	59451.309	50365.023	78904.172	69129.047	70036.906	36986.781	89345.898	82757.953	88138.492	124230.883	79270.172	40241.168	112460.125	111367.094	65109.746	NaN	42725.289
2.0013	54819.699	75610.367	43871.539	84268.219	48775.004	104210.242	73821.953	44775.223	52487.535	91512.945	91864.352	49097.656	NaN	41873.949	65716.078	53739.984	63250.477	72219.062	55610.32	85081.812	101645.719	93569.492	63571.672	78633.922	53500.34	59634.512	77791.961	NaN	128349.117	90093.273	108019.188	59828.438	44911.973	93939.289	47946.309	44737.832	63073.57	57970.746	47314.438	65471.438	64210.34	46937.102	105228.234	50670.125	55414.988	82460.32	NaN	49392.559	45354.309	60587.098	144327.656	103286.969	114941.625	NaN	NaN	105654.906	37282.137	52387.965	89126.031	47899.312	50635.777	76464.234	53812.68	47179.195	47661.199	97133.391	47406.926	66712.289	65180.23	49622.48	149478.641	53221.008	NaN	75563.773	86661.961	42280.363	46918.793	43066.781	101144.766	62553.48	103084.016	42765.66	NaN	77479.898	49600.461	NaN	55542.266	49732.992	50315.145	NaN	58376.766	59495.805	116225.742	103584.07	76620.547	NaN	71704.227	72481.641	52101.465	NaN	NaN
2.1348	42891.391	56144.461	NaN	52009.871	41173.07	65147.688	56480.25	39629.195	45090.578	61716.234	57401.949	41587.703	NaN	38022.652	48841.215	NaN	52528.75	52971.234	43090.473	56775.664	63645.324	55965.574	49004.57	60628.754	NaN	47480.562	52490.273	NaN	79434.43	60753.324	71073.914	46940.75	NaN	70225.883	39083.676	37445.355	48433.785	NaN	NaN	51749.762	49970.07	41257.711	82815.938	40775.652	46550.824	69450.406	NaN	41563.539	39100.605	49005.199	119953.43	65747.195	82829.453	NaN	NaN	65618.281	NaN	NaN	56081.918	NaN	42299.828	61512.277	45682.777	39843.477	44393.137	63489.043	42252.293	51362.961	53498.559	41881.766	115110.922	40698.203	NaN	57681.547	62916.125	NaN	40414.961	38251.758	69273.328	48091.973	85052.867	NaN	NaN	61504.613	44898.051	NaN	44878.988	NaN	42534.676	NaN	NaN	47299.129	100158.234	68364.477	58455.848	NaN	52121.293	51143.211	NaN	NaN	NaN
2.2682	38260.512	NaN	NaN	41687.844	NaN	48075.461	NaN	NaN	NaN	43956.121	45066.605	NaN	NaN	33753.094	NaN	NaN	NaN	44511.203	37069.676	45342.758	48634.93	NaN	NaN	47589.801	NaN	NaN	41934.129	NaN	57353.914	44521.906	51667.219	NaN	NaN	51148.02	NaN	35026.027	44388.855	NaN	NaN	42841.516	41301.883	NaN	62648.129	37079.105	40570.746	52712.637	NaN	34535.141	NaN	NaN	77690.219	46958.254	57535.742	NaN	NaN	48884.238	NaN	NaN	43755.375	NaN	NaN	44872.738	NaN	NaN	42776.578	47563.129	NaN	42450.457	NaN	39469.984	NaN	40766.152	NaN	46883.203	NaN	NaN	NaN	NaN	48872.617	43070.527	60534.598	NaN	NaN	49933.355	NaN	NaN	41184.27	NaN	NaN	NaN	NaN	42146.652	64418.828	49840.406	46310.281	NaN	NaN	43291.398	NaN	NaN	NaN
2.4016	36980.758	NaN	NaN	39471.043	NaN	NaN	NaN	NaN	NaN	38479.133	40026.32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41553.453	43588.836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49899.719	NaN	NaN	NaN	NaN	44735.547	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50863.57	NaN	39050.605	44364.844	NaN	33884.172	NaN	NaN	NaN	39465.211	48347.883	NaN	NaN	41876.359	NaN	NaN	NaN	NaN	NaN	40645.129	NaN	NaN	38795.059	43025.117	NaN	39456.457	NaN	NaN	NaN	NaN	NaN	42528.473	NaN	NaN	NaN	NaN	40911.379	40053.871	48853.992	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46395.125	NaN	NaN	NaN	NaN	39593.582	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44804.285	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38414.125	44705.777	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36061.336	NaN	NaN	NaN	39862.035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38262.043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38129.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35328.699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
