x	Y_20181208_15693_1_13g	Y_20181208_15693_12_8g	Y_20181208_15693_13_13g	Y_20181208_15693_13_8g	Y_20181208_15693_14_5g	Y_20181208_15693_16_3g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_4g	Y_20181208_15693_3_3g	Y_20181208_15693_3_6g	Y_20181208_15693_4_7g	Y_20181208_15693_6_1g	Y_20181208_15693_6_5g	Y_20181208_15693_7_10g	Y_20181208_15693_7_4g	Y_20181208_15693_8_4g
1.3342	33864.8789	28947.9551	27096.0078	26797.3945	28468.9648	32206.0605	28822.7461	30546.082	31952.5176	29027.9863	32257.5566	32291.2539	28142.6562	30557.9297	29523.0449	34331.5039	29854.6543
1.4676	33534.3711	29138.9688	27439.873	26498.1406	28096.4414	32946.3828	29431.4707	31372.4121	31424.8379	30586.6387	33665.9844	31209.9922	27662.4395	31293.1172	30662.9121	34522.2148	29849.3535
1.6011	32383.3789	31020.4941	27615.9492	26653.1875	28460.4492	33192.0234	29527.8105	32158.418	30879.1504	30662.9336	32715.5645	33087.8633	27399.7422	31586.9297	31450.3516	34093.6953	28935.1289
1.7345	33241.9141	30101.5781	27717.9434	26164.9805	29018.7441	33519.1602	28583.1348	31249.9805	32641.7422	31417.3262	34418.8086	33039.5625	28355.377	31201.8125	30606.1934	35561.7812	30172.625
1.8679	34264.6836	31207.8027	28037.9355	27408.7402	28353.6699	33951.0312	28230.998	33199.3281	33927.4062	32142.7188	35679.5	33741.6992	28479.8477	31859.2949	31418.3945	40663.6602	32362.8906
2.0013	34991.3398	35475.8789	30737.9434	28821.7988	30480.752	37782.5312	28326.125	36430.7031	34068.1172	31997.6055	35647.3008	34168.4609	29095.4082	33192.3672	30945.8555	51861.8242	33780.4453
2.1347	36843.4961	44789.6445	34913.3047	29999.9941	34112.8398	43629.5781	29033.8711	39933.5625	35922.3242	34767.8438	37460.0508	35525.3438	28829.3262	37604.8242	32614.5117	68203.3906	39749.0664
2.2682	41488.0586	70786.375	43218.918	34321.3242	40562.0391	64510.1992	30737.4141	49007.3203	42147.3125	46579.1641	42126.7734	38492.6172	30746.3672	42035.082	34201.1445	70935.1406	54913.9414
2.4016	53293.5781	98758.7188	54739.7148	40304.125	51848.957	104005.6172	32498.084	56959.6289	52346.043	70814	54098.1016	46876.7305	35222.5156	42696.875	41311.7812	53913.6953	67781.5703
2.535	69082.1094	88956.7969	55270.5508	41581.7109	49941.8008	126463.7812	37812.5977	54031.6172	71838.2109	101579.6406	79599.3984	59696.8945	46526.3359	38510.6758	53212.7305	40235.6641	67729.6875
2.6684	66861.5312	57820.7734	42517.4453	35429.7656	46555.0938	91588.3438	53121.2188	46681.7422	79637.4453	96795.0469	93657.0859	67044.125	71951.7656	35039.8398	59124.9766	33961.8359	53064.9844
2.8019	50650.0938	42296.6719	34283.0547	30392.1465	57143.0117	54910.3633	76400.6875	38459.375	70200.8984	64725.4023	75609.6875	54533.6328	87870.4688	35089.7031	52924.6211	31508.4355	38944.375
2.9353	40610.0352	38580.2891	30974.2188	28366.0625	67358.2812	40765.5508	80898.6406	36601.0312	52930.6328	45450.5039	49017.9219	43974.3633	73053.1484	34342.875	40349.1797	31813.1836	35682.6992
3.0687	37019.5312	37592.5859	27345.1855	NaN	NaN	35247.1992	62072.0547	34504.5898	42062.1172	38990.2031	39840.8906	42922.4531	53316.3945	32138.623	34702.1797	NaN	33175.7812
3.2021	36276.5469	NaN	NaN	NaN	NaN	36662.7148	44267.9375	32871.418	36052.4492	36164.6641	35837.7305	38663.7969	41737.7617	NaN	32037.3945	NaN	32606.8145
3.3355	NaN	NaN	NaN	NaN	NaN	33820.2891	38245.8672	NaN	34133.9102	35419.4727	32470.5879	36872.1484	35748.3945	NaN	31802.7129	NaN	33740.6406
3.469	NaN	NaN	NaN	NaN	NaN	33256.2695	34236.9141	NaN	NaN	NaN	31275.8105	34434.9336	33792.9492	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	32842.9648	NaN	NaN	NaN	31493.9004	32876.7266	31013.0488	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
