x	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_4g	Y_20181208_15693b_1_7g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_3g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_1g	Y_20181208_15693b_11_2g	Y_20181208_15693b_11_3g	Y_20181208_15693b_13_17g	Y_20181208_15693b_13_20g	Y_20181208_15693b_13_9g	Y_20181208_15693b_2_10g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_5g	Y_20181208_15693b_3_9g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_15g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_18g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_24g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_11g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_14g	Y_20181208_15693b_6_5g	Y_20181208_15693b_6_6g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_2g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_17g	Y_20181208_15693b_8_4g	Y_20181208_15693b_8_8g	Y_20181208_15693b_8_9g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_5g	Y_20181208_15693b_9_7g
1.3342	14462.1553	12451.6621	14729.6807	13646.6328	13479.3359	11337.5342	14831.6514	11023.0068	15175.9463	14837.7529	14464.623	13253.1787	11673.4971	11244.9199	16260.7295	14281.5293	14400.2969	17744.8535	12395.0322	14275.5762	10885.4678	12616.6709	11875.6006	18054.5703	11956.1699	15780.1885	16014.5898	10754.7051	14610.3145	13743.8457	15932.5342	12015.4844	12856.2139	14270.5811	12860.7559	12826.1279	13188.2295	18428.5664	17508.4648	15760.0918	14314.3633	11590.1729	14444.6904	13343.0977	18869.3301	15095.3857	13544.7334	13279.4434
1.4676	14472.5107	12622.5391	15122.4238	13471.6953	12977.125	11353.2549	15122.6719	11180.1982	13528.6963	14810.1914	12559.5596	13852.1436	11390.4902	11348.9316	15110.7207	13593.0029	15091.4395	17852.1699	13386.3301	13956.6797	12048.498	12536.8896	12053.3555	16767.6758	12907.6855	14825.8164	15805.2344	11847.3438	14676.9297	13074.8008	17059.668	12230.1436	12853.7598	15013.8994	12268.8135	13009.5312	13040.9473	17241.6504	18219.7109	15562.123	14025.3213	12021.6533	13316.7754	14339.9717	17050.3652	14254.0332	13184.3193	12306.9834
1.6011	15359.9092	12543.5176	13702.251	12292.0127	12548.4219	10738.335	14635.3369	11583.4893	13649.7842	14115.5479	12683.3545	13422.0322	11077.2061	11851.0449	14980.2432	14136.1738	14954.4541	17004.6719	13399.2148	13378.3369	12582.3389	12054.3506	11967.4033	17827.5176	13003.1016	15654.6211	17417.5508	12894.1992	15069.1387	13182.6748	15962.6475	13324.7803	12812.8027	14837.3154	11927.1074	13709.3643	12731.3965	16985.8516	18612.4961	15201.6104	12737.0156	11875.5928	13183.3359	15965.5947	15623.6426	14179.1689	12879.0908	11817.5225
1.7345	14517.4814	13734.1006	13063.7197	12096.458	12600.7393	11140.1875	13776.125	11929.9629	12714.4668	12373.8789	12440.2236	13374.7393	11365.1777	12608.5537	13574.5186	14223.2998	14257.3154	15664.6143	12644.2197	13213.4756	12746.1045	11639.9092	11502.1953	17070.2461	13431.0918	15648.3516	18915.7383	13279.667	15018.4561	12676.8926	15376.7168	12740.207	13963.2109	15477.9629	12169.3037	13910.0166	14283.4434	17362.1172	16843.9531	15535.7129	12945.8389	12377.4297	13244.2158	17581.7695	15584.4502	14100.4678	12716.877	12124.7949
1.8679	13757.8965	14043.5059	12999.833	11702.7656	12143.2275	11742.249	12890.5449	12397.2178	12740.2148	11632.4404	11735.1416	13507.8564	11471.4746	13193.9541	13175.1504	14486.624	12990.3037	15981.415	13286.0117	13298.2578	12378.7471	11405.0586	11969.4834	15951.1992	13842.5029	14241.7012	17535.1289	14090.4619	15499.6523	11739.7295	15349.5186	12114.1846	13620.4434	14895.2754	12023.5176	13143.04	14585.7891	17952.7422	14357.7793	15139.8721	13731.7383	12892.0986	13833.6885	16035.376	17744.7422	13751.8613	13305.5957	11238.9795
2.0013	13686.3818	13826.2305	12956.4014	11746.5879	12157.8887	11871.2363	13223.3389	12227.3867	12214.7686	11864.6855	13193.2275	13714.6465	11732.9971	13512.1172	12478.8516	15331.1758	13658.5723	17808.7695	12544.9033	13221.7402	12446.8486	12529.4863	12670.29	15136.833	13886.2451	14496.918	17008.0664	14252.9785	15239.5518	11954.4199	15890.8115	11573.5801	13468.541	15518.3975	12262.1885	12793.8721	14439.4229	15866.6094	13106.7275	13393.7568	14120.5039	12273.8242	14186.7646	14877.6191	17323.0195	13436.0654	13332.2871	11553.7549
2.1347	13458.5361	14278.7461	12397.7627	11827.0586	13202.3193	11849.875	12039.9229	11855.6797	12115.9619	11704.6943	13651.7393	14372.3174	12145.3438	13868.2178	12077.2422	15854.7344	14066.5928	16736.2832	12779.4805	12076.541	11539.7188	12731.3262	12935.4092	13799.5986	13638.3457	13021.7852	16535.2266	14539.4902	13778.4697	12805.7939	15939.0195	11437.2334	13103.4902	14218.7656	13086.9609	13542.6104	13803.75	13912.0566	12685.2168	13297.252	14973.4639	11522.0244	14192.7246	13446.2783	16126.5801	13257.9707	13523.6396	11890.6465
2.2682	13047.4297	14188.2812	11659.7676	11838.8945	13691.8955	13184.7793	11887.627	11038.2666	11386.0996	11087.1211	13083.2666	14917.4512	12736.001	12758.2832	11276.166	13997.9043	14138.0361	14148.4912	12475.8984	12184.6631	11287.2451	12596.6543	13788.2725	13891.459	12650.5293	13229.8867	15258.3193	13229.6016	13043.6016	13010.21	14570.5664	11221.4033	12308.0273	13785.0615	13971.2471	13076.5137	12778.7725	12829.4072	12590.7275	12594.417	16391.1992	11315.8203	14126.6924	12587.7275	13611.4111	12547.6016	14197.6123	11672.1602
2.4016	12896.3027	15921.3477	11232.7646	12063.3438	15347.8037	12616.084	13182.2412	10950.3604	11709.5371	11199.417	11728.9541	14023.6406	11933.3975	12599.5098	10572.166	12854.2246	13450.6699	12811.0674	11304.6465	11611.9971	11803.458	12047.0908	13762.416	14845.6309	13290.9902	13178.9004	13566.9111	13689.2412	13410.2461	12432.2666	15327.1133	11449.2002	11369.6162	14147.8633	14427.3174	11943.5127	11487.5459	12897.8535	12320.5967	11695.9922	16691.4531	11313.0811	13734.627	12338.5889	12519.293	11701.6924	14170.9883	12007.2256
2.535	13006.7715	17214.3359	11716.6113	13021.5625	15288.9775	12801.5176	12918.9082	11853.9746	12528.7588	11156.8281	11361.1328	13429.7314	11629.0771	11367.8213	10982.0732	12283.1289	14086.46	11830.1123	11873.0957	10893.6973	11624.4463	12309.6436	13173.7051	13873.8945	12761.4424	13514.0654	13068.4053	13000.6348	13432.7568	12742.2207	14177.0684	11017.1826	10419.5391	13561.124	14418.2744	11288.7344	11821.9951	12365.9385	11876.8701	11011.042	16135.3623	10959.9814	12538.1943	11305.8516	11989.6992	11355.5527	14300.1182	11619.0117
2.6684	12123.1191	17326.1738	12565.6445	13249.7881	14172.8389	13543.2051	13141.5957	11812.6133	12014.3916	11963.3213	11491.374	13834.125	11199.4766	11430.0547	10702.6797	11966.335	13096.0566	11871.2314	12021.8789	10476.6055	11482.9482	11912.6904	12664.3486	13371.8877	12840.5518	14298.7432	13115.6689	12359.5527	13312.2041	12115.9619	13491.3711	11039.8564	9675.5303	12587.873	14923.9512	11114.0459	12064.3799	12751.9639	12156.5986	11486.0947	16817.0312	11103.9902	12427.2979	11716.5586	11628.417	11442.1016	13851.3516	11302.7812
2.8019	12974.1992	15093.0303	11329.9102	12614.1836	13545.915	14982.5527	12871.4717	11814.1191	11630.5332	11453.7793	12877.3789	14532.6836	11206.7832	11839.249	10369.6953	11938.5986	12292.9277	11329.2988	11799.208	11396.0195	11624.7871	12437.834	12060.2939	12686.2109	12963.0439	14567.9473	12767.8936	11462.1914	12789.1748	12261.2109	12232.2275	11260.9268	9487.1475	12757.2256	13093.1504	11148.3242	11748.3818	11992.8662	12152.9668	11993.3438	14575.6846	11405.7705	12070.1465	11128.1816	11273.1523	11582.1475	13081.2197	11796.7344
2.9353	NaN	13878.8877	11057.6074	12835.3369	12974.7412	16149.418	12415.625	10997.8555	11838.8604	10968.4883	12236.5137	13701.0938	10675.957	12022.3477	10912.9229	11590.3945	12495.4473	10904.043	11626.8564	11188.6807	11632.8691	12358.1455	11746.7051	12387.5322	12459.165	13727.2715	11957.5059	11120.6328	12905.5469	11883.4922	11672.9951	11752.1436	9689.374	12333.2236	12523.542	10814.957	12055.0674	NaN	12026.8535	11588.1611	13373.5107	10790.8955	11843.4746	10864.9639	11757.4854	12351.0488	12838.3984	11301.8408
3.0687	NaN	12806.499	11372.9678	12323.9854	12319.9346	15861.623	12576.2207	11438.3818	11318.6934	11270.7031	11920.5254	14153.4805	NaN	11369.0928	10919.542	12319.4336	12498.5674	11046.1943	11381.9824	11172.2803	11808.7061	NaN	11246.5596	11805.1807	12575.2949	12670.4336	12798.6445	11422.0771	12312.4111	11465.8584	11561.2305	11908.5566	10181.3193	12763.7559	12086.8457	10469.2236	11329.8887	NaN	12002.6064	11838.3955	13173.2988	10927.001	11139.0898	11178.6699	NaN	12502.0439	12224.4375	10952.6865
3.2021	NaN	13168.123	NaN	12122.5684	NaN	13866.668	12775.2197	NaN	11688.5859	10997.8145	12612.0361	13455.9053	NaN	NaN	10703.4277	12170.1191	NaN	11712.3467	NaN	11665.6523	12082.002	NaN	10828.7793	12034.8213	NaN	12246.6416	12619.5723	11183.6162	11790.3467	11722.8574	11773.125	10978.2822	10139.1455	NaN	11848.2158	10358.0273	11226.8047	NaN	11353.4199	12511.79	13004.3125	10577.8848	11676.9414	11808.666	NaN	11825.1035	12365.3682	11573.4121
3.3355	NaN	13200.1396	NaN	11887.0176	NaN	13443.249	12646.7607	NaN	11751.6016	11206.9014	12508.7891	NaN	NaN	NaN	10860.666	12489.7246	NaN	NaN	NaN	11493.5215	NaN	NaN	11182.3223	12052.2891	NaN	12504.8643	NaN	11186.1299	12203.2148	12079.001	11474.4893	11611.082	NaN	NaN	11613.1719	10225.6143	NaN	NaN	11534.1895	11819.0186	12472.5137	NaN	11656.2031	11496.8633	NaN	11884.5684	NaN	NaN
3.469	NaN	12450.96	NaN	11617.5059	NaN	12184.0967	12571.248	NaN	11395.4717	NaN	NaN	NaN	NaN	NaN	10476.0869	12528.9629	NaN	NaN	NaN	NaN	NaN	NaN	11353.001	NaN	NaN	12133.7891	NaN	NaN	11837.9561	11474.0527	11860.3662	NaN	NaN	NaN	11041.9746	10492.9854	NaN	NaN	11614.3096	12772.1504	NaN	NaN	11722.4648	11699.0615	NaN	NaN	NaN	NaN
3.6024	NaN	12728.0879	NaN	NaN	NaN	12624.4365	12795.4922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12568.7588	NaN	NaN	NaN	NaN	NaN	NaN	11330.7871	NaN	NaN	12336.7334	NaN	NaN	12162.8662	NaN	11889.6045	NaN	NaN	NaN	NaN	10277.5352	NaN	NaN	12012.9717	12659.374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	12439.8086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12093.1006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	12007.2295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
