x	Y_20181208_15100_1_3g	Y_20181208_15100_10_3g	Y_20181208_15100_11_1g	Y_20181208_15100_13_10g	Y_20181208_15100_13_4g	Y_20181208_15100_13_6g	Y_20181208_15100_15_1g	Y_20181208_15100_15_3g	Y_20181208_15100_15_4g	Y_20181208_15100_15_6g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_16_3g	Y_20181208_15100_17_1g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_2_3g	Y_20181208_15100_21_3g	Y_20181208_15100_23_2g	Y_20181208_15100_24_1g	Y_20181208_15100_25_1g	Y_20181208_15100_26_1g	Y_20181208_15100_27_1g	Y_20181208_15100_3_5g	Y_20181208_15100_5_13g	Y_20181208_15100_6_1g	Y_20181208_15100_6_4g	Y_20181208_15100_7_7g	Y_20181208_15100_8_1g	Y_20181208_15100_8_4g	Y_20181208_15100_9_1g
1.4676	13348.0449	18336.5312	14898.2754	16879.8359	16294.2588	18051.668	20138.6035	15359.3125	13767.5156	16009.3672	15028.5371	19601.1367	16804.2891	12086.1064	14644.6064	15891.1846	15469.3213	15642.249	17108.9414	21046.7461	13822.7842	21230.4805	15404.3193	14818.9004	17002.0996	17894.5254	14055.8477	12852.2783	13804.0078	18469.7266	17077.9121
1.6011	12566.6709	17052.1113	14877.4414	15945.0488	19318.207	18727.5801	18558.6445	16428.9277	14361.8506	15270.168	14924.2744	16833.8008	16469.1074	12227.374	13467.7578	15537.5625	15904.9834	14298.5234	15849.1416	17739.666	14320.5176	19648.1523	14397.9229	14820.8486	17441.748	16620.6113	14193.1602	12937.8379	13792.9736	16613.8574	16328.5273
1.7345	12812.9531	18700.0723	13903.9258	14873.9004	19665.4531	16467.2695	16618.0684	16807.9727	13268.04	14734.2656	13688.7637	14146.9453	16738.9453	12278.5186	13085.1504	14633.7529	14870.5859	13501.4678	15547.1309	15788.9736	13849.335	17768.291	14069.4834	13675.5898	17267.7168	15966.9033	14131.5088	12828.166	13765.6045	15433.8936	15091.3096
1.8679	13943.3545	17229.0996	13360.9219	13302.1719	18259.8203	14086.3096	15212.2734	17252.7383	13434.2998	15477.4072	14066.6846	13305.583	15278.5713	12079.5791	12056.1484	14443.252	14083.043	14150.9834	15150.6064	13277.2207	14064.0254	15358.2773	13717.6357	12625.7139	18276.0938	15543.1875	14515.7627	12774.4492	12996.1592	14188.8926	15067.9521
2.0013	14332.3115	14852.9229	13066.2354	12724.8633	15674.9912	12746.1084	15290.5156	16359.9023	13431.3945	14571.5312	13976.7178	12996.7617	14276.9131	11781.4424	11276.5791	14226.417	13312.5947	14857.4121	14604.5898	13132.248	14137.7383	13980.4092	13144.0195	12560.9668	15357.5127	13790.8975	14179.6025	12252.7744	12179.0986	13787.0928	15248.4316
2.1347	12974.2246	14315.46	14079.4746	12497.7559	13787.6826	11923.4014	15195.0742	13836.1455	13903.7979	13592.0752	13281.3174	13471.6963	13919.7178	12172.46	11674.9736	13934.2021	13405.9814	14365.5195	13698.834	11889.3174	14473.5908	13996.8018	12115.084	11938.7871	14507.1787	14959.502	13842.8154	12988.2568	11904.1211	13555.1748	16389.7305
2.2682	12052.0713	13583.9951	13869.5352	13006.127	12238.3496	11591.0898	13663.2275	13037.6865	12875.9219	12977.7549	12749.002	12845.3896	13355.0488	11795.5752	11965.123	13825.6592	11590.1221	13721.1025	13893.8203	11702.7139	13973.793	13587.8281	12630.377	12337.167	13734.9365	14651.5283	13167.9756	13109.6826	11779.7393	13838.207	15436.8955
2.4016	12093.9277	13716.6641	14537.373	12050.1973	12455.0762	11516.5225	13348.7051	13455.2344	13485.7773	12919.1914	12623.3965	12794.8818	13005.0713	12046.7822	12384.041	12601.0859	11675.2363	13274.6445	13797.2021	NaN	13163.8994	13168.082	12032.6279	11904.6934	12290.5537	14491.2803	12171.8291	12508.0176	11330.3506	13570.334	14287.0039
2.535	11595.0713	13493.3652	14611.6689	12941.2549	13350.0957	11364.4199	13831.793	13837.3184	13535.877	NaN	12269.2305	NaN	13704.043	12243.5771	12444.3379	11887.665	11715.6055	13090.0391	13758.417	NaN	12994.3242	13837.2295	12230.5986	12767.4453	13289.3389	14268.2803	11549.6533	12307.8496	11595.5049	13911.0371	14262.7578
2.6684	11621.0752	13922.4717	14460.1006	13083.0977	11869.583	11842.2324	12336.2002	13451.0918	NaN	NaN	12409.8408	NaN	13711.915	NaN	11964.3223	11817.002	NaN	13270.3672	13469.3994	NaN	12464.7617	13768.5088	NaN	13020.5752	13632.6191	NaN	12859.9922	NaN	11979.5264	13658.7617	14485.9297
2.8019	11583.96	13384.3301	15115.7764	NaN	11826.999	11670.9609	12633.874	13628.0771	NaN	NaN	13052.7412	NaN	NaN	NaN	11905.7109	12229.9727	NaN	14103.0791	NaN	NaN	NaN	NaN	NaN	NaN	13533.6982	NaN	13378.3486	NaN	NaN	NaN	14173.4883
2.9353	NaN	13067.4395	NaN	NaN	NaN	11892.6094	12760.3408	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12772.7031	12151.1055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
