x	Y_20180212_14590b_1_3g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_5g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_19_2g	Y_20180212_14590b_20_2g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_5g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_4g	Y_20180212_14590b_31_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_38_3g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g
2.535	NaN	NaN	47373.145	42154.633	113854.695	96209.352	43588.406	77149.164	44433.621	NaN	122771.273	73086.156	NaN	59673.559	58515.508	94817.328	50283.93	108335.758	55131.734	54343.988
2.6684	NaN	NaN	NaN	40155.289	70933.625	55920.215	39113.914	58047.168	41489.461	NaN	77207.75	51503.328	NaN	46823.914	49857.82	60517.848	NaN	73246.297	48500.07	44470.793
2.8019	NaN	NaN	NaN	NaN	50802.781	43108.738	NaN	47376.496	NaN	NaN	54189.324	43537.562	NaN	NaN	NaN	44380.184	NaN	51747.176	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	38801.574	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39096.977	NaN	43236.602	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39567.727	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40768.105	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
