x	Y_20181208_15693_1_11g	Y_20181208_15693_1_13g	Y_20181208_15693_1_15g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_10_4g	Y_20181208_15693_10_6g	Y_20181208_15693_12_8g	Y_20181208_15693_13_11g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_13_8g	Y_20181208_15693_14_5g	Y_20181208_15693_14_9g	Y_20181208_15693_16_3g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_18_4g	Y_20181208_15693_19_7g	Y_20181208_15693_19_8g	Y_20181208_15693_3_3g	Y_20181208_15693_3_6g	Y_20181208_15693_4_4g	Y_20181208_15693_4_7g	Y_20181208_15693_4_8g	Y_20181208_15693_5_12g	Y_20181208_15693_5_6g	Y_20181208_15693_6_1g	Y_20181208_15693_6_5g	Y_20181208_15693_6_8g	Y_20181208_15693_7_10g	Y_20181208_15693_7_1g	Y_20181208_15693_7_4g	Y_20181208_15693_7_7g	Y_20181208_15693_8_4g	Y_20181208_15693_9_4g	Y_20181208_15693_9_8g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_4g	Y_20181208_15693b_1_7g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_3g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_1g	Y_20181208_15693b_11_2g	Y_20181208_15693b_11_3g	Y_20181208_15693b_13_17g	Y_20181208_15693b_13_20g	Y_20181208_15693b_13_9g	Y_20181208_15693b_2_10g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_5g	Y_20181208_15693b_3_9g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_15g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_18g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_24g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_11g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_14g	Y_20181208_15693b_6_5g	Y_20181208_15693b_6_6g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_2g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_17g	Y_20181208_15693b_8_4g	Y_20181208_15693b_8_8g	Y_20181208_15693b_8_9g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_5g	Y_20181208_15693b_9_7g
1.3342	31245.6348	33864.8789	31925.8398	26133.668	29989.0488	27977.5137	29153.6387	28947.9551	29978.6816	27096.0078	31807.0918	26797.3945	28468.9648	29408.957	32206.0605	28822.7461	30546.082	31807.1719	30925.3066	31952.5176	33130.707	36243.2461	29027.9863	32257.5566	29856.4531	32291.2539	32347.7051	32873.8789	32237.5625	28142.6562	30557.9297	30671.4902	29523.0449	29186.4473	34331.5039	31818.793	29854.6543	26743.9023	30602.8223	27128.957	29838.0371	33196.3555	30536.3477	26411.3496	30055.4785	31150.0742	24817.998	27276.7734	28694.5332	31810.8691	29484.2129	25165.625	24143.0352	31014.5254	29542.084	34652.8398	25920.6953	32716.1367	30818.6348	32774.5664	27514.2695	32432.5371	30714.1289	31903.6465	30564.8848	29738.5977	27016.1973	30654.8926	30875.6191	27933.0762	27534.459	26276.9883	34719.832	28035.9512	27759.1035	27238.0605	31320.6328	30002.7402	32593.1367	33288.9922	24549.3633	28833.8848	28405.5273	28320.6289	33614.0586	27479.9492	29974.7305
1.4676	30032.4902	33534.3711	32067.1816	25961.9824	31194.8164	27275.8574	29649.6152	29138.9688	30068.0156	27439.873	30517.2246	26498.1406	28096.4414	32164.8965	32946.3828	29431.4707	31372.4121	31516.9863	31674.6289	31424.8379	33893.1953	37120.7773	30586.6387	33665.9844	31322.5215	31209.9922	34262.2656	32838.8203	31310.1895	27662.4395	31293.1172	30243.5547	30662.9121	30093.2324	34522.2148	30460.9746	29849.3535	27927.6953	31299.3125	27187.2637	30586.3926	34018.5586	29335.0801	26444.957	31083.5449	32195.3418	25014.1523	25900.7852	28666.5996	30147.3633	29262.1836	24805.6191	25789.7754	29170.3145	29902.5469	33011.9414	25951.4453	32981.3555	29325.1211	35078.0117	29287.0098	31609.7148	31114.0215	32805.9727	30917.0117	30063.2988	26982.1719	30027.6582	31060.6309	28302.0332	28226.6992	26755.3789	36536.6758	28697.6211	26989.0488	27971.7812	30769.5449	31285.9102	31853.0293	31652.4102	25737.2266	28388.0762	27419.6035	28167.3809	33302.4102	27592.9082	31930.207
1.6011	30744.7012	32383.3789	32883.9375	25457.5918	32372.9277	28220.9082	29183.7246	31020.4941	29840.459	27615.9492	32990.5977	26653.1875	28460.4492	32781.7539	33192.0234	29527.8105	32158.418	32584.7695	31859.8203	30879.1504	33534.4258	37052.6523	30662.9336	32715.5645	31300.2227	33087.8633	32132.3438	33265.918	31854.125	27399.7422	31586.9297	30082.5137	31450.3516	31231.3105	34093.6953	30842.9355	28935.1289	25998.7871	31049.5234	28744.6172	31773.959	36942.8008	30359.4805	26513.9043	29789.4629	31193.1758	25380.9707	26606.1816	29562.2344	30569.8711	29428.3828	25333.0996	25265.834	29963	30048.6152	34699.6016	25973.2422	33109.375	29893.0391	34384.8672	29739.9004	33070.5859	31125.9688	34980.8398	32143.0684	30104.6562	27309.7207	30248.6484	31071.2598	28525.5605	30865.916	27343.9297	44279.3047	29258.9766	28417.6875	28112.5078	33329.9297	31034.4414	31971.1875	30720.8223	26521.3906	29716.0391	27230.166	27785.3164	34708.625	28019.9023	32941.793
1.7345	31857.4414	33241.9141	35318.9766	25226.916	33447.7656	28677.2207	29955.0957	30101.5781	31230.6699	27717.9434	35109.168	26164.9805	29018.7441	32735.373	33519.1602	28583.1348	31249.9805	32451.2734	32863.8711	32641.7422	34712.707	38816.9961	31417.3262	34418.8086	32535.2891	33039.5625	32642.2969	32298.1172	32349.4121	28355.377	31201.8125	31255.6367	30606.1934	32578.0234	35561.7812	35477.4961	30172.625	25952.9473	31946.8086	30642.3828	32227.9199	38010.9375	31758.4668	27507.0293	29442.7012	32920.1562	25467.3945	27970.4609	30773.127	30733.1133	29938.3945	25900.502	26390.2695	30156.3301	31711.4766	36761.4922	26069.5156	36004.3008	28849.3574	35549.9727	32736.4102	32696.8945	32330.2832	38226.6953	31859.3965	31019.709	27359.959	30714.8242	31218.998	28343.0742	32829.1523	26147.3086	54319.707	28168.5723	27569.0859	29854.332	34126.0352	30079.5898	32999.7578	32799.8008	27328.4609	29778.7207	28530.1309	28738.3203	35720.2656	28405.5254	32376.0879
1.8679	31011.0605	34264.6836	34226.7461	25800.752	38560.2891	31162.6953	30979.0098	31207.8027	33124.1445	28037.9355	40457.1211	27408.7402	28353.6699	31790.709	33951.0312	28230.998	33199.3281	32395.7734	35216.6836	33927.4062	35444.8477	46177.8555	32142.7188	35679.5	34486.25	33741.6992	33621.0156	32841.4688	32279.9062	28479.8477	31859.2949	33834.3242	31418.3945	35569.3477	40663.6602	47276.1953	32362.8906	26242.0859	33792.1914	36254.0391	30839.791	39816.4375	33279.5273	27692.5898	29700.6934	33599.2031	27530.6602	26115.3418	30283.6934	33606.0547	31251.2109	27611.4238	27015.5898	31341.1055	32004.8047	40954.9453	27436.7891	41431.6523	29330.752	39089.8047	40403.0938	35891.4102	32603.3398	44245.2383	34085.8672	32207.4512	27186.2832	31721.1406	32448.0742	27457.6816	38538.5078	27911.7734	62089.9922	29195.1777	27678.6699	32148.5488	38925.7188	30520.7812	32872.4805	31777.709	27428.2988	32377.6797	28793.3125	30675.6055	35761.9062	29617.6328	35206.625
2.0013	31284.9395	34991.3398	37928.3789	25233.0723	43814.1484	34710.8672	31990.584	35475.8789	37582.7109	30737.9434	49892.5625	28821.7988	30480.752	32927.3672	37782.5312	28326.125	36430.7031	34469.4023	37660.0234	34068.1172	36677.2969	63738.5898	31997.6055	35647.3008	38015.1484	34168.4609	34002.0078	36450.2188	31631.8438	29095.4082	33192.3672	33857.0898	30945.8555	42507.2539	51861.8242	63322.9805	33780.4453	26611.4297	36860.6875	47962.418	34246.3555	47204.1914	36654.0703	30704.6602	30735.1328	33390.1797	29842.8496	26838.9473	30814.5859	37979.9922	32886.2773	29393.166	27915.707	31447.0645	33430.0078	52188.8359	29443.9434	57430.5391	29221.9336	51265.5742	51252.2266	38729.4531	32943.7031	60887.5234	35369.6406	37887.4414	28363.457	30995.4238	34568.6641	27865.5215	55978.125	28232.5254	70274.6719	30945.2559	29099.7363	37836.1484	48636.9453	30494.7246	33101.2695	33493.3438	30084.9512	35252.4883	30262.9551	34493.0312	36367.5938	32175.2012	39112.3477
2.1347	32099.7441	36843.4961	44894.4375	27616.3008	62186.8242	42381.4727	39565.8711	44789.6445	43351.4844	34913.3047	73910.5625	29999.9941	34112.8398	32123.6309	43629.5781	29033.8711	39933.5625	40253.7305	45862.293	35922.3242	39129.7656	97029.9609	34767.8438	37460.0508	45863.0391	35525.3438	34638.1211	41352.5156	33044.0273	28829.3262	37604.8242	37665.5742	32614.5117	56794.1094	68203.3906	71236.4844	39749.0664	30036.1113	40959.7031	52707.6172	37672.3789	58255.293	52220.457	39318.9453	33432.0625	32747.0527	35327.457	27553.7969	33632.9453	48574.6797	33342.5312	33143.1367	29952.3984	35319.5	35764.5391	71511.5312	30404.3438	76666.7109	27757.7012	77244.7031	54370.918	50072.5195	35791.5898	84493.8906	34357.5312	50902.4648	28015.0977	31685.8535	38224.9023	29298.6582	93057.5234	31102.7617	78567.7344	32687.8184	29421.3105	50754.6836	64982.6914	30440.3438	33517.2969	36624.7422	35677.6719	39764.3867	33179.7656	47082.2109	43751.2773	39868.4961	54904.125
2.2682	36134.7539	41488.0586	62903.4297	33983.8984	86167.1484	64804.4453	56749.7578	70786.375	60563.4609	43218.918	101495.4141	34321.3242	40562.0391	35701.1094	64510.1992	30737.4141	49007.3203	50331.043	65245.8789	42147.3125	44892.9258	102851.0938	46579.1641	42126.7734	62343.7383	38492.6172	37040.4805	55683.3711	32583.209	30746.3672	42035.082	48558.9258	34201.1445	59708.293	70935.1406	61716.3594	54913.9414	32583.2227	56224.5742	46619.6992	44849.625	60168.6875	72477.9297	56254.3594	33811.6719	36246.7617	47183.9609	28723.0254	38881.2578	73994.8359	38303.5	44345.4883	37898.0352	40177.375	44640.8438	92503.7266	41049.2891	76805.7422	30636.3555	102305.8125	44308.6719	75202.5234	42013.168	83536.1719	38417.0117	61185.9453	32663.9219	36324.707	40972.332	31067.5039	124963.0391	35403.1328	63792.0352	41021.8438	30041.9023	71859.2812	69204.9766	32209.6875	35427.5117	40961.2461	49105.1055	61696.2539	38054.2773	79898.7422	64412.9766	60134.3242	84146.0703
2.4016	40527.1133	53293.5781	87873.5	45782.543	91085.4609	83475.6797	74587.5625	98758.7188	88878.7578	54739.7148	100936.9844	40304.125	51848.957	37967.7305	104005.6172	32498.084	56959.6289	58689.8594	83051.9766	52346.043	55061.3867	72966.0547	70814	54098.1016	91031.2344	46876.7305	40797.2148	81494.0312	33906.0352	35222.5156	42696.875	49194.1055	41311.7812	46491.7734	53913.6953	49539.0469	67781.5703	37043.043	79484.875	38076.5273	67417.9531	50643.6406	82339.6641	72611.5391	34277.4844	41939.0742	56736.1328	31419.1953	49018.5625	101276.2031	47040.8516	57886.5156	52204.6367	53814.6719	60138.3398	80950.8828	53227.4336	56103.8164	36751.8672	90536.5078	35260.9023	105925.0078	59039.9688	60269.6445	49664.8789	58310.7109	40853.6914	43821.1172	54868.2227	32467.4395	126412.9141	46444.8633	43859.9102	58558.7656	29555.6484	75707.9766	54855.3164	35379.2812	38032.1914	55186.2773	72651.7422	88713.1016	58645.3203	92699.5234	104702.9609	81601.6016	95432.8359
2.535	53972.5117	69082.1094	91761.1094	74309.8906	67579.1094	73511.1406	69550.8672	88956.7969	101178.5234	55270.5508	69973.5156	41581.7109	49941.8008	45775.6836	126463.7812	37812.5977	54031.6172	52085.4609	75633.8203	71838.2109	58305.3242	51344.0547	101579.6406	79599.3984	95797.9609	59696.8945	50600.2031	107684.9688	35922.9336	46526.3359	38510.6758	42666.25	53212.7305	34407.5117	40235.6641	40533.5703	67729.6875	34226.5898	87457.3359	33498.4141	97531.0703	40969.6133	68343.6641	66528.3906	41414.0742	60859.1797	49042.3984	38723.5898	67380.0625	90301	66938.1484	53232.8164	66264.3359	80364.5312	73205.4375	55738.1289	59792.9062	43133.5312	53071.7109	60214.6016	31921.7812	117829.4219	76220.8984	47190.0391	73696.2266	42848.8164	51120.3281	66116.4688	80415.1719	35705.3672	86872.6016	68044.3828	39594.9922	69893.5859	30861.2559	57764.6406	39311.9883	41765.9453	47840.6133	74885.8125	87820.0469	88329.4766	80848.8047	70780.5859	116529.2969	82815.7578	71849.7266
2.6684	87357.8203	66861.5312	64960.6211	96938.4844	47699.0469	54515.2383	47007.2539	57820.7734	74312.5469	42517.4453	45589.0156	35429.7656	46555.0938	58010.0078	91588.3438	53121.2188	46681.7422	41152.1602	53238.9961	79637.4453	49116.9531	45363.3203	96795.0469	93657.0859	80522.6875	67044.125	63082.6719	91178.2734	38945.6641	71951.7656	35039.8398	37062.1289	59124.9766	32369.6543	33961.8359	35874.4102	53064.9844	30915.7871	64285.2031	30302.8887	114773.3281	34145.5859	47665.5391	47429.0938	57758.8633	78133.0703	35537.5781	51621.1055	70371.8516	60378.3711	92473.7656	39333.5508	60495.2461	93046.3672	66123.3906	42089.4141	50192.9922	37630.3867	73621.2734	44285.5703	30679.1895	102840.9922	62013.6914	42501.1797	84168.75	35719.0117	54189.4688	100743.1797	100966.375	43184.793	53831.6836	81333.9141	36869.5	57183.4688	36506.0938	42620.2148	35000.3047	56324.1367	64732.1797	85893.4297	65327.0742	60348.5781	79157.2344	45440.5	88376.7891	62587.4609	48431.1094
