x	Y_20180212_14590b_1_12g	Y_20180212_14590b_1_15g	Y_20180212_14590b_1_1g	Y_20180212_14590b_1_7g	Y_20180212_14590b_10_6g	Y_20180212_14590b_11_4g	Y_20180212_14590b_12_7g	Y_20180212_14590b_13_2g	Y_20180212_14590b_13_3g	Y_20180212_14590b_17_4g	Y_20180212_14590b_18_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_20_5g	Y_20180212_14590b_21_2g	Y_20180212_14590b_25_4g	Y_20180212_14590b_28_4g	Y_20180212_14590b_30_5g	Y_20180212_14590b_31_4g	Y_20180212_14590b_32_1g	Y_20180212_14590b_32_6g	Y_20180212_14590b_33_7g	Y_20180212_14590b_35_1g	Y_20180212_14590b_37_2g	Y_20180212_14590b_4_2g	Y_20180212_14590b_41_2g	Y_20180212_14590b_44_2g	Y_20180212_14590b_45_5g	Y_20180212_14590b_47_5g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_2g	Y_20180212_14590b_48_8g	Y_20180212_14590b_48_9g	Y_20180212_14590b_5_10g	Y_20180212_14590b_5_5g	Y_20180212_14590b_5_9g	Y_20180212_14590b_6_1g	Y_20180212_14590b_8_8g	Y_20180212_14590b_9_2g	Y_20180212_14590b_9_5g
1.4676	16258.705	17719.344	18586.045	17559.385	19720.434	22197.67	16552.99	15079.112	19328.082	15886.199	13984.37	18318.123	17950.348	16432.549	17100.455	19108.246	17183.438	14459.306	19324.605	20038.965	22282.98	18549.002	15161.004	26230.531	16792.895	21203.303	17395.42	16056.371	19944.074	18367.039	13848.386	17435.533	16271.099	22879.389	17982.51	14527.441	19897.318	16452.814	16465.99
1.6011	19229.648	19086.729	17294.133	18683.719	20736.137	23650.979	16031.413	14561.893	18812.16	16185.277	13353.66	18512.895	17493.213	16759.863	18656.564	18728.387	18326.426	16177.924	26483.256	21030.609	27634.883	23646.328	17060.031	33559.078	15283.646	25658.516	16408.979	19634.906	22347.186	20353.875	13318.909	22517.377	16458.25	27325.65	18404.699	16862.91	20300.861	18202.615	19442.57
1.7345	21030.691	24099.834	18494.084	23595.227	19400.102	28105.777	16997.223	14296.822	19118.107	17415.65	13466.024	19408.09	16426.029	18927.479	22472.303	19712.201	22094.748	19869.711	32523.824	22738.555	30385.695	28744.117	18960.785	36642.391	14698.529	34431.223	18430.613	23110.135	25232.871	25524.826	13039.238	26824.475	19496.99	33238.004	21432.828	21366.977	23687.797	21188.785	23578.596
1.8679	22477.998	29847.723	20590.137	29573.412	17202.523	30556.891	21650.09	13458.996	20806.412	15790.761	13272.165	19226.447	15702.555	21129.971	27539.275	19689.416	27200.23	22121.445	35671.465	22455.48	NaN	34337.727	21957.924	NaN	15091.074	36248.676	21785.422	27579.381	NaN	33708.59	15084.068	32190.297	24097.365	33702.445	24781.199	25751.896	28247.967	24107.887	NaN
2.0013	22532.848	36388.293	24648.279	35916.523	15666.117	31464.529	26761.664	13132.416	24843.137	14964.299	13300.291	18887.951	14950.215	24500.209	30433.664	21669.4	30577.492	24731.9	NaN	NaN	NaN	NaN	23498.074	NaN	16326.709	31029.912	26690.002	NaN	NaN	NaN	17172.324	NaN	27612.508	29770.146	NaN	28862.1	33818.934	25969.676	NaN
2.1348	NaN	NaN	29078.314	NaN	NaN	NaN	NaN	NaN	NaN	14733.18	12720.937	19550.494	15129.034	26871.334	29865.963	26115.449	NaN	NaN	NaN	NaN	NaN	NaN	22479.914	NaN	17351.318	24197.666	36476.023	NaN	NaN	NaN	18327.457	NaN	30078.193	24146.383	NaN	28168.143	37401.363	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13459.931	NaN	18098.088	15726.854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18307.121	19994.723	44201.695	NaN	NaN	NaN	18796.242	NaN	NaN	21982.336	NaN	23142.756	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15938.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46160.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
