x	Y_20180224_15100_10_2g	Y_20180224_15100_13_2g	Y_20180224_15100_13_4g	Y_20180224_15100_15_4g	Y_20180224_15100_17_9g	Y_20180224_15100_20_10g	Y_20180224_15100_22_4g	Y_20180224_15100_26_1g	Y_20180224_15100_28_10g	Y_20180224_15100_28_8g	Y_20180224_15100_29_1g	Y_20180224_15100_31_3g	Y_20180224_15100_33_3g	Y_20180224_15100_4_2g	Y_20180224_15100_4_7g	Y_20180224_15100_9_10g
1.6011	43535.547	40386.32	44663.059	44656.297	37372.273	35637.609	46278.25	38723.27	37916.758	41954.777	45806.992	36997.215	40655.008	37875.285	36816.414	43133.844
1.7345	44300.035	38903.176	47361.727	50884.328	41145.176	38261.531	49960.035	38104.906	38744.125	43747.059	51744.738	39458.434	43001.453	41072.359	37950.152	46790.273
1.8679	45857.426	39373.277	48597.18	65845.258	47283.473	44225.551	54979.973	38988.305	38620.09	52417.52	70374.781	44324.602	45649.492	40544.359	38811.469	54724.391
2.0013	49699.816	40040.551	55427.312	69218.805	55602.395	45175.035	64165.68	38189.336	41440.945	67189.344	111516.633	55154.309	51998.891	43399.203	45328.375	70246.781
2.1348	58660.48	41853.594	75386.438	54215.738	56096.422	42362.301	72069.703	42981.625	47609.668	70874.805	162529.156	71429.469	63178.012	54446.387	59764.18	81675.383
2.2682	61489.066	45652.797	126850.867	46904.852	43774.375	NaN	62299.305	47221.828	58533.27	59404.648	154969.703	79353.797	66997.391	78453.781	66125.547	73219.172
2.4016	54385.227	54613.723	184316.062	43389.949	39119.465	NaN	50738.98	48800.434	65505.074	47321.289	100010.953	65245.289	56078.07	104720.336	54520.793	56453.57
2.535	48156.848	65824.391	185236.016	40148.992	36819.422	NaN	47346.23	45587.789	58018.598	43463.23	59734.113	50644.555	46979.508	88277.984	43230.43	53640.02
2.6684	45024.457	58765.324	121388.344	NaN	NaN	NaN	46718.957	40799.441	48725.836	42136.828	47095.781	43493.383	43955.609	60332.508	41081.168	NaN
2.8019	NaN	47330	75995.312	NaN	NaN	NaN	NaN	NaN	44294.84	NaN	42287.785	41890.355	NaN	46181.051	41249.875	NaN
2.9353	NaN	41526.301	56612.047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42177.727	NaN	NaN
3.0687	NaN	39513.375	49358.113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
