x	Y_20181208_15794_1_14g	Y_20181208_15794_1_16g	Y_20181208_15794_1_18g	Y_20181208_15794_1_1g	Y_20181208_15794_1_20g	Y_20181208_15794_1_21g	Y_20181208_15794_1_5g	Y_20181208_15794_10_10g	Y_20181208_15794_10_15g	Y_20181208_15794_10_17g	Y_20181208_15794_10_5g	Y_20181208_15794_10_6g	Y_20181208_15794_11_2g	Y_20181208_15794_11_6g	Y_20181208_15794_12_10g	Y_20181208_15794_12_13g	Y_20181208_15794_12_3g	Y_20181208_15794_12_9g	Y_20181208_15794_14_2g	Y_20181208_15794_14_3g	Y_20181208_15794_14_5g	Y_20181208_15794_14_6g	Y_20181208_15794_14_7g	Y_20181208_15794_15_1g	Y_20181208_15794_15_3g	Y_20181208_15794_15_5g	Y_20181208_15794_15_6g	Y_20181208_15794_15_8g	Y_20181208_15794_16_16g	Y_20181208_15794_16_5g	Y_20181208_15794_16_8g	Y_20181208_15794_17_1g	Y_20181208_15794_19_5g	Y_20181208_15794_20_4g	Y_20181208_15794_20_7g	Y_20181208_15794_20_8g	Y_20181208_15794_21_10g	Y_20181208_15794_21_11g	Y_20181208_15794_21_12g	Y_20181208_15794_21_3g	Y_20181208_15794_21_5g	Y_20181208_15794_21_7g	Y_20181208_15794_21_8g	Y_20181208_15794_22_3g	Y_20181208_15794_23_10g	Y_20181208_15794_23_14g	Y_20181208_15794_23_19g	Y_20181208_15794_23_6g	Y_20181208_15794_24_8g	Y_20181208_15794_25_5g	Y_20181208_15794_26_14g	Y_20181208_15794_26_16g	Y_20181208_15794_26_1g	Y_20181208_15794_26_20g	Y_20181208_15794_26_21g	Y_20181208_15794_27_10g	Y_20181208_15794_27_4g	Y_20181208_15794_27_7g	Y_20181208_15794_28_11g	Y_20181208_15794_28_12g	Y_20181208_15794_29_2g	Y_20181208_15794_30_3g	Y_20181208_15794_4_3g	Y_20181208_15794_4_5g	Y_20181208_15794_4_7g	Y_20181208_15794_5_14g	Y_20181208_15794_5_17g	Y_20181208_15794_5_1g	Y_20181208_15794_5_21g	Y_20181208_15794_5_8g	Y_20181208_15794_6_13g	Y_20181208_15794_6_15g	Y_20181208_15794_6_19g	Y_20181208_15794_6_21g	Y_20181208_15794_6_8g	Y_20181208_15794_7_13g	Y_20181208_15794_7_17g	Y_20181208_15794_7_5g	Y_20181208_15794_8_12g	Y_20181208_15794_8_13g	Y_20181208_15794_8_1g	Y_20181208_15794_8_6g	Y_20181208_15794_9_15g	Y_20181208_15794_9_2g	Y_20181208_15794_9_5g	Y_20181208_15794_9_9g	Y_20181208_15794b_1_6g	Y_20181208_15794b_3_5g	Y_20181208_15794b_6_6g
1.3342	59685.0352	62278.1797	57666.2227	60513.4062	50628.6016	85324.0078	80875.1953	66439.8906	46560.8633	37722.0352	38622.082	48329.4727	29612.9121	33579.8242	52064.8906	54201.9688	43769.3945	49530.3477	31976.8027	50631.1641	44421.3125	47597.1719	30683.7832	29153.4922	35047.207	62939.0625	39823.0391	27697.7012	76902.0547	67744.5469	75118.2422	58929.3438	49805.9844	32613.4688	34751.1875	36246.7617	54234.4727	75779.4141	90349.4922	65675.9141	72658.4844	81431.8594	58850.9727	84622.1172	61206.0547	73966.2188	77490.8906	30287.752	34124.7852	69776.1328	32574.0977	90248.6328	32348.9648	51139.4844	103273.5234	43859.7109	32512.2168	54467.2461	41297.9297	78287.7969	65492.3477	72673.9062	59910.3555	40270.3984	96359.7109	44074.1211	33300.7383	52464.8555	58906.1172	33507.1992	55964.1289	81405.2812	33816.5234	39203.6406	33128.4023	51878.3438	60976.7148	50380.793	38359.8555	73015.2969	60803.2266	42895.2891	46317.1914	51540.9141	86236.9531	54952.6562	85712.0781	71039.4141	84354.2656
1.4676	96990.1562	92505.1562	52380.8242	75729.7344	76685.1484	71941.1562	64587.5039	78209.4922	41745.6641	32370.4551	51581.7852	73695.4688	32266.5215	38114.0195	73986.375	40537.8555	61606.9727	63864.5	34872.1992	71955.3203	64846.6172	53507.8398	28442.2422	30630.918	41290.6836	47040.1172	55285.2344	30482.8691	105134.0781	54795.1445	54162.6719	87271.4844	82296.1562	42747.6953	46235.6562	44269.1289	42687.8633	61516.793	116316.2266	47338.6406	51245.1133	55341.4062	58592.1172	92212.1797	43230.0703	87690.2344	64927.0234	36488.4219	45812.0469	88853.9141	33093.5273	101105.6953	40214.3828	63349.0703	76684.2188	55207.2148	40059.543	83424.1094	53466.3594	53742.3828	70857.4062	66605.0938	42612.8672	33623.1172	90590.0859	63659.1328	41896.1406	68217.0391	83212.0312	33330.9844	67388.3594	83530.0703	33679.0547	54429.1953	43254.3125	81381.2656	88270.8281	51811.4727	42839.5117	65702.7656	85362.0469	34304.6406	72140.4688	78778.9922	92958.9688	75900.2188	104060.7969	58747.1094	70210.6328
1.6011	131996.1094	111545.4688	40504.1289	69069.5547	104577.5156	49630.9805	46142.9805	63606.9766	32866.2227	30847.4609	75033.4219	109696.1328	39833.0352	49162.2109	85275.1172	35192.6836	98481.7266	60301.9609	44219.9492	85666.3125	91683.9531	49740.0898	30928.8535	32084.5781	58831.0195	36356.457	82041.7422	33627.1875	101224.5547	39588.5	41022.4844	104698.9922	107281.1875	62166.1758	68246.6953	61312.7031	33772.3242	41825.5234	99459.7891	35806.8438	41118.25	40227.4375	45118.7344	71810.2188	34352.4023	70132.1953	45565.9062	48275.1836	57784.8164	76839.3984	33291.6797	70584.6797	47797.2656	54510.543	52483.6484	71900.8047	60328.6133	115431.5156	56329.6367	38963.582	55159.582	48301.1875	38201.1797	30777.0039	62605.1523	75594.6875	59190.3398	55788.9805	75304.9297	35470.1797	59878.5977	62247.0234	32969.0312	74510.4688	61406.7969	115143.5	93765.1484	45238.5625	55105.3008	49106.5391	81762.7266	30959.8242	77548.9609	95461.5312	69901.6094	70546.5859	83453.2266	41595.3047	51774.4883
1.7345	109407.8828	85817.6484	36126.7422	50332.7109	88389.7188	37902.2539	42035.1133	43039.2266	28882.3652	NaN	83034.7031	109177.5625	45642.0781	73358.6875	65057.0703	32129.2773	118413.2031	47466.6641	62302.2266	74157.125	86729.0234	38953.5859	33991.6289	35020.3008	78121.875	32452.7148	97800.5547	42201.8398	67682.3984	32671.0664	35367.5508	77108.5938	89163.2969	74960.8438	85466.0938	74987.5	32099.8477	33384.6953	64326.6406	34525.1016	35406.6836	35116.9492	35957.2344	48558.9609	34700.1484	46563.5703	35103.832	62311.5312	54785.4336	55990.5156	32592.8477	46955.875	45650.2188	40585.8047	39880.9102	64051.3555	86897.375	101132.7344	43317.082	33092.2539	42024.4609	38660.0625	NaN	32182.5293	44290.8281	65021.1992	77485.6016	40824.1719	52593.4727	39803.0859	42708.6211	44564.4688	32713.1699	76698.7422	76934.9531	109356.5	67819.0938	38984.5312	63926.8008	37602.8672	58500.0898	30777.1836	56091.9023	74834.4297	44497.3789	47233.375	54683.8281	36697.0234	39703.7188
1.8679	71115.6641	56877.1758	34601.1289	37512.2617	63205.5195	34939.0234	44026.1016	35111.6992	26933.5254	NaN	60887.8945	75937.3672	48005.7383	102935.5547	45655.5234	34051.0859	87232.4219	38468.4375	71244.4922	50057.8242	55726.0078	33770.8516	42620.6445	39143.8398	80074.2656	28848.9922	71552.5703	61035.1602	44810.8125	31310.7891	35644.3398	53435.7344	60234.6367	64164.4336	69839.5938	58705.2188	31915.1777	31275.2715	44698.7227	36640.7773	31884.2891	33093.9922	33830.0586	36947.9219	34895.6484	37439.25	30674.9141	61289.2617	41007.1953	43412.6328	33139.2422	38015.4883	36956.5156	33175.4219	36167.5273	45791.9727	78275.5078	62822.4648	35760.6406	30550.582	35137.9727	36389.9258	NaN	29744.6387	36634.293	45350	69221.3438	36595.582	38773.7539	46275.9375	34995.2344	37835.0312	33242.2578	59140.4453	71787.7109	75623.5312	45862.6406	38399.5117	58868.8633	34069	43367.9531	30308.4785	34977.1055	51417.5039	34473.0586	33280.8281	41441.7695	35402.7148	37141.2656
2.0013	50711.043	43329.7656	33162.7812	33928.0625	56889.75	34479.0781	NaN	32214.623	25640.998	NaN	46658.082	52427.0625	40030.2734	98644.375	37180.4297	33625.6289	57129.0195	33424.6055	57101.8633	36738.8984	39930.9375	31493.5156	61666.2266	36938.8828	55579.4258	28213.0957	49886.207	76903.4375	38798.5234	29584.1113	36771.707	45027.9453	44273.7383	45023.7109	42864.6172	43558.7812	NaN	30960.8164	36993.3359	NaN	30278.2969	NaN	35298.3047	34766.2773	NaN	34008.1133	29329.7363	44610.8477	32787.4922	37761.0703	33127.4258	33046.8828	32565.7812	32604.0781	34231.0508	37755.7812	53832.4141	45061.4961	31820.4316	32213.3301	32567.916	37142.0898	NaN	31259.4492	35795.1172	35608.1016	46668.0469	33171.3203	34357.9766	50857.625	32208.6113	36615.5547	34187.1094	41558.8828	52803.0703	51337.875	36848.8086	40449.3086	44278.9492	NaN	37073.7305	30282.6484	29236.5977	42832.6289	32612.5977	29743.3965	38372.0312	NaN	NaN
2.1347	43921.1523	36430.3203	NaN	31540.3711	NaN	34652.6719	NaN	30017.1523	NaN	NaN	40924.0977	42104.7734	34280.8164	68249.5391	34193.8906	NaN	43190.5273	32650.2441	43596.9922	32933.9766	34310.4375	32047.6758	76392.5234	34624.4258	41034.4727	NaN	46543.4414	65307.1992	35874.8984	28820.832	36657.0898	40169.5586	37259.9062	36725.2734	34305.8086	35666.543	NaN	29815.0059	35694.7852	NaN	30097.9102	NaN	NaN	33322.4961	NaN	33621.6172	NaN	35780.5547	29464.1191	36321.3672	36631.1602	31783.3066	30109.2031	30669.8613	35473.6992	35080.2969	40530.7617	38908.6602	28794.2539	31151.1152	31081.3691	49512.8164	NaN	NaN	35690.1094	33286.2656	34896.0664	34691.2422	31148.4668	46075.543	31502.6016	35827.0703	37611.3672	34979.7227	38122.2812	40434.2109	35748.0273	NaN	36415.1133	NaN	35232.0352	29710.9043	NaN	40720.2383	33187.332	28679.375	34609.0117	NaN	NaN
2.2682	42442.0781	34477.3242	NaN	30130.9336	NaN	NaN	NaN	NaN	NaN	NaN	41665.2773	36995.2148	30577.4805	49282.9648	32558.1836	NaN	39282.8594	31266.5254	40258.9492	32921.6094	32353.2754	NaN	67302.1172	31787.9355	35524.1953	NaN	43087.8945	43838.0352	33956.9141	NaN	NaN	36321.957	36812.0625	33473.7031	31114.7051	33062.8398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35611.3672	NaN	31055.0234	NaN	31279.8984	27532.9023	33200.25	39599.1445	30985.9512	29140.2773	32247.9941	35239.5195	34125.8398	35718.2461	36017.9883	29413.4219	31646.3047	30856.3965	NaN	NaN	NaN	34033.3047	32275.959	32053.4004	NaN	29001.8965	39881.7344	30428.9141	35472.7383	45271.5312	31586.3711	32205.8691	37277.5664	34047.8789	NaN	35173.7461	NaN	35870.4883	NaN	NaN	39506.7734	NaN	NaN	33343.4492	NaN	NaN
2.4016	NaN	33473.5859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34202	29389.7793	44127.9648	32444.0586	NaN	37108.4609	31079.8359	41830.0508	30748.5645	31830.7461	NaN	46206.8984	30601.7168	32985.4492	NaN	38931.1133	34430.1758	33546.3906	NaN	NaN	34291.5312	34415.6172	30957.3789	30805.9727	32874.6055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30115.459	27425.5801	33751.957	51637.0234	NaN	27981.2402	31239.3438	32986.5938	32924.0547	33401.5781	34651.5859	NaN	31151.0332	28650.3066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36992.625	31183.9375	34508.7812	63694.1016	29075.0156	29475.0352	37522.2344	34342.5078	NaN	31123.4004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	32181.5898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32084.3457	30726.2812	39397.9531	NaN	NaN	35303.3359	NaN	NaN	30672.6445	31019.1504	NaN	37424.707	30040.3008	31314.8145	NaN	37630.832	30751.9141	NaN	NaN	NaN	NaN	34224.7148	30118.1484	30695.5156	31657.4238	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74649.0859	NaN	27392.125	NaN	NaN	33051.3398	32748.2617	35007.6055	NaN	32321.7031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37985.9648	32387.7109	NaN	68060.4062	27183.2832	28647	38972.7148	33205.0664	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31922.0664	NaN	NaN	NaN	36938.2188	NaN	NaN	NaN	32980.0156	NaN	33479.3047	30671.7559	30704.0938	NaN	NaN	31820.6699	NaN	NaN	NaN	NaN	36911.4688	NaN	30963.168	30071.0156	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84305.3984	NaN	NaN	NaN	NaN	35045.9023	32702.4062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55060.0703	28362.5449	28275.1582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37520.5977	NaN	NaN	NaN	30230.1836	NaN	32838.7422	NaN	31495.0352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42763.4258	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69457.3516	NaN	NaN	NaN	NaN	NaN	32675.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42461.6133	NaN	27142.4863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
