x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_11_4g	Y_20180224_15102_13_10_S_g	Y_20180224_15102_13_2g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_17_1_S_g	Y_20180224_15102_17_5_S_g	Y_20180224_15102_19_9g	Y_20180224_15102_2_5_S_g	Y_20180224_15102_2_8g	Y_20180224_15102_20_9_S_g	Y_20180224_15102_22_2g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_26_4g	Y_20180224_15102_27_9g	Y_20180224_15102_28_8g	Y_20180224_15102_29_1g	Y_20180224_15102_3_1g	Y_20180224_15102_3_2_S_g	Y_20180224_15102_4_4_S_g	Y_20180224_15102_5_4g	Y_20180224_15102_7_1g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
2.9353	17018.523	17937.596	17237.914	14552.512	15557.238	21690.822	20842.359	14967.032	21504.131	15300.49	18341.34	23891.785	15024.09	16116.151	25751.883	19162.084	25800.691	17282.887	15622.984	20127.062	15310.218	16310.004	17618.254	16158.934	19435.723	17007.238	15186.879	21087.354	15387.3
3.0687	17341.43	17538.062	18872.59	16051.521	14768.672	20168.908	20465.893	14036.389	20565.23	15312.939	16921.111	24020.613	15517.373	16097.293	26077.604	18885.93	29727.086	18596.328	14626.958	19180.611	15571.065	16722.588	17247.275	16380.931	20676.123	18537.631	15055.072	21346.066	15233.048
3.2021	17164.564	17544.479	18364.121	17909.428	15277.892	17734.391	24684.791	13780.104	19563.744	15835.618	16103.692	22560.975	16953.596	16536.891	22927.656	18361.047	37504.781	18461.748	13897.376	19604.279	15546.613	16336.374	16969.787	16467.705	21919.027	20723.49	17614.492	20255.789	14903.911
3.3356	18581.076	17020.908	17242.875	17642.434	14868.075	15794.253	28303.066	14111.73	17904.42	15564.827	14666.644	21058.438	17968.523	15006.014	19619.088	17377.061	42134.391	17431.459	13869.069	19470.164	14549.371	16483.691	15778.312	17035.213	22982.785	25451.486	18678.25	18568.578	13968.525
3.469	20560.736	16302.231	16949.898	16047.205	14680.476	14729.094	29340.83	14204.874	18499.209	16505.818	14957.834	21795.945	19097.773	14401.315	18375.291	16896.23	36916.102	16238.519	14150.116	19344.838	15477.589	16020.676	16703.732	15668.215	19797.924	25516.033	17652.178	16883.359	13790.912
3.6024	21447.838	17088.914	15816.366	15088.047	15018.93	13817.729	26014.705	14955.128	17637.434	17382.535	15014.824	21356.137	18085.305	14483.367	19597.633	17142.18	28753.234	16838.641	14940.3	18333.174	14577.097	14391.918	17106.092	17212.41	18821.715	23277.645	17901.336	18317.186	13506.174
3.7358	20982.785	16476.295	14972.477	13953.988	15182.77	13061.03	22101.77	14986.659	16766.945	17218.859	16485.148	21453.896	17985.145	14741.675	21823.912	16532.264	22987.266	15960.781	15139.911	17647.295	15551.909	15256.146	16459.734	20205.592	18734.469	21265.342	17128.426	18046.018	13316.769
3.8692	18266.936	16284.981	14531.013	14219.17	14897.51	12543.823	18461.35	14992.372	17747.971	15474.652	17064.465	22237.846	17039.551	14515.729	23581.232	16649	20724.146	15891.722	14833.395	17657.871	15019.956	15039.157	16146.247	19511.084	18565.072	20330.754	16691.695	17722.975	14497.193
4.0027	15866.802	15549.322	13470.908	14300.726	15941.257	12588.851	16534.291	15002.899	17488.93	14620.202	17606.393	20640.357	17926.436	14162.966	21214.361	16791.234	19378.264	15590.624	15057.783	19686.273	16455.592	15330.822	NaN	18962.783	17590.188	20678.697	15461.49	17284.846	13267.896
4.1361	15115.014	16265.065	13257.483	14660.379	NaN	13455.783	15401.021	14250.21	18122.076	14403.081	19817.082	21536.545	18357.234	14578.382	16618.188	16670.668	18654.855	15760.384	15227.993	18551.166	16393.396	15884.753	NaN	16874.43	15826.187	20078.199	NaN	15403.208	NaN
