x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_17_4g	Y_20181208_15693_3_8g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g	Y_20181208_15693_9_11g	Y_20181208_15693_9_15g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_7g	Y_20181208_15693b_12_6g	Y_20181208_15693b_12_9g	Y_20181208_15693b_13_5g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_8g	Y_20181208_15693b_6_9g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
1.3342	27987.084	29368.5488	31323.9902	29735.8184	28830.0254	29626.9648	27750.6387	24576.5508	30151.9863	28947.2871	28063.9199	27933.0566	28030.5957	27666.8652	30162.7422	27164.1602	28484.5645	25759.1875	30178.6914	29034.627	27553.9863	27542.0156	27911.0527
1.4676	28589.7871	28845.373	31372.8887	29852.9492	28924.209	28586.6367	27518.0449	26122.9043	29805.7949	30458.5938	28309.7715	28254.9473	27439.4785	28179.7793	29005.8379	27715.4902	28300.6152	26302.3301	29338.0449	29860.5957	25943.8711	27755.1484	27242.2285
1.6011	29019.6875	29432.7539	31840.1562	29205.1191	29641.582	29732.9492	26184.6367	26907.5332	29720.957	29531.0742	27622.4453	28012.1543	28508.2676	26492.8008	29021.9531	28126.0938	28860.7832	28040.4414	29140.2715	30090.5059	26808.7793	28588.8105	27142.9492
1.7345	27767.4824	30920.0449	30477.6836	29396.3613	30450.7832	30680.7168	27437.4414	24784.8828	30814.8008	30302.0488	28390.3672	27691.4414	28801.0273	26613.3398	29779.002	27051.582	29132.2559	28277.4785	28431.1074	29276.375	26870.0801	28508.2383	28306.5762
1.8679	29339.1621	29893.9355	32449.4082	29521.1523	28934.3164	29896.9707	28182.9297	25250.1777	30785.1152	30315.9316	28789.8418	27027.7695	27755.7793	25927.2754	29155.1445	26328.3477	29847.1328	27327.623	29266.1836	29940.207	28742.6992	28415.3105	28118.4062
2.0013	30024.7793	28734.0293	30438.6641	29456.6367	29106.8027	29571.207	29085.1836	24048.3828	32556.5078	29615.5078	27816.3359	25945.0254	28055.2969	27023.6523	28558.4004	26706.9316	30206.8301	26385.6211	30072.541	27962.7266	28682.1602	29177.7793	28341.4297
2.1347	27717.1152	28613.7441	32098.9121	29856.0586	29773.1934	29652.6953	26497.1602	23804.5801	34013.668	29934.1855	28012.5391	27320.0527	27731.8672	27600.3242	28747.8887	27372.2148	28245.1133	26749.2402	30225.6777	29296.7383	28028.8965	28395.6094	29769.2891
2.2682	29360.8086	28465.6328	32311.668	28439.5625	29948.0566	30914.9844	27085.7773	23976.332	34892.7539	30390.7734	28293.9844	27679.7871	27953.2559	26893.8262	29725.7344	27574.6309	28149.5781	25950.7168	30749.3652	29919.9082	28332.6465	30310.5605	29409.7617
2.4016	29392.2383	29269.5918	31792.0684	28546.1191	30143.0703	30321.9922	25913.6973	25031.998	36516.1406	31985.002	28360.0957	29350.3711	28687.1777	28689.4785	30094.7285	29654.7969	27597.8047	26155.3125	32743.332	28925.6484	30369.7578	30632.0586	30806.4688
2.535	29512.7266	31846.9102	31656.5898	28138.707	30163.3047	33164.3711	26255.9512	24986.1113	35673.2773	33478.3438	29413.0625	29521.75	28690.4043	29231.5137	30179.4883	29597.5684	28169.3672	26876.418	32649.2891	28329.2305	31248.9668	29234.918	30699.3691
2.6684	29459.625	34615.8281	32268.3945	29546.498	30360.748	37225.3516	25909.7656	25206.1504	39373.4375	34736.8789	30912.3965	29016.2832	29224.2832	29400.2969	30787.6641	30330.1816	29444.5918	26193.9531	34115.1797	31643.5996	31068.6367	29283.4199	34523.1875
2.8019	32682.5566	43854.4688	34029.707	28011.1172	30883.1113	41188.1211	27312.9355	25964.8574	43410.6211	36369.625	35065.0977	30197.748	31068.791	31298.3809	31327.6797	31211.959	30698.543	26731.1465	34795.1016	30493.8555	32777.6875	29918.334	43946.3477
2.9353	36944.8086	64670.2852	36647.3359	28970.5488	33032.5977	40439.3633	28386.7422	28502.4316	51972.1641	42001.7031	42980.2773	35093.1289	36019.6055	32742.1953	31385.6816	33213.9453	32361.7832	27915.9375	35006.2188	29941.4023	39508.1094	31838.6699	64139.6172
3.0687	49661.7148	81793.6875	41139.0859	30726.9902	35241.3398	39031.6289	30307.957	33177.0547	52112.1367	63520.707	58581.9219	41893.7148	47253.2695	40749.4023	31899.6172	38200.2734	40143.6172	31268.0879	35116.5508	31788.5996	54297.332	31919.4922	86036.6719
3.2021	72106.4219	74880.9219	54377.4062	34545.4219	38715.4023	45379.25	37550.2344	42550.9258	43254.2539	77143.375	65046.2383	52316.6289	61921.4336	55457.7734	30891.2637	47563.5625	56311.4141	37518.0391	36505.5469	32933.4258	88613.6406	32632.3262	75711.7188
3.3355	93373.9141	51033.5703	68390.0312	43070.9297	43736.3555	49276.1758	50693.9609	57818.3867	35449.207	68040.6172	50500.1484	51484.3867	61601.3164	81783.1016	33106.4375	73634.5781	68370.4688	45220.4297	41946.4219	34620.6953	123854.1016	36362.5039	50780.2266
3.469	86238.0156	40137.0508	63351.7109	57234.625	49034.5352	41801.375	69579.2891	58201.4883	33472.7656	47825.6719	37646.0625	41515.1172	46542.7617	85755.0078	36099.6094	104724.5391	58934.8867	51837.4258	47928.332	35574.6289	109873.6953	46832.9766	37491.3438
3.6024	59619.8242	34559.3945	47539.1016	61648.4453	47794.375	34100.4844	60998.0859	41301.7305	32742.4844	39796.5781	32591.6094	32992.1328	37073.2188	61115.9062	41694.0938	112970.6797	43868.8438	42643.9453	44514.9258	42891.3906	71456.5547	62812.7188	30830.918
3.7358	42987.4844	32411.4121	37232.6055	51748.1992	42380.4141	31469.9414	41698.3594	29705.3477	31891.832	35723.4453	30847.6484	30007.6562	34447.5938	50104.8906	52278.9141	87442.2891	35295.5586	33287.8945	37272.5	58419.2617	48282.5586	61296.8555	30527.3281
3.8692	36364.6719	31488.3516	33794.8672	39943.9727	38167.5273	31194.6836	33058.3398	27050.7207	NaN	33119.8711	30197.1758	28505.9453	NaN	54441.8008	57774.3672	58479.5898	32221.6035	28066.8457	34053.582	72378.8125	39041.6719	47348.6914	29809.4746
4.0027	33506.2188	NaN	34109.0977	35295.1914	40035.3008	30071	29669.4453	26546.418	NaN	32933.2227	28615.1172	28027.6191	NaN	NaN	52110.1211	42670.1562	30546.1816	28831.6328	32658.6113	69718.9922	35758.1211	37735.4648	27886.2754
4.1361	32278.1562	NaN	NaN	32235.166	NaN	NaN	29714.5391	NaN	NaN	31638.793	28572.2637	28465.5273	NaN	NaN	41122.9922	37304.957	29697.9668	29474.5469	32622.7402	58987.5625	33925.6641	33187.1992	NaN
4.2695	30162.8066	NaN	NaN	31792.9062	NaN	NaN	27853.916	NaN	NaN	NaN	28882.1914	26954.6172	NaN	NaN	36452.9961	32396.9668	30386.5391	26661.252	32584.9043	NaN	NaN	NaN	NaN
4.4029	29820.5977	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27014.0215	NaN	NaN	33529.0898	31477.6309	NaN	28447.5	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32143.541	32559.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32473.9766	31061.4512	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31693.3848	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32374.8008	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
