x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_9_11g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
1.7345	14230.0576	15305.2793	12712.2754	12452.5684	12337.208	14497.3271	13296.4424	12540.5342	16829.3867	11566.4922	11157.4609	11816.8516	12853.9648
1.8679	13648.3994	14932.5049	13214.2275	13986.2383	12920.9639	15421.6729	13462.2881	12326.0361	16176.8877	11185.8555	12378.7266	11839.0664	13806.2451
2.0013	13977.9355	13562.4639	13272.7656	13080.0693	15239.624	14768.3115	12076.5459	12517.5244	15046.2051	10704.3623	12469.5322	11908.209	13281.9473
2.1347	13486.6914	13210.4229	12536.3994	12961.1182	15237.3613	13967.1738	13201.584	12913.6064	15117.377	11434.376	12124.291	12460.7295	12512.7148
2.2682	13384.7451	12897.4424	12994.8359	12402.9395	15738.0869	14247.5371	14118.4541	12937.6865	14938.1396	11310.9072	11521.6543	13020.8574	13209.7002
2.4016	13827.2393	11896.4014	13528.6182	13259.874	15098.1172	14888.002	13692.7744	12670.5059	14453.2246	11841.9482	11787.751	14493.1943	14335.5381
2.535	14083.8086	11392.8428	13279.7275	14117.1406	13846.2412	14007.582	14945.2607	12678.9248	14642.5801	13852.5342	13228.2559	14367.9482	15202.709
2.6684	13390.04	11050.4375	13135.543	14173.6484	14246.3584	12364.7061	15112.4443	12545.6787	13834.5342	13505.5518	13634.0723	14001.1953	15159.4512
2.8019	14254.7217	11941.0762	13972.2461	13526.8037	14489.6611	12192.4824	14594.9072	12843.3564	13705.6885	12033.5918	13695.1133	13295.5352	14608.8086
2.9353	13326.7627	11905.6787	14240.7363	14692.1768	14104.3184	12533.9316	14316.1113	13409.3574	13678.1602	11131.3457	12381.3301	13446.1982	13163.0176
3.0687	13256.3096	11751.6875	14033.8125	13775.3721	13203.6602	11874.0752	12826.9492	11887.9727	13980.8301	10895.2148	12494.6768	14820.1562	12619.1221
3.2021	12636.5879	11596.3203	13283.1904	14309.958	12734.7354	11183.3018	12888.1885	11968.874	12386.5391	11753.4531	12033.5273	14013.5264	12195.1699
3.3355	12509.6572	11263.9961	13183.3994	14125.707	13260.1582	11162.3516	11830.2754	12384.4873	13066.418	11510.9258	11872.6953	13696.1729	12075.7236
3.469	12522.1006	11717.6172	12761.7842	12860.9277	11973.0234	10906.9727	11311.9355	12270.3408	12737.0986	11467.46	11227.1377	13854.8789	12937.7012
3.6024	12076.0039	11485.3232	12766.3184	13410.1035	11731.3955	11594.5361	11744.2461	11660.8662	12229.3154	11392.2822	10639.5264	13437.9424	12335.3496
3.7358	12653.1172	11899.1602	12242.8711	13423.5781	12251.8525	12432.3809	11014.2051	11274.8945	12554.6436	11417.3369	11217.6475	12427.1836	12006.9385
3.8692	12483.2871	11847.5186	12687.3223	13440.2666	NaN	11911.9102	11443.8125	11390.4375	11840.0342	11718.2129	10611.2822	11691.0801	12319.9043
4.0027	12361.3369	NaN	12486.4561	13287.7002	NaN	11735.0225	10962.1729	NaN	10664.8838	11261.3145	11040.2949	11311.3975	11777.623
4.1361	12226.4004	NaN	NaN	NaN	NaN	12025.2041	11427.4639	NaN	10875.4355	11657.3066	10887.8828	11363.8145	NaN
4.2695	11536.2998	NaN	NaN	NaN	NaN	12272.7451	11064.1172	NaN	10987.2705	11742.6777	NaN	NaN	NaN
4.4029	11295.75	NaN	NaN	NaN	NaN	NaN	11368.4551	NaN	NaN	11044.7002	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
