x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_11_4g	Y_20180224_15102_13_10_S_g	Y_20180224_15102_13_2g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_17_1_S_g	Y_20180224_15102_17_5_S_g	Y_20180224_15102_19_9g	Y_20180224_15102_2_5_S_g	Y_20180224_15102_2_8g	Y_20180224_15102_20_9_S_g	Y_20180224_15102_22_2g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_26_4g	Y_20180224_15102_27_9g	Y_20180224_15102_28_8g	Y_20180224_15102_29_1g	Y_20180224_15102_3_1g	Y_20180224_15102_3_2_S_g	Y_20180224_15102_4_4_S_g	Y_20180224_15102_5_4g	Y_20180224_15102_7_1g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
1.3342	44750.66	36797.316	30387.248	35858.988	39677.777	35525.477	37137.102	32687.955	37388.27	33802.414	42933.293	36660.336	33337.398	38863.785	39133.734	39159.402	40249.574	39664.098	43501.574	36821.938	36367.656	37879.766	36323.48	35360.664	35984.742	41211.859	37287.043	37579.781	41481.254
1.4676	44854.738	35288.453	30830.93	35793.453	41194.223	36504.586	36961.273	31801.123	37306.301	34238.121	43355.105	38404.148	33132.879	38684.547	40921.324	37935.562	41124.48	37552.43	41084.582	36325.164	34584.227	40189.676	35312.934	36024.465	35262.844	39760.102	36353.23	38746.426	40367.504
1.6011	45714.809	34969.969	31883.803	36226.469	41108.191	37251.945	35859.859	33592.73	37066.652	35234.758	41459.332	37744.996	33921.281	38438.953	41841.961	36408.723	40801.844	37501.914	41562.371	38402.27	33378.625	39704.441	36054.703	34487.023	33460.168	39503.215	35098.004	37565.762	40015.914
1.7345	44749.754	36504.383	32408.521	36493.965	42535.289	35941.004	35898.691	33815.777	37551.66	34930.922	40496.445	37273.324	33526.23	38709.109	41509.371	35511.41	40736.301	39101.531	41728.688	37241.477	32760.406	39500.5	37324.98	37174.621	35352.074	36412.117	35577.492	37238.309	39971.633
1.8679	44492.648	37845.512	32432.271	37504.676	42802.879	35549.66	35658.387	32906.719	37422.105	37024.66	39833.691	36640.367	33975.988	37399.793	38730.418	37130.934	40480.875	36623.469	40230.375	38089.613	32600.404	39132.984	38578.352	37895.742	35370.117	37808.66	35217.648	37371.199	39778.902
2.0013	42994.777	38052.406	30908.213	36800.824	39251.605	34321.523	34862.945	32544.094	36723.844	35748.691	40812.555	35873.566	34082.043	37661.699	38404.504	37820.203	40026.113	37214.73	39830.984	37077.066	33529.27	37916.941	38453.922	36716.07	35007.262	38138.496	35537.047	35569.746	41698.598
2.1348	43585.977	39883.57	31469.885	36423.051	38623.227	33383.074	35017.215	32786.203	36343.496	35133.969	40873.246	35207.48	34274.195	38197.645	40188.043	37998.66	39750.098	36702.617	39614.598	37369.516	33911.875	38621.426	37328.52	37163.238	34511.828	38262.465	32724.207	35069.918	41669.422
2.2682	41451.789	38336.227	32017.223	34842.605	39147.016	34590.332	35254.641	31761.525	37034.551	36521.84	41657.508	35625.914	34705.395	37833.051	40912.719	38292.031	39449.836	37812.352	38948.449	36454.5	35376.797	39956.73	37743.516	36883.676	35112.465	39038.852	33991.949	36238.777	41445.48
2.4016	41276.984	39557.766	33772.613	35248.34	38426.543	36019.027	35632.441	32529.461	36111.121	34786.066	41470.59	35823.887	33921.242	37851.93	40016.223	37577.594	38899.301	37484.66	40448.832	35785.32	34399.777	37778.559	38047.805	35774.23	34510.66	41978.074	33647.285	35403.855	39999.816
2.535	40796.543	39391.535	32601.727	35067.664	37985.043	35052.203	37116.445	33246.352	36679.953	36129.094	41182.117	37272.086	34076.184	39789.27	39369.375	39576.684	39954.395	36650.758	38800.141	36162.312	32694.738	38962.836	39046.719	38323.121	34221.008	37412.285	35260.105	35564.07	40284.582
2.6684	42509.996	38397.145	32706.471	35879.367	35746.406	34871.973	36517.547	33005.066	35796.465	35602.84	41231.535	35186.695	34630.641	38240.598	37835.859	39451.914	38191.422	36528.508	39533.574	36534.285	32849.031	39034.172	39086.785	37391.52	35846.637	39276.531	35821.766	36578.355	40588.469
2.8019	40813.902	37152.277	32980.508	36509.074	36089.461	33261.129	36448.305	33072.305	35966.195	36391.609	38145.027	34493.57	34178.906	38335.055	38302	40210.719	39609.199	36890.105	39103.047	36529.852	34853.965	39509.43	40418.719	36985.258	35978.422	38359.941	35603.48	36362.551	41143.684
2.9353	39835.926	38908.711	33282.871	35992.18	38919.684	34288.922	37764.617	33001.879	37706.672	36514.715	39898.918	36018.871	37113.363	36721.48	38946.438	39959.887	39611.137	36161.477	37847.383	37740.969	33809.797	39632.039	40418.922	36826.301	35466.312	38921.051	35359.082	35612.43	41406.879
3.0687	40420.676	40207.91	34680.523	37108.16	37783.711	34932.863	37204.852	34672.566	37496.777	37907.129	39116.234	36642.066	38912.316	38145.062	39129.637	40933.59	39206.117	37384.93	38183.25	35902.91	33195.523	39426.207	40404.844	37966.027	37289.383	40471.582	37262.227	35812.824	42837.824
3.2021	42491.129	43250.277	33391.895	38533.008	37590.578	38265.309	38155.004	35362.613	38026.215	40105.336	40348.875	38118.961	46577.52	37379.375	39822.035	41331.883	39500.047	40016.18	40391.652	37185.285	35419.016	42027.184	42782.133	39461.805	38358.48	39951.566	37388.141	37028.105	45724.434
3.3356	45013.176	49984.574	34833.914	41046.969	42709.504	45046.777	38932.637	38276.504	36510.07	44367.629	40673.699	39472.117	62675.68	37817.109	42749.949	45356.98	41178.598	45679.777	41485.691	40032.867	36081.473	46750.094	48949.234	42590.465	37943.012	43619.836	47071.898	40898.133	52906.125
3.469	50741.656	65982.438	37790.715	46545.328	51263.805	64480.441	41642.57	51079.402	37421.953	55815.664	45171.754	44400.832	100772.547	39374.004	46704.484	55079.43	43021.789	57310.133	45540.77	43035.836	44893.594	56307.332	55134.398	53236.816	40861.621	51669.281	68451.281	44475.398	71949.016
3.6024	66482.188	109429.672	41083.57	58882.051	67154.812	97580.75	48770.84	80601.016	38967.418	85718.867	54909.289	52236.676	138632.734	40788.086	60576.918	70339.461	47177.578	80703.672	56623.574	49776.719	54482.441	77858.18	65563.625	81038.281	44727.664	66545.891	90211.102	55509.066	116361.023
3.7358	105942.195	157728.109	48188.953	65869	86662.117	113173.938	68321.133	106651.766	42702.312	133807.219	75399.875	88164.727	119328.812	42541.039	96546.086	77678.133	60256.602	131960.016	82434.039	65264	63565.605	124133.523	67208.938	134797.453	55732.77	73360.797	84957.367	84203.602	151003.516
3.8692	148103.547	155648.547	47627.891	59405.035	86376.984	84345.375	80884.102	90278.797	45160.988	140009.109	91881.156	148443.953	77602.109	51624.871	143177.375	67598.867	83026.164	171453.328	123103.828	85201.906	62877.578	158142.234	62207.871	179503.141	68804.008	61766.93	65264.156	119279.953	124191.188
4.0027	135424.984	102230.078	40876.039	49176.883	62280.645	57130.297	69595.883	59473.25	51259.359	101277.297	77558.586	167028.766	54048.508	70119.508	141824.766	53614.285	93509.141	141148.562	118607.906	75420.641	53015.945	119053.82	NaN	159379.062	66098.789	49265.535	55793.75	112131.188	76577.961
4.1361	90822.25	64745.137	37499.328	43043.762	NaN	48688.539	62662.723	44697.242	70607.57	65289.48	57644.625	119355.836	44918.949	79453.438	93340.633	44331.078	76394.656	88179.695	85442.555	56867.496	49278.66	75905.797	NaN	96281.188	53937.016	46547.699	NaN	71974.359	NaN
4.2695	59364.559	54669.711	35110	41209.695	NaN	43509.676	NaN	38481.395	89001.094	47881.125	47172.156	69920.336	NaN	69578.219	60281.324	41574.75	56222.895	53916.926	60283.234	45307.391	NaN	64321.25	NaN	59102.723	45585.672	NaN	NaN	49584.156	NaN
4.4029	49382.125	NaN	33795.191	38667.82	NaN	NaN	NaN	35969.797	82323.367	41600.785	NaN	50334.879	NaN	53005.117	50098.801	41854.023	44718.07	43221.566	51883.543	42973.035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41550.617	NaN
4.5363	NaN	NaN	31791.717	37636.922	NaN	NaN	NaN	NaN	58484.684	NaN	NaN	42948.422	NaN	44220.812	NaN	NaN	NaN	41007.621	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38796.961	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44411.645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40184.695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
