x	Y_20180130_15100b_1_4g	Y_20180130_15100b_11_8g	Y_20180130_15100b_12_11g	Y_20180130_15100b_13_1g	Y_20180130_15100b_14_1g	Y_20180130_15100b_15_11g	Y_20180130_15100b_15_4g	Y_20180130_15100b_16_10g	Y_20180130_15100b_16_6g	Y_20180130_15100b_16_8g	Y_20180130_15100b_17_1g	Y_20180130_15100b_18_13g	Y_20180130_15100b_19_14g	Y_20180130_15100b_19_5g	Y_20180130_15100b_2_10g	Y_20180130_15100b_2_11g	Y_20180130_15100b_2_3g	Y_20180130_15100b_20_6g	Y_20180130_15100b_21_4g	Y_20180130_15100b_21_9g	Y_20180130_15100b_22_13g	Y_20180130_15100b_22_18g	Y_20180130_15100b_22_7g	Y_20180130_15100b_23_11g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_9g	Y_20180130_15100b_24_8g	Y_20180130_15100b_3_1g	Y_20180130_15100b_3_3g	Y_20180130_15100b_3_9g	Y_20180130_15100b_4_5g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_23g	Y_20180130_15100b_5_24g	Y_20180130_15100b_6_1g	Y_20180130_15100b_7_11g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_5g	Y_20180130_15100b_7_8g	Y_20180130_15100b_9_10g	Y_20180130_15100b_9_4g
1.3342	34929.828	31154.568	33992.574	36962.789	31702.602	38605.785	35706.398	40807.012	36596.109	39397.496	35409.148	39038.285	39625.051	34873.629	37573.125	37350.113	33365.664	35227.148	36467.008	37964.301	39522.82	33158.891	39840.934	33412.598	37690.559	39241.57	37125.805	39049.176	38301.383	39338.051	35410.18	31669.018	38053.035	40055.277	36218.992	37606.367	43417.824	34715.344	34316.082	37117.73	37553.531
1.4676	34898.035	30389.752	31345.232	37118.402	32137.551	38032.332	34802.566	39686.258	37745.785	39841.297	37941.727	39538.312	39401.5	33980.43	37815.488	39124.945	33791.328	37148.633	36969.516	38236.031	39474.012	33997.504	38161.902	33203	39134.855	39530.055	36666.965	39851.434	38174.473	40377.902	34752.152	33736.219	37724.77	40062.855	36185.293	39796.891	40011.062	33951.301	33870.918	37225.844	37364.723
1.6011	35209.816	31268.553	32583.877	37293.641	32721.82	38848.465	35999.082	41408.754	36928.637	36727.719	36388.156	39606.316	38157.152	33657.266	39248.883	37920.688	34402.844	38744.098	37347.449	38873.949	37279.797	36458.207	37915.301	34372.848	38770.109	39391.266	37213.508	39852.742	38420.055	39851.879	33725.609	32479.816	37325.887	39648.363	37025.562	40187.109	37723.988	33531.125	35157.332	35905.926	38613.41
1.7345	35404.648	30708.096	32774.996	38433.387	30407.064	38624.473	36316.613	39787.648	36443.754	37407.836	35390.508	38247.766	37535.754	34360.93	38547.586	38816.293	33336.301	40539.371	37556.098	37936.883	39181.695	35053.207	40363.973	35018.746	39497.211	37725.164	37060.602	39521.332	39526.914	38530.465	32975.664	33624.734	37340.117	39579.992	39093.012	38951.078	37633.172	34842.508	36180.039	34953.301	39021.77
1.8679	34642.922	31838.939	32208.484	40262.852	31694.729	38893.332	37963.902	39016.156	37079.945	37222.266	35126.828	37944.812	38497.734	34894.031	39547.586	39390.777	32658.17	36661.031	38081.426	37587.785	39923.879	35089.645	40937.203	35713.004	39215.926	38930.262	38115.953	38954.062	38935.293	37333.102	34955.539	34861.695	36705.902	41331.648	39308.062	37961.484	36355.367	37505.395	34423.977	36793.09	38370.445
2.0013	33797.613	31683.035	32960.996	39639.102	30610.025	39469.758	37557.551	41083.535	38882.555	39819.621	37223.73	39159.18	42113.305	36056.102	40063.684	39656.973	34717.637	39717.242	38594.973	40046.656	38363.789	34781.035	40072.984	36505.066	40367.469	39062.984	36679.031	38757.406	43228.887	39771.066	34832.805	36641.68	36616.219	42308.672	39619.953	39273.496	38803.402	43009.219	31604.311	38291.102	38291.859
2.1348	35201.223	34121.777	33373.125	41619.102	31895.105	40822.422	37878.465	42347.297	39358.984	40126.66	37791.422	39353.195	39853.988	35953.422	40391.352	41454.285	35292.68	39095.406	37008.336	43021.531	39369.145	36234.934	43358.586	38906.031	44443.988	36719.402	39307.848	40509.664	46055.891	39787.996	35964.266	43051.543	38170.199	49382.148	37216.59	40715.16	39139.301	50649.82	33557.387	40608.949	38811.18
2.2682	38663.105	32249.158	36372.008	48868.566	34009.906	40388.184	42765.766	49492.832	39527.207	45036.98	42415.223	41027.801	41175.426	35614.906	42461.543	47797.102	38281.207	43505.855	37855.082	43890.242	43262.457	36412.715	49811.238	44644.188	53712.66	37572.027	41189.703	41998.164	60410.18	40997.203	36526.641	59285.664	40636.668	64534.824	38971.254	42587.859	41291.223	55925.234	32949.258	48252.273	40861.578
2.4016	40788.754	32273.967	39602.195	66959.172	38724.559	42798.375	53245.973	64399.867	40269.891	61921.766	47479.781	41989.117	47888.523	36874.875	48436.934	63660.039	46821.637	50783.48	39625.215	50553.262	50169.316	36845.605	73586.211	59352.891	75660.758	43491.723	43006.625	43410.109	88515.852	43397.25	39295.414	80939.156	42462.32	94100.664	40136.844	52021.258	45659.125	61663.527	35622.758	65587.016	48606.461
2.535	49738.41	33272.332	47429.43	94889.484	49632.688	48816.262	78989.992	94768.922	45255.625	93803.602	62438.945	44698.785	61027.945	42663.93	59000.859	92397.609	68200.922	69530.211	41718.652	73057.461	70733.906	40519.09	107395.047	86810.984	89750.477	50213.621	50494.805	56498.633	118095.43	45500.355	42388.176	87479.648	47997.305	113251.211	44347.043	70428.516	57198.926	73001.766	39921.312	99051.297	69505.766
2.6684	73387.25	36852.629	64527.109	111725.828	70326.703	65753.773	116624.719	115193.891	59697.059	119975.898	88129.062	51729.566	97559.016	55464.715	75208.914	115076.555	100772.781	109538.859	46852.934	121312.812	94799.102	50069.223	118181.844	109555.062	73160.984	67890.688	79877.203	80042.055	104681.664	58469.512	49694.094	66385.945	60863.293	87910.359	53271.324	98048.812	72562.219	77319.492	50082.586	106206.375	111667.469
2.8019	113150.648	43329.973	108627.336	89443.188	80938.586	95775.805	122402.68	94258.148	87826.984	106335.883	98846.609	69662.547	165434.844	80732.844	76400.055	88949.898	108099.195	138008.156	65417.75	170291.078	91352.844	77061.766	84763.477	91311.609	52826.695	87263.828	124352.469	99618.773	77150.844	87339.703	66730.055	45681.223	72118.562	60789.457	74505.602	90525.102	68446.078	65357.754	65304.516	79814.039	126012.922
2.9353	127237.297	61405.934	140946.391	61808.633	70211.828	125137.281	85263.406	65338	111504.305	66537.781	76021.336	114655.562	169944.469	103446.156	62314.809	57912.535	74876.242	115513.617	82240.953	159056.406	66974.648	98018.43	57652.082	60980.918	44252.305	85154.125	140292.375	82235.172	60052.848	104273.047	91159.617	37200.031	67795.141	48185.691	95749.453	63862.539	54595.941	46459.766	69426.773	54892.965	95208.852
3.0687	93706.336	81132.188	117824.109	50548.168	48689.562	112915.477	54297.023	51367.617	95501.578	51280.887	51769.793	171719.766	112818.797	99208.172	52255.43	47416.793	50920.633	78619.016	75648.203	109665.406	52992.402	88958.25	45596	45321.875	NaN	60221.969	98836.609	60789.07	52281.637	84916.211	92496.617	NaN	50815.945	44715.391	83574.344	46975.406	44727.184	40986.242	55973.031	NaN	62631.293
3.2021	58932.559	77757.609	73199.961	NaN	40478.77	77277.703	43640.039	NaN	61926.605	NaN	NaN	172355.531	73231.68	71750.141	NaN	44424.637	39176.586	53150.559	55505.324	70708.008	45614.086	67608.516	40564.18	39705.098	NaN	48249.746	62642.824	47584.23	46338.5	61702.777	71696.445	NaN	47653.906	NaN	57165.797	NaN	NaN	NaN	42231.621	NaN	48326.699
3.3356	47962.438	55067.078	50237.449	NaN	NaN	56161.582	NaN	NaN	46424.895	NaN	NaN	120972.891	54136.449	NaN	NaN	42549.645	36703.207	44327.207	45656.68	53942.07	NaN	50729.305	NaN	NaN	NaN	NaN	45564.715	42919.707	42538.391	52020.922	56048.078	NaN	NaN	NaN	47016.02	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	42656.375	40704.379	NaN	NaN	46506.301	NaN	NaN	40376.066	NaN	NaN	74586.641	45296.82	NaN	NaN	NaN	NaN	NaN	40211.938	45445.141	NaN	41029.211	NaN	NaN	NaN	NaN	NaN	40374.199	NaN	NaN	53659.031	NaN	NaN	NaN	42349.496	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	39760.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58233.578	41561.832	NaN	NaN	NaN	NaN	NaN	NaN	40812.855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39578.711	NaN	NaN	52554.207	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
