x	Y_20181208_15692_30_11g	Y_20181208_15692_30_16g	Y_20181208_15692_30_6g	Y_20181208_15692_30_8g	Y_20181208_15692_31_7g	Y_20181208_15692_32_7g	Y_20181208_15692_33_10g	Y_20181208_15692_33_12g	Y_20181208_15692_33_13g	Y_20181208_15692_33_3g	Y_20181208_15692_33_4g	Y_20181208_15692_33_9g	Y_20181208_15692_36_1g	Y_20181208_15692_37_17g	Y_20181208_15692_37_6g	Y_20181208_15692_38_10g	Y_20181208_15692_38_16g	Y_20181208_15692_38_9g	Y_20181208_15692_40_13g	Y_20181208_15692_40_2g	Y_20181208_15692_41_4g	Y_20181208_15692_41_6g	Y_20181208_15692_42_1g	Y_20181208_15692_42_7g	Y_20181208_15692_43_17g	Y_20181208_15692_43_20g	Y_20181208_15692_45_15g	Y_20181208_15692_45_1g	Y_20181208_15692_45_2g	Y_20181208_15692_45_3g	Y_20181208_15692_45_6g	Y_20181208_15692_46_15g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_46_9g	Y_20181208_15692_47_12g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_7_12g	Y_20181208_15692_8_7g	Y_20181208_15692b_1_1g	Y_20181208_15692b_1_4g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_16g	Y_20181208_15692b_11_19g	Y_20181208_15692b_11_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_17_4g	Y_20181208_15692b_2_2g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_4g	Y_20181208_15692b_7_2g	Y_20181208_15692b_7_5g	Y_20181208_15692b_8_3g	Y_20181208_15692b_9_3g	Y_20181208_15692b_9_6g
1.3342	34408.8672	29198.416	28414.291	30218.375	27974.0918	31055.7285	26898.2676	35046.7812	30955.1543	33598.5195	31481.4551	28373.2773	27801.7949	28650.4629	29986.3223	29014.9941	30701.3145	26726.1758	32540.2461	29241.7637	29477.3359	28666.9023	25097.5195	33107.543	30186.3887	27793.2539	31012.7285	26210.6094	28304.9141	29964.4551	26395.3027	29573.5703	29921.0859	30069.5488	29385	32432.5859	26060.9414	31074.1367	25646.0938	26623.125	31906.582	32454.8613	29950.9238	28336.9258	31926.4902	29255.7793	28223.0859	32065.2773	30928.2168	30466.9473	30751.7598	28932.5527	31839.7363	32607.6426	32319.5449	31107.9668	29565.418	32401.7578	32000.0156	28651.7324	31111.9336	29953.4785
1.4676	35850.4219	29515.25	29809.998	30176.8301	28959.4336	30895.5566	27408.5449	35881.6875	31919.084	33924.1523	31372.2285	29897.9277	27380.4316	28805.0352	28671.9434	28303.5684	30466.998	27777.207	32528.4863	28911.8301	29782.8457	28383.2754	26077.4121	32978.0312	30228.707	27570.0488	32490.6953	26322.1992	30090.5684	31441.0859	26025.9277	29674.7969	30012.7734	30598.1973	31117.4473	34561.8008	25238.6562	31419.6582	25781.875	25518.6543	31453.2402	31978.793	31198.168	28666.2578	31448.8633	30634.9707	27795.7773	31917.9805	32866.5469	29925.1133	29307.0879	28260.5137	31517.2461	32540.8633	31744.8574	32045.2598	30604.334	31473.5625	32024.8301	27853.043	31364.7695	29557.1738
1.6011	40072.8906	29805.8965	30892.5547	30501.8633	30728.75	30029.9688	28619.3379	37991.2031	31588.7891	33573.3047	32542.6543	29829.2383	28554.5195	30483.6094	27843.002	29343.4648	31725.3516	27730.8359	31288.3926	29634.9648	28086.4062	28434.418	27504.1016	32397.5625	30795.1582	27673.582	31140.0137	26138.6074	29628.2773	30800.4004	26388.9277	32073.3594	27846.1855	29418.5449	29248.1836	35403.457	25276.6035	31828.9238	25635.7285	25477.6328	31993.8535	33902.9219	30721.6934	28203.3672	31143.7949	30004.332	28583.6816	31973.1621	33639.1484	30325.4531	29917.332	29904.9023	32189.7031	33191.8086	32833.8008	32053.6484	30489.0059	32393.25	33455.5156	30074.2285	31776.1035	29934.1074
1.7345	52853.3672	30240.9629	30131.0078	31237.5488	33546.7578	31008.75	28510.9922	40768.3008	31512.0234	34779.8359	32790.2188	28720.793	29371.0605	32496.1152	28579.0977	30460.4043	31668.6953	29095.3145	31674.4941	30241.9922	30034.2305	30299.4199	25990.916	32956.6992	31073.916	28227.4707	31130.666	26683.8398	30348.3496	32176.8613	25989.3848	35959.8047	29101.3398	29998.3066	30460.7227	40006.8359	26550.8984	31895.3242	25918.6504	26256.834	32432.3828	32587.0898	29049.498	27887.4023	30453.7266	30282.9668	27899.6699	32435.8398	33370.5391	31638.6875	30744.875	30830.5879	33804.2109	32019.3281	33409.9141	31783.5293	32074.5742	32027.457	32680.3301	28841.6738	32174.0645	30546.4805
1.8679	66812.25	30685.6406	30611.1152	31917.668	39960.9414	31001.1914	30151.043	44910.6797	31669.4629	40245.7539	31535.2793	29217.0469	31595.6426	39654.2305	29064.5684	29759.3828	31295.0996	33681.7148	30665.4121	30184.6074	30883.7148	32074.6387	26119.377	35817.5156	32164.5859	29734.7695	31242.1172	30157.9512	33015.8828	32709.8672	26821.668	43173.0898	28318.7051	30657.5059	30653.2812	51880.3711	26848.6309	31733.541	25741.4082	26911.4844	32196.4531	32950.9258	30074.9551	30469.2598	31503.1211	30143.4648	28625.1289	31521.1328	33956.7383	31882.7617	31181.0234	32227.9141	33994.168	33253.2852	35448.8828	31511.0312	35001.9609	32979.8203	33103.0781	30982.4824	34115.1875	31105.998
2.0013	78485.7969	31305.9922	31345.3105	32321.9688	54004.6484	32133.7441	34721.3125	65887.1406	32691.9922	56781.7969	31843.8516	29574.8672	39005.2031	54317.3047	30424.8066	27729.5996	32412.8555	45888.0898	32419.8066	34142.7891	31372.6934	37451.457	27816.0645	42913.8164	35219.1211	33107.9883	30898.1895	34380.2188	38134.3477	38093.7578	26353.291	57403.7227	28772.7578	31531.6836	33335.2656	68560.1719	29568.8008	32458.8281	26869.5039	28082.8984	34054.0391	35079.2812	32065.3262	31075.4707	32516.6738	32345.8535	28616.793	30541.75	36625.6055	33459.5742	32222.5449	35083.0859	35083.0273	33295.5703	40034.1211	32791.3047	40528.9102	35972.7344	35461.2812	33773.2031	33520.0586	33267.3242
2.1347	90259.9453	32469.7617	30523.5312	34478.5508	71458.1875	32788.3867	46952.2695	94403.0078	34807.625	79471.9219	32107.125	29113.3418	46058.4375	80900.1719	33655.9414	27844.0469	36724.6836	49887.7969	33027.8672	36236.8672	33095.6055	50919.7695	27080.0137	57987.082	40955.0898	40442.4688	32941.8906	46619.5156	49188.9336	48432.1406	28861.0332	70021.8906	30338.3984	33376.7812	34319.082	68870.8906	30552.8965	33694.7227	27876.9883	29302.2422	35399.6094	35714.8047	35233.6836	30930.0918	35412.2617	32149.8809	30322.0312	31335.2031	41935.8516	41286.2305	33173.2305	41946.332	36195.2812	33948.0664	48992.3672	37886.2656	53354.8359	43781.375	40161.1562	42439.707	36679.8984	37470.8555
2.2682	85862.5234	35733.7344	32808.1523	43648.5625	74387.3828	36072.6562	72102.4844	104660.9062	36983.1172	90546.3594	32222.5098	29149.2637	42576.707	94501.0156	38767.293	29120.6328	41903.5234	42784.4141	32105.127	37907.4062	34682.8594	76890.6016	28252.3418	81756.9922	43228.7422	55739.8242	35852.1094	64521.8125	70164.8672	67063.8125	32351.1113	57153.2578	29825.8906	35300.8164	43105.332	53285.7656	40504.082	39255.5938	30405.9004	33845.5273	39159.5078	40346.1172	44825.2734	34018.6211	36567.3516	35810.4297	34513.8789	33907.3359	51185.9375	56892.5078	41724.8281	59047.3398	42382.7656	35130.3789	63879.8281	46373.7617	69730.8594	61203.4219	50838.2773	59616.0156	42381.2148	47984.6445
2.4016	64415.6602	43315.8281	34114.0742	53620.2969	56026.0977	43669.7344	95805.5	78124.2891	44044.5195	72792.6953	33884.4023	31268.0137	36552.0156	74632.3281	45379.7383	31840.0938	55194.5508	33486.3008	36882.125	35500.7969	37539.8711	98346.2812	32946.6406	96557.1016	41824.6523	59996.6094	46044.3633	67993.8984	76482.5312	74640.0781	39512.4648	44124.6992	31597.7695	38321.7188	54673.2812	43155.0664	57602.7148	52824.0039	39296.8672	43087.7031	50753.7461	53393.4375	69182.4297	42509.5391	41614.8555	38415.3086	45448.6445	35686.7734	71083.0156	80085.4688	59092.9414	87054.5469	52642	34523.7422	80399.3125	69988.8438	72974.4766	86832.6641	69918.6172	70544.2031	58689.4375	67512.0156
2.535	47498.8281	62664.9766	40115.3203	49716.582	43874.3633	59928.9922	88184.8828	52480.6523	59019.0156	47964.2422	35151.3281	37028.9688	31505.1172	50209.6172	48109.9219	36509.1406	88252.9219	29861.6992	45845.4336	30953.1465	53572.0039	77555.0469	45519.4375	84287.875	47469.875	51168.5273	62419.5352	55792.1641	59432.4414	59478.5508	47362.1094	44794.6719	31389.2598	52263.6211	75782.0938	39460.0352	69181.1641	79765.6953	52293.8867	53117.8008	74994.3203	73517.0625	95560.7969	57506.5586	52821.5547	47397.2266	64424.5117	39989.0625	70562.3203	84802.4609	65885.3906	89210.1953	78010.3438	37088.6719	74792.1875	85522.9297	56782.7422	87971.2656	84329.5938	53917.0586	71508.1875	76536.2734
2.6684	37846.6797	91649.2812	54975.5742	38933.75	38225.9375	74288.3047	61637.7734	40962.5586	87108.25	37710.5039	34733.793	46224.8594	NaN	36230.6953	40176.9258	41626.2188	129624.6719	27906.6484	62212.9883	31278.0312	78698.0547	51931.3867	63175.9609	57082.4141	52520.8594	37304.4219	68042.4844	40894.4727	48063.7617	42054.3828	45293.625	57777.5391	35539.0703	75007.125	70653.5547	41628.8555	53744.2422	93262.8203	54779.6523	44853.1953	108289.5859	76702.2812	104728.3828	70615.2812	74484.9531	71378.8359	72088.875	47383.3828	52736.4492	56588.5	58518.3945	60514.0742	93066.2891	43172.6562	53541.4219	66752.3672	40799.8516	64239.293	69846.75	43142.3633	64114.2109	66193.3906
2.8019	35441.375	94518.0078	78855.9844	34206.3828	36075.2227	68902.0469	49994.7539	39100.918	108016.8125	35364.1719	41689.8555	57430.082	NaN	31255.916	31848.4648	44072.168	127738.6641	NaN	71917.1797	29327.3984	90866.1953	40715.4609	63947.7383	40420.375	45338.375	33967.3359	56727.0039	32309.7109	40949.5625	37005.7422	38303.9258	NaN	48039.1875	89150.5312	51718.3281	NaN	38771.0547	75801.5703	43908.3477	33941.7461	100043.0156	58197.1016	88026.3125	65906.0625	88438.2188	102780.5938	60631.9844	53460.8438	39048.3281	40308.418	55483.0586	40738.4883	76709.9688	60475.4219	41071.2266	47909.1484	34399.457	48061.3516	49410.7734	35445.3125	48850.0156	59685.0703
2.9353	33304.0938	68034.6094	91608.7109	30742.0195	NaN	51968.3867	NaN	36918.8047	89362.6953	34217.7969	50895.0898	51498.043	NaN	29998.3574	29314.1621	38726.6367	85323.6641	NaN	57076.207	NaN	65320.0234	35656.0898	48354.7461	37255.1875	38521.7539	33084.7812	41188.1406	26845.7188	38741.125	33080.043	32933.082	NaN	53722.1289	73989.2969	40899.7539	NaN	31950.0391	56675.4023	34291.1367	30070.6934	71169.0312	41940.0039	58791.4688	46904.2188	71485.7578	97108.125	44000.2578	47131.3633	34219.1758	34723.1328	49162.6914	34255.0547	50331.5625	72342.9453	36579.957	41230.3086	33784.8594	NaN	39250.7695	31652.9961	37531.3867	63789.3711
3.0687	NaN	48552.2734	70543.0391	30673.6445	NaN	41439.5156	NaN	38141.707	57536.2266	32547.7383	81315.8125	41176.8203	NaN	29123.6855	28042.293	33033.7852	55941.8359	NaN	44628.9805	NaN	45544.1523	34607.8438	34663.6016	34533.9492	35332.7461	31070.5039	33939.0312	NaN	38080.7539	31425.3594	31023.6855	NaN	50761.6641	50094.9414	36451.2656	NaN	29752.9824	49347.4219	30314.9453	29922.4004	47177.5391	36442.9766	44678.3047	35515.4922	50667.375	67398.9141	35718.4102	39383.625	32096.9375	31904.8516	NaN	31740.2363	41677.3125	63405.3359	33633.6719	35832.2188	NaN	NaN	35531.1797	30176.4434	33819.7539	NaN
3.2021	NaN	41687.7148	47605.543	30204.8418	NaN	39015.4453	NaN	NaN	43346.3984	NaN	119761.6562	33864.0898	NaN	NaN	27862.2051	30492.4707	43544.7812	NaN	35524.9492	NaN	37061.7891	NaN	29306.1719	32353.5273	33202.3477	NaN	31779.3301	NaN	NaN	NaN	NaN	NaN	38551.125	39172.7031	32945.0859	NaN	28375.0957	47057.3438	28100.2773	28176.7246	36340.4609	33233.3164	38392.4219	33799.7266	39820.5117	47406.668	32890.8906	34037.9727	32185.5781	31036.6543	NaN	31331.8516	37330.6562	47428.6289	33841.0625	33392.7109	NaN	NaN	33258.8477	NaN	31728.1406	NaN
3.3355	NaN	41115.8711	38942.6094	NaN	NaN	NaN	NaN	NaN	38265.9258	NaN	113159.6328	31117.1445	NaN	NaN	27334.543	30926.6582	39594.1094	NaN	32828.4141	NaN	34209.0938	NaN	27465.5547	NaN	32509.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34689.293	34078.1328	32870.8008	NaN	NaN	NaN	27767.3418	NaN	35047.6953	33816.5391	33226.8086	NaN	36953.5781	40426.8867	30907.3477	31925.9297	NaN	NaN	NaN	31048.1641	34080.9297	39375.2188	33278.5078	NaN	NaN	NaN	33584.9961	NaN	32645.2168	NaN
3.469	NaN	NaN	38558.7148	NaN	NaN	NaN	NaN	NaN	37166.8438	NaN	69086.8203	29185.4531	NaN	NaN	NaN	NaN	38836.9883	NaN	32434.5215	NaN	33022.4297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31888.5156	34016.5039	NaN	NaN	NaN	NaN	NaN	NaN	33325.8672	33620.1602	NaN	NaN	34544.2148	37427.4688	28601.0879	30864.3457	NaN	NaN	NaN	30189.4707	35712.8984	36768.1641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35019.3984	NaN	47225.9414	30150.8555	NaN	NaN	NaN	NaN	35599.1719	NaN	33977.4297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32527.8906	NaN	NaN	NaN	NaN	NaN	NaN	32343.3789	NaN	NaN	NaN	32476.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35233.4219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35039.1523	NaN	38201.5703	29496.1367	NaN	NaN	NaN	NaN	33979.3789	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32439.1191	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34525.5781	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34589.2852	29056.5449	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34149.6914	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34384.9609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
