x	Y_20181208_15694_1_17g	Y_20181208_15694_10_2g	Y_20181208_15694_11_9g	Y_20181208_15694_13_15g	Y_20181208_15694_19_11g	Y_20181208_15694_2_1g	Y_20181208_15694_2_3g	Y_20181208_15694_21_4g	Y_20181208_15694_22_7g	Y_20181208_15694_23_18g	Y_20181208_15694_24_3g	Y_20181208_15694_26_17g	Y_20181208_15694_3_4g	Y_20181208_15694_5_9g	Y_20181208_15694_9_4g	Y_20181208_15694b_1_4g	Y_20181208_15694b_6_10g
2.0013	13049.4561	11995.6455	12718.4365	14847.2559	11447.4668	12168.5488	14663.2295	12253.8223	11529.8438	11491.6719	10926.8984	14731.9326	14300.5186	13479.668	15053.8457	13776.9785	11525.5439
2.1347	11475.9717	11914.333	11855.1387	13457.1992	11277.0293	12293.6904	13344.3281	13466.209	11039.2891	11859.3242	11387.916	13458.2275	15126.0977	13178.1719	15447.2959	13743.3086	11881.9971
2.2682	12328.2842	12434.6992	11812.7471	12795.627	11630.0859	11629.9844	12178.0205	13705.1943	11300.9912	12425.2637	11448.9277	12578.9482	16547.1719	13213.5088	14915.4854	13153.6484	11779.5215
2.4016	11528.2148	13665.7695	12433.7383	12451.8145	12189.3389	11727.1475	11916.9492	13263.3662	10704.8301	12982.0938	11777.8379	12109.4902	17874.0547	12222.5342	13598.5801	13180.8428	11837.459
2.535	10736.1816	12377.4316	12584.8145	12870.3916	12115.498	11739.9717	11554.8887	12712.627	10936.1699	12724.9863	11597.5078	12182.7783	16795.6797	11630.4844	13760.4004	13436.2393	13009.2246
2.6684	11421.0986	11546.6826	11752.9326	11856.0391	12901.9443	11635.2324	11622.4336	12577.4307	10990.9482	12825.1562	11509.5098	11574.4629	15690.2354	11583.749	13156.6943	12509.2881	12052.959
2.8019	11171.3359	10990.6904	11733.8359	11459.4453	14219.4561	11374.5674	11923.001	12304.5654	11153.1562	12322.0791	11643.4297	11917.2666	13764.5723	11083.4346	12180.4502	12900.208	11809.334
2.9353	10948.1484	11230.6064	11972.9902	11884.5107	15339.5977	11636.2715	11652.9326	12019.374	10888.499	11267.3721	11957.1992	10885.9316	12847.7832	12120.5566	11409.793	12362.1162	11632.9258
3.0687	10510.6719	10545.7324	10941.1152	NaN	14909.7295	11455.4453	11603.0195	12925.5752	10739.4443	11983.4814	12003.4775	10674.9746	12694.8711	12298.3311	11381.7891	12857.4824	11282.0586
3.2021	10761.999	10658.1162	11157.4316	NaN	13920.3857	12781.084	11434.4844	12751.4004	10991.1621	11920.8896	11989.1914	11317.7256	11574.6807	11669.1885	11564.957	NaN	11743.6787
3.3355	NaN	10854.959	NaN	NaN	12514.6172	NaN	11506.5332	12518.7773	11220.8447	NaN	NaN	11520.7891	11555.7012	11973.4404	11448.7129	NaN	12657.2744
3.469	NaN	NaN	NaN	NaN	12298.5967	NaN	11185.1777	12170.9902	NaN	NaN	NaN	NaN	12055.8701	NaN	11810.9346	NaN	12170.0479
3.6024	NaN	NaN	NaN	NaN	11860.0771	NaN	11234.5586	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11882.0469	NaN	12187.3115
3.7358	NaN	NaN	NaN	NaN	11164.9766	NaN	11860.0615	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12407.8525	NaN	11982.0996
3.8692	NaN	NaN	NaN	NaN	11388.3076	NaN	11491.9326	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	11661.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	11332.085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	11244.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
