x	Y_20181208_15693b_1_11g	Y_20181208_15693b_1_12g	Y_20181208_15693b_1_3g	Y_20181208_15693b_10_16g	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_7g	Y_20181208_15693b_10_8g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_4g	Y_20181208_15693b_12_5g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_3g	Y_20181208_15693b_13_4g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_15g	Y_20181208_15693b_2_3g	Y_20181208_15693b_2_7g	Y_20181208_15693b_3_18g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_12g	Y_20181208_15693b_4_14g	Y_20181208_15693b_4_2g	Y_20181208_15693b_4_30g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_23g	Y_20181208_15693b_5_26g	Y_20181208_15693b_5_9g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_3g
1.3342	13076.2998	15191.1797	12766.1289	12005.3242	14210.6982	12201.7832	15548.1709	12150.9336	15114.3525	12830.4609	12920.3516	15643.3291	13714.7822	12296.6689	12016.6406	12220.2305	13590.7744	10905.8662	12778.0264	11123.9365	12378.6914	14324.7783	12801.6074	11516.1846	12419.709	12391.998	10978.4609	12739.2197	14594.8184	13493.7061	12150.3867	13525.4736	13136.0332	14125.3262	15391.9814	11909.9453	16450.3652
1.4676	12570.9756	15453.2061	11968.917	11979.4365	13214.2441	12397.5225	15434.1836	11205.1689	14219.1084	12213.4102	12957.2773	13840.249	13044.167	12124.4863	11478.5469	11451.9072	13739.3252	10628.1064	13599.9648	10672.7715	13118.9199	12651.4385	13615.21	11046.0059	12344.7773	11759.5898	10929.0928	11721.0869	15430.6396	13151.8633	12707.8828	NaN	13029.665	13197.2959	14982.8447	11487.1494	14216.5625
1.6011	11955.1201	15656.5518	11070.0605	11771.2295	11957.7617	12290.1895	15379.0459	11196.5439	12332.377	11793.7021	11916.7158	13652.5684	12558.4307	12191.3799	11334.4873	11400.376	13006.1807	10419.5732	12895.8828	10629.0684	12834.2764	12396.5215	13407.7393	12319.0547	12408.6787	12254.291	10950.3652	11829.416	13788.3037	12447.4756	12852.5195	NaN	12281.625	12171.4102	14112.1709	11495.3291	14989.5312
1.7345	12421.5215	15292.3906	10945.7881	11900.2168	11370.9863	13251.1953	15080.4385	10576.9668	11811.5801	11414.167	11382.3047	13359.8184	12155.4014	11323.5264	10859.7051	11774.5244	12147.1299	11184.2598	13104.5605	10750.8711	12208.9053	12953.7988	13032.9102	12076.9258	12425.9541	11510.9453	10907.6406	11337.0371	12239.5146	12213.96	11210.0186	NaN	11189.792	11822.3896	13297.6006	11557.9648	13067.3516
1.8679	12006.499	14282.4512	11513.376	11845.0225	11279.7949	14229.9004	14092.166	10609.2148	11286.3203	11835.626	11965.4258	13381.6826	12330.1592	10911.3828	11194.6064	11919.6113	11486.3652	10980.9932	12785.9365	10599.3291	12344.0195	11995.4102	12557.6543	12176.4512	12192.7998	10757.7686	11149.957	11826.5146	11851.4688	12173.4775	10865.2119	NaN	11126.4023	11466.0488	12651.9678	11721.8193	13335.5938
2.0013	12190.8066	13660.4297	11338.7412	11995.5479	11841.8701	NaN	14030.041	10544.2676	11625.7002	11164.0771	12621.5488	12378.4131	13420.3789	11043.2432	11757.6914	11573.209	11258.4541	NaN	12592.4863	9908.459	12300.7881	NaN	12102.2822	12368.0615	NaN	10818.249	10312.0264	11694.9189	11392.0518	11644.4092	10667.8711	NaN	11415.4014	11392.6348	12065.6738	11619.5977	11597.0342
2.1347	13015.7939	13123.832	11753.4121	NaN	11663.3262	NaN	13170.001	10891.1055	11725.0508	NaN	11478.0098	11461.8955	13353.3789	10647.915	11414.5986	11841.7002	11555.6602	NaN	12272.832	10315.1787	11960.1592	NaN	11873.5869	NaN	NaN	11244.4521	11313.7031	11590.1602	11368.833	12530.5811	11129.9697	NaN	11597.9824	10596.8838	11711.7402	11681.9258	10611.4473
2.2682	NaN	13565.3447	NaN	NaN	NaN	NaN	12695.1133	10604.3418	11509.2578	NaN	NaN	11458.2529	NaN	NaN	11154.1592	NaN	NaN	NaN	12424.7881	NaN	NaN	NaN	NaN	NaN	NaN	10700.8965	NaN	12412.0352	11609.8037	11864.1465	11136.4248	NaN	NaN	10411.623	10842.0654	NaN	10982.501
2.4016	NaN	12970.335	NaN	NaN	NaN	NaN	NaN	10580.3857	11487.1709	NaN	NaN	10860.4561	NaN	NaN	NaN	NaN	NaN	NaN	12838.8809	NaN	NaN	NaN	NaN	NaN	NaN	10514.709	NaN	12088.9033	11043.1094	11333.9951	10692.7285	NaN	NaN	NaN	10826.0801	NaN	10070.4238
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10399.4854	12025.8936	NaN	NaN	10653.1025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11548.7676	NaN	10826.9766	NaN	NaN	NaN	11324.8896	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10679.665	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11472.8857	NaN	NaN	NaN	NaN	NaN	10428.0195	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9980.4551	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12605.1357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10080.2715	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
