x	Y_20181208_15692_31_1g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_34_1g	Y_20181208_15692_34_6g	Y_20181208_15692_36_1g	Y_20181208_15692_37_1g	Y_20181208_15692_37_3g	Y_20181208_15692_37_6g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_38_3g	Y_20181208_15692_39_4g	Y_20181208_15692_42_12g	Y_20181208_15692_42_4g	Y_20181208_15692_42_8g	Y_20181208_15692_43_11g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_45_15g	Y_20181208_15692_45_5g	Y_20181208_15692_46_10g	Y_20181208_15692_46_15g	Y_20181208_15692_6_4g	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_4g	Y_20181208_15692b_13_4g	Y_20181208_15692b_16_4g	Y_20181208_15692b_7_7g	Y_20181208_15692b_9_6g
2.4016	35948.5586	31234.3945	52711.5273	37260.6758	35284.2109	31185.9004	30368.6602	27315.1836	38978.5039	38685.5273	49731.3945	41165.3047	63734.2109	32755.8926	29766.0195	41892.6094	34816.2969	61076.8867	40464.1289	34108.1445	42204.9844	35688.4102	39404.582	40885.9102	30799.7891	31865.5723	42641.75	46122.7461	30411.4551	38897.2695	36883.7188	33536.668	45156.5508	39195.0312	41257.6836
2.535	46350.2227	31204.6562	75892.0391	42119.125	33336.3281	31168.9082	30741.834	28241.1445	49135.8438	45092.2773	70562.3984	54022.7461	49993.332	38452.1445	31814.4727	50012.8359	41845.5547	48197.6602	45163.9453	39554.3008	54151.4141	34344.5547	47921.3672	53448.8438	31722.9219	32964.5039	46038.3555	62082.7188	31607.9355	47866.0977	45200.2188	35680.9883	53028.0352	46548.0039	55875.3125
2.6684	62771.3008	31359.0508	90436.0781	53815.9844	34361.9805	30896.5078	29209.5879	31182.3906	53146.2305	40245.8086	79526.5703	64799.4531	38094.7812	49094.8398	36120.8242	49515.5156	49708.2578	37655.5859	54281.4961	53424.9453	76643.8906	37403.4727	49769.2461	69353.5938	30930.3691	34795.582	42802.4727	82931.0703	33363.5977	55755.1445	68122.3594	40926.6172	51346.9258	62522.7969	64353.168
2.8019	74471.7969	37377.3086	76604.2344	82485.2188	40113.6641	30743.9902	31665.6367	38420.6602	47287.3828	32673.0137	58512.3789	59179.9961	36134.5312	61046.9414	42654.957	38401.707	50086.9258	32498.2617	66841.9531	71104.6016	79653.0625	42722.7344	43287.6875	62253.6328	32666.9258	41305.7617	38741.6875	83066.5625	35085.2812	48269.75	101230.8438	57560.6641	38696.1641	77709.5625	58606.9492
2.9353	54157.5977	46158.3672	57995.4023	88002.4609	47383.1953	31121.4844	32147.2344	50307.5195	37725.9922	31570.1074	41331.1641	48143.668	NaN	55052.7227	45022.1367	34520.375	44602.9219	31186.3262	70351.8125	68902.8906	56804.1484	53231.4219	34218.6484	44246.5117	35850.7734	55771.0312	36344.5898	58903.5039	44632.3359	40813.1641	96121.8281	70446.4609	32728.9648	63133.4297	62211.8555
3.0687	41276.2578	56228.5352	48944.332	67161.3984	67223.8125	30433.5703	36551.375	70090.7422	31502.3828	39619.6758	33659.2109	38644.4141	NaN	48318.5898	37044.1523	35969.3984	39609.832	NaN	58180.7305	49756.2891	42890.9453	65123.6016	29801.0273	35382.4648	36700.4688	67066.8281	34475.0977	42863.0312	55019.8516	37498.7734	63904.3281	60678.9219	30808.25	44524.207	NaN
3.2021	37348.0586	53483.5742	53520.043	49233.8086	66192.8438	29658.1875	46020.6914	69692.6562	28142.123	NaN	NaN	35977.5195	NaN	48462.6523	31223.377	NaN	36415.5312	NaN	44130.4258	37741.6211	34945.8633	59948.7969	28978.5332	32957	34490.3438	58951.2148	34061.3242	35960.9883	53547.5078	33706.1328	52646.2305	45054.8008	NaN	34908.8984	NaN
3.3355	NaN	42486.6914	71021.2734	39667.3516	53674.332	31717.5449	54914.2461	51770.9531	NaN	NaN	NaN	NaN	NaN	NaN	28894.5703	NaN	NaN	NaN	36706.207	33126.7734	NaN	48078.0391	NaN	31605.5703	32001.4043	46011.3398	32629.1484	33206.2344	38521.9023	31360.1992	NaN	34659.7617	NaN	32866.8125	NaN
3.469	NaN	39151.5117	NaN	35523.7695	41448.7188	36290.3906	54190.3828	38004.7266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31929.3184	NaN	40701.1328	NaN	29696.6602	32160.8516	NaN	NaN	NaN	31660.623	NaN	NaN	29768.0938	NaN	30887.6504	NaN
3.6024	NaN	41263.1992	NaN	33668.8438	37344.293	45273.6641	42635.125	33025.3906	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29091.582	NaN	36334.2852	NaN	NaN	NaN	NaN	NaN	NaN	29933.6152	NaN	NaN	31883.9277	NaN	31062.9414	NaN
3.7358	NaN	46137.4375	NaN	33121.4102	36433.3438	66719.7734	35773.7812	30366.6855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30469.457	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	35285.4727	76372.0625	33654.4766	29208.3398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	60829.8711	35643.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	42656.1016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	38654.0469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
