x	Y_20181208_15100b_1_6g	Y_20181208_15100b_10_2g	Y_20181208_15100b_13_1g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_9g	Y_20181208_15100b_16_9g	Y_20181208_15100b_17_1g	Y_20181208_15100b_18_1g	Y_20181208_15100b_2_2g	Y_20181208_15100b_20_9g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_22_5g	Y_20181208_15100b_23_2g	Y_20181208_15100b_26_6g	Y_20181208_15100b_27_1g	Y_20181208_15100b_28_1g	Y_20181208_15100b_29_1g	Y_20181208_15100b_4_1g	Y_20181208_15100b_6_1g	Y_20181208_15100b_7_3g	Y_20181208_15100b_8_3g
2.1347	14411.4277	11500.1016	12772.8398	13767.3057	12386.3154	13718.2236	12929.2881	12197.3545	12448.4824	13895.3154	14699.7285	13085.7588	12754.375	12034.0752	12116.7793	12326.9834	13429.7939	11185.4541	11734.2539	12685.75	11555.7783	13754.2666	NaN
2.2682	14408.6094	11720.9482	13597.5674	13261.7256	12315.252	12995.8252	12743.7734	12642.7705	12143.5264	13566.5537	13956.5596	12156.5098	12671.3086	12082.1211	NaN	12242.1396	12912.6309	10930.7578	11168.0664	12279.2793	11548.0479	14014.4209	NaN
2.4016	13399.1885	11281.9326	14197.4326	13132.1807	12853.9785	13150.1113	NaN	12319.7275	11802.3564	14736.2393	12668.7988	11804.2812	11838.3594	12596.4268	NaN	11946.1094	12860.8486	10657.5186	10365.6611	12183.4775	NaN	13382.6758	NaN
2.535	12530.6865	NaN	NaN	12339.7852	12198.4004	12308.2363	NaN	11792.7998	NaN	NaN	13416.7949	11892.3389	12011.7256	11932.8242	NaN	11479.7227	12472.5967	10473.0137	NaN	NaN	NaN	12630.374	NaN
2.6684	13230.2432	NaN	NaN	12157.0186	11961.4209	12331.2588	NaN	NaN	NaN	NaN	12897.4365	NaN	11996.9824	12117.9004	NaN	11353.0879	12279.3926	10259.6719	NaN	NaN	NaN	12926.3984	NaN
2.8019	NaN	NaN	NaN	11935.5596	12410.8574	NaN	NaN	NaN	NaN	NaN	12714.166	NaN	NaN	NaN	NaN	NaN	12196.9902	NaN	NaN	NaN	NaN	12209.4893	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12829.7881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12428.5	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
