x	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_6g	Y_20181208_15693b_3_20g	Y_20181208_15693b_3_2g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_3g	Y_20181208_15693b_7_13g	Y_20181208_15693b_8_15g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
2.9353	42004.4648	42980.2773	37754.5352	35093.1289	85203.2109	60572.3594	32742.1953	43529.2227	32361.7832	163941.9062	93683.5391	36838.2852	27915.9375	45267.668	30539.8672	53668.4102	39508.1094	31838.6699	64139.6172	89267.4531
3.0687	56938.1094	58581.9219	51592.5195	41893.7148	55588.7578	80901.2734	40749.4023	39996.2031	40143.6172	155593.2344	74426.7031	32759.3613	31268.0879	35264.1211	30252.3027	63254.0039	54297.332	31919.4922	86036.6719	70420.3125
3.2021	77177.0391	65046.2383	72650.5312	52316.6289	39956.2344	74518.3281	55457.7734	35474.4883	56311.4141	109622.5312	50047.0195	30545.2617	37518.0391	31602.8867	31532.4102	59566.6836	88613.6406	32632.3262	75711.7188	49526.9102
3.3355	74617.7344	50500.1484	68920.8594	51484.3867	33818.293	53728.375	81783.1016	32704.0605	68370.4688	67088.5469	37766.2188	30402.4023	45220.4297	29257.5605	35248.6328	46197.7578	123854.1016	36362.5039	50780.2266	39817.9219
3.469	54831.1758	37646.0625	48542.3438	41515.1172	31280.0996	40370.6523	85755.0078	31128.3926	58934.8867	46266.0898	34386.7852	30800.7031	51837.4258	27934.7871	42603.5586	37961	109873.6953	46832.9766	37491.3438	35242.1367
3.6024	41842.0469	32591.6094	36406.9531	32992.1328	NaN	34208.0234	61115.9062	30836.7734	43868.8438	39609.5781	33794.1289	NaN	42643.9453	NaN	60192.7461	36783.9766	71456.5547	62812.7188	30830.918	34503.0859
3.7358	36875.3672	30847.6484	32461.3535	30007.6562	NaN	32784.3633	50104.8906	NaN	35295.5586	36676.5859	32843.3438	NaN	33287.8945	NaN	69112.5	35462.543	48282.5586	61296.8555	30527.3281	33827.2969
3.8692	38054.9531	30197.1758	30739.2617	28505.9453	NaN	33165.1523	54441.8008	NaN	32221.6035	NaN	33163.2422	NaN	28066.8457	NaN	60195.3125	NaN	39041.6719	47348.6914	29809.4746	NaN
4.0027	37177.7148	28615.1172	NaN	28027.6191	NaN	32334.791	NaN	NaN	30546.1816	NaN	NaN	NaN	28831.6328	NaN	43121.6523	NaN	35758.1211	37735.4648	27886.2754	NaN
4.1361	37254.418	28572.2637	NaN	28465.5273	NaN	30736.2344	NaN	NaN	29697.9668	NaN	NaN	NaN	29474.5469	NaN	36111.3438	NaN	33925.6641	33187.1992	NaN	NaN
4.2695	NaN	28882.1914	NaN	26954.6172	NaN	NaN	NaN	NaN	30386.5391	NaN	NaN	NaN	26661.252	NaN	32968.3477	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	27014.0215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28447.5	NaN	31147.5254	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29489.2598	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28928.8242	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
