x	Y_20180212_14590b_1_12g	Y_20180212_14590b_1_15g	Y_20180212_14590b_1_1g	Y_20180212_14590b_1_7g	Y_20180212_14590b_10_6g	Y_20180212_14590b_11_4g	Y_20180212_14590b_12_7g	Y_20180212_14590b_13_2g	Y_20180212_14590b_13_3g	Y_20180212_14590b_17_4g	Y_20180212_14590b_18_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_20_5g	Y_20180212_14590b_21_2g	Y_20180212_14590b_25_4g	Y_20180212_14590b_28_4g	Y_20180212_14590b_30_5g	Y_20180212_14590b_31_4g	Y_20180212_14590b_32_1g	Y_20180212_14590b_32_6g	Y_20180212_14590b_33_7g	Y_20180212_14590b_35_1g	Y_20180212_14590b_37_2g	Y_20180212_14590b_4_2g	Y_20180212_14590b_41_2g	Y_20180212_14590b_44_2g	Y_20180212_14590b_45_5g	Y_20180212_14590b_47_5g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_2g	Y_20180212_14590b_48_8g	Y_20180212_14590b_48_9g	Y_20180212_14590b_5_10g	Y_20180212_14590b_5_5g	Y_20180212_14590b_5_9g	Y_20180212_14590b_6_1g	Y_20180212_14590b_8_8g	Y_20180212_14590b_9_2g	Y_20180212_14590b_9_5g
1.3342	66147.141	97478.398	43921.875	94447.297	67382.289	86976.148	45549.625	64605.238	55515.602	52559.715	39386.059	47120.781	53769.613	61801.41	40304.332	46509.453	44837.41	67678.016	106431.906	85936.672	74761.156	92928.164	64786.168	149460.797	45104.145	68479.82	51380.703	114577.344	98580.406	97724.336	40247.508	107946.344	49975.953	57179.496	61021.758	41810.074	40518.633	73132.086	70197.273
1.4676	93883.453	140054.094	51263.539	138012.609	94731.562	127681.969	59289.801	93654.781	78604.844	73223.266	45413.32	56471.219	74051.062	95060.148	58217.133	52511.59	59340.629	104859.047	147023.656	139214.922	91349.422	120461.461	100405.977	124594.664	55277.891	104028.094	69356.484	155246.156	123995.328	120560.102	57443.152	111288.781	70166.391	83151.984	93961.547	59106.402	50381.672	117061.688	91557.008
1.6011	98915.445	132665.875	70060.039	131044.023	93713.086	130560.203	100648.328	114495.812	112867.008	121622.266	61869.891	77917.008	123919.742	152608.75	88948.5	71343.648	77317.844	130945.93	145885.906	153708.234	77672.312	106973.648	152314.406	76423.406	81901.586	146132.734	118694.203	142164.969	98554.945	96823.508	87552.969	78599.578	115243.219	106559.148	131993.719	80201.828	69539.281	148568.156	82404.453
1.7345	72047.781	84876.344	87121.312	84754.492	70570.695	83735.703	159055.469	92131	120411.203	161082.547	96636.25	105575.5	190711.672	170175.188	103828.367	111495.117	71510.383	112167.406	100245.039	113411.406	55592.988	70509.625	145984.391	55689.363	110525.617	160022.469	173272.625	93302.594	60869.668	63032.566	118585.016	52077.047	161106.594	96649.328	120908.484	78446.641	96610.695	114980.406	57928.523
1.8679	51423.469	59583.008	82639.234	60182.621	51987.062	56078.082	151401.344	64813.844	89490.234	133397.094	113823.391	94806.195	188352.5	118766.266	84429.258	158363.078	53369.516	71359.828	66119.031	69383.484	NaN	50315.891	94907.688	NaN	104211.531	136986.594	160382.297	59513.789	NaN	48400.816	102107.188	41336.117	135464.094	65428.258	79446.547	57215.887	89773.133	76364.047	NaN
2.0013	43879.121	49887.453	58865.156	51236.27	44737.547	43772.781	90935.039	50051.668	60156.812	79226.805	83026.672	68475.43	119947.5	79539.273	56201.215	150780.188	41766.68	51131.148	NaN	NaN	NaN	NaN	56878.18	NaN	72897.273	105427.156	103512.539	NaN	NaN	NaN	67866.188	NaN	83819.648	48743.207	NaN	43346.812	63224.539	54309.305	NaN
2.1348	NaN	NaN	46973.566	NaN	NaN	NaN	NaN	NaN	NaN	51671.973	55508.48	51085.648	70862.25	60657.289	42877.676	97045.672	NaN	NaN	NaN	NaN	NaN	NaN	48236.055	NaN	54329.184	74941.852	66601.375	NaN	NaN	NaN	45152.25	NaN	57804.25	40367.738	NaN	36861.078	47838.57	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41162.105	NaN	43944.367	49421.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45296.113	54039.648	51304.332	NaN	NaN	NaN	37836.109	NaN	NaN	39275.617	NaN	34522.785	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40012.645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45741.691	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
