x	Y_20181208_15100_1_6g_left	Y_20181208_15100_12_1g	Y_20181208_15100_13_3g_left	Y_20181208_15100_14_2g	Y_20181208_15100_14_3g	Y_20181208_15100_15_6g	Y_20181208_15100_16_2g_left	Y_20181208_15100_17_1g_left	Y_20181208_15100_19_3g_left	Y_20181208_15100_2_1g	Y_20181208_15100_2_3g_left	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g_left	Y_20181208_15100_5_3g_left	Y_20181208_15100_5_9g	Y_20181208_15100_6_5g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g_left	Y_20181208_15100_7_2g	Y_20181208_15100_7_5g_left	Y_20181208_15100_11_3g_right	Y_20181208_15100_13_11g	Y_20181208_15100_13_3g_right	Y_20181208_15100_15_7g_right	Y_20181208_15100_16_8g	Y_20181208_15100_17_3g	Y_20181208_15100_17_6g	Y_20181208_15100_18_3g	Y_20181208_15100_18_9g	Y_20181208_15100_19_3g_right	Y_20181208_15100_19_5g_right	Y_20181208_15100_19_6g_right	Y_20181208_15100_2_3g_right	Y_20181208_15100_20_11g	Y_20181208_15100_20_12g	Y_20181208_15100_20_8g	Y_20181208_15100_21_13g	Y_20181208_15100_21_3g	Y_20181208_15100_21_4g	Y_20181208_15100_21_7g	Y_20181208_15100_21_8g	Y_20181208_15100_22_6g	Y_20181208_15100_22_7g	Y_20181208_15100_23_10g	Y_20181208_15100_26_11g	Y_20181208_15100_26_1g	Y_20181208_15100_32_5g	Y_20181208_15100_4_2g	Y_20181208_15100_4_5g	Y_20181208_15100_5_2g_right	Y_20181208_15100_5_3g_right	Y_20181208_15100_5_5g_right	Y_20181208_15100_5_6g	Y_20181208_15100_8_4g_right	Y_20181208_15100_9_1g
1.4676	12295.8818	12453.3252	13353.8311	15389.7324	17154.1738	14559.415	12966.3789	14338.8086	14776.4854	13201.124	18096.9453	14415.0801	11966.5889	13711.2852	14350.8584	12480.3506	14211.5879	14541.2363	13741.6562	19908.7188	16676.2969	19119.4473	13025.3066	13272.1934	14548.7275	13785.1201	14767.0342	13617.373	14404.6826	11496.167	11606.8418	10864.4092	13535.7822	11381.8223	10646.6748	15238.0527	11890.3955	11335.4199	12768.623	12360.501	15369.9531	11976.916	12157.1846	15738.5332	11445.0234	11905.8975	13801.6055	14028.2373	14372.4287	13853.9834	15094.3467	13426.5439	14890.958	12968.9219	11143.9297
1.6011	12150.1494	11836.7324	12966.667	14301.4756	15458.125	13737.7979	12957.0967	13598.415	13396.1172	12091.9414	17041.8047	13295.8691	12278.9189	12945.6348	13195.7871	12357.3701	12369.8408	15010.3076	12430.0215	17019.1934	17060.8516	19952.8398	12459.2871	12862.0771	13366.4951	13801.0039	14448.0059	13357.2881	12822.2803	11591.2471	11679.2383	10961.167	12094.3232	NaN	10579.8135	14440.6631	11793.5615	11350.2393	12256.2344	12797.9756	13797.8838	11927.0869	NaN	14398.21	10778.249	12061.1943	13295.7715	12159.0977	14710.4238	13023.1387	13909.4629	12510.377	13987.8506	13146.252	11272.6191
1.7345	11996.8799	11823.2881	12746.6064	12916.8672	14062.8516	13971.4531	12932.8584	13423.2979	13805.1328	11714.4268	14584.1631	13417.3262	12100.3896	13409.085	12487.9004	12262.5127	12500.4912	15460.8271	13008.1523	13457.1514	15709.3115	19238.9453	11646.2275	13027.916	13140.0742	13636.3818	13948.7334	NaN	12764.6064	11175.9111	11840.4629	11522.0049	12011.3008	NaN	10937.8408	13332.4551	11421.8545	NaN	NaN	12741.8496	13188.4053	12194.292	NaN	14182.3652	10473.7676	11683.2832	12052.4736	12185.7803	14647.0166	NaN	13298.3584	12766.9258	13462.1514	12539.9092	NaN
1.8679	NaN	11781.5566	13626.3496	12964.0977	12900.8916	NaN	12955.6562	13433.4629	14441.7158	12339.6279	13747.1104	13150.7148	12060.8789	12369.5107	12869.2373	11714.4844	12414.1006	13976.3789	12309.9727	12512.8252	15305.2793	16953.8906	11334.1055	NaN	13613.9746	13782.04	13429.0615	NaN	13019.8135	10922.8311	11780.9121	NaN	12442.127	NaN	9941.7002	13401.6807	NaN	NaN	NaN	12409.8945	12486.666	12070.3252	NaN	13300.7998	11040.498	11657.0781	11797.2393	12730.9795	14875.7607	NaN	12922.2012	12574.8965	13315.3037	12328.1582	NaN
2.0013	NaN	NaN	NaN	12704.9619	12950.6191	NaN	NaN	13436.4229	14324.2803	11288.0996	13912.1758	13159.8613	12860.6777	11859.25	12254.4473	NaN	12561.7041	13465.1621	11614.6445	12349.5977	14184.9824	15140.9629	11238.3262	NaN	13283.1299	13693.8379	13725.6621	NaN	12353.4463	NaN	NaN	NaN	11800.2998	NaN	NaN	13056.4961	NaN	NaN	NaN	NaN	12187.4785	12326.2822	NaN	NaN	NaN	NaN	12114.9346	11986.207	14432.9736	NaN	12463.6494	NaN	NaN	12061.6025	NaN
2.1347	NaN	NaN	NaN	12749.0312	13088.0029	NaN	NaN	NaN	14448.1836	NaN	13451.1221	12640.665	NaN	10968.5029	NaN	NaN	NaN	11741.6113	NaN	12359.2617	13419.2119	14059.9551	11413.0732	NaN	NaN	13182.0957	13138.0439	NaN	NaN	NaN	NaN	NaN	11841.2256	NaN	NaN	12865.7627	NaN	NaN	NaN	NaN	12637.1436	NaN	NaN	NaN	NaN	NaN	12097.7646	11867.1895	NaN	NaN	12375.7646	NaN	NaN	12550.8438	NaN
2.2682	NaN	NaN	NaN	11926.5479	13370.2178	NaN	NaN	NaN	NaN	NaN	13084.4619	NaN	NaN	11476.2666	NaN	NaN	NaN	NaN	NaN	11568.1182	13365.0635	13484.043	NaN	NaN	NaN	13001.1553	NaN	NaN	NaN	NaN	NaN	NaN	12107.582	NaN	NaN	12779.2012	NaN	NaN	NaN	NaN	12926.4668	NaN	NaN	NaN	NaN	NaN	11454.0039	11539.7158	NaN	NaN	NaN	NaN	NaN	12779.4619	NaN
2.4016	NaN	NaN	NaN	NaN	12754.2217	NaN	NaN	NaN	NaN	NaN	12647.3047	NaN	NaN	11713.708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12004.0498	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11777.9229	NaN	NaN	13159.6924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11625.3184	NaN	NaN	NaN	NaN	NaN	12135.376	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11685.082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11289.8115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
