x	Y_20180130_15100b_13_1g	Y_20180130_15100b_16_10g	Y_20180130_15100b_16_8g	Y_20180130_15100b_2_11g	Y_20180130_15100b_2_3g	Y_20180130_15100b_22_13g	Y_20180130_15100b_23_11g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_9g	Y_20180130_15100b_3_1g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_24g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_5g
2.4016	66959.172	64399.867	61921.766	63660.039	46821.637	50169.316	59352.891	75660.758	43491.723	43410.109	80939.156	94100.664	45659.125	61663.527
2.535	94889.484	94768.922	93803.602	92397.609	68200.922	70733.906	86810.984	89750.477	50213.621	56498.633	87479.648	113251.211	57198.926	73001.766
2.6684	111725.828	115193.891	119975.898	115076.555	100772.781	94799.102	109555.062	73160.984	67890.688	80042.055	66385.945	87910.359	72562.219	77319.492
2.8019	89443.188	94258.148	106335.883	88949.898	108099.195	91352.844	91311.609	52826.695	87263.828	99618.773	45681.223	60789.457	68446.078	65357.754
2.9353	61808.633	65338	66537.781	57912.535	74876.242	66974.648	60980.918	44252.305	85154.125	82235.172	37200.031	48185.691	54595.941	46459.766
3.0687	50548.168	51367.617	51280.887	47416.793	50920.633	52992.402	45321.875	NaN	60221.969	60789.07	NaN	44715.391	44727.184	40986.242
3.2021	NaN	NaN	NaN	44424.637	39176.586	45614.086	39705.098	NaN	48249.746	47584.23	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	42549.645	36703.207	NaN	NaN	NaN	NaN	42919.707	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40374.199	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39578.711	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
