x	Y_20181208_15794_1_4g	Y_20181208_15794_10_11g	Y_20181208_15794_10_13g	Y_20181208_15794_11_5g	Y_20181208_15794_12_14g	Y_20181208_15794_13_8g	Y_20181208_15794_13_9g	Y_20181208_15794_19_10g	Y_20181208_15794_19_16g	Y_20181208_15794_19_18g	Y_20181208_15794_22_5g	Y_20181208_15794_23_8g	Y_20181208_15794_24_13g	Y_20181208_15794_26_15g	Y_20181208_15794_26_19g	Y_20181208_15794_27_13g	Y_20181208_15794_27_6g	Y_20181208_15794_28_9g	Y_20181208_15794_29_8g	Y_20181208_15794_29_9g	Y_20181208_15794_3_5g	Y_20181208_15794_3_8g	Y_20181208_15794_30_8g	Y_20181208_15794_4_17g	Y_20181208_15794_5_11g	Y_20181208_15794_5_6g	Y_20181208_15794_7_14g	Y_20181208_15794_7_8g	Y_20181208_15794_8_5g	Y_20181208_15794_9_20g	Y_20181208_15794b_1_5g	Y_20181208_15794b_2_3g	Y_20181208_15794b_6_3g
1.3342	28236.748	32733.5352	27350.9355	30644.7031	28888.1934	32894.75	32329.1621	28417.3574	26436.3555	28960.7207	26091.8867	24646.3008	30177.6699	31521.1719	28134.9102	30094.4492	29932.666	30049.8301	29654.5605	29529.2461	30095.7188	32092.4297	27784.4297	30783.8379	31867.1289	28385.291	29177.8125	32729.9375	27408.0215	32299.7441	30405.7051	29382.1387	29955.3867
1.4676	29152.4863	31774.4277	27839.1719	29380.1934	29892.5781	32480.2871	31928.7949	28822.0938	26788.0332	28901.0566	26831.4668	25412.3789	30845.752	31450.1504	29112.7578	29996.4609	30024.3164	32192.3828	29287.2441	28480.6016	29722.502	34159.4531	26911.3047	30062.3359	30243.4023	28896.6582	28949.3105	30905.0957	28549.1953	31395.3164	30471.5977	28124.9395	30239.4746
1.6011	29655.4082	31463.8223	28795.832	29104.7363	29359.8066	30544.2305	30685.6406	28245.8848	28354.2344	29329.0117	25886.1367	25363.2207	30115.9434	31842.7461	28213.4863	30068.5215	30212.918	30319.2852	29135.1777	28327.1016	29393.1719	31203.957	27104.6641	30929.1855	30874.334	28745.1191	29134.1855	30408.6348	29205.9688	30328.1348	30146.5508	28619.1719	30535.9805
1.7345	30022.2148	30350.6191	28841.9922	30444.9023	31085.3242	31694.3281	30988.2676	29489.5566	24995.625	30207.457	26971.2578	25732.123	30310.6328	33325.7148	28857.1543	30013.3828	29875.8262	30385.0391	29056.3965	27835.2695	29276.4844	32039.8457	27214.6504	30497.668	30970.125	30094.2266	29654.6328	31839.5684	30077.8203	30137.2461	30011.4512	29387.375	29686.4727
1.8679	29740.0586	30996.2344	29786.8613	30195.3535	30192.6465	31072.1133	31562.6934	28484.1602	26485.6719	30275.4492	27070.3223	25980.5039	30451.9082	32758.498	29808.0039	29644.4062	30107.0332	30969.6797	27745.0977	29238.0078	29339.8848	31359.1973	25807.6816	29817.0078	30596.8555	29427.9316	28808.0781	32518.9297	29555.5156	29884.3418	29452.3242	29024.877	29914.5859
2.0013	30480.4004	31704.3906	30243.6582	30530.0098	30372.6992	31931.4746	32286.6758	29730.4434	26075.2168	29559.8125	26330.209	25099.5039	30893.4805	32770.4648	30109.0898	31433.9863	29091.4062	32201.1094	28671.291	29952.416	29982.4121	30326.9238	26979.5684	30309.2246	30113.5488	28578.4551	30180.7773	31373.2207	31835.5039	30917.5508	29595.0137	29484.9961	29920.4062
2.1347	30485.123	33293.0234	31195.9023	30501.1543	31817.6094	32414.0117	32088.0898	29759.3125	26055.6094	29118.7695	26774.707	26748.9961	31017	31716.4961	30461.0801	31521.4199	29798.9883	31819.6035	30113.9082	31266.8223	31978.2285	31596.1699	28193.7402	31307.9688	29192.6289	29552.4102	28772.1387	30613.5215	32170.5547	30662.6562	31622.3281	30765.6523	31531.0488
2.2682	34802.9102	36271.3906	31862.5566	30746.6055	33386.1133	31524.7461	32381.6484	30613.7656	27698.8008	29736.3203	27477.9902	27051.9531	31998.7539	32377.3066	35006.9648	33141.2422	29017.1133	32396.6035	31090.7383	35870.5859	33101.3086	31145.0605	28358.5273	31329.9844	30476.6699	29154.8984	28462.3457	30763.3984	32780.7695	30861.0059	32415.4023	32290.2305	31601.7129
2.4016	42371.7539	44660.8672	36331.2188	32771.7383	38607.4531	31533.627	33468.0469	28872.1504	26741.3809	30698.9512	28992.4121	28660.625	33402.293	33289.5469	39163.1914	35029.7148	29229.3477	33813.125	30265.4766	47790.625	35856.8828	30465.752	30937.2832	30739.8125	30271.998	28556.9004	30397.7832	33294.3398	34930.5625	30195.9395	32359.4414	30684.334	31803.0156
2.535	59585.4023	60919.4648	47937.1602	37743.7539	54669.6484	32462.4512	34987.625	29086.9023	27452.918	31213.1523	30469.1699	28913.3262	33066.9883	34991.7734	52841.5273	45072.8555	30063.7246	35622.4297	32187.5332	67786.2578	42068.168	31677.4727	37914.1055	32249.0566	29353.3379	30078.9277	31974.627	34606.0938	39897.4844	32081.8379	32936.2695	33135.1758	34334.7188
2.6684	71565.6953	96012.9219	58980.2891	47919.418	81095.0234	33720.3555	43699.5977	33210.5234	27469.3555	30987.3984	36396.25	32965.043	35317.8359	43926.4375	80564.2578	60622.9492	31569.9316	39463.957	37875.0508	86151.3516	57294.9062	32950.3711	53628.3008	34517.668	28475.2617	30351.6699	37906.4766	38841.0781	54158.5117	31649.4922	31828.4219	37626.9609	38850.793
2.8019	59434.625	116768.2188	58989.9844	69922.7578	91043.8281	35477.3633	60887.7617	39237.0781	29546.5273	31815.625	48569.5391	46106.9492	39097.2148	61217.3984	95326.7422	69662.7031	33681.9453	48924.6133	44622.0703	79156.1484	87334.7578	33512.8945	66030.2969	41910.2617	31185.2266	34048.1367	47666.3594	50954.2461	69303.2578	31946.4883	32441.2773	51494.7734	50501.832
2.9353	42785.2305	92696.8906	45967.2891	76599.3359	71272.6484	42561.6758	70176.2656	54858.0391	32386.6152	35365.2109	70538.5547	60926.9922	48262.6992	72246.6406	81590.6406	58231.1328	37763.832	58199.2266	51168.3086	53284.293	122993.3594	37011.3477	58142.5742	59032.0625	33261.1914	41840.5469	58046.4844	70066.6328	63948.3945	34314.1641	35462.7461	66212.9297	66016.4062
3.0687	34237.3984	62386.0664	35062.0508	58621.0391	46410.3164	61853.582	58159.3242	67944.4141	41812.5586	42175.6992	87723.4609	60633.4766	65778.8906	57395.5977	63103.7891	44449.4375	49538.9297	55498.668	45986.0781	39541.5508	110718.2969	42408.3672	42390.8828	71209.7812	41130.6055	58992.5859	57876.1641	70463.6328	45725.9062	38640.5391	41171.6328	61406.832	67543.9062
3.2021	32086.4453	44662.0938	32408.2109	45703.9805	36407.0195	78847	43700.6875	56592.2812	64472.5625	48833.1172	71025.9531	46729.7188	74284.4688	41493.5117	43803.4883	41737.6406	52909.668	45583.7891	37139.4961	34651.3359	72523.6094	50330.6445	36263.0625	61123.4375	56283.4023	69541.5156	45721.6914	51805.6055	36544.1445	49970.3281	55734.8516	45811.5898	53183.7422
3.3355	30426.1914	36711.1016	30986.748	39125.332	32458.873	72811.3984	38604.8633	41471.6289	79742.8828	49283.0938	44770.1133	33775.6719	62119.9102	36676.8164	36274.9531	38644.0508	45746.1562	39228.6719	33255.0625	33085.6914	46703.7148	50250.9297	33197.6094	46647.8438	77888.3359	61396.3555	37224.7617	38293.5156	32795.5195	63105.6406	72636.6875	37351.3438	40128.6328
3.469	29353.5566	35992.7734	30217.8516	39544.293	29756.6406	53240.5703	36114.293	32729.7129	68714.0078	41929.1406	35087.2734	31364.5742	46194.0156	35225.1445	32605.1016	NaN	37181.1758	34601.6289	30538.4844	32643.0078	38046.5859	42285.0859	NaN	39649.457	82417.7812	43114.1367	33520.0078	33763.3828	31037.2754	70806.3906	71846.4766	34401.7344	34123.4375
3.6024	NaN	35961.8398	30188.6641	NaN	30008.5566	40393.168	34224.7031	31055.4258	48522.543	37704.707	34385.3906	28783.0859	38469.0391	34651.2344	31227.0898	NaN	33720.375	32751.9844	29927.2637	NaN	34689.4023	38099.332	NaN	34103.0117	59250.1836	34619.6719	31028.9531	33231.6953	30074.5645	53656.1289	54456.3984	NaN	32709.1133
3.7358	NaN	NaN	NaN	NaN	29785.418	36110.3633	NaN	30052.5176	36889.2461	34685.3086	35662.375	27219.6562	35734.1484	36206.0547	31876.623	NaN	32853.9023	32641.7266	NaN	NaN	33115.5977	35702.2969	NaN	32931.7422	41848.5547	31640.1699	31000.2285	NaN	NaN	40761.7305	41557.3633	NaN	32272.2383
3.8692	NaN	NaN	NaN	NaN	NaN	33062.3828	NaN	29524.1875	32075.3906	33495.6172	NaN	NaN	32877.1602	NaN	NaN	NaN	31019.9648	NaN	NaN	NaN	32684.5293	NaN	NaN	NaN	36461.0234	30995.0703	30936.2266	NaN	NaN	32951.8633	36342.082	NaN	31881.2051
4.0027	NaN	NaN	NaN	NaN	NaN	32451.3281	NaN	30954.2812	31776.2539	31836.5684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33914.0625	NaN	31567.3945	NaN	NaN	31520.0586	33210.1641	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	34676.3477	NaN	NaN	31068.918	32847.4688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32354.0859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30231.5254	33592.1953	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33894.3945	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38583.0273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
