x	Y_20181208_15693_10_11g	Y_20181208_15693_11_5g	Y_20181208_15693_12_8g	Y_20181208_15693_14_10g	Y_20181208_15693_14_11g	Y_20181208_15693_15_3g	Y_20181208_15693_17_5g	Y_20181208_15693_17_9g	Y_20181208_15693_18_2g	Y_20181208_15693_18_9g	Y_20181208_15693_4_1g	Y_20181208_15693_5_15g	Y_20181208_15693b_1_13g	Y_20181208_15693b_10_12g	Y_20181208_15693b_13_12g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_13g	Y_20181208_15693b_3_1g	Y_20181208_15693b_6_4g	Y_20181208_15693b_7_3g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_6g
2.2682	15790.623	14220.6045	11983.0518	13589.1709	14240.4404	13383.2617	14112.4395	13178.1729	14481.9551	12803.0039	11631.5674	12804.2432	16401.6875	16319.9355	13064.6289	14158.1777	14264.7139	14277.0254	16270.6514	14640.332	12674.4453	16291.8516
2.4016	14953.1484	14996.1387	12616.3477	13827.0293	13758.5312	13140.3184	13473.2969	12443.8594	14285.8477	12657.1416	11410.4336	12746.708	18323.1816	16809.7383	12717.3291	14847.3398	14946.7822	13837.5059	16524.7344	14763.2998	12318.2959	15702.7471
2.535	14440.873	13822.7539	11832.0674	14114.2891	13222.7822	13113.543	12773.3887	12516.1611	13484.3633	11876.084	11731.5771	12284.7314	20838.2598	14939.4336	12922.3867	13476.8828	13588.2676	13428.9473	16643.7305	15054.2354	12224.4873	15707.916
2.6684	13885.3789	14211.7061	11727.377	14209.5293	12799.6445	13397.5049	12272.2402	12254.6045	12785.6953	12087.2568	12079.4375	12009.9053	21367.2891	13877.4951	12348.0137	12711.8672	14005.9092	13049.459	17909.2363	14739.9521	12430.2578	14200.3105
2.8019	13603.3135	13834.9619	11945.3057	13992.6416	11625.4922	12088.5713	11754.0127	12153.5977	12586.6475	11687.0918	11908.5	12103.083	20794.2695	13278.3623	12404.6641	12615.8457	13712.6494	13261.3936	17700.8359	13177.3691	11999.9443	13873.9639
2.9353	13365.2207	13338.4268	11646.3926	13095.5742	11395.4619	11684.4873	11096.2217	11397.1016	12206.0254	11245.8262	11497.5518	12600.4238	18674.2852	12212.0674	12735.3574	12292.6504	13747.9902	13182.9492	14568.7646	12439.4189	12110.4102	13529.7119
3.0687	13030.7197	13165.1357	11488.3975	12612.1201	11188.499	11666.0479	11213.9023	11310.8066	11217.3252	11901.8252	11212.042	12772.9014	16951.0391	12529.8232	12497.7344	12261.1035	13536.6748	13129.4033	13353.1797	11219.0723	12187.0664	14111.1426
3.2021	12031.0908	12867.8418	11002.6309	11892.0723	10917.9541	11460.1104	12193.9463	11737.4658	11986.1689	11600.3682	NaN	12370.9473	15354.1885	12038.0645	11863.1611	12260.7568	14081.7725	12791.6123	12051.9199	11669.4688	12233.2842	13381.3408
3.3355	11301.8906	12869.2002	11260.5391	11341.9785	10845.8643	10649.7412	12184.2529	11826.835	11549.1787	11407.8281	NaN	12775.1572	14150.248	11438.0322	NaN	12046.9746	14091.083	12306.7842	11934.2529	10966.8906	NaN	13388.96
3.469	11002.5303	12543.165	11513.5059	11660.1318	10478.2393	NaN	12263.5527	11306.2734	11771.0518	12009.0596	NaN	12026.2441	13386.2363	11147.2734	NaN	11922.6904	NaN	12037.3604	11771.9385	11007.5762	NaN	12338.0186
3.6024	10186.1895	NaN	NaN	NaN	NaN	NaN	12581.8477	NaN	12391.3662	10949.5059	NaN	11562.0762	13494.8359	NaN	NaN	12207.2227	NaN	12231.0449	11537.7393	10897.3701	NaN	12441.6719
3.7358	10210.1182	NaN	NaN	NaN	NaN	NaN	12538.1162	NaN	NaN	11224.7998	NaN	11180.5732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10907.5576	NaN	12163.9385
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	12431.9717	NaN	NaN	11135.5283	NaN	11810.7354	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12584.1709
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11056.3564	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12832.2129
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11607.7158
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11655.6367
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12201.5273
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
