x	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_6g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_6g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_6_2g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_2g	Y_20181208_15692b_9_4g
2.1347	34351.543	76287.1641	38459.9297	32605.3555	85214.8594	57561.5117	47695.1992	74260.3203	79025.7891	64101.4375	69750.8203	92271.9609	32826.5156	53730.0508	54729.418	84458.5625	85205.5781	38511.0469	45208.6172	40848.5078	92696.4844	38521.3789	58749.0352	65537.6094	48363.4414	59235.5977	59068.3828	53055.3633	59591.5469	47547.1484
2.2682	40836.6953	55255.3008	36019.3125	29119.0996	62357.5664	43236.6055	40836.9922	50886.4414	56007.7578	54454.5234	66809.0938	128693.625	31427.209	74260.2344	41214.2188	71651.25	59571.5312	34769.1992	38717.9961	44562.0352	64980.2227	37198.3789	53780.8906	44707.5	36071.3203	NaN	43254.7812	59326.2695	42502.1484	46121.9688
2.4016	54555.8594	42564.1328	34944.6602	28835.4297	NaN	35675.1875	36272.5117	37419.0469	43924.3867	39316.3594	51145.7188	116680.25	29796.4453	65313.6797	36619.6484	50931.832	41933.0586	31440.8008	35636.2695	54116.9922	44016.8555	35335.3633	43610.668	36361.9062	30805.8379	NaN	37623.4258	48541.957	35267.0859	61664.3164
2.535	59490.6641	36826.5391	NaN	NaN	NaN	33077.9453	33806.2422	34401.2812	NaN	35149.5195	40314.6641	75347.5469	30568.248	46895.5703	35214.4219	38536	34848.5586	32452.0605	NaN	NaN	35667.5078	37564.6719	35456.8867	32865.9414	28530.332	NaN	35571.5234	37133.9961	32418.1426	85223.6875
2.6684	47193.3594	34233.4062	NaN	NaN	NaN	31437.8691	33006.0547	31820.9883	NaN	31429.6211	35904.4375	49245.3086	NaN	38010.6211	35149.1797	34342.5312	31056.418	31718.2812	NaN	NaN	33672.5352	38578.9375	33018.8594	31000.9727	27754.623	NaN	34637.1211	33724.9922	33084.75	81918.3438
2.8019	37867.9414	NaN	NaN	NaN	NaN	30379.2344	33641.5078	30900.0098	NaN	NaN	32754.5547	40081.6523	NaN	33102.5273	NaN	30978.3672	30612.4004	31932.5352	NaN	NaN	30925.5508	NaN	32088.0039	NaN	NaN	NaN	NaN	33065.918	32652.6719	58514.8125
2.9353	32985.7188	NaN	NaN	NaN	NaN	28859.4102	NaN	NaN	NaN	NaN	32852.9766	36784.9062	NaN	32981.6562	NaN	NaN	NaN	NaN	NaN	NaN	30517.4395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45480.7188
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32650.4902	34518.4648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37222.9102
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34840.4336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34230.0352
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33905.6406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34204.6875
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32863.0469
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
