x	Y_20181208_15794_1_10g	Y_20181208_15794_1_2g	Y_20181208_15794_10_10g	Y_20181208_15794_12_14g	Y_20181208_15794_12_5g	Y_20181208_15794_12_7g	Y_20181208_15794_13_11g	Y_20181208_15794_13_6g	Y_20181208_15794_14_1g	Y_20181208_15794_16_2g	Y_20181208_15794_16_5g	Y_20181208_15794_16_7g	Y_20181208_15794_17_1g	Y_20181208_15794_19_10g	Y_20181208_15794_19_12g	Y_20181208_15794_19_1g	Y_20181208_15794_19_9g	Y_20181208_15794_2_9g	Y_20181208_15794_21_6g	Y_20181208_15794_22_1g	Y_20181208_15794_23_4g	Y_20181208_15794_23_8g	Y_20181208_15794_24_14g	Y_20181208_15794_25_2g	Y_20181208_15794_26_12g	Y_20181208_15794_26_1g	Y_20181208_15794_26_3g	Y_20181208_15794_27_8g	Y_20181208_15794_28_1g	Y_20181208_15794_28_2g	Y_20181208_15794_3_10g	Y_20181208_15794_3_12g	Y_20181208_15794_3_14g	Y_20181208_15794_3_9g	Y_20181208_15794_4_6g	Y_20181208_15794_4_9g	Y_20181208_15794_5_8g	Y_20181208_15794_6_11g	Y_20181208_15794_6_15g	Y_20181208_15794_6_19g	Y_20181208_15794_6_5g	Y_20181208_15794_7_8g	Y_20181208_15794_7_9g	Y_20181208_15794_8_12g	Y_20181208_15794_8_1g	Y_20181208_15794_8_7g	Y_20181208_15794_8_9g	Y_20181208_15794_9_7g
2.8019	NaN	32479.1855	NaN	NaN	NaN	28739.3809	36974.2109	NaN	31636.7285	NaN	32256.4102	NaN	39301.8438	NaN	NaN	59868.9844	35822.8711	NaN	NaN	31222.5801	32188.918	NaN	33758.6953	NaN	30712.2871	NaN	28946.0918	28043.1387	28548.4453	NaN	34699.1797	28987.1797	NaN	33713.4727	NaN	35907.1289	33712.5	55534.6641	NaN	NaN	NaN	35173.3984	NaN	34647.4922	NaN	NaN	31473.4316	32538.5293
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	32987.9766	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32388.959	29856.8379	NaN	35564.5273	NaN	29738.7793	NaN	29189.9395	NaN	NaN	NaN	33813.75	NaN	NaN	32077.7715	NaN	NaN	NaN	39607.082	NaN	NaN	NaN	33612.1836	NaN	NaN	NaN	NaN	31721.7207	31957.9902
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	35017.0234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32238.4414	NaN	NaN	36969.3594	NaN	29487.1621	NaN	NaN	NaN	NaN	NaN	32607.5488	NaN	NaN	31963.2051	NaN	NaN	NaN	30961.0195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31223.623	32521.2676
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28486.3125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26726.5449	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26166.9688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
