x	Y_20181208_15694_1_17g	Y_20181208_15694_1_4g	Y_20181208_15694_10_11g	Y_20181208_15694_10_2g	Y_20181208_15694_11_4g	Y_20181208_15694_11_5g	Y_20181208_15694_11_9g	Y_20181208_15694_12_14g	Y_20181208_15694_12_8g	Y_20181208_15694_13_14g	Y_20181208_15694_13_15g	Y_20181208_15694_16_1g	Y_20181208_15694_16_2g	Y_20181208_15694_16_9g	Y_20181208_15694_19_11g	Y_20181208_15694_19_9g	Y_20181208_15694_2_1g	Y_20181208_15694_2_3g	Y_20181208_15694_21_4g	Y_20181208_15694_22_7g	Y_20181208_15694_23_18g	Y_20181208_15694_23_21g	Y_20181208_15694_24_14g	Y_20181208_15694_24_3g	Y_20181208_15694_26_15g	Y_20181208_15694_26_17g	Y_20181208_15694_26_6g	Y_20181208_15694_27_6g	Y_20181208_15694_28_8g	Y_20181208_15694_28_9g	Y_20181208_15694_29_8g	Y_20181208_15694_29_9g	Y_20181208_15694_3_18g	Y_20181208_15694_3_4g	Y_20181208_15694_30_8g	Y_20181208_15694_5_6g	Y_20181208_15694_5_9g	Y_20181208_15694_7_14g	Y_20181208_15694_9_13g	Y_20181208_15694_9_4g	Y_20181208_15694b_1_4g	Y_20181208_15694b_2_3g	Y_20181208_15694b_2_4g	Y_20181208_15694b_6_10g	Y_20181208_15694b_6_1g
2.1347	11475.9717	13815.1348	15447.29	11914.333	11878.7949	11729.3164	11855.1387	12063.1318	10979.4707	10933.9365	13457.1992	12789.4023	13285.043	12869.2969	11277.0293	12221.6797	12293.6904	13344.3281	13466.209	11039.2891	11859.3242	15843.9717	11326.8379	11387.916	14222.1494	13458.2275	12682.0762	11186.9385	12952.5811	14646.5762	12129.2324	13258.916	12583.3457	15126.0977	10975.0986	12697.1279	13178.1719	11747.0195	12206.7031	15447.2959	13743.3086	10546.3916	12369.1172	11881.9971	12355.7686
2.2682	12328.2842	12625.457	14826.833	12434.6992	11070.5762	11849.75	11812.7471	12465.4473	10819.5684	11565.0625	12795.627	13087.7793	12760.0586	12756.5088	11630.0859	13036.0518	11629.9844	12178.0205	13705.1943	11300.9912	12425.2637	15737.2432	11737.916	11448.9277	12873.292	12578.9482	12777.3096	11459.0479	13274.5762	15216.458	12770.3428	13091.8643	11932.5	16547.1719	11151.4482	12546.8691	13213.5088	12037.6523	12088.5371	14915.4854	13153.6484	10610.0576	11484.127	11779.5215	12899.5947
2.4016	11528.2148	13100.7432	15160.6182	13665.7695	11383.3877	11678.8701	12433.7383	12416.9121	10384.6543	11610.9678	12451.8145	13194.1943	12074.0713	13785.8877	12189.3389	13840.832	11727.1475	11916.9492	13263.3662	10704.8301	12982.0938	15381.8779	12461.5107	11777.8379	12967.3271	12109.4902	12634.4697	11860.7461	12967.1826	13648.7051	12833.085	12078.2314	12152.4639	17874.0547	11114.0293	11745.2773	12222.5342	12586.8936	11966.3125	13598.5801	13180.8428	10427.8184	12095.4004	11837.459	13254.5439
2.535	10736.1816	12694.6016	14136.2598	12377.4316	12043.3936	12474.3828	12584.8145	13262.2979	10438.3506	12027.1602	12870.3916	13209.2256	12215.6465	14773.6963	12115.498	12973.0283	11739.9717	11554.8887	12712.627	10936.1699	12724.9863	15798.835	12034.2695	11597.5078	12908.2891	12182.7783	12658.6299	12761.3008	12458.8662	14164.6699	12544.4326	12284.9922	12043.9316	16795.6797	11942.2734	11672.3906	11630.4844	13091.3018	12438.6709	13760.4004	13436.2393	10886.5107	11997.1523	13009.2246	12623.0039
2.6684	11421.0986	12834.2871	13805.0078	11546.6826	12512.2285	13235.8916	11752.9326	13566.5889	10451.9668	12424.8125	11856.0391	12764.541	11514.6465	15271.0254	12901.9443	11431.0723	11635.2324	11622.4336	12577.4307	10990.9482	12825.1562	14881.4736	12313.5811	11509.5098	13103.5625	11574.4629	12065.8711	12581.9717	12327.9014	15006.9658	12925.3457	11977.9355	11679.5986	15690.2354	11681.5898	11879.4893	11583.749	13020.0771	12658.7705	13156.6943	12509.2881	11221.5986	12219.4795	12052.959	12191.4268
2.8019	11171.3359	12559.7549	13455.3594	10990.6904	13096.3652	13305.9482	11733.8359	14124.0635	10271.1895	12037.2275	11459.4453	13019.8369	11190.2568	15057.3281	14219.4561	11485.0469	11374.5674	11923.001	12304.5654	11153.1562	12322.0791	13740.3115	12112.6318	11643.4297	12199.4424	11917.2666	12027.1924	11745.5938	12019.5176	14740.8418	12738.1348	11652.7041	12066.79	13764.5723	11148.5586	12057.2734	11083.4346	12219.6699	12810.7646	12180.4502	12900.208	10856.2676	11821.4531	11809.334	11180.917
2.9353	10948.1484	11892.5996	13186.1211	11230.6064	12220.5293	13375.709	11972.9902	14120.8916	10498.4541	12190.4111	11884.5107	13137.3379	10763.5771	13759.7646	15339.5977	11089.2109	11636.2715	11652.9326	12019.374	10888.499	11267.3721	15216.0742	12345.3604	11957.1992	11879.7119	10885.9316	11989.0869	11994.9385	11999.2139	14862.2129	11935.0186	11417.8086	11799.2139	12847.7832	11504.5498	11755.4521	12120.5566	11995.1807	12348.2002	11409.793	12362.1162	10985.0752	11111.7168	11632.9258	11093.5674
3.0687	10510.6719	12027.0752	12958.4482	10545.7324	13008.0752	13274.3838	10941.1152	12916.0586	10173.0879	12274.8379	NaN	12776.8018	10541.3135	12982.5439	14909.7295	10756.9326	11455.4453	11603.0195	12925.5752	10739.4443	11983.4814	15440.7344	12000.6191	12003.4775	11538.0391	10674.9746	12155.877	11425.8643	12681.9326	13936.2803	11097.9004	11433.8799	11418.4102	12694.8711	10878.8896	12077.1709	12298.3311	11761.5801	11427.998	11381.7891	12857.4824	11088.8115	11910.6006	11282.0586	10670.3174
3.2021	10761.999	12042.0186	12928.6602	10658.1162	12151.1426	12973.5781	11157.4316	12443.7773	10838.7783	12117.292	NaN	12848.4209	10775.3604	12741.0732	13920.3857	10894.3662	12781.084	11434.4844	12751.4004	10991.1621	11920.8896	16515.9004	11560.0508	11989.1914	10912.9961	11317.7256	11971.0801	11093.0986	12575.1172	13029.7881	10667.377	11770.6992	11262.5371	11574.6807	11336.8701	12183.4785	11669.1885	11510.5146	12459.2334	11564.957	NaN	10417.2246	11245.0039	11743.6787	10865.6367
3.3355	NaN	11784.1416	13394.1182	10854.959	12030.4414	12987.085	NaN	11855.3271	10579.7188	11893.0986	NaN	12087.8516	11707.2051	12679.8691	12514.6172	11502.0215	NaN	11506.5332	12518.7773	11220.8447	NaN	15218.7666	11953.1533	NaN	11803.7148	11520.7891	11860.2021	11027.373	NaN	12598.9629	10479.7998	11304.4873	10931.999	11555.7012	10972.1582	11793.7461	11973.4404	11704.748	14019.4004	11448.7129	NaN	10642.0146	11954.5479	12657.2744	NaN
3.469	NaN	12412.5176	12806.7109	NaN	12594.5391	13243.2275	NaN	12102.082	10813.2715	11698.5068	NaN	11094.3301	12994.6006	11702.4658	12298.5967	11331.7256	NaN	11185.1777	12170.9902	NaN	NaN	14314.3965	11641.0488	NaN	12159.9746	NaN	11373.8945	10954.8008	NaN	12265.6982	11448.6357	11412.2109	11297.2656	12055.8701	NaN	11875.8965	NaN	11961.0264	NaN	11810.9346	NaN	10690.7979	11870.9541	12170.0479	NaN
3.6024	NaN	NaN	12705.5459	NaN	12522.1494	NaN	NaN	12530.8535	NaN	11946.3193	NaN	10876.3975	14074.707	NaN	11860.0771	12096.8428	NaN	11234.5586	NaN	NaN	NaN	14495.5547	NaN	NaN	11732.1201	NaN	11047.7627	10446.9395	NaN	11947.6738	11389.9062	NaN	NaN	NaN	NaN	11721.4404	NaN	12263.9404	NaN	11882.0469	NaN	NaN	12034.7471	12187.3115	NaN
3.7358	NaN	NaN	NaN	NaN	11679.2188	NaN	NaN	12563.9131	NaN	12274.6807	NaN	10669.2656	NaN	NaN	11164.9766	12510.9902	NaN	11860.0615	NaN	NaN	NaN	13136.7998	NaN	NaN	11838.377	NaN	11643.3291	11029.4609	NaN	12539.2695	NaN	NaN	NaN	NaN	NaN	11816.2334	NaN	12214.6914	NaN	12407.8525	NaN	NaN	11970.8809	11982.0996	NaN
3.8692	NaN	NaN	NaN	NaN	12370.2256	NaN	NaN	NaN	NaN	12743.8379	NaN	10846.7881	NaN	NaN	11388.3076	12959.6191	NaN	11491.9326	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10914.3184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12250.5264	NaN	11710.335	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	11721.3672	NaN	NaN	NaN	NaN	13233.3535	NaN	NaN	NaN	NaN	11661.165	13155.168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11873.9492	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	11644.248	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11332.085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	11640.4932	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11244.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
