x	Y_20181208_15794_1_17g	Y_20181208_15794_1_4g	Y_20181208_15794_10_11g	Y_20181208_15794_10_2g	Y_20181208_15794_11_4g	Y_20181208_15794_11_5g	Y_20181208_15794_11_9g	Y_20181208_15794_12_14g	Y_20181208_15794_12_8g	Y_20181208_15794_13_14g	Y_20181208_15794_13_15g	Y_20181208_15794_16_1g	Y_20181208_15794_16_2g	Y_20181208_15794_16_9g	Y_20181208_15794_19_11g	Y_20181208_15794_19_9g	Y_20181208_15794_2_1g	Y_20181208_15794_2_3g	Y_20181208_15794_21_4g	Y_20181208_15794_22_7g	Y_20181208_15794_23_18g	Y_20181208_15794_23_21g	Y_20181208_15794_24_14g	Y_20181208_15794_24_3g	Y_20181208_15794_26_15g	Y_20181208_15794_26_17g	Y_20181208_15794_26_6g	Y_20181208_15794_27_6g	Y_20181208_15794_28_8g	Y_20181208_15794_28_9g	Y_20181208_15794_29_8g	Y_20181208_15794_29_9g	Y_20181208_15794_3_18g	Y_20181208_15794_3_4g	Y_20181208_15794_30_8g	Y_20181208_15794_5_6g	Y_20181208_15794_5_9g	Y_20181208_15794_7_14g	Y_20181208_15794_9_13g	Y_20181208_15794_9_4g
1.3342	30654.9434	28236.748	32733.5352	25025.9883	31462.8828	30644.7031	32085.0898	28888.1934	25578.7363	31250.125	29942.7188	29546.9277	28752.793	29014.5527	29479.9648	29718.3945	25228.0742	33396.0859	29857.4824	31441.7441	29520.6875	28904.8555	30140.1738	26323.793	31521.1719	25450.4277	25624.875	29932.666	30690.2207	30049.8301	29654.5605	29529.2461	28339.1445	29012.8477	27784.4297	28385.291	32308.8633	29177.8125	31257.1816	31114.8086
1.4676	31782.3633	29152.4863	31774.4277	25597.0332	31685.7305	29380.1934	31377.9922	29892.5781	24819.7188	29262.0371	29346.6289	30660.9844	27522.3672	28907.7305	29498.6719	28927.0137	25940.9102	32125.416	30010.248	32440.4941	29728.3203	28186.6523	29936.5449	27879.875	31450.1504	26425.9922	24918.3379	30024.3164	28789.998	32192.3828	29287.2441	28480.6016	28599.332	28923.2559	26911.3047	28896.6582	32483.1094	28949.3105	32606.5645	29394.0469
1.6011	30537.9922	29655.4082	31463.8223	24712.1348	29448.334	29104.7363	30283.9297	29359.8066	25872.3457	29176.8535	30551.7852	30688.6543	26944.5781	30399.1758	28462.9629	29278.2051	25676.1328	34873.5	30936.4043	31373.9121	29383.9004	27856.8496	29090.002	26650.3066	31842.7461	26236.4551	27238.4023	30212.918	31626.9121	30319.2852	29135.1777	28327.1016	29667.1738	27358.2598	27104.6641	28745.1191	32818.0625	29134.1855	31365.416	29870.8145
1.7345	31531.2773	30022.2148	30350.6191	23983.9316	29235.4824	30444.9023	31347.8828	31085.3242	25706.2461	30001.6855	34478.293	31827.6816	27785.2207	30126.041	28116.8438	30393.1953	26291.3848	33156.5469	31536.0879	32495.7441	29031.2793	28951.1914	29667.998	26092.2559	33325.7148	25697.1777	26052.6816	29875.8262	32246.9648	30385.0391	29056.3965	27835.2695	29652.3574	28718.4023	27214.6504	30094.2266	32770.8633	29654.6328	33220.957	31040.7715
1.8679	33390.4531	29740.0586	30996.2344	24368.9121	29871.1445	30195.3535	34273.5703	30192.6465	25856.7578	29765.4395	40232.8711	30882.8555	27785.4043	32095.7461	27871.4277	29395.4941	26321.0586	30720.1973	31840.7988	34946.6641	28334.5352	30314.9805	30151.0645	26068.084	32758.498	27818.9902	26370.4961	30107.0332	33325.1484	30969.6797	27745.0977	29238.0078	32040.5078	30027.2109	25807.6816	29427.9316	32581.3613	28808.0781	35316.0273	29369.709
2.0013	37639.6797	30480.4004	31704.3906	26931.5156	31651.3457	30530.0098	35213.4922	30372.6992	25674.2441	30870.7617	57292.9922	31558.7793	27848.918	32611.3398	28761.7598	30900.2441	26373.2812	31357.5254	33192.5938	39939.2383	29277.3086	30369.5781	32077.5156	25902.1758	32770.4648	30072.5918	27097.0957	29091.4062	38714.5898	32201.1094	28671.291	29952.416	32173.9219	30985.3496	26979.5684	28578.4551	33195	30180.7773	37997.2031	31276.2051
2.1347	46558.4883	30485.123	33293.0234	26236.3105	31940.2441	30501.1543	33943.4688	31817.6094	26380.793	29760.4062	85649.3594	33118.3555	27745.8652	32999.1289	29137.5957	31744.9707	27008.8086	30131.1152	35061.543	53686.1602	31150.9355	30006.9609	31325.2422	28471.3164	31716.4961	33401.4102	28701.3789	29798.9883	45010.0195	31819.6035	30113.9082	31266.8223	34669.6211	31113.752	28193.7402	29552.4102	37404.8945	28772.1387	42126.1445	31972.0078
2.2682	62315.3555	34802.9102	36271.3906	31022.5859	31927.1797	30746.6055	34849.4844	33386.1133	26905.5332	30385.5117	91358.5078	31257.7363	28726.9551	32696.8516	29840.7734	33743.5391	28342.6289	31171.125	40489.0352	75974.0469	36506.3945	29592.5137	33667.125	31488.5957	32377.3066	39614.3906	31037.1738	29017.1133	58749.4141	32396.6035	31090.7383	35870.5859	43680.418	36273.9805	28358.5273	29154.8984	46948.1094	28462.3457	60188.2969	31755.8184
2.4016	71265.7344	42371.7539	44660.8672	39036.2227	31524.7715	32771.7383	40784.7305	38607.4531	30848.6855	32438.0723	73918.5781	31276.4121	31923.2402	36095	31040.2734	34914.3711	30434.8848	32410.1523	53640.9648	86772.2031	46398.6094	30566.4141	37389.9961	36166.125	33289.5469	53399.2344	36057.8594	29229.3477	70274.7734	33813.125	30265.4766	47790.625	56381.2969	49540.4062	30937.2832	28556.9004	75116.6953	30397.7832	89746.0312	33908.1367
2.535	58607.2109	59585.4023	60919.4648	48367.6055	32134.543	37743.7539	47195.8125	54669.6484	41956	34719.0391	55884.2812	32942.0742	37582.1211	44425.9297	35886.4062	42729.1367	36185.6562	32698.2461	66985.4297	68662.6797	43535.5156	32744.1074	45409.4062	48682.7812	34991.7734	62678.7148	48635.6758	30063.7246	56614.875	35622.4297	32187.5332	67786.2578	62818.4219	78240.2031	37914.1055	30078.9277	106956.0781	31974.627	96660.5703	39201.6289
2.6684	42274.832	71565.6953	96012.9219	48391.5312	32941.0703	47919.418	44785.5547	81095.0234	54927.6367	40662.0742	43648.6797	36044.957	56122.7852	61024.6055	48464.8203	59350.6211	40787.2188	33449.0938	62954.1953	46343.625	37792.5938	36756.5977	56720.4414	53162.9805	43926.4375	50902.3828	66680.1875	31569.9316	40563.8789	39463.957	37875.0508	86151.3516	52261.5586	94700.2031	53628.3008	30351.6699	96385.0469	37906.4766	66946.9531	50372.0977
2.8019	35872.7227	59434.625	116768.2188	36255.9766	39932.9102	69922.7578	37100.3242	91043.8281	50976.3203	58397.7852	38236.9922	43447.2109	77962.5	83985.6328	66575.5781	68165.8203	38606.1484	40155.3086	48057.293	38466.3828	33291.2109	48539.0547	55553.6484	43797.2383	61217.3984	36590.9336	65532.1328	33681.9453	35235.1641	48924.6133	44622.0703	79156.1484	39860.9219	80750.8906	66030.2969	34048.1367	66609.5312	47666.3594	45367.457	67392.7109
2.9353	32806.9492	42785.2305	92696.8906	29918.6562	52826.4609	76599.3359	32642.4492	71272.6484	38181.5898	84332.7344	36014.1133	50724.1602	81439.6719	78888.1172	76084	59377.2695	34611.5938	50182.0781	38420.1719	34427.1719	30741.8828	52430.6133	43552.1445	33743.2422	72246.6406	29254.6055	50252.1133	37763.832	32823.9609	58199.2266	51168.3086	53284.293	34106.875	53602.8047	58142.5742	41840.5469	49571.1328	58046.4844	38356.3047	68232.0078
3.0687	32367.959	34237.3984	62386.0664	25997.7617	65473.0234	58621.0391	31303.3418	46410.3164	30855.5996	81366.5469	NaN	46889.8828	58159.3281	55648.4688	70986.4141	42752.3789	35087.4961	64446.832	35913.2305	33749.2656	28973.7969	46997.1406	36771.4062	30542.0801	57395.5977	27928.2754	37367.8555	49538.9297	32536.0195	55498.668	45986.0781	39541.5508	32507.377	38776.0312	42390.8828	58992.5859	39673.0781	57876.1641	40713.2969	49955.8945
3.2021	31120.8672	32086.4453	44662.0938	25695.0977	58758.1133	45703.9805	29422.4473	36407.0195	27993.123	61415.6172	NaN	38664.3477	40681.9688	39713.6719	61493.0938	34902.2461	38798.9531	60622.918	33186.9062	33036.3203	30343.1387	38790.457	33883.3125	30585.9512	41493.5117	26095.6875	30541.0137	52909.668	32634.9141	45583.7891	37139.4961	34651.3359	30213.2227	33824.8203	36263.0625	69541.5156	34684.5938	45721.6914	38468.9883	35570.4336
3.3355	NaN	30426.1914	36711.1016	24252.457	43779.0352	39125.332	NaN	32458.873	27165.3477	45470.6406	NaN	32800.125	33286.3789	34132.832	47037.3398	33324.9609	NaN	47397.5938	34110.9688	32317.75	NaN	34755.9297	32780.8125	NaN	36676.8164	27355.0391	28932.9277	45746.1562	NaN	39228.6719	33255.0625	33085.6914	30742.3848	32597.1602	33197.6094	61396.3555	34423.918	37224.7617	35607.8984	31460.2676
3.469	NaN	29353.5566	35992.7734	NaN	34293.0977	39544.293	NaN	29756.6406	26527.5195	39430.9258	NaN	30828.5957	32399.4238	32299.2129	35419.8594	32147.3613	NaN	39215.1094	32320.5566	NaN	NaN	32833.2617	32442.7715	NaN	35225.1445	NaN	28197.6816	37181.1758	NaN	34601.6289	30538.4844	32643.0078	31131.1816	31632.3828	NaN	43114.1367	NaN	33520.0078	NaN	31907.459
3.6024	NaN	NaN	35961.8398	NaN	32318.248	NaN	NaN	30008.5566	NaN	37887.0508	NaN	30356.2891	30121.3867	NaN	31367.834	31307.9902	NaN	35936.2617	NaN	NaN	NaN	31864.4609	NaN	NaN	34651.2344	NaN	28409.1387	33720.375	NaN	32751.9844	29927.2637	NaN	NaN	NaN	NaN	34619.6719	NaN	31028.9531	NaN	31381.8379
3.7358	NaN	NaN	NaN	NaN	31490.207	NaN	NaN	29785.418	NaN	34772.5117	NaN	29971.0645	NaN	NaN	29463.4551	28754.9629	NaN	34033.2656	NaN	NaN	NaN	31277.3008	NaN	NaN	36206.0547	NaN	27911.0215	32853.9023	NaN	32641.7266	NaN	NaN	NaN	NaN	NaN	31640.1699	NaN	31000.2285	NaN	31721.2871
3.8692	NaN	NaN	NaN	NaN	30895.7715	NaN	NaN	NaN	NaN	31970.7734	NaN	28956.1074	NaN	NaN	29718.1973	29299.8398	NaN	33435.4531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31019.9648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30995.0703	NaN	30936.2266	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	31183.082	NaN	NaN	NaN	NaN	31468.916	NaN	NaN	NaN	NaN	30349.2969	29468.8965	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31567.3945	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	29128.6602	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30183.2129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	30200.6348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30804.2246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
