x	Y_20181208_15692_31_14g	Y_20181208_15692_31_5g	Y_20181208_15692_32_2g	Y_20181208_15692_32_7g	Y_20181208_15692_33_9g	Y_20181208_15692_37_11g	Y_20181208_15692_38_11g	Y_20181208_15692_38_12g	Y_20181208_15692_39_1g	Y_20181208_15692_41_1g	Y_20181208_15692_42_1g	Y_20181208_15692_43_12g	Y_20181208_15692_43_17g	Y_20181208_15692_43_4g	Y_20181208_15692_44_3g	Y_20181208_15692_45_16g	Y_20181208_15692_46_17g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_47_10g	Y_20181208_15692_47_11g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_7_7g	Y_20181208_15692_8_11g	Y_20181208_15692_8_7g	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_5g	Y_20181208_15692b_12_18g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_2g	Y_20181208_15692b_15_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_2_1g	Y_20181208_15692b_2_2g	Y_20181208_15692b_7_2g
3.2021	69554.4297	36544.7383	34805.3867	39015.4453	33864.0898	45539.3438	58947.2109	42585.1602	59073.3086	47115	29306.1719	71990.4453	33202.3477	29234.4785	43575.5625	43892.8477	36331.2852	38551.125	39172.7031	38956.5391	36734.2305	28375.0957	47057.3438	40301.7773	40766.4688	28176.7246	36340.4609	38392.4219	33799.7266	39820.5117	33167.9258	34037.9727	58554.5938	36127.2656	67640.9375	NaN	31331.8516	31548.4512	47428.6289	NaN
3.3355	43924.0508	34415.5117	33002.2617	NaN	31117.1445	37297.6367	44152.5938	35323.0898	42264.0742	35382.6094	27465.5547	58074.7148	32509.625	27532.4512	33864.7383	40342.1953	33771.4219	34689.293	34078.1328	34387.3125	NaN	NaN	NaN	36140.375	33750.1797	NaN	35047.6953	33226.8086	NaN	36953.5781	30270.5938	31925.9297	46552.7305	33184.1836	53870.7031	NaN	31048.1641	29373.4355	39375.2188	NaN
3.469	35231.4648	32990.9609	31872.8613	NaN	29185.4531	34905.6641	35969.5156	31760.7793	36659.8398	31371.3164	NaN	43470.9961	NaN	27964.166	30795.0293	36002.7812	33452.0195	31888.5156	34016.5039	31690.4316	NaN	NaN	NaN	35948.4297	28976.5996	NaN	33325.8672	NaN	NaN	34544.2148	30726.0234	30864.3457	42742.4531	33236.3789	38391.4102	NaN	30189.4707	30130.3809	36768.1641	NaN
3.6024	32659.5078	32395.3965	31362.0469	NaN	30150.8555	34337.6484	32031.4277	33495.5234	34173.4453	30749.8691	NaN	37797.2578	NaN	NaN	29398.0215	NaN	32755.375	NaN	32527.8906	31981.3867	NaN	NaN	NaN	33991.2148	27437.0352	NaN	32343.3789	NaN	NaN	32476.002	NaN	NaN	38975.5586	NaN	31334.4316	NaN	NaN	29361.9395	35233.4219	NaN
3.7358	30955.5215	NaN	NaN	NaN	29496.1367	33192.5	32084.7383	35784.8555	33355.0312	29139.127	NaN	34790.6875	NaN	NaN	28612.9629	NaN	NaN	NaN	NaN	30679.0898	NaN	NaN	NaN	35175.625	NaN	NaN	32439.1191	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28210.7012	NaN	NaN	NaN	34525.5781	NaN
3.8692	NaN	NaN	NaN	NaN	29056.5449	NaN	30416.0488	37946.375	NaN	28161.207	NaN	36194.832	NaN	NaN	28791.3477	NaN	NaN	NaN	NaN	31721.2383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27090.207	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28535.8223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26759.373	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25242.1406	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
