x	Y_20181208_15693_10_3g	Y_20181208_15693_10_5g	Y_20181208_15693_10_8g	Y_20181208_15693_11_12g	Y_20181208_15693_11_3g	Y_20181208_15693_11_5g	Y_20181208_15693_11_8g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_4g	Y_20181208_15693_13_5g	Y_20181208_15693_13_7g	Y_20181208_15693_14_3g	Y_20181208_15693_14_6g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_7g	Y_20181208_15693_15_8g	Y_20181208_15693_17_2g	Y_20181208_15693_18_6g	Y_20181208_15693_18_9g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_2_6g	Y_20181208_15693_2_9g	Y_20181208_15693_3_11g	Y_20181208_15693_3_7g	Y_20181208_15693_4_6g	Y_20181208_15693_5_1g	Y_20181208_15693_5_2g	Y_20181208_15693_5_5g	Y_20181208_15693_6_11g	Y_20181208_15693_6_6g	Y_20181208_15693_7_5g	Y_20181208_15693_7_8g	Y_20181208_15693_7_9g	Y_20181208_15693_8_7g	Y_20181208_15693_9_7g	Y_20181208_15693b_1_11g	Y_20181208_15693b_1_12g	Y_20181208_15693b_1_3g	Y_20181208_15693b_10_16g	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_7g	Y_20181208_15693b_10_8g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_4g	Y_20181208_15693b_12_5g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_3g	Y_20181208_15693b_13_4g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_15g	Y_20181208_15693b_2_3g	Y_20181208_15693b_2_7g	Y_20181208_15693b_3_18g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_12g	Y_20181208_15693b_4_14g	Y_20181208_15693b_4_2g	Y_20181208_15693b_4_30g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_23g	Y_20181208_15693b_5_26g	Y_20181208_15693b_5_9g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_3g
1.3342	11066.793	12416.2832	13113.6484	12460.625	11799.9531	13146.4326	13102.1582	14490.3945	12170.2871	14639.5596	11130.8418	12943.8867	11724.1533	12913.5732	12345.8789	14071.9463	12120.0518	14438.9678	12776.0645	12852.2949	11546.0713	14081.1074	14897.1074	17799.9844	12104.5625	12356.915	13208.2646	11305.7607	12755.1885	13487.3711	11092.4014	15232.8564	14400.0039	14157.209	11594.877	11575.9355	11361.8076	13050.585	13076.2998	15191.1797	12766.1289	12005.3242	14210.6982	12201.7832	15548.1709	12150.9336	15114.3525	12830.4609	12920.3516	15643.3291	13714.7822	12296.6689	12016.6406	12220.2305	13590.7744	10905.8662	12778.0264	11123.9365	12378.6914	14324.7783	12801.6074	11516.1846	12419.709	12391.998	10978.4609	12739.2197	14594.8184	13493.7061	12150.3867	13525.4736	13136.0332	14125.3262	15391.9814	11909.9453	16450.3652
1.4676	11536.6621	12332.7852	13175.0518	12257.8008	12358.5781	13198.0146	12634.6338	13711.2451	11602.3281	13555.3008	11529.958	12449.3457	11617.8711	11880.4297	12666.8965	13787.2412	11299.7334	13315.373	13130.6572	12696.0752	12137.708	14343.1885	15851.834	15684.835	11773.502	12708.0684	12437.9775	10797.75	12201.1084	13270.6406	11520.4492	13485.418	13618.0684	13258.6934	11273.2754	11326.5146	11752.3857	13104.3066	12570.9756	15453.2061	11968.917	11979.4365	13214.2441	12397.5225	15434.1836	11205.1689	14219.1084	12213.4102	12957.2773	13840.249	13044.167	12124.4863	11478.5469	11451.9072	13739.3252	10628.1064	13599.9648	10672.7715	13118.9199	12651.4385	13615.21	11046.0059	12344.7773	11759.5898	10929.0928	11721.0869	15430.6396	13151.8633	12707.8828	NaN	13029.665	13197.2959	14982.8447	11487.1494	14216.5625
1.6011	11936.2373	11936.3447	12471.4062	12867.7451	11885.2461	12339.1602	12162.4102	13138.6758	11602.3496	13837.8994	11734.1553	12559.5273	11003.3096	12752.1582	12341.0703	13899.5459	11709.8154	12776.251	13284.2666	12082.7305	11508.2793	13097.4775	15899.1611	14193.46	11285.4023	12040.7529	12960.373	10584.0635	12289.2422	12539.9258	11986.7197	13396.2705	13057.752	12142.1436	10864.1758	10886.79	11775.8066	12778.8047	11955.1201	15656.5518	11070.0605	11771.2295	11957.7617	12290.1895	15379.0459	11196.5439	12332.377	11793.7021	11916.7158	13652.5684	12558.4307	12191.3799	11334.4873	11400.376	13006.1807	10419.5732	12895.8828	10629.0684	12834.2764	12396.5215	13407.7393	12319.0547	12408.6787	12254.291	10950.3652	11829.416	13788.3037	12447.4756	12852.5195	NaN	12281.625	12171.4102	14112.1709	11495.3291	14989.5312
1.7345	11529.7061	11234.418	11944.8926	12631.0625	11142.6904	12540.9531	11505.6475	12429.6367	11944.667	13182.3613	12219.1143	12111.1885	NaN	12604.5889	12290.5547	13581.2803	11605.5127	12810.3408	12895.7021	12268.8555	12257.0703	12672.54	14984.3359	13278.8076	10403.0352	12367.752	12381.3223	11353.1865	12803.8779	11469.4629	NaN	12944.0029	11988.4512	11993.3457	10926.1006	10966.1553	11594.0625	13332.6826	12421.5215	15292.3906	10945.7881	11900.2168	11370.9863	13251.1953	15080.4385	10576.9668	11811.5801	11414.167	11382.3047	13359.8184	12155.4014	11323.5264	10859.7051	11774.5244	12147.1299	11184.2598	13104.5605	10750.8711	12208.9053	12953.7988	13032.9102	12076.9258	12425.9541	11510.9453	10907.6406	11337.0371	12239.5146	12213.96	11210.0186	NaN	11189.792	11822.3896	13297.6006	11557.9648	13067.3516
1.8679	11447.1025	11077.6494	11878.127	13014.4297	10833.749	12990.9385	12455.5947	12548.6377	11823.1836	13120.2041	12238.8457	12259.5537	NaN	12464.7148	11919.8291	12988.5117	11192.7168	12026.9648	12265.2158	12285.4365	11701.0186	12699.0791	14330.2002	13284.1855	10446.9404	11837.9092	12125.375	11131.2998	12788.0605	12205.832	NaN	13588.2051	12194.6084	11735.6758	11058.0732	10961.2578	11262.1064	13087.999	12006.499	14282.4512	11513.376	11845.0225	11279.7949	14229.9004	14092.166	10609.2148	11286.3203	11835.626	11965.4258	13381.6826	12330.1592	10911.3828	11194.6064	11919.6113	11486.3652	10980.9932	12785.9365	10599.3291	12344.0195	11995.4102	12557.6543	12176.4512	12192.7998	10757.7686	11149.957	11826.5146	11851.4688	12173.4775	10865.2119	NaN	11126.4023	11466.0488	12651.9678	11721.8193	13335.5938
2.0013	11933.6318	11283.7793	12362.8262	13799.7959	10976.4014	12982.7939	11813.2266	12910.417	11643.4014	12674.873	12476.7969	12437.5332	NaN	NaN	12519.9873	12951.5264	11741.5	12077.2373	11917.0498	11659.8066	11392.4824	13140.6943	13018.9941	12600.9941	10786.96	12538.3457	12005.4404	NaN	12238.2998	12193.0586	NaN	13671.3594	12092.3516	11860.2119	11069.7432	10555.8906	11431.1221	12785.5049	12190.8066	13660.4297	11338.7412	11995.5479	11841.8701	NaN	14030.041	10544.2676	11625.7002	11164.0771	12621.5488	12378.4131	13420.3789	11043.2432	11757.6914	11573.209	11258.4541	NaN	12592.4863	9908.459	12300.7881	NaN	12102.2822	12368.0615	NaN	10818.249	10312.0264	11694.9189	11392.0518	11644.4092	10667.8711	NaN	11415.4014	11392.6348	12065.6738	11619.5977	11597.0342
2.1347	12356.7812	11138.1387	12208.2188	13720.1895	NaN	NaN	12553.3193	12132.5615	11517.5527	NaN	12940.1377	12868.873	NaN	NaN	NaN	13256.4629	11774.1182	11951	12135.7021	11683.7959	11280.1094	12570.7051	12788.668	11846.0215	11384.6699	11938.041	11378.5771	NaN	NaN	NaN	NaN	13165.4961	12157.0879	11817.3301	10899.1396	10387.9531	10905.6777	13061.7334	13015.7939	13123.832	11753.4121	NaN	11663.3262	NaN	13170.001	10891.1055	11725.0508	NaN	11478.0098	11461.8955	13353.3789	10647.915	11414.5986	11841.7002	11555.6602	NaN	12272.832	10315.1787	11960.1592	NaN	11873.5869	NaN	NaN	11244.4521	11313.7031	11590.1602	11368.833	12530.5811	11129.9697	NaN	11597.9824	10596.8838	11711.7402	11681.9258	10611.4473
2.2682	12237.7861	11244.6328	12034.2129	12558.5186	NaN	NaN	NaN	12513.3516	12004.1504	NaN	12749.2861	12060.1699	NaN	NaN	NaN	12651.334	NaN	NaN	12327.3389	NaN	NaN	NaN	13285.2695	12766.6582	11199.8066	11327.8203	10521.3535	NaN	NaN	NaN	NaN	NaN	12059.6973	NaN	NaN	NaN	NaN	13231.9736	NaN	13565.3447	NaN	NaN	NaN	NaN	12695.1133	10604.3418	11509.2578	NaN	NaN	11458.2529	NaN	NaN	11154.1592	NaN	NaN	NaN	12424.7881	NaN	NaN	NaN	NaN	NaN	NaN	10700.8965	NaN	12412.0352	11609.8037	11864.1465	11136.4248	NaN	NaN	10411.623	10842.0654	NaN	10982.501
2.4016	12211.9814	NaN	NaN	12946.834	NaN	NaN	NaN	11954.5879	11497.1562	NaN	NaN	11692.793	NaN	NaN	NaN	12660.5195	NaN	NaN	11953.5684	NaN	NaN	NaN	NaN	13109.1289	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13108.3613	NaN	12970.335	NaN	NaN	NaN	NaN	NaN	10580.3857	11487.1709	NaN	NaN	10860.4561	NaN	NaN	NaN	NaN	NaN	NaN	12838.8809	NaN	NaN	NaN	NaN	NaN	NaN	10514.709	NaN	12088.9033	11043.1094	11333.9951	10692.7285	NaN	NaN	NaN	10826.0801	NaN	10070.4238
2.535	11710.6943	NaN	NaN	NaN	NaN	NaN	NaN	12277.708	NaN	NaN	NaN	12394.8936	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13922.8809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10399.4854	12025.8936	NaN	NaN	10653.1025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11548.7676	NaN	10826.9766	NaN	NaN	NaN	11324.8896	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11774.3789	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13899.6807	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10679.665	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11472.8857	NaN	NaN	NaN	NaN	NaN	10428.0195	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11801.5146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9980.4551	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12605.1357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10080.2715	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
