x	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_8g	Y_20181208_15692_33_1g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_20g	Y_20181208_15692_37_8g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_39_3g	Y_20181208_15692_40_3g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_16g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_45_13g	Y_20181208_15692_45_5g	Y_20181208_15692_46_18g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_7_1g	Y_20181208_15692_8_8g
1.6011	27483.7168	30707.9551	33442.8359	29716.1602	35517.9375	30125.5059	33019.168	49515.4102	29758.832	32936.2266	29063.8223	29611.9863	32574.5938	31358.748	36503.332	31283.9785	32779.8789	31031.127	31140.4688	46009.4219	32518.9414	33677.0938	56763.1406	33956.918	39345.3789	31005.168	31073.7051	36383.6719
1.7345	29891.7598	30307.4551	37519.8438	31049.4316	45427.4102	31675.1602	35353.4531	75567.5703	31105.8613	34277.6445	31032.0332	29668.9062	36552.4336	32004.8672	45209.6211	35482.2656	39874.0117	31130.7891	35704.9141	60403.1484	33481.0586	35422.4062	83480.0703	38445.0469	49324.6758	30825.5508	35400.2969	37867.1289
1.8679	32649	32528.002	45105.8984	32554.2266	61248.4297	34248.8242	39272.3281	105800.2422	32975.5664	36245.0391	36842.9766	32315.4141	45287.4922	34462.6562	62473.543	46414.2305	56148.4102	33336.5664	50124.6562	67532.8359	41262.1602	41926.3203	95131.0781	47730.043	68371.5781	32140.2324	49103.3633	45674.5781
2.0013	38950.5469	41654.7109	63131.5508	42768.9023	64529.168	37402.8086	54023.5938	98569.5625	37107.9883	40000.7695	51338.4141	35308.0234	60021.3125	38600.8164	89578.9766	63845.582	73312.2656	33493.4648	76277.2344	53259.9492	59135.6211	53636.2852	71864.5	68509.5156	102985.6719	35288.4297	61543.0078	64483.1172
2.1347	52536.8555	63269.8633	83743.7812	58618.1367	50187.9961	49192.9727	62489.6562	66426.8438	46792.7422	49614.6367	68759.5	38357.0898	66400.0938	52308.4297	96132.7266	72465.4062	70904.3359	37929.4297	91860.0156	40005.8906	83262.7891	73081.4844	48245.4609	82676.6953	120101.6875	39817.1875	56542.7539	91432.8516
2.2682	56836.3164	74510.6328	79081.6094	73880.0859	37574.793	66328.2031	50654.1289	44011.7812	67481.8906	72960.9766	64537.8047	48333.6133	56762.4414	77522.2969	70593.5312	53529.2383	49293.6094	48933.3789	72624.8594	35384	96597.6328	70697.8906	38782.4414	70525.1875	98976.9609	53711.7578	39734.7031	81385.7656
2.4016	51867.6016	62970.4023	57119.6797	64800.5312	34824.0625	72866.2422	40488.7344	35616.6758	76768.7969	88268.2109	46162.1797	66975.375	42236.2578	88059.0547	45649.3281	39949.3945	37945.5234	59428.4766	48011.5469	34444.2188	93650.0391	52276.1953	34846.168	49272.9375	74558.8984	65590.0391	33422.4531	55063.9961
2.535	NaN	44305.2773	41720.5078	44008.4258	32917.332	60962.7969	34203.7656	31786.0605	65044.6562	75801.8125	34845.1641	74229.0156	34587.0781	65815.6172	35404.0039	34882.2734	33343.1367	55497.8516	38124.3984	36471.3398	73315.9531	40688.7969	35141.7344	39515.6719	51456.4961	61768.9219	30780.8281	41851.7266
2.6684	NaN	35780.0586	33787.2539	36936.6719	31135.6484	54970.9688	32776.9375	29138.0586	43719.6797	53182.6016	32908.1758	61286.957	31835.0684	45149.3789	33103.4141	NaN	31543.8594	44407.0781	33517.957	34612.043	50917.4922	34816.5586	NaN	36467.9531	40583.9531	45986.6758	29508	36251.9023
2.8019	NaN	31950.8848	32092.6973	33450.2344	NaN	63724	32719.8789	28636.3691	37332.3516	40148.5547	30440.7363	48182.7109	30757.4473	35584.9062	31370.752	NaN	28942.5195	36442.3945	30661.4609	33755.6484	NaN	32580.6758	NaN	35796.6523	36462.1211	37750.7266	NaN	36478.0508
2.9353	NaN	31557.293	32120.9629	32554.6992	NaN	64759.5508	NaN	28586.1484	33447.8906	NaN	28917.541	43513.4766	31006.1992	32917.8672	31024.3262	NaN	NaN	36421.2109	28144.0957	35072.8008	NaN	31471.4004	NaN	NaN	35704.2891	35259.9609	NaN	36144.5781
3.0687	NaN	28740.4375	NaN	NaN	NaN	NaN	NaN	NaN	31824.0273	NaN	NaN	40378.8008	31043.0449	30916.9922	30674.8984	NaN	NaN	34831.418	NaN	NaN	NaN	NaN	NaN	NaN	32105.6211	33225.3203	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31427.9238	NaN	NaN	36463.3555	NaN	30250.8965	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32103.9863	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
