x	Y_20180224_15102_10_1g	Y_20180224_15102_11_1_s_g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_12g	Y_20180224_15102_12_1g	Y_20180224_15102_12_2g	Y_20180224_15102_12_6g	Y_20180224_15102_12_7g	Y_20180224_15102_14_2g	Y_20180224_15102_14_6g	Y_20180224_15102_18_4g	Y_20180224_15102_18_6g	Y_20180224_15102_20_5g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_4g	Y_20180224_15102_23_5g	Y_20180224_15102_24_4g	Y_20180224_15102_24_6g	Y_20180224_15102_25_15g	Y_20180224_15102_26_3g	Y_20180224_15102_26_5g	Y_20180224_15102_26_6g	Y_20180224_15102_27_1g	Y_20180224_15102_27_3g	Y_20180224_15102_28_8g	Y_20180224_15102_2_7g	Y_20180224_15102_4_10g	Y_20180224_15102_4_7g	Y_20180224_15102_4_8g	Y_20180224_15102_5_1g	Y_20180224_15102_7_8g	Y_20180224_15102_8_1g	Y_20180224_15102_9_5g
1.3342	21587.758	17241.637	26189.199	21396.754	17398.709	20069.447	16917.338	15241.929	29899.455	21420.35	19912.379	18530.865	24516.646	20581.422	20874.818	28537.533	16902.809	27672.475	18186.182	20085.119	18014.57	19031.68	32093.957	17727.807	19055.299	39188.531	28533.896	20219.994	17137.805	21501.77	21466.57	18218.664	21821.48	19961.168
1.4676	22595.109	17110.342	25083.094	21657.264	17500.539	19877.678	16834.094	16045.335	31035.598	22839.793	18946.801	18275.582	21981.945	20056.918	19463.771	28074.797	17757.383	24262.785	17768.982	19755.109	17830.941	18821.283	29881.023	17593.758	17429.207	37156.91	28350.234	21339.771	16331.495	22023.529	21078.156	17676.994	23114.975	20439.477
1.6011	23745.584	16913.158	25727.936	21430.219	17169.168	18590.5	15623.45	16762.26	31738.051	24355.316	19384.25	18392.152	21070.875	21730.635	20625.609	27636.98	17588.807	21988.287	17845.496	19483.254	17127.609	18435.02	26953.967	16877.248	18432.771	37426.551	29855.668	21941.014	16519.977	22293.232	20021.949	17954.594	22227.406	20211.797
1.7345	24248.807	16649.992	25887.264	21777.867	17063.811	18688.045	15847.477	18072.092	29217.668	24183.891	17799.096	17121.943	19162.463	23532.438	21364.324	25116.588	17218.957	21512.943	18460.047	18609.949	17089.361	19245.994	26373.006	17092.342	17982.154	35370.371	30114.693	20453.35	17041.023	22380.32	19639.5	17798.566	22147.156	19645.471
1.8679	24091.543	16287.328	24473.141	22975.682	16622.504	18538.525	16844.682	17523.641	26983.094	24883.531	16198.96	15811.724	17845.516	24255.049	20265.943	25881.203	17301.42	21258.434	17058.371	17283.682	17540.637	20312.713	25457.037	17701.709	18396.451	32694.471	30326.604	18481.143	16106.982	21892.84	19527.691	17496.854	21370.023	19057.836
2.0013	22908.795	16120.256	20819.582	21803.41	17025.312	18543.475	19020.441	15945.388	25268.533	22853.877	15351.672	15625.568	16995.496	22238.084	19195.107	25495.24	16208.487	22297.742	17161.074	17148.449	16698.883	20296.773	25147.576	18004.381	19987.469	33695.293	31417.506	17440.781	16209.001	20784.805	18004.645	17844.512	20657.25	19194.646
2.1348	22557.412	15140.581	19008.562	20176.809	17456.393	17919.598	18806.383	16308.666	23711.764	19772.625	15440.575	16044.166	16200.382	19807.971	18490.842	22547.004	15226.263	25538.051	17226.625	17660.695	17547.133	18830.461	24530.877	17036.297	20727.799	33060.867	27481.482	17501.893	15872.082	19389.762	18152.922	17298.934	21049.723	18406.309
2.2682	20769.639	15280.446	19660.871	20092.621	17963.117	17089.773	16056.382	16286.991	22558.027	18827.625	16284.245	15604.718	15702.946	19149.852	19221.906	21464.992	15582.591	25549.09	17030.961	18026.293	17707.32	18642.299	24148.957	16841.395	21058.166	33293.43	26758.492	17513.961	15288.298	19305.236	18022.6	17711.25	21431.473	20284.338
2.4016	19835.646	15944.817	19306.91	19998.242	16980.414	17810.135	15683.978	16481.174	22483.338	18499.648	15957.082	14855.078	15138.246	17644.373	20772.875	21456.451	15811.415	24956.66	17507.502	17220.178	17006.695	18393.947	23833.537	17519.363	21262.523	36203.875	25863.887	17600.949	14782.933	18771.736	17217.363	17832.801	21385.871	22690.408
2.535	21457.398	15581.04	19524.229	19952.312	16896.672	19409.654	14245.416	15680.066	22271.418	17105.756	16922.566	15079.462	15574.919	17161.234	21804.312	19999.137	15827.495	24657.529	17463.627	16840.383	16544.637	17363.598	24334.025	17006.674	20267.947	35230.477	26699.035	16718.801	15182.45	17901.6	16766.23	16746.143	21841.264	21816.982
2.6684	22118.188	14917.375	19301.094	20468.805	18023.789	19096.605	14176.521	15811.079	20213.93	17099.809	15350.327	14948.497	15255.618	17297.258	21571.52	19217.627	16069.521	24576.998	17445.963	16228.099	15611.05	17146.668	22640.721	16264.294	18918.699	32473.754	26072.488	17860.586	15335.09	17734.961	16873.404	16507.303	21975.596	21834.857
2.8019	19120.221	15755.127	20021.176	20497.041	17492.318	19241.455	14322.921	14928.323	17643.967	17671.631	14705.904	14416.635	14949.286	16542.434	20652.484	18316.014	16710.832	22683.266	18178.562	16135.65	16891.17	16646.645	21288.896	16596.486	18408.998	28928.807	24116.221	18453.881	16676.229	17389.307	16928.66	16482.885	21823.422	21765.062
2.9353	17681.838	15190.034	19448.168	19659.074	17229.395	17778.932	14311.14	14692.475	16740.797	16835.148	14507.312	14233.397	15508.691	16047.555	20538.043	17304.158	17282.734	19940.5	16275.655	16490.521	16883.094	16291.007	22193.107	17026.174	18036.156	25163.189	22775.684	18365.951	16055.659	17876.043	16404.602	15941.72	20396.367	22003.076
3.0687	17458.566	14893.413	18300.799	19198.434	17466.725	17650.258	15074.646	15567.729	16637.494	16241.967	14270.787	14631.233	15912.257	16416.678	20514.992	18034.896	16316.311	18534.635	14799.621	16088.694	17925.492	16726.969	23012.375	18362.344	17239.863	25913.775	22492.465	17882.283	16161.19	18292.148	15440.506	16019.637	19736.85	20655.885
3.2021	17038.82	15080.458	18131.143	17844.592	18192.629	18177.172	14945.805	15532.318	16263.482	16257.311	14212.483	14120.666	14182.133	17079.738	20153.299	19598.043	14853.554	18307.088	14551.99	16144.138	18210.039	16496.711	21542.871	18222.35	16467.996	25202.533	22610.006	17088.754	16002.968	16492.201	15070.706	16810.641	19032.654	19776.812
3.3356	17599.242	16012.445	19252.328	16531.648	18571.361	18996.615	14786.908	15278.143	15956.427	15800.186	13558.623	15743.944	15458.54	15914.461	19926.773	20598.072	13289.583	17319.492	14833.921	15795.923	18828.146	16859.195	20388.996	17323.064	16614.078	24965.326	22439.416	16250.26	14518.099	14970.6	15139.209	15857.993	19418.434	18955.832
3.469	17919.145	15462.722	18661.719	15790.205	20395.125	18168.648	13603.763	15330.979	15043.611	17029.811	14475.319	15119.511	15292.419	15630.347	19664.342	20295.059	13108.649	18827.873	14729.844	15400.066	18231.529	16145.856	20139.912	17293.816	16754.799	23402.178	21360.666	15750.828	14006.463	14578.995	15127.641	15223.452	18205.561	18396.465
3.6024	16459.141	15965.944	16996.514	15017.732	21241.076	16874.609	12917.507	14973.066	15315.618	17901.867	14647.604	14781.56	15483.916	14647.151	18902.4	17347.283	12709.102	19254.85	14082.54	16028.592	17409.012	15553.588	19259.574	16469.088	16464.529	21857.705	19871.727	15086.825	13541.566	14501.779	14833.688	15011.188	17776.654	17576.057
3.7358	15107.519	16213.838	14943.707	15153.002	20536.119	18482.48	13452.418	13816.074	15068.401	17851.18	14568.67	15377.621	15442.065	13656.655	16825.504	15426.447	11841.812	18417.842	13605.712	16819.408	15078.851	15488.667	18402.293	15753.121	15854.77	21254.693	18734.727	14553.026	12818.929	14451.446	14455.783	13054.243	18833.854	17979.471
3.8692	14379.175	17773.273	15209.355	15121.124	19641.217	NaN	12785.003	12791.315	13845.34	NaN	14788.945	14562.494	15610.8	NaN	16527.951	14822.428	NaN	16781.061	13325.095	17594.201	14541.09	15568.419	17829.6	15666.509	15680.019	20593.209	17702.867	14021.06	12508.367	13798.181	13996.003	13517.498	18439.77	17557.938
4.0027	14089.471	NaN	14848.983	15050.9	19885.381	NaN	12725.918	12919.006	13599.369	NaN	NaN	14350.061	NaN	NaN	15875.337	14461.709	NaN	15760.177	12447.447	16382.57	14102.814	14289.263	17497.5	14526.504	15442.419	18901.404	16417.535	14398.085	NaN	14007.113	13480.441	NaN	16437.562	17659.77
4.1361	NaN	NaN	14367.039	NaN	19886.389	NaN	NaN	12529.351	14261.233	NaN	NaN	NaN	NaN	NaN	NaN	14495.731	NaN	15204.305	NaN	14484.333	13071.893	13464.338	16579.506	13886.718	NaN	17387.291	15597.153	13471.972	NaN	NaN	13778.09	NaN	NaN	16157.505
4.2695	NaN	NaN	NaN	NaN	19126.262	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13750.66	NaN	NaN	NaN	12640.882	NaN	13304.097	NaN	15929.353	14517.29	13394.284	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	17554.848	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15622.287	14306.324	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	16123.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.6064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.7398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.8732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.0066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.1401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
