x	Y_20181208_15100_1_7g_left	Y_20181208_15100_11_4g_left	Y_20181208_15100_14_1g_left	Y_20181208_15100_16_1g_left	Y_20181208_15100_17_5g_left	Y_20181208_15100_18_3g_left	Y_20181208_15100_19_5g_left	Y_20181208_15100_4_1g_left	Y_20181208_15100_5_9g	Y_20181208_15100_6_10g	Y_20181208_15100_6_11g	Y_20181208_15100_6_3g_left	Y_20181208_15100_6_6g	Y_20181208_15100_7_4g_left	Y_20181208_15100_7_8g	Y_20181208_15100_1_4g_right	Y_20181208_15100_13_10g_right	Y_20181208_15100_14_1g_right	Y_20181208_15100_14_4g_right	Y_20181208_15100_14_6g	Y_20181208_15100_14_9g	Y_20181208_15100_15_12g	Y_20181208_15100_15_6g_right	Y_20181208_15100_16_1g_right	Y_20181208_15100_17_11g	Y_20181208_15100_17_4g_right	Y_20181208_15100_2_1g_right	Y_20181208_15100_21_8g	Y_20181208_15100_22_11g	Y_20181208_15100_22_12g	Y_20181208_15100_22_13g	Y_20181208_15100_22_21g	Y_20181208_15100_22_2g	Y_20181208_15100_22_5g	Y_20181208_15100_26_3g	Y_20181208_15100_27_11g	Y_20181208_15100_27_4g	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_29_4g	Y_20181208_15100_3_1g_right	Y_20181208_15100_30_2g	Y_20181208_15100_30_3g	Y_20181208_15100_32_3g	Y_20181208_15100_4_6g	Y_20181208_15100_6_5g_right	Y_20181208_15100_7_5g_right
2.2682	18413.5	14714.7568	17029.5195	15436.4893	14208.8711	13444.2383	10723.9922	12610.4756	13251.333	14161.6309	14912.5117	14934.7578	13266.9395	13866.6475	12084.2617	13788.2568	18394.0996	11712.6768	16105.9805	17127.4707	14575.5127	15000.6006	18101.2969	13446.4453	17237.3984	12228.3545	18702.9414	11667.1201	13526.709	13161.6826	14133.9023	18103.0566	13132.3359	13817.8418	14171.5312	14931.1729	16777.082	11988.1582	11099.1211	14002.3584	11772.5742	14450.4502	27291.0547	10841.4092	13822.3809	12027.2627	13123.7764
2.4016	16712.418	13943.457	16183.8613	16229.5664	14001.2959	14398.9102	11047.0391	13721.8262	12967.6357	13952.1846	14993.8867	16814.4375	13354.2637	14621.7012	12580.1035	13710.6611	15869.6875	11251.3555	16760.4922	17036.5898	15197.5771	13568.5107	18334.3457	13199.8574	18307.3867	13720.6592	16776.5703	12035.3418	14278.418	12451.9854	15528.4482	17789.2031	13464.502	13717.8154	14283.2334	14502.1074	18146.1504	12448.2305	11091.0088	14519.4287	12194.9893	13754.9912	24690.8535	11321.2412	15377.3896	12078.7842	12760.1543
2.535	16370.2373	15937.5762	15336.458	17477.043	12892.2812	14900.1162	11521.8154	15020.9551	13421.8916	15836.2646	15818.3613	17186.2207	13163.0283	15196.0244	13159.1328	14130.8311	15670.917	10995.4248	16637.0898	15486.8281	15082.3535	12897.5059	15197.7441	12709.498	17213.9805	16180.5449	15986.1543	12228.8359	14628.4482	13343.8838	15506.75	15544.4033	13418.3418	13318.6924	15696.7822	14056.5977	18988.3398	12681.2471	11741.2217	15258.7969	12208.0928	12842.3965	20345.7598	11271.292	17195.9492	11813.334	12466.5322
2.6684	15395.5596	16204.7539	14739.0439	17573.7031	12431.7217	14369.3887	11546.6885	14481.0771	13363.8311	15242.6943	14075.4922	16809.498	12591.9502	15557.6797	12530.6562	13310.9893	15522.0811	11178.1299	14848.0107	14570.7432	14721.9248	12478.3818	14139.0879	12232.9268	15308.2012	15560.0996	14255.7285	11414.1963	14346.9092	13932.5508	15852.9248	13943.2598	13949.542	12958.4424	15706.6543	13555.5986	18336.2344	13044.7812	12573.1816	14172.7305	12235.0352	12322.7773	16018.958	11574.9141	17398.9609	12030.4023	12314.6016
2.8019	14003.9893	16719.2578	14199.791	16337.5283	12064.459	13268.9648	12069.9307	15131.5352	14203.3174	15147.8838	12126.4189	15119.8418	13467.1172	16526.5859	12046.249	13201.7988	15639.9336	10863.9395	12675.3418	12690.04	12996.6064	12313.9521	13390.9404	11556.9961	14062.0029	15107.6211	13844.458	10837.0137	14017.8135	13684.5615	14520.7314	12534.4473	12451.1592	12751.8125	14318.5078	12917.124	17193.6504	12182.9541	11841.4199	13103.3633	11392.293	11922.2988	13941.8252	12234.3066	15086.5918	12072.4688	12630.8047
2.9353	13530.7197	15668.4287	14444.4502	14986.417	12050.6738	12894.7744	11947.835	13269.7598	13936.54	15791.5127	12484.4121	13483.6514	14031.5078	16222.583	NaN	13617.2344	14252.584	11304.7939	12678.0117	12130.2637	12582.1357	12305.2969	12334.957	12052.1455	13438.7617	13230.2627	13327.5635	10961.4473	12603.7119	13568.4609	13305.4062	12005.8545	11258.9199	12121.7812	12534.7236	12506.4551	15237.2871	11502.4639	11530.9648	12185.2441	11452.2666	11254.4092	12322.9092	12671.335	14427.8115	12676.0967	12454.2754
3.0687	13481.9844	14544.9893	13848.1367	14546.8408	12458.2949	12132.873	12603.3467	11966.0439	13068.3936	15265.8682	11554.0957	12923.9531	14388.8115	17815.1562	NaN	13356.8379	14641.4668	11395.0596	11947.1895	12034.9424	11784.9668	12692.2803	12280.1416	12344.7236	12984.3701	13049.6533	13133.3994	10586.4268	12163.7979	14692.5156	12720.4893	11755.1611	11446.1699	12437.54	11161.8213	12642.04	13683.1904	11354.5615	10948.2275	11941.4473	11698.334	10845.3154	12162.3652	12628.8975	13235.2881	11531.1982	11724.6299
3.2021	12807.5479	14473.6523	14280.2129	13972.4395	12784.375	12746.9717	11976.9355	12183.3467	13677.5967	14337.2217	11979.5186	12239.4404	14746.001	17074.5566	NaN	12676.9629	13370.4355	NaN	11882.2686	11781.5273	11297.3115	12429.4355	12439.998	11820.0088	12544.5537	12609.3633	13537.2334	11248.4424	12704.9023	16020.6533	13615.4453	12723.6436	11357.3486	12335.7842	10531.3457	13400.2812	12972.708	10881.3271	10695.9795	11909.8701	11990.876	10642.7334	11999.9922	13293.9883	13161.7676	12625.7197	11316.6807
3.3355	14071.9268	14398.2998	14346.2988	NaN	NaN	12562.8027	12321.8818	12334.2529	13832.752	13972.792	12691.1934	10480.5059	15356.9648	16519.6309	NaN	12826.668	13119.8926	NaN	11339.1543	12394.6084	11478.9492	NaN	12280.0039	NaN	12292.8779	12043.9717	12801.4844	12014.5322	12537.0244	15098.3896	14101.1592	12388.6904	11554.5703	NaN	NaN	13343.2139	13274.0527	10995.7178	11332.875	11995.916	12255.1289	10970.2314	11918.1406	13173.6592	12305.3086	15511.6182	11424.1338
3.469	14499.8877	13777.8613	NaN	NaN	NaN	12879.2949	11966.3838	12039.0557	13211.375	13225.9609	12601.2031	10063.251	14820.085	14378.8467	NaN	NaN	12751.8535	NaN	11886.0791	11943.6787	11258.4688	NaN	12331.0303	NaN	12147.1172	12437.7979	13115.8008	12238.2529	12078.4951	12862.2178	14394.9932	NaN	11228.4951	NaN	NaN	12817.1855	13286.2002	11375.5459	12735.0107	12185.6455	12144.7129	10991.2627	12485.0371	13150.0625	12389.3525	18010.9375	11986.2949
3.6024	NaN	13948.9346	NaN	NaN	NaN	NaN	11900.6357	12283.5674	13203.3486	13111.0908	12726.625	NaN	16190.3447	12704.9697	NaN	NaN	11928.9688	NaN	11944.957	12133.4102	10624.8701	NaN	NaN	NaN	11893.3076	NaN	12321.6807	NaN	11854.9258	13024.9844	13818.207	NaN	11775.9346	NaN	NaN	12695.5928	NaN	11069.458	NaN	12000.6504	12503.1904	10967.4629	12273.6436	12569.7559	12323.3682	NaN	12688.8271
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12096.084	13101.1514	12898.2871	12083.0488	NaN	NaN	12948.543	NaN	NaN	11863.7139	NaN	11645.1475	12468.5947	10778.4453	NaN	NaN	NaN	11785.29	NaN	12464.2969	NaN	12802.5938	12872.2246	13966.8799	NaN	11494.3213	NaN	NaN	NaN	NaN	NaN	NaN	11762.3926	12693.8291	NaN	NaN	12634.2598	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11853.5137	13183.3984	NaN	NaN	NaN	NaN	12136.0186	NaN	NaN	11978.3027	NaN	NaN	13068.8848	NaN	NaN	NaN	NaN	11717.0898	NaN	12199.1055	NaN	13120.7412	12555.6289	14343.0215	NaN	11878.0059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11993.0996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12432.4824	13587.2246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12588.5996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
