x	Y_20180224_15102_1_1g	Y_20180224_15102_10_8g	Y_20180224_15102_10_9g	Y_20180224_15102_11_11g	Y_20180224_15102_12_2g	Y_20180224_15102_12_4g	Y_20180224_15102_13_8g	Y_20180224_15102_14_2g	Y_20180224_15102_15_6g	Y_20180224_15102_16_7g	Y_20180224_15102_18_6g	Y_20180224_15102_19_8g	Y_20180224_15102_20_2g	Y_20180224_15102_20_6g	Y_20180224_15102_21_2_S_g	Y_20180224_15102_21_9g	Y_20180224_15102_22_1g	Y_20180224_15102_22_5g	Y_20180224_15102_23_6g	Y_20180224_15102_25_13g	Y_20180224_15102_25_4g	Y_20180224_15102_26_1g	Y_20180224_15102_26_5g	Y_20180224_15102_27_10g	Y_20180224_15102_27_2_S_g	Y_20180224_15102_27_5g	Y_20180224_15102_27_7g	Y_20180224_15102_28_1g	Y_20180224_15102_28_9_S_g	Y_20180224_15102_29_2_1_S_g	Y_20180224_15102_29_2_2_S_g	Y_20180224_15102_3_6g	Y_20180224_15102_4_3g	Y_20180224_15102_4_5g	Y_20180224_15102_4_7g	Y_20180224_15102_4_8g	Y_20180224_15102_4_9_S_g	Y_20180224_15102_6_2g	Y_20180224_15102_8_3g
1.3342	36769.836	37377.16	38433.461	39570.637	30192.521	40390.766	40855.023	36134.316	42190.047	33375.234	37191.754	40045.301	40842.961	38461.039	40408.801	36352.18	37083.711	34706.09	38208.242	38186.309	36866.293	35132.07	41595.203	34690.125	36838.371	36477.207	38964.527	32814.25	40019.242	35854.863	37320.684	40905.191	37773.77	37639.191	33722.672	36923.543	36653.355	33855.039	40856.609
1.4676	38318.172	37443.988	40065.008	40445.562	30574.303	38682.012	39301.602	35295.551	43314.844	33262.984	36879.543	37868.363	40875.273	39028.637	40100.496	36126.043	37875.469	35024.098	37702.039	39684.453	37681.762	34655.824	40654.02	34708.379	37707.277	38162.492	38639.398	33359.047	40735.285	36772.844	38371.973	39064.195	36420.648	36751.332	34498.562	37471.094	36781.77	34024.852	39432.43
1.6011	36635.102	37981.008	38019.098	40974.816	30271.559	40099.668	39552.078	36194.352	44731.121	32177.055	37585.711	38476.012	39572.062	40204.34	39970.406	36222.977	36796.16	35183.09	38256.488	39402.379	36319.305	34123.414	40834.582	35705.562	36268.535	37618.633	40128.207	33673.797	39952.809	38124.238	37879.523	39296.117	36117.555	36276.473	32628.344	37700.254	36884.641	35610.828	38948.828
1.7345	37003.516	39131.352	37479.781	41928.469	30488.49	41200.254	39321.98	36182.801	41890.293	32906.203	36772.125	36957.629	38990.359	41090.504	39378.617	35379.801	37127.34	34090.398	39626.617	37705.801	36568.672	33946.543	40441.047	36983.816	36238.219	38079.465	40203.465	34346.508	38742.242	37490.609	36639.207	42039.602	35955.379	35893.184	32376.354	36854.09	37301.344	33503.438	40180.113
1.8679	37866.27	39315.68	38979.391	41318.316	31984.83	40119.398	39645.699	35481.91	40713.945	32452.361	37703.363	38593.766	36044.391	39465.445	39990.633	36421.332	38600.414	33554.625	39721.867	36984.195	36502.023	34437.742	39487.484	35970.82	38184.727	38462.723	38262.734	33486.641	40016.887	37560.332	37488.93	39633.68	37875.363	37832.672	33209.766	38493.102	37729.988	34741.305	39541.676
2.0013	38276.672	38429.113	37945.461	40895.219	33149.375	40109.43	40147.988	36057.902	39920.176	32934.254	38657.98	39062.094	37040.215	39217.5	40582.07	35429.555	36116.277	34996.996	37676.82	38665.527	37118.75	34964.84	38473.492	34957.914	37231.695	38616.824	38807.953	32791.18	39919.613	37464.129	37420.562	41481.777	36796.727	36879.871	34420.5	38751.922	35912.996	34703.484	40824.438
2.1348	40414.73	38707.496	38193.094	41343.633	32333.516	38858.836	40552.301	38396.625	40793.547	33178.055	37801.773	41120.07	36469.344	39170.234	38758.262	35388.988	36225.777	34711.801	38017.887	38386.559	38351.293	32390.807	39873.465	34220.934	37473.367	39984.02	38847.227	32340.438	40062.883	36929.355	39420.184	44233.652	35322.828	35597.305	34653.332	41030.844	37256.379	32486.016	41440.441
2.2682	41776.051	39774.426	38115.355	41371.379	32745.977	40764.883	40638.992	41336.707	40526.031	33508.297	36943.934	42633.324	36252.238	37707.707	38767.613	36766.504	38646.758	35349.395	38072.258	39427.238	37586.863	32711.77	39070.551	35373.223	40298.117	40730.859	37094.738	33556.289	40632.32	36875.516	41328.664	46355.094	37302.109	37370.066	34786.578	44199.914	37764.277	33230.273	44495.316
2.4016	41707.207	42004.895	39181.84	40442.926	35892.473	40542.68	43289.172	44668.758	40974.668	34845.504	38223.578	48398.395	39738.305	39758.758	38516.617	35370.875	42496.07	34203.27	37249.023	43225.285	37589.34	36023.285	39267.664	38010.43	40088.809	38582.398	37391.562	34226.652	43186.336	38271.828	43503.391	57686.551	41497.109	41004.543	36754.836	54301.141	38028.391	34671.43	51475.973
2.535	41013.695	43008.102	41002.531	40009.797	43943.121	41755.914	47056.043	50639.062	41216.781	33229.43	39470.203	62513.387	43669.379	42611.074	39755.863	37558.652	44195.418	34747.707	40263.883	48620.477	36992.551	36608.648	40934.266	40323.766	44200.387	38155.105	38744.02	35828.191	45252.828	38802.422	44542.363	77525.234	49161.387	48407.926	37327.52	79262.961	39509.945	33124.543	68872.578
2.6684	43403.238	48113.148	44814.867	41180.098	62004.684	43138.238	58137.461	67867.625	41420.547	34621.09	42813.105	99380.133	56157.047	42670.789	40189.309	43903.562	50902.059	34688.156	46811.527	65386.164	39807.785	39874.305	45114.461	48396.352	53281.684	41166.43	39906.82	40455.289	47340	39229.836	44032.926	130711.383	73600.094	71909.75	44544.891	118041.758	43969.965	35373.902	104933.961
2.8019	46069.68	66800.391	54065.535	42554.406	87770.125	47926.488	85043.844	98338.586	42924.984	36813.609	48571.781	154689.391	81643.047	46723.781	45688.832	54894.012	69156.828	38721.215	55479.863	96668.516	45248.562	49119.777	53406.996	54214.344	69459.133	45499.551	41222.789	52844.836	54989.371	43191.504	46121.426	188858.438	114376.93	111182.867	61304.242	133954.484	54153.613	43824.223	129707.352
2.9353	53780.598	96189.57	72344.938	46843.316	85586.102	54839.406	142358.031	92489.836	43780.324	44779.938	56079.875	169646.578	97185.547	54939.906	57938.355	73076.555	120090.242	48315.41	66536.797	119716.969	62859.023	71827.422	75429.141	48975.027	91342.531	55381.348	44046.184	78533.773	73814.352	47943.891	53730.219	153128.281	133064.656	127322.594	95890.57	96742.211	85157.516	59416.816	102654.141
3.0687	75905.906	110029.383	102726.297	61728.301	59592.922	68860.008	167354.344	65956.031	46300.156	53902.562	58883.621	121226.055	83919.398	49348.914	76328.555	81961.023	192392.484	66240.555	62228.777	100489.367	93985.594	112107.688	94434.234	42013.91	103926.539	73061.914	50661.5	94711.812	118256.312	63680.555	76689.211	87163.82	95348.461	96872.336	136209.891	59873.359	114896.352	85203.039	68721.5
3.2021	103889.047	83213.062	109761.938	93434.664	43714.621	90296.547	130173.711	46813.957	57283.523	53181.832	47698.926	73132.867	58993.34	44666.262	76009.688	67517.398	207666.281	76683.297	48569.434	64153.949	108717.047	125021.273	86418.555	38698.578	83156.555	81359.367	66489.477	79664.664	159638.547	89565.164	107970.742	54372.789	63316.48	62475.953	133662.547	45430.332	105788.523	89788.266	NaN
3.3356	105088.719	59275.277	79096.57	112577.406	NaN	107925.109	81097.852	NaN	80550.047	44313.012	43510.57	53464.594	48516.508	40328.773	57078.66	48841.172	147645.203	63941.105	41202.266	46576.609	82832.523	88231.602	60890.641	NaN	59317.137	71140.859	93188.445	56373.676	145649.844	110233.914	104725.242	46004.219	47818.75	47154.484	88483.602	NaN	73500.133	66875.406	NaN
3.469	79535.219	47413.781	NaN	90042.938	NaN	88163.484	58024.906	NaN	98375.75	39277.82	40927.379	46278.734	49282.148	NaN	45745.258	41589.551	83150.797	44879.707	39552.391	40493.797	57493.285	57383.18	49347.316	NaN	46669.125	60031.23	103905.672	42361.828	96854.891	88281.938	73457.773	NaN	43566.102	NaN	68578.492	NaN	60091.305	46862.422	NaN
3.6024	54679.992	NaN	NaN	61288.98	NaN	62753.176	48276.375	NaN	88593.453	37194.977	39224.273	NaN	NaN	NaN	41145.266	NaN	58592.672	37272.504	NaN	39310.727	43955.508	42869.133	45151.988	NaN	40376.762	52860.516	82591.438	38205.18	60943.77	59722.445	54447.836	NaN	NaN	NaN	67336.469	NaN	56760.035	40048.34	NaN
3.7358	NaN	NaN	NaN	48640.508	NaN	48404.633	NaN	NaN	65655.992	35400.977	NaN	NaN	NaN	NaN	40433.078	NaN	49637.441	NaN	NaN	39264.059	39432.605	NaN	NaN	NaN	NaN	45653.098	58575.07	38436.445	49223.949	47395.84	46432.281	NaN	NaN	NaN	59058.633	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	43790.039	NaN	41995.348	NaN	NaN	53352.887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43500.848	NaN	NaN	NaN	36314	NaN	NaN	NaN	NaN	41395.016	45713.625	NaN	46067.828	41419.648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	43004.469	NaN	NaN	NaN	NaN	49000.34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39466.73	41100.66	NaN	NaN	39891.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	43593.133	NaN	NaN	NaN	NaN	51240.699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40230.723	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
