x	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_16g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_2g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_8g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_7g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_17g	Y_20181208_15693b_7_14g	Y_20181208_15693b_8_11g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_8g
1.3342	33896.2227	30322.0566	31130.1426	34829.1172	30234.9941	46547.8086	26570.5527	37467.3672	48303.2852	38825.8359	60605.168	61179.6953	30547.4121	62372.3398	33411.6953	35667.1953	36389.8281	31863.9844	32193.2891	35742.8828	30513.4805	34327.2266	73623.2969	37486.8906	34194.3906	34659.6641	61392.7656	40797.0781	31906.1094	34694.3594	31538.1758
1.4676	36512.5938	34945.1484	31655.2812	39872.4961	31381.3027	68632.125	25976.2949	42433.8242	65183.1875	50150.7812	80704.9609	73762.9297	31353.3359	68014.7109	37752.1367	45411.9375	37803.043	33074.6016	33055.4219	40469.6602	32365.3418	39336.3477	88211.8672	41303.3945	36649.1914	43653.375	64917.1562	49719.3086	35562.9766	42748.7656	32411.791
1.6011	42919.1406	39975.5703	34740.0859	50077.9727	35577.7891	85291.5859	27870.9023	53668.8359	67965.9688	56101.7148	67864.1875	61110.2891	31431.918	53098.1523	47173.5391	55213.3008	46319.7422	32527.3125	35134.1055	49203.3711	32961.4141	47892.1172	72823.3828	53261.25	43573.3828	54905.7734	50186.6992	71082.0156	44735.168	41471.8398	32357.9883
1.7345	44008.6172	42044.9023	41641.7305	75166.9219	44782.4844	67977.8438	31749.6348	79209.6875	50309.6328	47099.3789	49985.9492	48501.9648	36891.0742	40198.3828	57420.7656	56453.0898	63127.207	34542.8789	42915.3086	48338.125	34736.9727	71809.6953	49958.1133	78935.2188	61405.0195	63564.7773	37952.3242	84513.5312	56769.1523	34448.3125	34384.1133
1.8679	38920.9336	38612.043	45711.0859	91690.4219	58284.3438	52980.9375	40316.6094	107404.9375	39791.6289	36570.8906	40880.832	48741.3984	45995.3438	33851.9141	60343.0938	53515.4688	71048.6875	38632.1992	55032.3672	41435.9141	40135.8789	103918.6797	39274.1484	100041.1719	75335.1172	49074.5781	34076.5234	68828.8359	59919.8672	34947.875	35129.8984
2.0013	36395.9336	32857.4062	44215.3203	75858.8359	60659.6094	46244.75	54168.5742	100464.5781	34667.2539	31191.1758	43184.4297	NaN	54477.0586	31771.291	49391.6133	67306.1797	58069.7617	51205.7109	54093.8672	38092.25	47404.8164	102840.4219	36073.7305	91989.2656	69381.0391	38052.375	NaN	47855.125	55986.3281	31757.457	37928.8047
2.1347	33156.1523	29934.0176	35167.9531	53522.5938	47800.0156	36467.0156	63458.6562	65657.0156	31459.6094	27035.6836	NaN	NaN	49290.1367	30411.7773	41183.1914	NaN	43759.1914	72213.3984	43414.5	38249.4766	54043.793	70697.75	32787.3008	65728.2109	48933.7305	36026.3672	NaN	38221.9141	48167.9023	NaN	43808.5508
2.2682	32940.875	29475.4375	31397.4492	41226.4102	37429.6641	32430.4004	53807.6602	50302.3984	30884.7539	28649.0215	NaN	NaN	38441.0039	NaN	38115.1367	NaN	37336.7812	83338.4922	35892.5	NaN	48497.7812	48930.4062	NaN	44511.9375	39399.9844	35278.5117	NaN	36263.9141	40845.3555	NaN	47562.7188
2.4016	NaN	29683.1484	31775.2637	35953.8516	33071.5039	31770.6152	37489.4102	47761.6836	29051.9238	27534.4453	NaN	NaN	32882.9258	NaN	36524.7695	NaN	35305.7148	65338.9219	32695.9688	NaN	38369.1211	39103.5273	NaN	38854.2109	37835.7266	33599.4375	NaN	34402.9141	34253.9375	NaN	43871.6719
2.535	NaN	NaN	NaN	34055.1289	31838.8828	28319.3008	29864.0898	NaN	NaN	NaN	NaN	NaN	29065.5312	NaN	38872.7852	NaN	33655.7734	46729.2656	31205.7832	NaN	34120.2227	33520.2188	NaN	37512.875	35012.1641	32139	NaN	NaN	NaN	NaN	37321.4883
2.6684	NaN	NaN	NaN	31810.457	NaN	NaN	26301.1211	NaN	NaN	NaN	NaN	NaN	27802.6777	NaN	NaN	NaN	NaN	38591.6836	NaN	NaN	31479.2012	NaN	NaN	34800.1992	32546.416	NaN	NaN	NaN	NaN	NaN	34533.3672
2.8019	NaN	NaN	NaN	30913.8516	NaN	NaN	27031.9395	NaN	NaN	NaN	NaN	NaN	28015.7402	NaN	NaN	NaN	NaN	35399.3633	NaN	NaN	32480.0254	NaN	NaN	NaN	33015.7734	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	26711.418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32844.2656	NaN	NaN	NaN	NaN	NaN	NaN	33139.7031	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31428.8809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
