x	Y_20180224_15100_11_2g	Y_20180224_15100_13_9g	Y_20180224_15100_14_3g	Y_20180224_15100_19_15g	Y_20180224_15100_21_2g	Y_20180224_15100_25_3g	Y_20180224_15100_26_4g	Y_20180224_15100_26_5g	Y_20180224_15100_29_8g	Y_20180224_15100_31_1g	Y_20180224_15100_4_11_2g	Y_20180224_15100_4_1_1g	Y_20180224_15100_4_4g	Y_20180224_15100_6_4g	Y_20180224_15100_7_3g
2.8019	56970.617	81925.094	45842.359	91427.43	77892.93	113171.688	53855.367	99035.242	83133.695	138321.891	63493.098	79753.844	195858.062	100639.141	71425.844
2.9353	84474.422	77226.117	55222.156	60548.348	56508.246	77917.82	44585.699	77902.391	58871.016	150369.906	60954.613	84417.125	136901.312	72509.133	106258.398
3.0687	99038.773	56348.715	81550.961	46055.391	49269.375	61589.602	40987.879	67210.047	47749.254	105143.266	49736.371	65010.879	82552.82	54051.855	116086.312
3.2021	79887.648	41094.59	110859.758	39912.402	51302.293	51481.5	41830.145	NaN	43803.453	68799.922	41920.574	48798.984	62616.883	NaN	75865.188
3.3356	52833.348	37053.715	109589.078	NaN	NaN	NaN	NaN	NaN	41188.988	NaN	40470.832	42295.582	NaN	NaN	52182.129
3.469	42064.504	34389.332	74072.711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40463.242	NaN	NaN	43543.961
3.6024	39703.52	35034.145	61891.199	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40257.156
3.7358	NaN	NaN	52030.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	47437.609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	42954.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	42349.996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
