x	Y_20181208_15693_1_10g	Y_20181208_15693_1_14g	Y_20181208_15693_1_4g	Y_20181208_15693_1_6g	Y_20181208_15693_10_14g	Y_20181208_15693_11_11g	Y_20181208_15693_12_6g	Y_20181208_15693_13_3g	Y_20181208_15693_13_6g	Y_20181208_15693_14_13g	Y_20181208_15693_14_1g	Y_20181208_15693_15_5g	Y_20181208_15693_2_10g	Y_20181208_15693_2_7g	Y_20181208_15693_20_5g	Y_20181208_15693_3_9g	Y_20181208_15693_6_2g	Y_20181208_15693_7_2g	Y_20181208_15693_8_3g	Y_20181208_15693_9_11g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_6g
2.4016	31248.5312	31706.9883	43252.4258	29392.2383	37779.832	39026.1836	29269.5918	39804.0117	36162.5938	45311.043	28070.1172	33455.7734	33071.2773	31116.084	30611.4668	30143.0703	35256.6445	30321.9922	29473.5566	36516.1406	29226.2637	36707.3281	33130.9961
2.535	31900.4863	31640.0508	48068.9453	29512.7266	41789.9805	47863.1758	31846.9102	53534.6055	46418.0273	53213.8086	33786.5391	31351.3184	36766.9609	32053.6328	30327.4395	30163.3047	42968.6367	33164.3711	30643.582	35673.2773	28020	45274.4727	36438.9531
2.6684	35324.6133	33882.6445	49360.2188	29459.625	55919.7852	64853.2031	34615.8281	71210.5312	62068.7852	75219.0703	44896.7266	32230.5957	44706.7109	35281.4688	32742.2402	30360.748	57001.4531	37225.3516	31536.9766	39373.4375	28183.2148	63989.6914	42729.5352
2.8019	47456.5703	39954.2656	37825.4258	32682.5566	81359.4297	78259.1328	43854.4688	71560.3828	54832.9219	115843.0625	59087.9648	32097.3027	53565.9336	43628.375	36573.6016	30883.1113	69391.4766	41188.1211	32172.6602	43410.6211	29912.7734	77666.0312	61357.8633
2.9353	58097.6484	50762.125	34215.5	36944.8086	93566.8984	67607.2812	64670.2852	56529.3828	40891.6211	125723.375	55709.0039	NaN	49371.5703	62497.418	47799.7031	33032.5977	59949.6367	40439.3633	37507.1055	51972.1641	29793.6426	63939.0312	92654.3594
3.0687	53039.0898	74908.9219	32358	49661.7148	77335.8359	49538.1523	81793.6875	41065.6016	32268.2148	89747.7109	39928.7344	NaN	40581.8359	88335.2266	67573.4766	35241.3398	44854.8555	39031.6289	48929.3867	52112.1367	30629.9062	44857.9961	110323.8906
3.2021	44249.832	94358.0312	NaN	72106.4219	49686.8672	39621.8945	74880.9219	35702.7617	28915.7891	57035.8633	29637.2852	NaN	35329.3164	90105.1719	78345.1641	38715.4023	34930.9062	45379.25	63272.3672	43254.2539	33378.918	42396.6055	80660.8359
3.3355	37128.0742	76580.3594	NaN	93373.9141	39020.1445	35195.668	51033.5703	34331	NaN	47341.8555	29329.0449	NaN	35769.0898	59892.582	62318.7461	43736.3555	31147.6387	49276.1758	64425.1992	35449.207	44177.8945	NaN	51361.082
3.469	39635.6094	49896.8711	NaN	86238.0156	37385	33230.9102	40137.0508	32476.5762	NaN	52322.8828	27158.293	NaN	35118.8086	41588.2891	43310.9219	49034.5352	32052.332	41801.375	47973.7031	33472.7656	58801.5859	NaN	38958.9219
3.6024	NaN	41031.9883	NaN	59619.8242	35632.1016	34333.7344	34559.3945	33188.6797	NaN	NaN	26350.7207	NaN	35111.8086	36468.875	37048.918	47794.375	31150.5312	34100.4844	40483.8242	32742.4844	57709.7617	NaN	34332.0625
3.7358	NaN	37377.5547	NaN	42987.4844	35356.4453	NaN	32411.4121	NaN	NaN	NaN	NaN	NaN	33556.9297	33644.6172	35005.582	42380.4141	29427.166	31469.9414	37134.9336	31891.832	44851.1445	NaN	34024.7734
3.8692	NaN	36833.0781	NaN	36364.6719	NaN	NaN	31488.3516	NaN	NaN	NaN	NaN	NaN	NaN	33986.1016	32659.5977	38167.5273	NaN	31194.6836	34494.7773	NaN	36748.3477	NaN	32488.1406
4.0027	NaN	35758.9062	NaN	33506.2188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31390.3066	40035.3008	NaN	30071	33748.0352	NaN	33174.4102	NaN	NaN
4.1361	NaN	NaN	NaN	32278.1562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31168.793	NaN	NaN
4.2695	NaN	NaN	NaN	30162.8066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30463.6914	NaN	NaN
4.4029	NaN	NaN	NaN	29820.5977	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30869.4785	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
