x	Y_20181208_15692_30_10g	Y_20181208_15692_30_13g	Y_20181208_15692_30_15g	Y_20181208_15692_30_3g	Y_20181208_15692_30_5g	Y_20181208_15692_31_10g	Y_20181208_15692_31_15g	Y_20181208_15692_31_16g	Y_20181208_15692_31_4g	Y_20181208_15692_32_10g	Y_20181208_15692_32_12g	Y_20181208_15692_32_1g	Y_20181208_15692_32_6g	Y_20181208_15692_33_11g	Y_20181208_15692_34_2g	Y_20181208_15692_34_3g	Y_20181208_15692_34_6g	Y_20181208_15692_36_12g	Y_20181208_15692_36_2g	Y_20181208_15692_36_8g	Y_20181208_15692_37_10g	Y_20181208_15692_37_13g	Y_20181208_15692_37_18g	Y_20181208_15692_37_19g	Y_20181208_15692_37_1g	Y_20181208_15692_37_9g	Y_20181208_15692_38_18g	Y_20181208_15692_38_1g	Y_20181208_15692_38_5g	Y_20181208_15692_39_12g	Y_20181208_15692_39_8g	Y_20181208_15692_40_10g	Y_20181208_15692_40_11g	Y_20181208_15692_40_16g	Y_20181208_15692_40_1g	Y_20181208_15692_40_6g	Y_20181208_15692_41_15g	Y_20181208_15692_41_2g	Y_20181208_15692_42_12g	Y_20181208_15692_42_13g	Y_20181208_15692_42_16g	Y_20181208_15692_42_18g	Y_20181208_15692_42_2g	Y_20181208_15692_42_8g	Y_20181208_15692_43_15g	Y_20181208_15692_43_16g	Y_20181208_15692_43_9g	Y_20181208_15692_45_11g	Y_20181208_15692_45_12g	Y_20181208_15692_45_20g	Y_20181208_15692_45_9g	Y_20181208_15692_46_10g	Y_20181208_15692_46_1g	Y_20181208_15692_46_20g	Y_20181208_15692_46_4g	Y_20181208_15692_47_14g	Y_20181208_15692_47_1g	Y_20181208_15692_47_3g	Y_20181208_15692_47_7g	Y_20181208_15692_47_9g	Y_20181208_15692_6_13g	Y_20181208_15692_6_7g	Y_20181208_15692_6_8g	Y_20181208_15692_6_9g	Y_20181208_15692_7_3g	Y_20181208_15692_7_4g	Y_20181208_15692_7_5g	Y_20181208_15692_8_1g	Y_20181208_15692_8_5g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_8g	Y_20181208_15692b_12_6g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_5g	Y_20181208_15692b_17_6g	Y_20181208_15692b_2_3g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_8_6g
1.3342	37038.5	30015.543	33006.0273	29523.7207	37966.9102	35752.3828	35453.2539	37585.9922	36847.8711	42156.543	31860.0566	42786.332	53571.7227	39280.7734	32595.5254	33406.1328	42720.043	33056.9023	38052.0977	33712.7812	36212.8203	54059.9453	36113.0586	39816.2734	30670.9492	97307.3125	31554.3926	28526.2266	40131.5469	39355.5195	33331.7695	32121.6621	31484.9316	26383.2754	31076.5117	26539.6484	28472.6543	32861.7734	34410.9648	44816.1133	39852.3516	32065.2188	30911.4629	32814.8711	31426.9336	34233.9102	31714.4629	35680.5039	36706.2227	26937.0547	57495.6641	50019.3516	31500.4785	29417.3359	28510.9434	35210.1797	32207.2891	36926.9141	27558.1016	26399.8574	31456.668	38724.875	35832.8516	37336.1992	32474.4199	54531.8203	33112.0156	33507.293	42534.5586	48936.2383	32386.6191	33215.1797	29302.1758	69345.5859	33668.1094	48005.2266	28932.1836	32886.5078	30442.4316	39165.2539	33072.0703	44005.3125	34965.5352	42932.2109	47852.6875	86135.5625	32809.082	32734.6816	32056.2109	32879.8984	34328.8125
1.4676	48719.1875	33026.2461	36806.3281	33374.6328	50661.4102	43788.707	41942.9727	43683.8789	48187.1172	60926.9844	35405.9961	62889.8906	80572.0469	51828.5391	36179.7969	35921.2188	41257.2539	37059.3125	53475.8398	39627.9375	49712.7422	68967.9375	42268.9648	52867.3008	35428.457	98843.3125	35313.2227	31512.9688	54683.5586	54182.0312	38251.875	35530.0195	36806.3398	28185.5234	40823.2617	26480.9141	34941.8672	38981.7266	39293.5156	62145.7383	55319.9336	33120.4375	30962.3203	36184.8633	33344.5703	37813.1484	34383.1094	39843.9141	42499.0703	27534.1738	87098.5859	64233.0234	32745.3301	30020.7832	28516.7285	40329.4727	41177.5195	46856.3906	27450.3828	27244.6895	32419.123	50053.8984	35938.7812	49169.043	36041.4766	66093.6016	37188.0938	38287.1992	54587.75	69979.9375	35294.5938	32864.6992	30738.7656	59148.125	32771.7148	66907.5469	29688.8008	38434.2266	33413.6328	55005.9023	37833.1289	58739.4297	46049.0273	58504.168	73364.5156	73121.3906	32174.6191	36862.5547	35495.6016	33596.9102	38707.6523
1.6011	71140.5547	38853.8516	52386.7266	37313.2617	65675.0859	62670.8672	61419.207	40234.5469	70590.2812	66385.2656	41636.5508	74454.6172	100814.3984	74252.1562	42767.0742	38612.043	36074.2461	47056.8984	81928.0312	54146.4883	70688.4844	67042.7031	61949.0078	80143.9609	43441.5586	71130.3984	40675.7969	35832.1133	63608.0859	58795.832	50915.4766	42215.9727	51094.6133	36826.4297	59535.4141	26126.9824	51169.9766	54909.7656	49900.3164	77155.5	70716.6328	35248.0586	32408.2988	41229.168	34730.4688	48246.6406	40753.4102	51177.9805	61702.6445	28606.9688	106526.1641	59675.0469	40939.4492	34343.4258	29706.1992	55682.8672	64257.5664	69692.6562	29378.541	33568.5312	35948.9922	75970.8359	40689.0234	53632.7734	45430.0781	81828.0234	45221.6914	51701.7969	57000.3281	75048.7344	36919.3516	36327.3008	35695.7656	42025.3594	37623.8516	86082.8516	32210.3652	46211.1562	41172.4844	84680.6875	47342.9609	58756.9414	63071.9922	87274.0078	84051.1172	48130.0312	35328.2656	41357.8828	42989.2656	34337.0469	45813.0898
1.7345	75310.9531	54498.8203	76325.7344	53941.0078	62043.5469	85454.5547	91410.6094	31589.6895	90237.7031	48136.1914	53628.3203	57490.8828	84904.9062	92738.8516	59157.1562	48753.4609	33380.2266	59478.4141	87603.8047	66057.8438	76020.6172	50330.5312	79992.8125	108511.8203	60369.7227	46156.6797	57541.1055	33779.5938	52787.7188	45580.6094	70268.6953	61429.1797	66770.5547	51773.707	76789.6562	27013.4395	61902.4648	84836.25	59084.8438	69773.5625	67661.5859	39454.8438	33871.0352	52818.3203	37106.6602	61293.4844	51937.9492	73219.625	90969.6328	32286.6289	85261.5781	44385.043	55060.9727	45318.0352	33884.2891	86962.2031	78682.4375	116542.2188	30884.9883	44012.0273	45571.3008	94422.75	57363.2773	44321.3516	61243.5664	85850.8594	56410.7773	85389.3359	47389.7227	56798.6875	44889.2734	45195.9648	46349.3945	31173.082	47084.2656	77024	36661.1406	62842.4258	57979.875	99109.5703	61420.4062	46957.9727	77364.3594	104534.9141	69449.4531	36085.043	43634.8906	52301.6055	60247.1758	36542.7734	66533.4609
1.8679	58264.7422	74399.5234	85396.6406	73169.7891	47344.543	84335.8203	105209.8516	29087.8008	80436.2656	33409.375	85991	41151.4062	56301.2812	81616.2891	83778.2734	69747.8984	32225.6953	66037.1094	62123.5234	57577.8516	55449.9297	42169.4805	78985.1719	81997.0781	61830.7422	34789.2031	81420.3984	29077.2988	41334.1055	33343.8203	81281.5391	84305.4219	64950.4844	68161.125	64736.2852	28224.6094	54784.375	107190.4375	54828.1836	49991.0977	51392.9844	48438.793	41404.7188	57291.0391	47425.0703	61086.8203	71657.6797	88808.0547	88006.5312	42972.1641	54902.8867	35347.1641	66127.3828	60089.6953	40504.4219	106339.9531	72886.8438	136794.8906	36830.7227	58186.3984	66283.3672	85456.4375	86040.2812	33797.6523	62233.6172	67410.8203	74023.5547	115006.3594	37543.4766	39504.3281	64290.5547	59577.1055	48979.3672	28584.7109	66693.4219	56515.3008	47604.5195	82133.4375	72580.1875	77904.6328	69530.125	37776.1797	65605.0547	87265.7031	50079.3242	30102.1602	60083.1758	52652.3984	82565.5781	40415.0781	91621.2188
2.0013	43928.2305	71692.1797	64160.0312	74611.3125	37376.2734	58730.9336	76005.5938	28213.5801	55839.543	30384.6699	126334.1641	33372.0117	40563.8555	55475.0781	83134.1016	100296.6172	31623.5762	56427.7031	41534.2539	43081.6562	38210.6758	NaN	55372.668	53453.293	48458.1016	31059.8848	80454.9688	27441.9219	36008.2148	30053.4609	67883.1484	80170.5781	46913.7305	62544.9727	46434.0977	29435.5977	39018.2734	87475.2734	45309.8906	38435.8242	38621.4297	69628.8438	57131.6133	51308.1992	67687.7109	49193.6328	77126.0625	75377.9766	60867.5352	53632.9453	41631.0391	31779.709	56326.043	56561.3359	46308.1133	83776.2969	50431.3086	99868.125	49989.4727	67571.4453	89669.5859	56648.543	96289.4375	29466.1113	51591.2578	46988.9922	77795.6406	100189.9688	33229.9766	34900.4062	80290.8125	63488.3633	37946.8477	28724.1934	90339.6562	41798.3789	67576.2031	79176.6484	64875.2539	50103.7539	58781.8086	34254.5625	46233.5938	57644.9883	38153.8906	29334.0762	67526.2109	40926.8438	96007.7734	41837.9023	86404.7422
2.1347	36244.5469	52706.0938	43484.9258	55171.418	33496.8945	43071.125	48829.0117	26268.3867	40767.582	28160.3906	118098.4844	32264.2031	36784.5625	40548.9727	60806.3945	96381.5234	NaN	43739.7773	35901.5039	36795.0078	32815.7109	NaN	41777.2969	39132.6875	37998.2734	30037.873	61065.1406	25680.248	32492.0156	28758.3145	48123.9414	55277.0117	32693.4375	42867.2148	38718.918	31553.334	33100.0586	55777.3945	39106.3086	33254.1484	33897.7266	92106.3984	83953.1562	42348.1211	77411.0938	40272.1875	60096.8555	49112.8359	46862.2539	47694.8594	35595.3984	29779.4551	43178.9492	44477.6602	43775.5977	54112.7344	36855.3125	61392.6914	59048.9062	54420.9102	75602.2188	41641.0781	73953.6797	27643.1992	40777.6758	35817.7148	59975.6523	65748.0391	30797.127	32676.1172	76287.1641	52698.2852	32605.3555	26273.0195	85214.8594	37774.0547	75346.3125	54729.418	48204.6523	38511.0469	45208.6172	32767.6035	40848.5078	41853.6289	33955.1914	30850.7812	59658.668	34835.8867	92696.4844	38521.3789	59068.3828
2.2682	35107.7852	37846.0547	37281.0469	42213.2734	32025.8066	36817.0859	40731.8203	NaN	35526.3047	28223.6875	72549.8906	NaN	NaN	34574.7305	44433.3398	63537.1523	NaN	38266.7773	32585.4023	32954.0234	32658.5098	NaN	37128.0742	34033.3242	NaN	NaN	44018.0625	NaN	33063.0156	27084.0215	39282.293	41889.5898	28868.4141	31813.7266	31074.4688	39999.3789	29320.8281	45497.0117	37813.7656	NaN	32249.6973	86588.9453	78819.8203	37097.2617	62663.7266	36914.3555	43314.0078	38745.6328	39734.2422	37346.7031	35106.6367	30389.0762	33621.2969	33308.3711	36541.5469	42239.8242	32735.168	43882.5469	53888.9648	38234.6367	54817.1992	37233.543	51320.1211	NaN	36454.8164	NaN	41768.6992	46354.7188	30097.291	32924.3828	55255.3008	42446.043	29119.0996	NaN	62357.5664	36322.7734	57211.5234	41214.2188	36836.6523	34769.1992	38717.9961	34374.4141	44562.0352	36624.293	NaN	29056.4961	50963.9375	32991.3398	64980.2227	37198.3789	43254.7812
2.4016	33860.6484	32105.0391	34689.7461	37752.043	31907.7578	33125.0586	37599.332	NaN	32860.1211	NaN	50598.6211	NaN	NaN	33100.7578	36660.1992	45351.8242	NaN	35741.1914	30791.4121	33150.0156	37535.1836	NaN	34771.9375	32979.8516	NaN	NaN	34652.6602	NaN	31715.2461	NaN	34526.6797	36418.2383	27111.1113	28569.1777	26805.3262	56854.8516	NaN	43659.9492	34149.8164	NaN	31464.3926	57592.9922	53842.2969	34622.0117	44773.0742	NaN	35463.7422	36475.2305	35895.7031	30313.8691	33838.8398	NaN	31803.8457	30651.6504	31677.1152	35915.4688	30620.6543	37123.0312	41398.4883	31142.2559	43252.1914	35333.4805	40567.3555	NaN	33576.4258	NaN	34601.2578	38207.1992	NaN	31540.123	42564.1328	35543.7266	28835.4297	NaN	NaN	NaN	39917.0352	36619.6484	33879.375	31440.8008	35636.2695	NaN	54116.9922	35715.6328	NaN	NaN	58871.5352	32034.6992	44016.8555	35335.3633	37623.4258
2.535	33054.9023	30096.1973	32670.2402	33781.125	NaN	31931.0078	37113.5703	NaN	31889.8848	NaN	42211.0312	NaN	NaN	33437.6758	34118.4336	37940.9688	NaN	33286.2617	30938.5996	NaN	NaN	NaN	32925.293	32813.4688	NaN	NaN	32880.5469	NaN	NaN	NaN	34444.2891	33159.7383	26367.9453	28312.4785	26191.6289	73226.3984	NaN	52268.0938	33498.5625	NaN	30518.4844	41290.9766	37862.0273	31873.9316	35796.5273	NaN	33023.0273	35643.043	33060.5	27222.2715	33775.7031	NaN	32260.7051	30227.877	30040.4023	33468.0625	30461.2363	35127.3242	34180.2266	27754.9414	37015.1367	NaN	36289.1133	NaN	NaN	NaN	31100.3477	35729.8203	NaN	NaN	36826.5391	37208.625	NaN	NaN	NaN	NaN	33007.7461	35214.4219	31420.2168	32452.0605	NaN	NaN	NaN	35280.7734	NaN	NaN	NaN	NaN	35667.5078	37564.6719	35571.5234
2.6684	NaN	30090.3945	NaN	33732.6016	NaN	NaN	NaN	NaN	31855.9902	NaN	41237.418	NaN	NaN	NaN	30311.2676	33561.6641	NaN	NaN	NaN	NaN	NaN	NaN	33665.4258	35187.2695	NaN	NaN	33899.3984	NaN	NaN	NaN	33272.8828	34129.3359	27845.0352	NaN	23999.7812	65818.375	NaN	NaN	NaN	NaN	NaN	34721.2812	33765.1641	NaN	32832.3164	NaN	32810.5312	33311.6211	35612.1719	25779.6426	NaN	NaN	30165.4648	NaN	29179.125	30522.5176	NaN	33233.6875	33384.457	25953.6094	34305.9688	NaN	35068.0547	NaN	NaN	NaN	NaN	36272.457	NaN	NaN	34233.4062	40182.7656	NaN	NaN	NaN	NaN	31782.123	35149.1797	30890.8633	31718.2812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33672.5352	38578.9375	34637.1211
