x	Y_20181208_15692b_10_6g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_2g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_12_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_5g	Y_20181208_15692b_7_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_6g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_5g
2.9353	9676.5039	12206.4131	10471.0527	12071.5146	NaN	11186.748	11194.3555	12815.7852	11904.4883	11944.793	13006.5654	13084.1836	NaN	13376.9072	11724.3564	12702.7773	NaN	11251.7246	13312.6162	12050.7783	12680.5674	NaN	NaN	NaN	NaN	NaN	11553.6758
3.0687	10094.5186	NaN	NaN	NaN	NaN	10947.5557	NaN	13533.8496	12021.9277	NaN	13989.542	NaN	NaN	13798.1943	12656.0117	NaN	NaN	11217.3535	13025.7695	12026.7578	12352.542	NaN	NaN	NaN	NaN	NaN	11578.2637
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13314.1553	11834.4346	NaN	13207.71	NaN	NaN	13028.1758	12189.1562	NaN	NaN	12044.1328	NaN	12790.6689	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13459.5967	NaN	NaN	13472.1416	12597.3037	NaN	NaN	11488.0664	NaN	12513.2998	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12645.4678	NaN	NaN	NaN	11305.9014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
