x	Y_20180224_15102_1_2g	Y_20180224_15102_10_2g	Y_20180224_15102_11_5g	Y_20180224_15102_11_8g	Y_20180224_15102_12_1g	Y_20180224_15102_13_13g	Y_20180224_15102_13_1g	Y_20180224_15102_13_3g	Y_20180224_15102_13_4_1g	Y_20180224_15102_13_6g	Y_20180224_15102_13_7g	Y_20180224_15102_13_9g	Y_20180224_15102_15_17g	Y_20180224_15102_15_1g	Y_20180224_15102_15_9g	Y_20180224_15102_16_3g	Y_20180224_15102_16_4g	Y_20180224_15102_16_5g	Y_20180224_15102_18_3_2g	Y_20180224_15102_19_1g	Y_20180224_15102_19_7g	Y_20180224_15102_2_4g	Y_20180224_15102_2_7g	Y_20180224_15102_20_5g	Y_20180224_15102_20_8g	Y_20180224_15102_21_3g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_2g	Y_20180224_15102_23_3_S_g	Y_20180224_15102_23_4g	Y_20180224_15102_23_8g	Y_20180224_15102_24_7g	Y_20180224_15102_25_11g	Y_20180224_15102_25_6g	Y_20180224_15102_25_8g	Y_20180224_15102_26_8g	Y_20180224_15102_27_11g	Y_20180224_15102_27_6g	Y_20180224_15102_28_12g	Y_20180224_15102_28_15g	Y_20180224_15102_28_7g	Y_20180224_15102_4_6g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g	Y_20180224_15102_5_5g	Y_20180224_15102_6_1g	Y_20180224_15102_6_3g	Y_20180224_15102_7_2g	Y_20180224_15102_8_10g	Y_20180224_15102_8_1g	Y_20180224_15102_8_2g	Y_20180224_15102_8_5g	Y_20180224_15102_8_8g	Y_20180224_15102_9_2_g	Y_20180224_15102_9_6_S_g
2.6684	18836.635	16339.006	16006.534	18052.17	16797.154	19292.529	14920.775	17086.621	14499.521	15587.917	14842.864	15050.985	14091.363	16185.188	13175.044	15470.086	15977.285	15646.259	14457.621	17516.717	15023.493	15446.984	14921.167	14992.806	23427.547	14371.45	18869.588	18895.332	16516.492	14185.658	16627.682	18013.137	21896.264	20014.188	18679.641	16428.371	15671.967	13775.063	16207.911	12694.295	14691.646	16551.953	16515.141	17272.762	17936.551	23596.402	14003.473	14845.545	17442.363	15121.778	14142.69	17038.818	15773.99	21640.133	15170.124
2.8019	18135.922	16223.083	15349.051	17746.719	15977.177	19112.271	13446.143	18620.377	15029.561	15385.119	15904.68	14188.811	14864.61	16688.129	12852.272	NaN	15243.966	16803.061	14738.129	19080.014	15391.895	15797.246	15088.42	14247.762	24484.385	15082.883	17105.297	20208.152	17639.215	14778.892	16655.32	18770.092	20747.102	21556.42	15830.972	17659.734	17391.852	13455.781	15182.391	13008.616	14022.628	16209.372	16363.191	16646.445	16804.273	19246.543	14665.793	14747.955	17094.141	NaN	14808.158	16457.582	15066.019	20391.174	14955.675
2.9353	NaN	15944.684	15599.137	NaN	16261.021	17252.768	13098.415	18750.662	NaN	15193.835	17275.865	13820.018	15021.879	15746.5	12822.17	NaN	14371.667	NaN	15286.04	18399.691	14898.269	16061.873	15324.47	14494.341	22516.92	NaN	15824.052	21300.205	18447.104	NaN	15357.498	19314.664	17709.266	20467.348	15365.332	17711.932	17145.318	13848.399	14277.173	12523.669	14050.728	15424.987	NaN	NaN	NaN	16861.57	13631.333	14437.966	17788.406	NaN	NaN	16213.369	NaN	18695.637	15929.431
3.0687	NaN	NaN	15069.36	NaN	17430.414	15873.621	NaN	18959.49	NaN	14659.972	NaN	13412.019	15271.697	14477.651	12464.214	NaN	15026.674	NaN	NaN	17717.078	15692.574	NaN	NaN	15089.436	18642.488	NaN	15101.06	20104.268	16151.277	NaN	NaN	NaN	16431.338	19188.494	14729.312	17640.576	17534.051	13517.782	14604.541	12253.718	13783.558	16039.783	NaN	NaN	NaN	16882.268	13646.822	14579.286	NaN	NaN	NaN	16427.07	NaN	17040.787	16563.387
3.2021	NaN	NaN	NaN	NaN	15436.185	15220.062	NaN	NaN	NaN	NaN	NaN	13645.579	15276.503	13994.81	NaN	NaN	14921.043	NaN	NaN	16085.76	15708	NaN	NaN	NaN	NaN	NaN	14325.189	18332.225	NaN	NaN	NaN	NaN	15655.296	NaN	13565.554	NaN	18172.143	14028.481	NaN	12780.622	14482.995	15107.355	NaN	NaN	NaN	15603.773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15330.039	NaN	NaN	NaN	15113.986	NaN	NaN	15769.771	15427.452	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15728.166	NaN	13662.729	NaN	18187.379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16936.098	NaN	NaN	15315.253	15721.725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17039.844	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
