x	Y_20180212_14590b_1_14g	Y_20180212_14590b_1_3g	Y_20180212_14590b_10_4g	Y_20180212_14590b_11_2g	Y_20180212_14590b_12_3g	Y_20180212_14590b_13_4g	Y_20180212_14590b_13_5g	Y_20180212_14590b_13_7g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_3g	Y_20180212_14590b_15_5g	Y_20180212_14590b_16_4g	Y_20180212_14590b_16_5g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_18_5g	Y_20180212_14590b_18_9g	Y_20180212_14590b_19_1g	Y_20180212_14590b_19_2g	Y_20180212_14590b_19_4g	Y_20180212_14590b_19_5g	Y_20180212_14590b_19_6g	Y_20180212_14590b_2_1g	Y_20180212_14590b_2_3g	Y_20180212_14590b_20_1g	Y_20180212_14590b_20_2g	Y_20180212_14590b_21_4g	Y_20180212_14590b_21_5g	Y_20180212_14590b_22_3g	Y_20180212_14590b_22_4g	Y_20180212_14590b_23_1g	Y_20180212_14590b_23_2g	Y_20180212_14590b_23_4g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_4g	Y_20180212_14590b_24_5g	Y_20180212_14590b_26_6g	Y_20180212_14590b_27_4g	Y_20180212_14590b_27_6g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_1g	Y_20180212_14590b_29_4g	Y_20180212_14590b_31_1g	Y_20180212_14590b_31_3g	Y_20180212_14590b_32_2g	Y_20180212_14590b_34_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_38_1g	Y_20180212_14590b_38_3g	Y_20180212_14590b_38_5g	Y_20180212_14590b_39_1g	Y_20180212_14590b_39_5g	Y_20180212_14590b_4_3g	Y_20180212_14590b_4_6g	Y_20180212_14590b_4_7g	Y_20180212_14590b_40_2g	Y_20180212_14590b_41_1g	Y_20180212_14590b_41_3g	Y_20180212_14590b_41_4g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_46_1g	Y_20180212_14590b_46_5g	Y_20180212_14590b_47_4g	Y_20180212_14590b_48_10g	Y_20180212_14590b_48_13g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g	Y_20180212_14590b_5_11g	Y_20180212_14590b_5_2g	Y_20180212_14590b_5_4g	Y_20180212_14590b_6_3g	Y_20180212_14590b_6_7g	Y_20180212_14590b_6_8g	Y_20180212_14590b_7_6g	Y_20180212_14590b_8_2g	Y_20180212_14590b_8_4g	Y_20180212_14590b_9_1g	Y_20180212_14590b_9_6g
1.3342	43945.906	37739.098	37301.035	40108.23	37463.293	36591.613	36629.832	58990.277	38007.824	35708.004	42027.758	54383.992	52362.52	42187.805	38824.238	42227.988	37309.586	36831.344	32521.928	34377.977	38279.395	38494.73	37246.445	42175.09	43410.078	37516.477	47057.285	42535.047	36200.383	35012.828	38776.66	35494.703	42513.848	37070.152	38950.688	40444.75	42039.414	34489.586	39878.438	43429.84	43719.105	36976.113	40982.062	33694.723	43710.441	40675.797	63377.348	43788.23	42745.883	37762.211	34266.418	41426.383	47621.125	62661.312	46707.191	35749.086	41045.027	40154.305	40984.023	42759.414	39983.605	38950.777	35147.84	41391.516	43688.746	37113.246	48091.051	43805.637	43094.707	38361.121	40820.148	39488.004	38473.914	46355.414	37618.828	40067.793	35126.469	42276.895	39675.164	46986.191	44855.59
1.4676	45076.484	38337.465	39505.934	44781.039	38200.438	40479.461	40188.543	89466.758	40483.551	37134.141	44102.09	81065.516	67062.367	42255.059	38664.957	44646.926	38922.586	38777.281	34279.137	35435.039	40346.234	42178.652	39535.004	51652.684	47345.324	40489.094	57924.867	47066.555	36024.883	37738.242	42325.297	36932.758	43846.832	39778.121	41063.746	40354.238	44503.957	34785.332	42048.355	58510.402	49343.617	38084.215	44493.68	35720.203	45317.656	45567.277	89338.922	51142.301	43129.719	40320.199	32836.266	42393.066	65236.004	91640.047	54081.59	40581.137	40463.648	45491.918	44740.812	51363.621	43397.816	43100.762	38209.496	44349.672	45576.574	41910.148	50544.055	47604.332	45560.309	38778.812	44741.684	42752.754	39418.535	53474.863	43364.043	47650.504	39124.117	55681.887	40361.727	59558.141	54272.719
1.6011	48027.309	39622.875	42072.246	60720.895	39515.703	42657.473	48323.844	144791.594	51722.832	40039.234	56357.82	140491.25	98186.312	43496.242	39230.066	50058.109	42273.82	49540.051	36039.492	37769.688	44665.09	51083.473	43719.195	77842.273	57482.551	42920.105	82455.656	59389.961	36246.504	41414.734	50038.105	40414.738	43469.07	40646.855	45818.176	42211.934	56735.672	35698.812	52780.691	87520.141	55672.062	38739.793	54528.031	41917.273	52333.043	54114.199	126891.391	65616.219	48154.371	42627.664	34733.02	42057.836	107439.562	136293.719	77769.008	46466.191	43017.891	54019.438	44119.234	74458.992	44461.352	45277.672	36553.336	46027.039	52587.98	46872.152	60466.555	58474.32	47537.645	41047.406	50348.027	59055.941	40401.957	74997.016	55213.926	61997.445	44346.555	82234.062	41640.004	87922.391	71904.906
1.7345	56210.402	45292.195	49451.137	88986.07	42871.598	50762.25	70506.781	163922.281	71249.211	46258.676	84844.875	216047.156	147906.391	50016.824	41889.441	60488.047	56608.18	70764.938	37815.473	41535.777	56996.598	70560.312	56050.035	117780.617	82274.461	47724.312	124530.289	88580.297	41776.148	46354.793	72846.32	48845.734	53696.516	42372.121	63543.555	50073.84	84897.102	35283.809	83740.336	111131.047	68799.094	43655.527	77247.953	56828.871	69835.305	73648.859	110043.828	103467.883	62042.16	54344.074	36695.008	45227.355	136715.531	146677.609	111892.219	60480.539	45956.789	73652.492	45639.887	116369.031	52277.078	54961.859	35624.547	51612.551	67118.789	61601.316	91555.125	83423.047	59406.484	49708.129	61323.719	96726.18	49694.367	126031.773	89447.625	95037.523	59685.578	112925.461	47402.328	117631.125	99396.594
1.8679	77518.695	59892.223	70785.414	133663.312	49814.688	71427.438	97516.375	122153.062	105267.297	60396.246	140185.344	213515.109	152654	68345.188	44031.52	90248.633	85040.5	100813.352	45859.383	56332.035	81249.773	98298.094	86317.406	127812.523	125279.078	56560.77	146064.109	131878.594	53529.156	65594.789	103572.391	74072.031	74325.266	47627.715	93883.805	68071.484	128121.836	38369.363	152605.75	90544.625	106671.516	52628.844	114799.797	90688.094	104205.875	123771.414	70563.094	136492.531	86022.539	82009.312	39982.316	50168.562	123879.609	103805.383	127092.664	87187.594	54729.691	115785.812	50031.801	135678	70503.188	82515.797	40019.191	65435.855	93227.141	94908.922	147020.547	116583.078	81271.75	63548.621	90173.594	123926.305	67660.75	173882.875	130593.148	124827.375	94776.609	101912.336	62899.449	117632.469	102556.766
2.0013	128730.883	84251.047	112020.812	135439.688	70354.195	94041.516	99010.672	NaN	118656.828	84193.633	157566.156	135536.531	107895.461	94589.594	49391.406	129230.938	97644.969	95074.82	66321.219	84685.07	104929.648	86325.719	125294.82	93259.961	125664.953	82826.109	112483.938	146994.25	81324.781	94774.594	116389.883	104276.484	123667.062	60741.473	120323.977	93581.906	126347.969	47470.91	201551.062	61194.719	175651.188	84726.109	115841.367	109861.789	123460.57	204456.625	51530.051	123432.586	130143.719	114948.461	43172.172	62705.52	87630.945	NaN	96989.422	119735.008	82267.719	160878.688	63074.48	100423.773	121707.047	119633.773	44314.754	99827.969	102815.492	100161.953	161096.578	117400.758	121554.039	102007.539	120218.07	102084.836	81851.328	149237.969	127446.188	101934.93	131144.875	69208.273	95251.742	82492.797	78237.82
2.1348	177939	98755.508	129873.422	91329.328	98612.602	91239.633	72366.469	NaN	90072.266	102835.617	108616.094	80605.398	69890.992	97420.43	73612.078	132004.281	79936.672	62810.426	107953.984	116833.562	98286.43	60211.605	118035.422	60497.156	87982.531	99852.227	74164.469	103494.531	129131.328	105423.031	87209.961	99360.766	155601.859	89939.867	100494.43	101414.617	86663.641	70893.305	159152.5	47789.805	233049.5	146572.688	85453.602	93857.945	94991.875	216939.641	46086.434	88158.703	145179.844	105444.367	58151.113	94799.648	61616.945	NaN	63906.066	110106.492	116279.641	143157.938	89425.898	62448	179370.953	122780.172	58753.969	147327.625	80466.477	67889.133	119508.82	86888.781	140775.453	135017.297	105604.938	70134.836	72926.156	95830.352	84117.289	61457.969	118922.078	49606.941	138430.703	54923.973	NaN
2.2682	164779.438	84809.734	99241.031	58645.984	98371.875	60870.07	51704.609	NaN	55806.578	84841.336	68409.852	56341.441	55209.605	73491.367	112879.172	96521.602	54174.66	43138.727	154485.031	109693.414	69503.008	45042.359	80348.047	49440.484	62085.301	83046.234	NaN	66073.961	133613	79933.703	56506.613	69902.656	127337.969	118755.102	63615.957	79269.562	61268.992	116579.703	88112.227	41761.148	206521.281	169876.469	57083.883	NaN	62474.66	150092.172	NaN	68135.281	107132.289	72317.539	90741.383	127263.492	48557.52	NaN	51961.762	78391.578	111358.469	93176.211	127536.961	48609.77	161882.75	85116.789	92633.086	138605.219	58806.863	50626.566	77080.57	57845.328	108697.891	118889.016	70962.242	49715.25	52426.125	63296.535	56806.996	45594.695	78120.992	42219.387	132504.156	44346.336	NaN
2.4016	119908.133	57827.699	65137.426	NaN	72158.758	NaN	42977.586	NaN	NaN	58423.219	51264.371	NaN	NaN	51479	143207.031	64021.918	41361.539	35908.766	151810.859	73410.445	50454.594	39349.367	55954.945	44081.449	50478.859	57691.363	NaN	49111.59	90329	55311.633	46442.668	53395.016	75411.109	111819.383	48065.746	57126.605	48796.293	149807.156	56452.602	NaN	130478.906	126165.938	45217.953	NaN	48376.234	84995.672	NaN	56680.434	72076.172	51908.93	114727.68	119153.383	NaN	NaN	44615.719	53935.547	78565.672	59798.582	150387.766	NaN	95023.672	59600.312	121078.383	92123.227	52640.109	43247.93	58419.793	49030.094	70799.195	76400.242	52822.074	44373.148	41145.328	48257.715	NaN	41321.953	53244.207	NaN	86679.453	NaN	NaN
2.535	90241.297	NaN	NaN	NaN	51294.59	NaN	NaN	NaN	NaN	47007.629	47373.145	NaN	NaN	42154.633	113854.695	48958.457	NaN	32554.695	96209.352	52613.281	44017.652	37526.805	46551.281	NaN	46273.371	43588.406	NaN	42429.234	59800.809	43299.449	NaN	52437.988	56356.605	77149.164	44433.621	NaN	NaN	122771.273	45655.051	NaN	75825.172	73086.156	NaN	NaN	NaN	59673.559	NaN	50492.352	58515.508	NaN	94817.328	83178.695	NaN	NaN	42889.699	NaN	53603.273	48757.262	131090.688	NaN	56690.883	50283.93	108335.758	59906.867	NaN	40155.465	NaN	NaN	55131.734	54343.988	49308.27	NaN	NaN	NaN	NaN	NaN	42292.691	NaN	61745.816	NaN	NaN
2.6684	68113.992	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40155.289	70933.625	NaN	NaN	NaN	55920.215	45011.562	41934.273	37081.043	NaN	NaN	43073.887	39113.914	NaN	NaN	45586.105	NaN	NaN	49903.367	NaN	58047.168	41489.461	NaN	NaN	77207.75	NaN	NaN	55731.531	51503.328	NaN	NaN	NaN	46823.914	NaN	NaN	49857.82	NaN	60517.848	58271.301	NaN	NaN	NaN	NaN	44906.426	45154.312	90530.297	NaN	45284.809	NaN	73246.297	48645.762	NaN	NaN	NaN	NaN	48500.07	44470.793	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50038.047	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50802.781	NaN	NaN	NaN	43108.738	NaN	42284.336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39582.828	NaN	NaN	NaN	NaN	47376.496	NaN	NaN	NaN	54189.324	NaN	NaN	NaN	43537.562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44380.184	46755.438	NaN	NaN	NaN	NaN	40616.215	43492.043	59672.82	NaN	NaN	NaN	51747.176	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38801.574	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39096.977	43576.879	NaN	NaN	NaN	NaN	40587.07	NaN	50491.305	NaN	NaN	NaN	43236.602	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41814.297	NaN	NaN	NaN	NaN	NaN	NaN	44029.363	NaN	NaN	NaN	39567.727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40768.105	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
