x	Y_20180130_15100b_10_11g	Y_20180130_15100b_10_6g	Y_20180130_15100b_11_2g	Y_20180130_15100b_12_5g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_1g	Y_20180130_15100b_13_3g	Y_20180130_15100b_13_6g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_6g	Y_20180130_15100b_17_13g	Y_20180130_15100b_19_1g	Y_20180130_15100b_19_7g	Y_20180130_15100b_20_3g	Y_20180130_15100b_20_4g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_3g	Y_20180130_15100b_21_4g	Y_20180130_15100b_22_11g	Y_20180130_15100b_22_19g	Y_20180130_15100b_22_9g	Y_20180130_15100b_24_14g	Y_20180130_15100b_4_12g	Y_20180130_15100b_4_14g	Y_20180130_15100b_4_20g	Y_20180130_15100b_4_21g	Y_20180130_15100b_5_19g	Y_20180130_15100b_5_6g	Y_20180130_15100b_6_4g	Y_20180130_15100b_6_9g	Y_20180130_15100b_7_11g	Y_20180130_15100b_8_2g
1.3342	39036.766	37149.922	43345.391	33645.496	38536.055	39971.469	53209.055	37977.852	35528.219	56325.555	58317.324	35268.137	63226.426	37301.727	75599.008	39072.07	36081.605	38630.352	39758.164	35827.648	55854.484	42961.961	43850.969	38689.867	40859.301	41669.918	39629.141	41252.57	41867.469	36566.996	42331.809	36613.715
1.4676	41758.375	42872.805	38039.488	37162.688	38953.258	44802.684	70593.047	41797.176	35334.355	64293.223	82913.672	36733.199	49588.379	39984.105	103636.742	40606.469	37077.902	40238.094	45358.703	46532.898	72931.641	53419.613	51397.137	38704.359	44382.406	55028.387	41788.477	41808.258	40603.77	38400.258	49159.219	38511.848
1.6011	43042.418	50926.812	35991.02	41322.027	40180.184	48682.93	80246.094	48130.746	34777.648	56894.789	83358.555	42775.656	39922.438	48666.148	102025.797	43692.645	40728.52	48206.242	42852.379	58177.164	79327.703	70333.328	62173.07	40527.34	49555.582	75177.547	50176.766	45876.211	44198.695	39196.855	60702.266	42742.348
1.7345	54172.098	52711.266	NaN	52824.879	40887.148	54734.91	62463.445	49000.207	36748.457	44290.836	59811.141	61137.762	38335.934	60313.5	71650.75	55698.207	51723.484	56250.664	39494.438	63747.77	61264.766	79267.383	69068.172	47358.395	57340.602	80850	72823.07	56684.609	48806.492	44962.426	66956.766	50920.059
1.8679	66934.578	46242.555	NaN	72822.922	45673.941	59647.926	48476.43	41601.004	38879.855	40225.598	44696.953	89719.109	37992.094	65242.156	52059.891	70562.688	53059.965	55723.73	36979.027	53926.07	45886.328	67104.5	59622.375	59622.117	55548.84	60501.441	88194.047	77602.797	55105.93	50835.902	54387.391	59974.984
2.0013	68691.289	41692.938	NaN	83233.109	51400.027	56747.293	44482.227	37407.848	41132.754	NaN	40496.551	93879.422	36983.805	55009.957	NaN	61649.723	46944.781	46881.547	35747.371	40744.836	NaN	52464.738	47760.461	59581.793	47706.734	44580.68	74091.352	84527.188	52470.07	47400.789	44909.707	57319.164
2.1348	53859.52	NaN	NaN	67745.82	50879.895	46257.215	NaN	36274.477	46142.281	NaN	40922.359	68501.117	NaN	46367.695	NaN	46441.469	38743.059	42965.547	NaN	NaN	NaN	44421.023	41892.828	50155.906	40743.621	39605.012	52722.781	68420.422	44227.781	40772.352	40606.133	48382.496
2.2682	44618.441	NaN	NaN	52314.43	44587.215	45269.254	NaN	33954.402	45853.988	NaN	NaN	46426.938	NaN	40122.02	NaN	40211.617	34197.074	38722.406	NaN	NaN	NaN	NaN	NaN	41754.336	37919.168	NaN	41848.281	50306.125	39860.805	38935.773	39890.48	42843.871
2.4016	39878.074	NaN	NaN	42222.422	40120.016	42669.207	NaN	NaN	40094.777	NaN	NaN	36484.648	NaN	37319.223	NaN	36208.172	33269.418	NaN	NaN	NaN	NaN	NaN	NaN	38178.648	NaN	NaN	39201.344	43842.938	NaN	NaN	NaN	NaN
2.535	38495.43	NaN	NaN	39714.695	38514.297	41019.316	NaN	NaN	35386.281	NaN	NaN	32979.77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38290.914	41576.805	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33301.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32977.609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32926.883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
