x	Y_20181208_15692b_10_6g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_2g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_12_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_5g	Y_20181208_15692b_7_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_6g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_5g
1.3342	28120.9492	29015.1133	29993.8359	28226.4102	30152.4004	28559.7773	26826.084	30928.2168	30466.9473	30751.7598	33277.1211	29964.3105	30576.2324	31839.7363	32319.5449	29565.418	30957.627	27236.8652	30596.207	32000.0156	30415.041	32846.7109	29859.4668	34797.0391	25466.1602	27705.9707	31835.3555
1.4676	28461.9805	28652.9727	32530.5293	28715.5156	29087.1738	28691.6738	27538.4004	32866.5469	29925.1133	29307.0879	33859.0859	31517.1582	32497.4531	31517.2461	31744.8574	30604.334	31094.2773	27799.8535	29612.7617	32024.8301	33072.2812	34482.25	32635.334	38422.9688	26253.5273	30101.1309	31940.4688
1.6011	29432.2344	29307.3809	34720.0312	30568.6777	31783.8457	28894.0195	26762.1523	33639.1484	30325.4531	29917.332	37146.4219	29953.5332	39475.2148	32189.7031	32833.8008	30489.0059	34816.332	27209.6973	32101.7754	33455.5156	34654.5977	39714.5938	39198.5117	47311.1289	27375.3379	34039.1602	33239.1484
1.7345	30174.1504	29276.7539	42180.2305	30422.8027	31183.3301	30696.623	26397.0078	33370.5391	31638.6875	30744.875	38941.8633	29689.8047	56516.1719	33804.2109	33409.9141	32074.5742	35393.3828	27989.9824	33225.1484	32680.3301	39086.1211	52303.0469	56594.7031	71564.3359	29885.4434	40460.5	33230.4805
1.8679	33523.9219	30467.4023	55183.9648	31328.1855	38541.2617	37167.1953	29011.5039	33956.7383	31882.7617	31181.0234	45045.6445	32173.5898	84631.2578	33994.168	35448.8828	35001.9609	38004.7227	26694.2441	34763.7617	33103.0781	49002.6602	68588	73387.4531	94899.4688	31957.9922	46808.0039	37035.5352
2.0013	38652.9883	32190.2695	64601.7891	40002.6172	49669.3516	52177.4258	37035.9609	36625.6055	33459.5742	32222.5449	57773.4688	39462.3633	100733.5859	35083.0273	40034.1211	40528.9102	47656.4648	27627.1445	41284.6094	35461.2812	70895.1094	77598.3438	70284.5625	85865.3281	38450.3984	47048.6875	47218.9805
2.1347	45864.0977	34351.543	57561.5117	56332.8633	64101.4375	69750.8203	48314.4375	41935.8516	41286.2305	33173.2305	92271.9609	53730.0508	85205.5781	36195.2812	48992.3672	53354.8359	58749.0352	27706.6914	56694.1094	40161.1562	92292.8828	65537.6094	48363.4414	59235.5977	53055.3633	35475.5391	68784.5312
2.2682	44759.1836	40836.6953	43236.6055	76587.3828	54454.5234	66809.0938	50444.0508	51185.9375	56892.5078	41724.8281	128693.625	74260.2344	59571.5312	42382.7656	63879.8281	69730.8594	53780.8906	29608.041	86720.8125	50838.2773	76221.2734	44707.5	36071.3203	NaN	59326.2695	29742.9141	81588.9844
2.4016	37227.7891	54555.8594	35675.1875	73489.3828	39316.3594	51145.7188	40957.4883	71083.0156	80085.4688	59092.9414	116680.25	65313.6797	41933.0586	52642	80399.3125	72974.4766	43610.668	33117.3242	104721.8516	69918.6172	50292.2031	36361.9062	30805.8379	NaN	48541.957	28642.1641	67146.3672
2.535	30776.4609	59490.6641	33077.9453	51591.418	35149.5195	40314.6641	30701.6816	70562.3203	84802.4609	65885.3906	75347.5469	46895.5703	34848.5586	78010.3438	74792.1875	56782.7422	35456.8867	40932.3984	83294.7891	84329.5938	40937.4023	32865.9414	28530.332	NaN	37133.9961	NaN	46344.8203
2.6684	29332.293	47193.3594	31437.8691	38675.9414	31429.6211	35904.4375	26365.998	52736.4492	56588.5	58518.3945	49245.3086	38010.6211	31056.418	93066.2891	53541.4219	40799.8516	33018.8594	46420.1172	52910.207	69846.75	36690.5117	31000.9727	27754.623	NaN	33724.9922	NaN	39803.3281
2.8019	28444.0078	37867.9414	30379.2344	34632	NaN	32754.5547	25129.8086	39048.3281	40308.418	55483.0586	40081.6523	33102.5273	30612.4004	76709.9688	41071.2266	34399.457	32088.0039	41352.1172	39391.5078	49410.7734	35307.2383	NaN	NaN	NaN	33065.918	NaN	35150.582
2.9353	25793.4473	32985.7188	28859.4102	32557.4922	NaN	32852.9766	24235.9434	34219.1758	34723.1328	49162.6914	36784.9062	32981.6562	NaN	50331.5625	36579.957	33784.8594	NaN	34448.6914	34624.707	39250.7695	34337.3477	NaN	NaN	NaN	NaN	NaN	32942.8789
3.0687	26467.0195	NaN	NaN	NaN	NaN	32650.4902	NaN	32096.9375	31904.8516	NaN	34518.4648	NaN	NaN	41677.3125	33633.6719	NaN	NaN	30277.7949	34029.5742	35531.1797	32502.834	NaN	NaN	NaN	NaN	NaN	32802.9141
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32185.5781	31036.6543	NaN	34840.4336	NaN	NaN	37330.6562	33841.0625	NaN	NaN	29491.8789	NaN	33258.8477	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33905.6406	NaN	NaN	34080.9297	33278.5078	NaN	NaN	27891.9395	NaN	33584.9961	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35712.8984	NaN	NaN	NaN	27888.7773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
