x	Y_20181208_15100_10_2g	Y_20181208_15100_14_2g	Y_20181208_15100_16_3g	Y_20181208_15100_19_2g	Y_20181208_15100_2_1g	Y_20181208_15100_2_3g	Y_20181208_15100_5_5g	Y_20181208_15100_6_4g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g	Y_20181208_15100_7_2g	Y_20181208_15100_8_1g	Y_20181208_15100b_1_7g	Y_20181208_15100b_10_2g	Y_20181208_15100b_11_3g	Y_20181208_15100b_13_3g	Y_20181208_15100b_14_1g	Y_20181208_15100b_15_4g	Y_20181208_15100b_16_9g	Y_20181208_15100b_17_7g	Y_20181208_15100b_18_1g	Y_20181208_15100b_18_2g	Y_20181208_15100b_19_6g	Y_20181208_15100b_19_7g	Y_20181208_15100b_2_3g	Y_20181208_15100b_20_12g	Y_20181208_15100b_21_8g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_23_2g	Y_20181208_15100b_26_6g	Y_20181208_15100b_27_1g	Y_20181208_15100b_28_1g	Y_20181208_15100b_29_1g	Y_20181208_15100b_32_5g	Y_20181208_15100b_5_2g	Y_20181208_15100b_5_3g	Y_20181208_15100b_6_2g	Y_20181208_15100b_7_5g	Y_20181208_15100b_8_3g	Y_20181208_15100b_8_4g	Y_20181208_15100b_9_3g
1.3342	30124.1543	59189.8242	35541.6523	52845.582	48703.7344	41042.9219	33769.1992	51852.875	50358.9141	65315.0703	37614.8047	35720.207	35155.4648	33434.8789	39363.4492	48569.582	29344.4531	41382.207	31899.6602	41111.1328	30060.8789	30915.5	44078.6484	28745.3008	32047.957	40647.9883	127588.6328	31831.3379	58504	33590.7109	29851.2402	27573.6348	24074.7598	34565.2266	32243.252	65207.0195	38385.0312	36115.043	32087.6895	39949.168	35543.1289	31196.6582
1.4676	33597.2969	82934.2266	41734.082	68794.6875	50994.8555	47488.4336	37574.0195	45679.75	51039.7891	81583.6719	44050.8203	47280.4141	46143.9688	34462.1406	52350.7812	68312.1328	35993.3789	46102.6523	33976.4375	46975.8633	32206.5586	31076.4316	39483.2695	29399.1562	32859.4258	37414.7266	131451.6719	30228.8926	69914.7578	41619.9414	30941.8652	28425.123	25077.748	39912.8945	34619.4023	48661.2031	46597.25	40387.3281	32377.5156	38476.418	39452.0859	31073.4609
1.6011	42278.582	79328.5156	51987.8242	60271.5234	39720.2305	58625.625	46462.9023	36102.1445	39072.6445	69086.7734	44925.7734	73627	65899.4297	37927.8203	68834.5703	79187.4844	49855.0078	42514.5664	40989.8516	42361.0156	36847.043	35284.5039	34418.3164	31682.3652	37771.4258	31548.1973	91946.4219	NaN	55860.5977	57319.5703	32132.252	29105.2422	28973.7285	54993.0625	38189.9844	41899.4766	53004.6211	46637.668	33959.1758	37786.9805	47687.2656	31840.4941
1.7345	60523.7969	55807.1719	61319.0234	43433.5078	35713.1797	58631.9531	62866.3125	31942.4492	31863.2441	48998.2031	38035.7344	101454.4609	75907.0156	42470.168	65713.7812	63172.2578	54497.2461	34880.1406	53153.5156	35554.0312	38329.4141	42144.7852	32052.5938	33249.4336	41651.8086	30078.9609	59028.3906	NaN	39667.2461	71179.0156	37156.625	28621.0527	34565.9531	90728.6719	42759.4492	NaN	48040.6016	62261.8086	38382.3281	39453.6602	53335.4727	38296.0781
1.8679	72388.5	39442.4609	56748.5742	35042.0664	32731.9414	46865.2383	72437.5	29023.1816	29290.9121	37315.0312	32990.0391	94916.9609	62338.418	48796.9531	49715.7969	41538.2031	43714.9609	32530.0742	55416.2305	32895.2617	36125.6484	43933.8672	NaN	37835.4375	57194.8203	29595.5996	45176.6641	NaN	35990.3984	58390.2617	46159.5039	33015.0234	45172.2812	125609.6328	37460.793	NaN	39361.8008	79828.6953	43673.1641	39222.7188	47434.7734	46287.0195
2.0013	64960.3164	35225.3828	43935.3086	34116.1484	32131.4941	38325.6445	58319.4336	29455.0137	28204.4648	31792.0605	30709.9551	61921.7969	47525.6055	45573.7539	37527.3828	35554.957	30414.9668	NaN	44400.6055	32285.084	31950.1758	38372.5859	NaN	41730.043	65422.2266	NaN	38305.9609	NaN	NaN	42119.5078	47740.457	38104.1602	53573.2852	111756.3594	33170.2109	NaN	34571.0859	70723.375	42031.8242	NaN	39041.4805	50099.5859
2.1347	47730.6406	33782.9805	37713.1875	NaN	NaN	34308.1133	42282.2383	NaN	NaN	28820.9355	NaN	42854.1758	42981.7422	38843.125	32789.7227	31910.2168	28335.3555	NaN	37628.1875	32684.6074	30355.9531	33579.9219	NaN	39379.0664	51001.3281	NaN	37301.1875	NaN	NaN	33836.8438	42487.0742	48791.7773	47188.8359	72216.6094	31912.9199	NaN	33709.5781	49128.9336	36565.2773	NaN	35413.0859	43247.6172
2.2682	35849.9922	32089.7324	35380.1055	NaN	NaN	33262.6211	35906.1992	NaN	NaN	NaN	NaN	35410.4414	36835.3359	34780.7422	31248.0762	NaN	27320.4883	NaN	33955.2617	NaN	28738.3066	29797.6973	NaN	33642.0078	39568.2266	NaN	34321.6562	NaN	NaN	NaN	36462.8789	55161.2852	34721.875	47883.6992	31044.4805	NaN	NaN	39566.9258	34570.9102	NaN	32997.4922	37469.3008
2.4016	31525.3066	NaN	NaN	NaN	NaN	32559.9414	32514.5898	NaN	NaN	NaN	NaN	32572.0879	NaN	34617.625	NaN	NaN	NaN	NaN	NaN	NaN	29736.0703	29555.9336	NaN	30287.3652	34261.8086	NaN	NaN	NaN	NaN	NaN	33897.7617	50746.9375	28513.0586	39618.4453	NaN	NaN	NaN	36244.6172	33751.5781	NaN	31683.709	32681.1289
2.535	29526.6152	NaN	NaN	NaN	NaN	NaN	32790.5078	NaN	NaN	NaN	NaN	31463.0352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26690.8809	NaN	NaN	34005.6367	NaN	NaN	NaN	NaN	NaN	32870.625	37295.7344	25664.7344	NaN	NaN	NaN	NaN	35864.7734	32298.7383	NaN	NaN	31842.3359
2.6684	29811.082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30524.6133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37085.1211	30604.6367	25691.9961	NaN	NaN	NaN	NaN	NaN	31790.4199	NaN	NaN	32093.4668
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28161.1797	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
