x	Y_20180224_15102_10_5g	Y_20180224_15102_12_12g	Y_20180224_15102_12_16g	Y_20180224_15102_12_7g	Y_20180224_15102_14_4g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_6g	Y_20180224_15102_24_5g	Y_20180224_15102_25_3g	Y_20180224_15102_25_9g	Y_20180224_15102_26_5g	Y_20180224_15102_26_7g	Y_20180224_15102_27_1g	Y_20180224_15102_27_6g	Y_20180224_15102_28_5g	Y_20180224_15102_28_8g	Y_20180224_15102_29_1g	Y_20180224_15102_4_10g	Y_20180224_15102_4_11g	Y_20180224_15102_4_3g	Y_20180224_15102_5_1g	Y_20180224_15102_7_8g	Y_20180224_15102_8_1g	Y_20180224_15102_8_6_s_g	Y_20180224_15102_8_8g	Y_20180224_15102_9_5g	Y_20180224_15102_9_6_s_g
2.1348	15514.932	17456.393	17755.646	23711.764	25655.238	18490.842	16420.559	15311.597	19689.564	20649.244	18830.461	16054.982	17036.297	15043.55	16770.871	33060.867	20280.328	17501.893	18264.469	15591.756	18152.922	17298.934	21049.723	20003.029	19087.59	18406.309	19097.594
2.2682	15843.306	17963.117	18005.035	22558.027	25304.828	19221.906	15495.81	14684.354	19914.65	18361.051	18642.299	16296.79	16841.395	15256.207	16526.598	33293.43	19317.889	17513.961	17805.668	14483.804	18022.6	17711.25	21431.473	19733.346	19236.205	20284.338	18483.811
2.4016	15195.402	16980.414	18179.129	22483.338	26195.025	20772.875	15382.627	14957.554	19103.77	17175.805	18393.947	16771.148	17519.363	15650.093	16384.139	36203.875	17719.035	17600.949	17071.045	14931.24	17217.363	17832.801	21385.871	18985.977	18464.932	22690.408	17909.768
2.535	15674.886	16896.672	18019.67	22271.418	24693.057	21804.312	16662.145	14339.617	18060.482	15910.626	17363.598	18132.143	17006.674	16236.214	15712.221	35230.477	17727.385	16718.801	16928.689	15401.741	16766.23	16746.143	21841.264	19403.613	18706.342	21816.982	18077.049
2.6684	16720.926	18023.789	17749.863	20213.93	22053.23	21571.52	17386.492	15280.169	17127.975	15771.159	17146.668	17462.303	16264.294	15557.019	16219.856	32473.754	16837.484	17860.586	17098.043	15120.242	16873.404	16507.303	21975.596	18109.736	18786.762	21834.857	17845.137
2.8019	16041.388	17492.318	18125.5	17643.967	20955.98	20652.484	17874.717	15478.523	17088.67	15828.498	16646.645	17988.955	16596.486	16025.713	15152.341	28928.807	17543.436	18453.881	17978.855	16273.775	16928.66	16482.885	21823.422	18071.125	17842.277	21765.062	18329.676
2.9353	15440.435	17229.395	18433.568	16740.797	18568.949	20538.043	17887.529	15196.988	16186.112	15363.552	16291.007	18889.98	17026.174	16081.601	15686.545	25163.189	17744.84	18365.951	16988.014	16104.188	16404.602	15941.72	20396.367	16992.301	17259.6	22003.076	18232.832
3.0687	15948.656	17466.725	18732.607	16637.494	19496.217	20514.992	16827.916	16768.945	15147.252	14885.654	16726.969	18616.807	18362.344	16880.555	17483.746	25913.775	17377.354	17882.283	17137.805	16298.369	15440.506	16019.637	19736.85	16444.676	18173.311	20655.885	19011.029
3.2021	15440.41	18192.629	17928.291	16263.482	18505.766	20153.299	15811.223	17013.078	15042.115	14632.863	16496.711	17538.924	18222.35	17506.799	17765.445	25202.533	15582.33	17088.754	16982.586	15817.286	15070.706	16810.641	19032.654	17972.559	17240.455	19776.812	18058.42
3.3356	14624.374	18571.361	16029.339	15956.427	18194.467	19926.773	15342.97	16389.092	15953.558	14405.438	16859.195	17903.488	17323.064	16504.176	17430.645	24965.326	16020.987	16250.26	17704.18	15741.153	15139.209	15857.993	19418.434	16752.166	16314.136	18955.832	19851.131
3.469	15486.411	20395.125	16482.543	15043.611	18394.467	19664.342	15228.598	15843.764	15358.114	14787.838	16145.856	16777.068	17293.816	15274.938	15476.365	23402.178	16259.065	15750.828	17104.475	15586.474	15127.641	15223.452	18205.561	15481.401	15526.444	18396.465	19823.4
3.6024	16337.051	21241.076	15198.279	15315.618	17492.016	18902.4	15288.064	15210.655	15246.614	14615.048	15553.588	15827.225	16469.088	14743.305	14797.796	21857.705	14937.633	15086.825	17341.387	15190.077	14833.688	15011.188	17776.654	15317.072	15281.201	17576.057	20619.139
3.7358	18472.086	20536.119	15713.119	15068.401	16754.23	16825.504	16146.902	14488.14	15532.306	14156.78	15488.667	15586.792	15753.121	14411.435	14267.09	21254.693	15233.118	14553.026	15808.159	15475.646	14455.783	13054.243	18833.854	16112.466	14535.438	17979.471	18198.619
3.8692	19830.928	19641.217	16537.457	13845.34	16449.9	16527.951	17191.662	13652.249	16352.894	14188.533	15568.419	16452.531	15666.509	14704.779	15072.124	20593.209	14273.783	14021.06	15210.176	15245.438	13996.003	13517.498	18439.77	15569.668	13686.135	17557.938	16812.016
4.0027	17681.334	19885.381	18056.814	13599.369	16857.031	15875.337	17123.502	12736.725	17726.938	15151.147	14289.263	15945.138	14526.504	13431.055	14820.21	18901.404	14257.586	14398.085	15773.992	14390.732	13480.441	NaN	16437.562	17130.855	13246.844	17659.77	15086.687
4.1361	15370.726	19886.389	19633.695	14261.233	17168.676	NaN	15452.361	12226.413	18435.613	14136.429	13464.338	15341.033	13886.718	13213.003	14700.61	17387.291	NaN	13471.972	14928.034	14628.124	13778.09	NaN	NaN	16634.021	12997.454	16157.505	14223.52
4.2695	NaN	19126.262	18402.34	NaN	18048.262	NaN	13461.811	11160.684	17034.559	13432.427	12640.882	14681.062	13304.097	13079.565	NaN	15929.353	NaN	13394.284	13326.586	14217.072	NaN	NaN	NaN	15599.552	13444.429	NaN	15362.938
4.4029	NaN	17554.848	17440.188	NaN	17060.92	NaN	11636.798	11674.372	NaN	13069.771	NaN	NaN	NaN	NaN	NaN	15622.287	NaN	NaN	12466.146	13727.474	NaN	NaN	NaN	13656.765	NaN	NaN	14130.738
4.5363	NaN	16123.025	15518.129	NaN	NaN	NaN	NaN	NaN	NaN	12270.156	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11797.967	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12196.441	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.6064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.7398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.8732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.0066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.1401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
