x	Y_20180212_14590_11_1g	Y_20180212_14590_12_1g	Y_20180212_14590_12_2g	Y_20180212_14590_18_3g	Y_20180212_14590_19_1g	Y_20180212_14590_1_1g	Y_20180212_14590_1_2g	Y_20180212_14590_1_5g	Y_20180212_14590_21_1g	Y_20180212_14590_21_2g	Y_20180212_14590_23_1g	Y_20180212_14590_26_1g	Y_20180212_14590_2_2g	Y_20180212_14590_2_4g	Y_20180212_14590_31_1g	Y_20180212_14590_31_2g	Y_20180212_14590_34_1g	Y_20180212_14590_37_1g	Y_20180212_14590_40_2g	Y_20180212_14590_40_3g	Y_20180212_14590_41_1g	Y_20180212_14590_41_2g	Y_20180212_14590_44_1g	Y_20180212_14590_5_1g	Y_20180212_14590_5_2g	Y_20180212_14590_9_1g	Y_20180212_14590b_10_5g	Y_20180212_14590b_12_6g	Y_20180212_14590b_17_1g	Y_20180212_14590b_22_2g	Y_20180212_14590b_26_6g	Y_20180212_14590b_30_5g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_4g	Y_20180212_14590b_40_2g	Y_20180212_14590b_47_1g	Y_20180212_14590b_47_7g	Y_20180212_14590b_48_12g	Y_20180212_14590b_5_6g	Y_20180212_14590b_9_7g
1.3342	14947.512	19303.238	16661.252	17056.625	20723.314	27407.846	19003.949	20113.258	18338.738	17807.727	20539.994	19218.322	17270.242	21207.912	20504.461	24651.975	18034.723	16680.51	14070.895	15158.729	21622.15	35522.715	20181.738	23053.197	21826.414	16990.34	15869.713	22905.525	18321.252	25056.334	16202.669	18200.898	29522.527	21920.227	29369.037	20103.6	16361.482	17081.191	24021.42	17589.607	19364.891	21568.422
1.4676	15699.817	18921.807	18256.352	18256.475	20632.438	34985.258	18606.582	21158.406	16850.355	18591.637	24982.986	19713.756	19550.402	24008.309	22912.6	27025.391	19668.605	18284.008	14709.016	17398.559	22880.457	37949.484	19247.131	27409.051	24691.105	17669.863	15901.251	21931.498	16714.789	25527.025	15277.278	20494.035	32234.209	26784.488	28464.035	23218.684	16253.456	16141.761	21428.863	17135.875	22161.039	23225.492
1.6011	16424.41	18470.625	20656.609	20153.627	20678.059	41766.273	19150.035	21608.18	19651.898	20916.555	29603.156	22239.176	19824.629	23413.162	21858.512	21538.328	24518.492	21042.162	14888.948	22777.027	24861.381	35010.5	18937.746	33940.875	26633.139	18457.883	16027.536	20439.965	16739.029	NaN	15878.357	23689.938	29150.883	30589.252	25020.195	24750.121	16184.937	15254.177	19357.664	16821.02	25639.014	24346.086
1.7345	18402.129	17334.029	23106.713	23136.336	23949.029	NaN	21178.812	NaN	22763.621	25357.354	NaN	26317.434	20532.416	23395.852	20985.594	18377.51	27864.818	21412.871	15965.154	26434.354	28307.225	30034.137	19457.543	33646.273	23786.812	18412.311	14403.668	22683.719	15767.567	NaN	17651.211	25830.047	NaN	29582.951	NaN	NaN	15149.88	NaN	19165.701	NaN	NaN	24767.93
1.8679	20652.848	16837.512	25796.771	29221.322	30417.199	NaN	22114.338	NaN	27065.568	27445.65	NaN	25574.324	18960.836	NaN	19233.285	16755.902	28100.887	NaN	17300.246	28228.533	33073.418	NaN	18793.703	29683.621	19574.828	18980.719	14399.61	25759.391	16223.825	NaN	18223.014	31185.084	NaN	25041.92	NaN	NaN	14554.165	NaN	NaN	NaN	NaN	22067.576
2.0013	20294.02	17007.357	NaN	34086.234	39103.617	NaN	23371.318	NaN	25705.723	26859.051	NaN	22051.268	19638.283	NaN	18477.252	16784.992	25520.275	NaN	NaN	27480.645	35505.41	NaN	18053.062	NaN	17151.145	19552.805	13160.763	26865.541	16355.473	NaN	NaN	36402.043	NaN	21433.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.1348	21872.844	NaN	NaN	34773.004	NaN	NaN	24349.684	NaN	22758.568	25135.156	NaN	NaN	NaN	NaN	17468.221	NaN	19843.332	NaN	NaN	NaN	NaN	NaN	17734.672	NaN	NaN	21634.602	NaN	NaN	16917.043	NaN	NaN	36134.066	NaN	18496.479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.2682	NaN	NaN	NaN	30312.738	NaN	NaN	22885.205	NaN	19620.107	22258.799	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16165.763	NaN	NaN	22405.098	NaN	NaN	NaN	NaN	NaN	32191.309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15931.385	NaN	NaN	23183.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23180.918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23036.844	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
