x	Y_20181208_15692_30_10g	Y_20181208_15692_30_13g	Y_20181208_15692_30_15g	Y_20181208_15692_30_3g	Y_20181208_15692_31_12g	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_4g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_33_14g	Y_20181208_15692_33_1g	Y_20181208_15692_34_2g	Y_20181208_15692_34_5g	Y_20181208_15692_36_12g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_18g	Y_20181208_15692_37_1g	Y_20181208_15692_37_20g	Y_20181208_15692_37_4g	Y_20181208_15692_37_8g	Y_20181208_15692_38_13g	Y_20181208_15692_38_17g	Y_20181208_15692_38_18g	Y_20181208_15692_38_2g	Y_20181208_15692_39_21g	Y_20181208_15692_39_3g	Y_20181208_15692_40_11g	Y_20181208_15692_40_14g	Y_20181208_15692_40_16g	Y_20181208_15692_40_3g	Y_20181208_15692_40_4g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_15g	Y_20181208_15692_41_16g	Y_20181208_15692_41_17g	Y_20181208_15692_41_2g	Y_20181208_15692_41_7g	Y_20181208_15692_42_14g	Y_20181208_15692_42_18g	Y_20181208_15692_42_2g	Y_20181208_15692_42_8g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_43_16g	Y_20181208_15692_43_8g	Y_20181208_15692_43_9g	Y_20181208_15692_44_10g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_44_4g	Y_20181208_15692_44_6g	Y_20181208_15692_45_11g	Y_20181208_15692_45_13g	Y_20181208_15692_45_5g	Y_20181208_15692_45_7g	Y_20181208_15692_46_16g	Y_20181208_15692_46_18g	Y_20181208_15692_46_1g	Y_20181208_15692_46_20g	Y_20181208_15692_46_21g	Y_20181208_15692_46_22g	Y_20181208_15692_46_2g	Y_20181208_15692_46_3g	Y_20181208_15692_47_1g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_47_7g	Y_20181208_15692_6_13g	Y_20181208_15692_6_3g	Y_20181208_15692_6_7g	Y_20181208_15692_6_9g	Y_20181208_15692_7_1g	Y_20181208_15692_7_5g	Y_20181208_15692_7_9g	Y_20181208_15692_8_1g	Y_20181208_15692_8_8g
1.3342	37038.5	30015.543	33006.0273	29523.7207	27120.6738	27693.3809	28703.2129	36847.8711	32221.1523	31860.0566	29110.166	29229.1602	32595.5254	29677.3145	33056.9023	29258.6445	26773.9707	31301.8516	36113.0586	30670.9492	33991.4688	28565.0957	29383.252	31679.4473	31959.4043	31554.3926	25126.6367	27963.6641	29569.6836	31484.9316	30922.9492	26383.2754	30532.5879	30965.5469	32265.332	31753.3008	29448.3223	28472.6543	27723.2734	32177.7852	32861.7734	30560.1113	32947.6172	32065.2188	30911.4629	32814.8711	33835.9453	26809.0781	34233.9102	28243.6758	31714.4629	30522.6484	34098.7969	29076.25	33213.2188	27050.7344	35680.5039	31736.4941	34388.7852	37913.5352	30095.1543	31633.75	31500.4785	29417.3359	33985.6719	32672.5762	32079.3672	28920.4473	32207.2891	32344.9785	31548.502	27558.1016	31456.668	31920.3789	38724.875	37336.1992	27060.5996	33112.0156	28316.957	33507.293	32819.4648
1.4676	48719.1875	33026.2461	36806.3281	33374.6328	28629.4434	27689.2812	28299.3887	48187.1172	32781.6523	35405.9961	32273.9941	28521.2539	36179.7969	37237.4922	37059.3125	32434.8438	27993.6172	31513.5117	42268.9648	35428.457	37790.4844	29131.582	29377.9922	35944.1406	31874.2441	35313.2227	27761.8555	28971.6211	28718.0605	36806.3398	32969.7617	28185.5234	30238.4512	34360.6602	30687.9199	32849.7891	29448.8223	34941.8672	30725.5234	31421.1387	38981.7266	32774.2031	37566.5078	33120.4375	30962.3203	36184.8633	32623.2578	29294.9004	37813.1484	29547.4336	34383.1094	31257.0469	39648.8281	30189.0098	32808.0781	27952.8535	39843.9141	31131.623	40606.9453	52938.3516	31263.2793	31959.0723	32745.3301	30020.7832	35107.5078	35182.2266	31500.7461	30888.1523	41177.5195	34679.043	31315.6523	27450.3828	32419.123	34670.9414	50053.8984	49169.043	27868.9824	37188.0938	28930.1172	38287.1992	33195.5664
1.6011	71140.5547	38853.8516	52386.7266	37313.2617	33914.5469	27483.7168	30707.9551	70590.2812	33442.8359	41636.5508	40638.4805	29716.1602	42767.0742	48052.0547	47056.8984	35517.9375	30125.5059	33019.168	61949.0078	43441.5586	49515.4102	31885.3965	29758.832	47386.7227	32936.2266	40675.7969	29063.8223	32373.8652	29611.9863	51094.6133	33396.2031	36826.4297	32574.5938	38913.2305	31358.748	36503.332	31283.9785	51169.9766	32779.8789	31895.0996	54909.7656	33376.4375	48963.8359	35248.0586	32408.2988	41229.168	31031.127	31140.4688	48246.6406	31284.6602	40753.4102	33233.8398	46009.4219	32518.9414	36979.1719	28936.1484	51177.9805	33677.0938	56763.1406	76514.5469	31821.1699	33956.918	40939.4492	34343.4258	36867.7617	35593.7656	33457.6484	30226.4316	64257.5664	39345.3789	31005.168	29378.541	35948.9922	35406.6602	75970.8359	53632.7734	31073.7051	45221.6914	29949.1758	51701.7969	36383.6719
1.7345	75310.9531	54498.8203	76325.7344	53941.0078	37875.6523	29891.7598	30307.4551	90237.7031	37519.8438	53628.3203	57900.9297	31049.4316	59157.1562	59985.8398	59478.4141	45427.4102	31675.1602	35353.4531	79992.8125	60369.7227	75567.5703	35992.4492	31105.8613	62809.9219	34277.6445	57541.1055	31032.0332	43702.0664	29668.9062	66770.5547	34957.9336	51773.707	36552.4336	53976.2383	32004.8672	45209.6211	35482.2656	61902.4648	39874.0117	32276.8438	84836.25	40865.6836	71343.2422	39454.8438	33871.0352	52818.3203	31130.7891	35704.9141	61293.4844	35224.0078	51937.9492	38164.6641	60403.1484	33481.0586	45030.3867	34241.1367	73219.625	35422.4062	83480.0703	85270.5859	31533.25	38445.0469	55060.9727	45318.0352	39724.043	38403.0508	41243.2461	31847.7656	78682.4375	49324.6758	30825.5508	30884.9883	45571.3008	41844.9922	94422.75	44321.3516	35400.2969	56410.7773	32357.8828	85389.3359	37867.1289
1.8679	58264.7422	74399.5234	85396.6406	73169.7891	40332.7148	32649	32528.002	80436.2656	45105.8984	85991	64690.9609	32554.2266	83778.2734	53614.418	66037.1094	61248.4297	34248.8242	39272.3281	78985.1719	61830.7422	105800.2422	47501.5156	32975.5664	72533.6094	36245.0391	81420.3984	36842.9766	61051.4453	32315.4141	64950.4844	39232.9922	68161.125	45287.4922	82046.6797	34462.6562	62473.543	46414.2305	54784.375	56148.4102	32776.3945	107190.4375	54046.4688	73242.8906	48438.793	41404.7188	57291.0391	33336.5664	50124.6562	61086.8203	47274.7695	71657.6797	51808.3008	67532.8359	41262.1602	54912.5312	43504.25	88808.0547	41926.3203	95131.0781	62764.7539	33683.0898	47730.043	66127.3828	60089.6953	46471.6641	49050.1602	61229.8047	36977.0234	72886.8438	68371.5781	32140.2324	36830.7227	66283.3672	57053.1445	85456.4375	33797.6523	49103.3633	74023.5547	37598.1602	115006.3594	45674.5781
2.0013	43928.2305	71692.1797	64160.0312	74611.3125	35117.3008	38950.5469	41654.7109	55839.543	63131.5508	126334.1641	57029.668	42768.9023	83134.1016	39949.8164	56427.7031	64529.168	37402.8086	54023.5938	55372.668	48458.1016	98569.5625	72834.3047	37107.9883	58775.6211	40000.7695	80454.9688	51338.4141	66547.1953	35308.0234	46913.7305	49320.7617	62544.9727	60021.3125	89135.6172	38600.8164	89578.9766	63845.582	39018.2734	73312.2656	37223.875	87475.2734	67150.2344	58271.1523	69628.8438	57131.6133	51308.1992	33493.4648	76277.2344	49193.6328	63204.3633	77126.0625	73465.6719	53259.9492	59135.6211	60330.6875	58675.2656	75377.9766	53636.2852	71864.5	44026.5312	36721.25	68509.5156	56326.043	56561.3359	58954.1484	71692.8672	76924.9609	47252.2891	50431.3086	102985.6719	35288.4297	49989.4727	89669.5859	80686.7812	56648.543	29466.1113	61543.0078	77795.6406	48575.1953	100189.9688	64483.1172
2.1347	36244.5469	52706.0938	43484.9258	55171.418	30103.5645	52536.8555	63269.8633	40767.582	83743.7812	118098.4844	41798.4609	58618.1367	60806.3945	35246.7266	43739.7773	50187.9961	49192.9727	62489.6562	41777.2969	37998.2734	66426.8438	83628.7578	46792.7422	43072.8359	49614.6367	61065.1406	68759.5	50923.2383	38357.0898	32693.4375	58605.6914	42867.2148	66400.0938	66080.5	52308.4297	96132.7266	72465.4062	33100.0586	70904.3359	46779.1797	55777.3945	56265.2148	42892.4883	92106.3984	83953.1562	42348.1211	37929.4297	91860.0156	40272.1875	60788.9219	60096.8555	69762.1406	40005.8906	83262.7891	53118.7812	61324.125	49112.8359	73081.4844	48245.4609	33988.207	41764.6016	82676.6953	43178.9492	44477.6602	74903.3984	82626.7266	64484.3633	52164.625	36855.3125	120101.6875	39817.1875	59048.9062	75602.2188	114989.8672	41641.0781	27643.1992	56542.7539	59975.6523	61109.2109	65748.0391	91432.8516
2.2682	35107.7852	37846.0547	37281.0469	42213.2734	29036.2539	56836.3164	74510.6328	35526.3047	79081.6094	72549.8906	32656.1836	73880.0859	44433.3398	31484.6309	38266.7773	37574.793	66328.2031	50654.1289	37128.0742	NaN	44011.7812	62103.2539	67481.8906	38968.3867	72960.9766	44018.0625	64537.8047	36811.1758	48333.6133	28868.4141	49395.9375	31813.7266	56762.4414	45220.2891	77522.2969	70593.5312	53529.2383	29320.8281	49293.6094	59374.0586	45497.0117	41881.1602	37679.5352	86588.9453	78819.8203	37097.2617	48933.3789	72624.8594	36914.3555	46343.7812	43314.0078	51005.582	35384	96597.6328	44349.6445	45497.4766	38745.6328	70697.8906	38782.4414	32361.0391	55989.2148	70525.1875	33621.2969	33308.3711	81838.7969	69127.7969	44357.8828	47032.125	32735.168	98976.9609	53711.7578	53888.9648	54817.1992	108718.125	37233.543	NaN	39734.7031	41768.6992	54883.4688	46354.7188	81385.7656
2.4016	33860.6484	32105.0391	34689.7461	37752.043	28665.1758	51867.6016	62970.4023	32860.1211	57119.6797	50598.6211	29955.0977	64800.5312	36660.1992	30128.5215	35741.1914	34824.0625	72866.2422	40488.7344	34771.9375	NaN	35616.6758	41065.6367	76768.7969	39797.3984	88268.2109	34652.6602	46162.1797	32342.7422	66975.375	27111.1113	40905.2109	28569.1777	42236.2578	38693.7422	88059.0547	45649.3281	39949.3945	NaN	37945.5234	61477.707	43659.9492	35075.1367	35583.207	57592.9922	53842.2969	34622.0117	59428.4766	48011.5469	NaN	36391.2461	35463.7422	37609.0391	34444.2188	93650.0391	36461.9062	36758.5273	36475.2305	52276.1953	34846.168	32374.1602	69132	49272.9375	31803.8457	30651.6504	60295.5508	49953.5117	34984.8047	37656.2969	30620.6543	74558.8984	65590.0391	41398.4883	43252.1914	68986.6172	35333.4805	NaN	33422.4531	34601.2578	40790.7656	38207.1992	55063.9961
2.535	33054.9023	30096.1973	32670.2402	33781.125	NaN	NaN	44305.2773	31889.8848	41720.5078	42211.0312	29090.9297	44008.4258	34118.4336	NaN	33286.2617	32917.332	60962.7969	34203.7656	32925.293	NaN	31786.0605	33890.8828	65044.6562	39239.4258	75801.8125	32880.5469	34845.1641	30009.9316	74229.0156	26367.9453	37551.1406	28312.4785	34587.0781	35032.2891	65815.6172	35404.0039	34882.2734	NaN	33343.1367	48118.5039	52268.0938	32185.0078	34682.1758	41290.9766	37862.0273	31873.9316	55497.8516	38124.3984	NaN	32696.3789	33023.0273	33343.1055	36471.3398	73315.9531	34740.5625	33861.9141	35643.043	40688.7969	35141.7344	31854.8828	66059.75	39515.6719	32260.7051	30227.877	43372.0781	38975.543	33310.5586	33419.25	30461.2363	51456.4961	61768.9219	34180.2266	37015.1367	48081.2383	NaN	NaN	30780.8281	31100.3477	33706.7656	35729.8203	41851.7266
2.6684	NaN	30090.3945	NaN	33732.6016	NaN	NaN	35780.0586	31855.9902	33787.2539	41237.418	28851.9023	36936.6719	30311.2676	NaN	NaN	31135.6484	54970.9688	32776.9375	33665.4258	NaN	29138.0586	30740.125	43719.6797	NaN	53182.6016	33899.3984	32908.1758	NaN	61286.957	27845.0352	37128.0625	NaN	31835.0684	33829.6211	45149.3789	33103.4141	NaN	NaN	31543.8594	37581.6797	NaN	32462.7637	33123.7695	34721.2812	33765.1641	NaN	44407.0781	33517.957	NaN	31704.6738	32810.5312	31380.3555	34612.043	50917.4922	33688.5195	32200.459	33311.6211	34816.5586	NaN	NaN	50229.7891	36467.9531	30165.4648	NaN	35004.7539	35953.2852	33012.3008	33106.5312	NaN	40583.9531	45986.6758	33384.457	34305.9688	40065.3086	NaN	NaN	29508	NaN	NaN	36272.457	36251.9023
2.8019	NaN	NaN	NaN	32707.541	NaN	NaN	31950.8848	NaN	32092.6973	NaN	NaN	33450.2344	NaN	NaN	NaN	NaN	63724	32719.8789	33887.207	NaN	28636.3691	29234.0996	37332.3516	NaN	40148.5547	NaN	30440.7363	NaN	48182.7109	NaN	35979.2188	NaN	30757.4473	32537.9785	35584.9062	31370.752	NaN	NaN	28942.5195	33847.543	NaN	32484.5762	NaN	33659.6523	31605.1133	NaN	36442.3945	30661.4609	NaN	32761.3418	33109.6758	31237.3164	33755.6484	NaN	NaN	30174.8477	33641.4141	32580.6758	NaN	NaN	39414.3711	35796.6523	NaN	NaN	33871.7617	37070.5938	NaN	33218.4062	NaN	36462.1211	37750.7266	32240.4648	NaN	36128.2461	NaN	NaN	NaN	NaN	NaN	35377.8086	36478.0508
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	31557.293	NaN	32120.9629	NaN	NaN	32554.6992	NaN	NaN	NaN	NaN	64759.5508	NaN	NaN	NaN	28586.1484	29378.7051	33447.8906	NaN	NaN	NaN	28917.541	NaN	43513.4766	NaN	NaN	NaN	31006.1992	NaN	32917.8672	31024.3262	NaN	NaN	NaN	32608.4375	NaN	NaN	NaN	31963.6855	29709.373	NaN	36421.2109	28144.0957	NaN	NaN	NaN	31277.9961	35072.8008	NaN	NaN	NaN	NaN	31471.4004	NaN	NaN	35941.7383	NaN	NaN	NaN	32243.4414	33876.6406	NaN	NaN	NaN	35704.2891	35259.9609	NaN	NaN	34402.7227	NaN	NaN	NaN	NaN	NaN	NaN	36144.5781
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	28740.4375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31824.0273	NaN	NaN	NaN	NaN	NaN	40378.8008	NaN	NaN	NaN	31043.0449	NaN	30916.9922	30674.8984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32331.0156	30764.6133	NaN	34831.418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33059.0781	NaN	NaN	NaN	30960.957	32981.1992	NaN	NaN	NaN	32105.6211	33225.3203	NaN	NaN	33500.2734	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31427.9238	NaN	NaN	NaN	NaN	NaN	36463.3555	NaN	NaN	NaN	NaN	NaN	30250.8965	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30618.1836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32103.9863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
