x	Y_20180130_15100_1_6g	Y_20180130_15100_2_3g	Y_20180130_15100_2_8g	Y_20180130_15100_3_12g	Y_20180130_15100_3_14g	Y_20180130_15100_3_16g	Y_20180130_15100_3_18g	Y_20180130_15100_3_2g	Y_20180130_15100_4_16g	Y_20180130_15100_4_2g	Y_20180130_15100_4_6g	Y_20180130_15100_4_7g	Y_20180130_15100_4_8g	Y_20180130_15100_5_10_2g	Y_20180130_15100_5_13g	Y_20180130_15100_5_19g	Y_20180130_15100_5_1g	Y_20180130_15100_5_20g	Y_20180130_15100_5_22g	Y_20180130_15100_5_26g	Y_20180130_15100_5_6g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_15g	Y_20180130_15100_6_4g	Y_20180130_15100_7_1g	Y_20180130_15100_7_2g	Y_20180130_15100_7_4g	Y_20180130_15100_7_7g
1.7345	12936.256	16110.994	14507.053	14807.435	15100.817	15204.018	13047.119	11442.119	11592.726	12512.96	12221.077	11877.253	15568.004	13620.552	14828.728	15176.28	12765.438	16191.447	13532.024	15474.383	12251.416	14225.563	13014.335	13081.239	14451.257	14350.922	14403.594	15912.882
1.8679	11840.675	14514.617	15164.527	14709.265	14563.244	14935.389	11561.817	11785.704	11597.701	12713.558	11787.045	12538.344	14577.304	14498.562	13248.459	14808.518	13108.908	16048.904	13277.134	16555.488	11673.843	14077.055	13186.381	12265.695	13991.737	13329.567	13770.176	14415.749
2.0013	11925.04	14091.492	14943.789	14971.807	13664.021	13557.069	11710.43	11503.826	11387.522	12483.505	12228.063	11966.398	13734.39	14339.71	12305.521	14329.681	12666.74	15356.096	12691.807	14248.374	11941.702	14122.39	13336.839	11868.89	14016.521	13131.987	13944.861	15092.165
2.1348	11783.359	13176.323	14663.875	14314.191	12161.679	13175.262	12054.813	10668.428	11433.672	13451.032	12476.587	11964.95	14012.232	14960.368	12852.019	14206.002	12201.49	13574.601	11660.317	12302.74	11853.594	13633.755	13584.646	12886.135	13277.609	12685.144	13439.808	13780.585
2.2682	11675.89	12092.129	13648.575	13323.952	11938.932	12808.017	12956.147	10975.872	11773.819	13422.361	13018.834	11946.579	15659.719	14006.729	13144.104	12892.17	13022.612	13179.232	11626.521	11997.008	12011.219	13565.555	13057.347	12356.478	12686.121	12379.353	12462.354	12937.476
2.4016	NaN	11973.697	12639.446	12917.119	11767.122	13830.744	13972.625	11769.66	11286.827	13215.927	12635.516	11897.238	15101.556	12895.899	11994.257	12359.51	12593.149	12824.465	12418.441	12253.62	11706.926	14455.512	12745.106	11893.129	NaN	12460.373	11595.266	11653.039
2.535	NaN	12616.496	12573.699	13838.778	11001.238	12905.852	13508.696	NaN	11682.615	13806.929	12622.354	NaN	14628.984	12405.149	11471.055	12073.571	NaN	12387.043	11981.899	11906.707	NaN	13513.955	12490.645	11338.963	NaN	11910.882	NaN	11912.721
2.6684	NaN	NaN	11800.681	NaN	NaN	13650.099	13058.983	NaN	11621.641	NaN	NaN	NaN	NaN	12523.772	NaN	NaN	NaN	12481.075	NaN	NaN	NaN	NaN	12377.896	11343.008	NaN	12036.376	NaN	12008.809
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	12763.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11815.33	NaN	NaN	NaN	12317.231
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
