x	Y_20180224_15102_10_1g	Y_20180224_15102_11_1_s_g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_12g	Y_20180224_15102_12_1g	Y_20180224_15102_12_2g	Y_20180224_15102_12_6g	Y_20180224_15102_12_7g	Y_20180224_15102_14_2g	Y_20180224_15102_14_6g	Y_20180224_15102_18_4g	Y_20180224_15102_18_6g	Y_20180224_15102_20_5g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_4g	Y_20180224_15102_23_5g	Y_20180224_15102_24_4g	Y_20180224_15102_24_6g	Y_20180224_15102_25_15g	Y_20180224_15102_26_3g	Y_20180224_15102_26_5g	Y_20180224_15102_26_6g	Y_20180224_15102_27_1g	Y_20180224_15102_27_3g	Y_20180224_15102_28_8g	Y_20180224_15102_2_7g	Y_20180224_15102_4_10g	Y_20180224_15102_4_7g	Y_20180224_15102_4_8g	Y_20180224_15102_5_1g	Y_20180224_15102_7_8g	Y_20180224_15102_8_1g	Y_20180224_15102_9_5g
1.3342	35733.645	39259.68	36132.535	37309.238	39240.828	35980.867	30914.051	39608.926	39015.723	36368.074	35684.066	33090.203	38845.863	38658.434	40702.555	35823.637	35192.496	39907.91	36162.488	37204.527	35593.324	39915.227	41702.645	38511.402	39106.562	40513.445	41953.559	41955.426	36603.992	38410.957	35871.641	37472.461	29390.689	38933.93
1.4676	35720.918	38056.555	36568.234	38102.008	37337.895	37226.484	30550.777	38503.219	38445.066	37220.453	36396.07	33272.871	38775.527	38754.078	40650.199	36141.754	35201.617	39715.129	35722.445	37918.059	36416.578	38818.375	41512.406	39788.953	40510.637	41945.715	40881.395	41996.781	36946.375	37551.066	34583.383	38637.617	31222.584	40811.879
1.6011	35839.574	37742.652	35578.188	37007.703	39146.586	37729.199	31101.426	40883.73	37786.707	36990.57	37476.863	33528	38899.203	36302.281	39014.652	37513.277	35742.176	41582.527	38021.625	37714.25	35358.766	38784.043	41464.859	40507.121	41529.328	42816.539	43214.32	41923.117	36932.32	36297.727	36043.93	37810.035	31871.24	40723.148
1.7345	35567.258	39262.492	34610.594	36438.297	39820.082	34966.582	32123.928	41310.691	38414.551	36594.496	36138.148	34236.59	41287.91	38132.816	39455.707	37785.648	34751.266	40715.422	37096.766	36969.043	37188.203	38733.211	39739.5	38312.238	39976.469	41988.445	42321.516	42117.363	36115.531	35713.5	35554.668	38321.203	32419.742	42121.715
1.8679	35337.121	38532.402	35223.801	37904.012	39317.777	34397.844	33113.141	39568.398	36785.293	35880.934	35881.953	33583.004	42163.336	38746.637	41165.277	36458.492	34428.047	40308.012	35451.879	36291.945	35803.367	39633.617	40330.188	38395.613	39045.059	43020.578	42117.359	40946.816	36138.418	37334.09	37331.645	38926.996	31892.025	40920.562
2.0013	36165.141	39763.164	35782.961	38079.84	38378.172	35279.934	32596.975	38380.973	37245.738	36231.094	36993.031	32976.891	40705.707	37359.398	42011.52	36980.465	34394.359	40807.934	36189.203	37556.195	36756.492	40482.172	40660.039	39548.754	39605.414	42885.281	43805.48	38759.078	36722.066	37957.812	37672.293	38976.844	32888.957	38721.66
2.1348	34953.605	40271.207	35216.98	36941.426	38953.305	35964.875	31566.043	37481.66	36346.785	36768.438	37080.266	34148.441	40435.602	37896.027	43632.359	36967.223	34800.805	40972.035	37140.688	37198.879	38372.848	39375.949	40146.266	38455.047	40399.031	41323.699	43961.352	39694.992	37117.402	38710.52	38348.371	37250.82	34315.316	40314.645
2.2682	36453.98	40719.445	34400.297	36408.188	39778.344	36671.355	31085.502	37343.148	37838.887	37679.918	37769.914	34471.031	43477.051	37769.629	42621.824	37180.816	35314.246	41736.973	36839.211	36461.223	37673.012	39334.961	40690.242	37610.117	41545.562	39948.691	42511.242	39545.039	36479.129	37542.246	36687.504	37251.473	34304.691	42409.496
2.4016	37492.41	41576.496	34857.66	36171.074	39269.824	35927.852	31772.947	37795.336	36976.465	37062.988	37586.629	34934.992	41291.668	37025.352	43808.434	35728.105	34532.824	41670.812	38917.297	36277.297	36826.816	39808.762	39493.324	37920.066	40968.473	38839.625	42715.555	38050.773	35380.199	35276.547	37684.223	37161	34816.148	42429.418
2.535	38158.695	41148.91	34745.098	35751.918	39324.238	37147.84	30800.146	37627.449	36691.148	37103.77	35145.336	35069.258	41283.551	38493.926	40847.629	36037.84	33879.117	41282.973	37877.121	36192.125	37671.238	39951.215	38332.035	39982.227	39828.867	38269.469	42720.453	38226.895	35056.758	36319.992	35676.543	36866.117	33605.906	42857.031
2.6684	36780.645	40287.535	34618.066	36131.789	39889.82	36725.852	29690.201	38975.07	37160.258	36946.543	36840.742	36881.535	41061.262	37233.891	39216.656	36999.684	34860.762	41389.738	36705.281	35259.062	35588.777	38823.121	37542.914	37877.902	39260.02	40628.273	43062.047	39482.77	35919.781	36117.754	35439.555	37379.086	32845.734	41987.152
2.8019	36620.445	41179.555	35691.684	37354.617	39245.805	36265.863	32148.777	37619.293	37904.117	39085.488	38306.406	36170.805	40368.582	38829.789	41867.051	36014.438	35046.148	41835.172	37692.594	35512.652	35884.074	39504.07	38816.727	37432.5	39447.352	39694.984	42122.977	38944.777	36823.43	36698.578	37195.559	37734.73	32596.602	40210.59
2.9353	37060.953	42320.176	35382.719	37629.926	40676.414	38323.617	33000.949	36161.32	37432.152	40620.496	39829.98	35681.684	40214.129	39868.387	42657.961	37122.285	35874.391	41806.516	37538.57	36352.867	38301.23	39520.461	37867.895	39893.293	39727.008	37633.746	40939.242	39707.234	36956.883	37779.219	37500.066	37710.059	33494.414	42505.855
3.0687	39660.285	42907.738	36351.02	39107.707	41298.871	41828.73	32191.076	38847.434	37306.379	48621.344	40636.715	36005.316	41727.262	44250.277	41412.094	37732.504	40658.062	44519.125	37527.691	35988.457	39520.613	40221.582	38232.41	40120.961	40662.203	37771.828	40911.516	40762.562	36584.551	37227.875	35953.652	42378.492	31961.037	42021.855
3.2021	42529.984	42200.449	38224.289	45382.559	40301.078	48988.453	36817.758	39252.625	37636.289	66161.219	45636.043	39323.352	45041.227	51687.242	40675.887	41611.672	51595.312	46440.684	38426.934	36433.336	41431.77	40340.848	40156.961	40839.605	42869.613	37428.883	40289.809	39352.547	41493.812	40703.02	36591.113	48356.016	32441.65	42363.258
3.3356	46190.883	43377.738	40986.766	58153.797	40336.75	62029.238	43634.027	41014.238	43436.859	78770.031	56790.551	46625.652	49807.641	62312.414	41366.852	51348.438	64264.664	45956.531	39906.844	38106.227	51021.102	42537.617	43784.031	43455.152	49320.062	38497.406	39390.117	43686.797	51856.758	48908.262	38766.23	67051.766	33804.547	45701.121
3.469	56691.301	48121.691	51007.012	66606.266	41580.02	68172.891	50681.352	47049.191	53023.5	65734.844	63435.227	57390.453	58312.039	61467.965	45598.121	77391.953	63436.793	51366.645	46251.223	44622.883	71258.25	48638.051	53084.453	52513.027	65341.754	37754.363	38094.559	48915.438	70283.766	60380.148	41481.629	82193	34950.773	55911.516
3.6024	62806.574	58979.688	63792.027	58982.68	46686.023	56337.109	42639.625	59009.387	67989.039	48813.434	55466.031	68855.93	64596.973	49698.336	49160.297	127711.297	49164.73	60547.086	55597.105	57043	96788.984	57049.773	72265.234	74356.391	80742.523	40008.543	43753.43	62006.688	77308.102	62451.137	52379.348	80661.328	39303.293	65747.039
3.7358	55575.746	63782.215	65955.516	45066.484	58059.27	44039.578	35911.875	65584.43	72092.984	40735.934	45029.527	65480.363	57604.402	43570.59	56170.75	158844	39404.895	65459.832	53997.488	64977.895	97574.273	64705.59	83345.219	89939.445	75317.859	43679.73	47536.551	78955.953	70633.805	51606.566	59172.219	64449.43	45829.469	59484.355
3.8692	44557.031	62556.25	53841.949	38732.797	64576.199	NaN	32728.314	61867.613	59766.273	NaN	39881.41	51330.66	47901.332	NaN	53745.43	121939.359	NaN	60231.301	45139.812	58416.258	70927.242	60072.836	70784.305	74657.234	54684.953	49248.699	54940.145	67969.359	77704.711	42553.219	56516.273	61872.379	51963.441	50592.598
4.0027	39010.641	NaN	44162.125	37103.18	58761.059	NaN	30363.082	55234.117	51945.875	NaN	NaN	43273.477	NaN	NaN	47104.605	72273.781	NaN	50291.391	39193.746	46390.773	49517.344	49645.672	53279.738	53588.707	46001.68	60570.848	52782.148	50309.945	NaN	40788.684	44771.113	NaN	47920.129	47831.688
4.1361	NaN	NaN	41340.105	NaN	48067.797	NaN	NaN	57547.691	49556.246	NaN	NaN	NaN	NaN	NaN	NaN	51303.246	NaN	45454.559	NaN	40474.664	41926.016	43019.957	46224.117	44392.43	NaN	58023.672	45242.414	45324.582	NaN	NaN	40679.465	NaN	NaN	50272.023
4.2695	NaN	NaN	NaN	NaN	41940	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44500.82	NaN	NaN	NaN	41294.852	NaN	39950.48	NaN	47907.609	40393.152	39497.355	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	40516.043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43463.289	40745.828	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	38787.492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.6064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.7398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.8732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.0066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.1401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
