x	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_13_12g	Y_20181208_15693_14_4g	Y_20181208_15693_15_11g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_20_1g	Y_20181208_15693_20_3g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_2g	Y_20181208_15693b_11_10g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_12g
2.9353	28993.4746	32021.3008	28152.6914	NaN	NaN	28229.9629	NaN	NaN	30610.1309	40053.8008	36557.5078	31639.418	45613.2695	32139.3945	34460.918	36716.5039	NaN	NaN	39067.2461	NaN	29177.0996	NaN	NaN	33203.8047	34352.4141	32184.9648	32995.5547	NaN	NaN	39637.8477	NaN	35239.8984	NaN	30074.5293	26014.8828	NaN	39748.9453
3.0687	27984.4668	NaN	27242.1328	NaN	NaN	NaN	NaN	NaN	29628.9941	36431.3125	37834.7422	NaN	38866.1211	NaN	32194.6699	37371.4922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32643.8066	32316.7949	31966.084	34103.5234	NaN	NaN	36971.2617	NaN	NaN	NaN	30925.2598	NaN	NaN	39569.5508
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30899.5117	NaN	NaN	NaN	38252.3086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31813.6328	NaN	31044.1543	33551.3828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32299.4863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
