x	Y_20181208_15692_30_11g	Y_20181208_15692_30_16g	Y_20181208_15692_30_8g	Y_20181208_15692_31_7g	Y_20181208_15692_33_12g	Y_20181208_15692_33_3g	Y_20181208_15692_36_1g	Y_20181208_15692_37_6g	Y_20181208_15692_38_16g	Y_20181208_15692_38_9g	Y_20181208_15692_40_2g	Y_20181208_15692_41_6g	Y_20181208_15692_43_20g	Y_20181208_15692_45_15g	Y_20181208_15692_45_2g	Y_20181208_15692_45_3g	Y_20181208_15692_45_6g	Y_20181208_15692_46_15g	Y_20181208_15692_46_9g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_7_5g
1.3342	34408.8672	29198.416	30218.375	27974.0918	35046.7812	33598.5195	27801.7949	29986.3223	30701.3145	26726.1758	29241.7637	28666.9023	27793.2539	31012.7285	28304.9141	29964.4551	26395.3027	29573.5703	29385	30928.2168	30466.9473	30751.7598	31839.7363	32319.5449	29565.418	32000.0156
1.4676	35850.4219	29515.25	30176.8301	28959.4336	35881.6875	33924.1523	27380.4316	28671.9434	30466.998	27777.207	28911.8301	28383.2754	27570.0488	32490.6953	30090.5684	31441.0859	26025.9277	29674.7969	31117.4473	32866.5469	29925.1133	29307.0879	31517.2461	31744.8574	30604.334	32024.8301
1.6011	40072.8906	29805.8965	30501.8633	30728.75	37991.2031	33573.3047	28554.5195	27843.002	31725.3516	27730.8359	29634.9648	28434.418	27673.582	31140.0137	29628.2773	30800.4004	26388.9277	32073.3594	29248.1836	33639.1484	30325.4531	29917.332	32189.7031	32833.8008	30489.0059	33455.5156
1.7345	52853.3672	30240.9629	31237.5488	33546.7578	40768.3008	34779.8359	29371.0605	28579.0977	31668.6953	29095.3145	30241.9922	30299.4199	28227.4707	31130.666	30348.3496	32176.8613	25989.3848	35959.8047	30460.7227	33370.5391	31638.6875	30744.875	33804.2109	33409.9141	32074.5742	32680.3301
1.8679	66812.25	30685.6406	31917.668	39960.9414	44910.6797	40245.7539	31595.6426	29064.5684	31295.0996	33681.7148	30184.6074	32074.6387	29734.7695	31242.1172	33015.8828	32709.8672	26821.668	43173.0898	30653.2812	33956.7383	31882.7617	31181.0234	33994.168	35448.8828	35001.9609	33103.0781
2.0013	78485.7969	31305.9922	32321.9688	54004.6484	65887.1406	56781.7969	39005.2031	30424.8066	32412.8555	45888.0898	34142.7891	37451.457	33107.9883	30898.1895	38134.3477	38093.7578	26353.291	57403.7227	33335.2656	36625.6055	33459.5742	32222.5449	35083.0273	40034.1211	40528.9102	35461.2812
2.1347	90259.9453	32469.7617	34478.5508	71458.1875	94403.0078	79471.9219	46058.4375	33655.9414	36724.6836	49887.7969	36236.8672	50919.7695	40442.4688	32941.8906	49188.9336	48432.1406	28861.0332	70021.8906	34319.082	41935.8516	41286.2305	33173.2305	36195.2812	48992.3672	53354.8359	40161.1562
2.2682	85862.5234	35733.7344	43648.5625	74387.3828	104660.9062	90546.3594	42576.707	38767.293	41903.5234	42784.4141	37907.4062	76890.6016	55739.8242	35852.1094	70164.8672	67063.8125	32351.1113	57153.2578	43105.332	51185.9375	56892.5078	41724.8281	42382.7656	63879.8281	69730.8594	50838.2773
2.4016	64415.6602	43315.8281	53620.2969	56026.0977	78124.2891	72792.6953	36552.0156	45379.7383	55194.5508	33486.3008	35500.7969	98346.2812	59996.6094	46044.3633	76482.5312	74640.0781	39512.4648	44124.6992	54673.2812	71083.0156	80085.4688	59092.9414	52642	80399.3125	72974.4766	69918.6172
2.535	47498.8281	62664.9766	49716.582	43874.3633	52480.6523	47964.2422	31505.1172	48109.9219	88252.9219	29861.6992	30953.1465	77555.0469	51168.5273	62419.5352	59432.4414	59478.5508	47362.1094	44794.6719	75782.0938	70562.3203	84802.4609	65885.3906	78010.3438	74792.1875	56782.7422	84329.5938
2.6684	37846.6797	91649.2812	38933.75	38225.9375	40962.5586	37710.5039	NaN	40176.9258	129624.6719	27906.6484	31278.0312	51931.3867	37304.4219	68042.4844	48063.7617	42054.3828	45293.625	57777.5391	70653.5547	52736.4492	56588.5	58518.3945	93066.2891	53541.4219	40799.8516	69846.75
2.8019	35441.375	94518.0078	34206.3828	36075.2227	39100.918	35364.1719	NaN	31848.4648	127738.6641	NaN	29327.3984	40715.4609	33967.3359	56727.0039	40949.5625	37005.7422	38303.9258	NaN	51718.3281	39048.3281	40308.418	55483.0586	76709.9688	41071.2266	34399.457	49410.7734
2.9353	33304.0938	68034.6094	30742.0195	NaN	36918.8047	34217.7969	NaN	29314.1621	85323.6641	NaN	NaN	35656.0898	33084.7812	41188.1406	38741.125	33080.043	32933.082	NaN	40899.7539	34219.1758	34723.1328	49162.6914	50331.5625	36579.957	33784.8594	39250.7695
3.0687	NaN	48552.2734	30673.6445	NaN	38141.707	32547.7383	NaN	28042.293	55941.8359	NaN	NaN	34607.8438	31070.5039	33939.0312	38080.7539	31425.3594	31023.6855	NaN	36451.2656	32096.9375	31904.8516	NaN	41677.3125	33633.6719	NaN	35531.1797
3.2021	NaN	41687.7148	30204.8418	NaN	NaN	NaN	NaN	27862.2051	43544.7812	NaN	NaN	NaN	NaN	31779.3301	NaN	NaN	NaN	NaN	32945.0859	32185.5781	31036.6543	NaN	37330.6562	33841.0625	NaN	33258.8477
3.3355	NaN	41115.8711	NaN	NaN	NaN	NaN	NaN	27334.543	39594.1094	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32870.8008	NaN	NaN	NaN	34080.9297	33278.5078	NaN	33584.9961
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38836.9883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35712.8984	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35599.1719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33979.3789	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
