x	Y_20180130_15100b_1_6g	Y_20180130_15100b_13_15g	Y_20180130_15100b_14_3g	Y_20180130_15100b_15_1g	Y_20180130_15100b_17_10g	Y_20180130_15100b_18_20g	Y_20180130_15100b_22_10g	Y_20180130_15100b_23_5g	Y_20180130_15100b_23_6g	Y_20180130_15100b_3_2g	Y_20180130_15100b_3_7g	Y_20180130_15100b_4_11g	Y_20180130_15100b_5_14g	Y_20180130_15100b_8_4g	Y_20180130_15100_4_15g
1.3342	15701.033	14312.533	13115.758	13330.558	13820.338	13616.239	12972.363	13645.827	13722.711	20299.953	17487.195	15554.408	14444.887	14051.905	12731.571
1.4676	16051.819	13080.227	13121.99	13137.341	13275.491	14076.316	14626.87	13716.716	13166.945	19738.982	17861.949	15930.538	14295.37	13598.345	13572.683
1.6011	14961.787	13541.702	13051.485	13119.891	13597.48	14595.769	15510.276	13908.274	12679.322	18698.553	17132.32	16690.664	14107.514	14211.604	14403.413
1.7345	13948.898	13671.789	12612.267	12573.251	13792.022	14593.956	16398.824	13239.109	12785.552	19497.799	15846.505	16581.041	14011.923	13692.451	14509.856
1.8679	14063.195	13130.64	12579.054	12226.56	13838.781	15272.471	16654.977	13482.305	13692.27	20551.182	16976.031	16749.307	13426.792	13262.587	15255.014
2.0013	14448.731	13433.724	11723.161	12682.962	13373.42	15015.775	16558.27	15078.462	14186.305	19458.895	17562.873	16223.693	13453.748	12203.84	15190.688
2.1348	13630.224	12323.881	12677.451	13101.358	13808.63	14917.19	15811.448	14510.585	14962.765	18952.646	16005.761	16091.742	13912.586	13193.502	15235.763
2.2682	12332.165	11628.426	13153.815	13288.984	14341.323	14604.362	15765.809	15304.509	15928.03	17780.848	14984.68	16813.854	13059.596	12757.959	14766.825
2.4016	12129.688	11964.812	13470.06	11998.688	13383.623	14089.569	15572.048	15421.456	15718.143	16333.941	14252.986	15843.22	12753.304	14125.976	14962.246
2.535	12642.71	12834.921	15890.066	12755.029	13679.815	13531.083	16373.992	15781.063	15414.792	16276.369	13959.102	15385.272	12674.282	14395.866	15179.032
2.6684	13203.153	13894.877	16687	13334.181	13870.163	13158.487	15939.129	14724.137	15138.147	17157.924	14069.756	15616.336	11976.984	15733.701	14766.331
2.8019	13255.126	14652.906	19176.691	13935.833	12704.009	13668.231	15371.164	13830.58	13900.299	16741.879	14243.957	15780.743	12107.447	16218.62	14116.719
2.9353	14610.218	13770.934	17212.498	14282.52	12781.456	13049.917	14843.915	13190.182	13106.279	16780.4	14283.919	15956.485	12675.126	14988.249	13123.068
3.0687	13933.3	13152.6	15170.21	14316.707	13401.424	12641.855	13358.458	13649.099	12892.22	16419.832	14549.921	15661.714	12486.146	14921.375	12173.266
3.2021	13041.938	12375.826	14124.226	13112.263	13261.65	13554.062	13524.255	13780.362	13267.714	15608.303	14314.278	15955.868	12815.585	14260.774	12713.579
3.3356	12535.125	11295.036	13598.896	12466.587	13159.97	14737.557	13369.294	13156.359	12869.869	15445.818	13901.209	14790.081	12484.342	14046.713	13016.63
3.469	12186.409	11147.929	12522.03	11991.693	12838.668	14679.564	12926.229	12857.54	13303.063	14331.145	14243.788	13994.622	12563.334	12661.688	12870.218
3.6024	11825.688	NaN	13074.85	11382.295	13293.004	13096.438	13108.755	13077.574	12141.742	14501.39	15619.564	14480.66	12548.47	12468.52	12398.398
3.7358	11620.303	NaN	NaN	11699.524	12925.248	12846.015	12974.045	13593.124	11952.04	NaN	16653.68	NaN	NaN	12807.268	13424.186
3.8692	NaN	NaN	NaN	NaN	13003.379	12885.561	NaN	12740.738	NaN	NaN	14451.096	NaN	NaN	12902.61	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13337.125	NaN	NaN	12946.462	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13351.896	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
