x	Y_20181208_15694_1_12g	Y_20181208_15694_1_6g	Y_20181208_15694_1_7g	Y_20181208_15694_13_3g	Y_20181208_15694_13_6g	Y_20181208_15694_15_2g	Y_20181208_15694_16_7g	Y_20181208_15694_19_13g	Y_20181208_15694_19_6g	Y_20181208_15694_2_11g	Y_20181208_15694_2_8g	Y_20181208_15694_20_3g	Y_20181208_15694_20_5g	Y_20181208_15694_23_12g	Y_20181208_15694_23_4g	Y_20181208_15694_23_5g	Y_20181208_15694_24_9g	Y_20181208_15694_25_1g	Y_20181208_15694_26_7g	Y_20181208_15694_28_2g	Y_20181208_15694_28_6g	Y_20181208_15694_28_7g	Y_20181208_15694_7_12g	Y_20181208_15694_9_14g	Y_20181208_15694_9_7g
1.3342	10827.0693	13603.9453	15697.7549	12764.2197	13954.1162	15626.959	13535.6367	13316.084	13582.5664	13382.5645	15321.1748	14344.4502	13156.7891	12467.1426	12828.791	15360.9482	12956.6377	12873.8477	14218.1553	16967.041	13124.7148	12643.7646	15163.4238	13633.3301	14052.1055
1.4676	10872.8779	13908.1982	14070.7754	11859.502	14036.6738	14227.4775	14472.8662	13704.9541	12726.4268	13605.7246	14581.915	14376.1973	13291.0713	12947.0303	12010.5176	13997.0918	13438.4199	11988.625	14398.1094	16094.1152	13186.3232	11381.1191	14348.5771	12980.7715	13767.0771
1.6011	10887.5518	13882.752	13935.6387	12328.2773	13906.0137	13667.0371	14461.75	13296.2617	12619.4531	14721.8535	13956.6504	13718.834	13045.459	12751.9258	11114.8496	13618.7354	13420.8994	11938.1221	13699.0986	15466.4141	13579.4863	11635.2031	13868.7559	13400.2324	13588.4346
1.7345	12086.4951	14227.0781	14566.4893	13285.8193	14482.6748	12997.6768	13816.5674	13205.6514	13074.1963	14645.7822	12700.4697	13187.0518	13273.3008	12772.0186	11041.0273	14040.2344	13242.1553	10830.792	13588.1758	14308.0605	13998.3477	11318.667	12440.4971	12032.3096	13534.7822
1.8679	12508.3477	13885.7227	14161.4316	14726.248	14661.207	12774.001	13718.8916	14056.1191	13693.7471	13866.4873	12685.0303	13118.627	13160.9023	12235.3525	11187.0771	14792.4658	13221.4014	10262.7637	12986.2559	13019.8291	13493.2891	10816.5801	11897.7275	11731.6279	13334.4385
2.0013	12672.8965	12507.2324	14557.8105	13890.0469	15375.2539	12390.6348	14335.4375	14555.3477	13874.4902	12222.4307	12921.8584	13136.208	13958.3721	12728.9443	11354.9619	14987.0488	12772.7139	10118.8604	12339.9531	13177.9023	14109.5996	12084.8779	11301.8662	11551.7002	12584.8789
2.1347	11718.9854	12522.5205	13050.6797	13444.5293	14157.5918	12857.9248	13964.7773	13878.9756	13861.043	11722.9775	12714.7119	12801.7871	13421.0928	12154.376	11557.1719	13085.3965	12927.4092	10640.0098	11604.2656	13550.3125	12525.499	12360.918	11753.3516	11529.4756	11938.4824
2.2682	11149.8418	12845.9736	13043.4824	13073.7314	13380.4043	13724.4248	13908.1504	12616.6309	14389.6699	11789.0674	11980.8877	12868.3711	12483.3076	12313.9102	11340.0156	13067.1807	12425.6562	10460.1992	11684.1562	12862.5	11476.7793	12408.9248	11432.8945	12326.3008	11976.4043
2.4016	11582.1309	12281.6143	12888.7578	12173.3789	13846.3369	14153.9971	12649.9639	11876.4404	12945.3789	10999.6914	11486.3984	13100.666	12135.8477	11999.7803	11821.8809	12951.1621	12122.001	11000.9639	11307.1064	12315.7842	11333.1318	12047.4385	11355.9658	11673.458	12332.2959
2.535	12085.0508	12427.0439	12075.4355	10833.9854	13477.3184	13625.4941	11594.5742	11256.8818	13009.1865	11070.3809	11648.8408	13030.7383	12277.8486	11646.4873	11774.4033	12356.0879	11879.4209	10970.7783	11631.791	11657.3857	11023.0166	11091.2471	11905.6816	12293.9756	11797.6621
2.6684	11460.4053	11946.292	13269.499	11307.8516	13455.9785	13449.2275	12494.3965	11466.0547	12947.6426	11050.8711	11725.8496	12538.5381	12103.915	11373.5381	11610.5322	13144.2598	11312.8096	10845.2842	12020.373	11725.8164	10910.6387	11266.5098	11905.6855	NaN	11537.4014
2.8019	11617.4668	12147.915	13246.2588	11930.7598	12913.2666	13674.6064	12488.5967	10666.959	12023.8096	NaN	NaN	12064.8965	12145.5381	11513.8164	11951.9834	13153.1807	11266.3867	11602.2988	10686.5	11173.6387	10474.4316	11284.3213	11587.2256	NaN	11942.5381
2.9353	NaN	12214.9053	NaN	11334.2842	12509.0771	13238.165	11879.2891	10731.9395	11903.7129	NaN	NaN	11424.3438	12121.8193	11144.7021	12648.8447	12228.7129	11593.6855	NaN	NaN	11473.4297	10462.1992	11885.3008	11546.1738	NaN	11986.8799
3.0687	NaN	NaN	NaN	NaN	12337.917	13076.9932	11859.5049	10882.0117	11709.5938	NaN	NaN	11406.6152	12067.8623	10786.3652	12214.0645	12494.6836	NaN	NaN	NaN	11898.7607	9951.542	NaN	10946.832	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	13072.6338	13261.0742	NaN	10846.2285	11679.8223	NaN	NaN	11816.7881	12690.0732	10938.8125	NaN	13423.5029	NaN	NaN	NaN	11814.0186	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	12445.8076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	12779.207	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	13088.8877	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
