x	Y_20181208_15100b_11_3g	Y_20181208_15100b_13_11g	Y_20181208_15100b_13_3g	Y_20181208_15100b_15_7g	Y_20181208_15100b_16_8g	Y_20181208_15100b_17_3g	Y_20181208_15100b_17_6g	Y_20181208_15100b_18_3g	Y_20181208_15100b_18_9g	Y_20181208_15100b_19_3g	Y_20181208_15100b_19_5g	Y_20181208_15100b_19_6g	Y_20181208_15100b_2_3g	Y_20181208_15100b_20_11g	Y_20181208_15100b_20_12g	Y_20181208_15100b_20_8g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_3g	Y_20181208_15100b_21_4g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_8g	Y_20181208_15100b_22_6g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_26_11g	Y_20181208_15100b_26_1g	Y_20181208_15100b_32_5g	Y_20181208_15100b_4_2g	Y_20181208_15100b_4_5g	Y_20181208_15100b_5_2g	Y_20181208_15100b_5_3g	Y_20181208_15100b_5_5g	Y_20181208_15100b_5_6g	Y_20181208_15100b_8_4g	Y_20181208_15100b_9_1g
1.3342	39363.4492	32958.5391	48569.582	72487.8984	37852.6211	32122.5137	40546.7539	61538.8867	69686.0156	47036.7109	54766.793	44078.6484	32047.957	47606.3594	40647.9883	35041.5273	37839.4414	41664.7383	41640.2148	38957.7031	127588.6328	59107.6484	31831.3379	58504	50284.8281	42708.3867	32243.252	36094.8125	37834.957	65207.0195	38385.0312	59720.1875	41871.75	35543.1289	45419.3555
1.4676	52350.7812	34155.5938	68312.1328	84332.9062	51007.7891	36497.0234	50577.8047	51639.5859	58132.6992	42373.9922	47271.8008	39483.2695	32859.4258	35469.6445	37414.7266	38618.7812	34453.5586	33005.3359	35317.1836	35983.4883	131451.6719	47097.1172	30228.8926	69914.7578	69287.3359	52194.7773	34619.4023	44377.6953	44668.9492	48661.2031	46597.25	45162.2695	40756.7773	39452.0859	35895.7266
1.6011	68834.5703	36661.9844	79187.4844	69155.2344	65104.293	45201.1641	57219.6211	39395.9805	43536.8359	33906.7305	37626.2383	34418.3164	37771.4258	NaN	31548.1973	45127.2656	32337.3242	31086.5449	35564.6641	30594.2871	91946.4219	36002.0547	NaN	55860.5977	71016.4219	50738.543	38189.9844	44539.207	47794.0977	41899.4766	53004.6211	36995.1289	36209.7734	47687.2656	31428.9355
1.7345	65713.7812	47583.7422	63172.2578	50761.3359	62590.1641	52151.5977	49280.1836	NaN	37888.582	29593.8926	34132.9141	32052.5938	41651.8086	NaN	30078.9609	49184.1953	32145.1113	NaN	NaN	28590.2461	59028.3906	31836.1582	NaN	39667.2461	51559.2773	39015.6016	42759.4492	38213.832	41123.5859	NaN	48040.6016	33586.2422	34697.582	53335.4727	NaN
1.8679	49715.7969	69504.4609	41538.2031	NaN	45403.5234	45847.8281	44215.6875	NaN	33423.1523	27414.6641	31615.0488	NaN	57194.8203	NaN	29595.5996	46140.4492	NaN	NaN	NaN	29327.084	45176.6641	30202.0801	NaN	35990.3984	38451.3203	33825.6289	37460.793	32625.2812	36311.7344	NaN	39361.8008	31249.0762	33860.9258	47434.7734	NaN
2.0013	37527.3828	88090.1562	35554.957	NaN	38838.8477	37370.375	43551.9219	NaN	33680.5312	NaN	NaN	NaN	65422.2266	NaN	NaN	39993.1016	NaN	NaN	NaN	NaN	38305.9609	32025.457	NaN	NaN	NaN	NaN	33170.2109	31469.4863	35162.4336	NaN	34571.0859	NaN	NaN	39041.4805	NaN
2.1347	32789.7227	77919.7031	31910.2168	NaN	NaN	34430.2969	49857.6836	NaN	NaN	NaN	NaN	NaN	51001.3281	NaN	NaN	35502.082	NaN	NaN	NaN	NaN	37301.1875	NaN	NaN	NaN	NaN	NaN	31912.9199	31427.373	NaN	NaN	33709.5781	NaN	NaN	35413.0859	NaN
2.2682	31248.0762	53413.7383	NaN	NaN	NaN	32741.2773	NaN	NaN	NaN	NaN	NaN	NaN	39568.2266	NaN	NaN	34545.6797	NaN	NaN	NaN	NaN	34321.6562	NaN	NaN	NaN	NaN	NaN	31044.4805	31783.5801	NaN	NaN	NaN	NaN	NaN	32997.4922	NaN
2.4016	NaN	38850.707	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34261.8086	NaN	NaN	34633.4922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32763.3477	NaN	NaN	NaN	NaN	NaN	31683.709	NaN
2.535	NaN	36574.5664	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34005.6367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
