x	Y_20181208_15693_1_12g	Y_20181208_15693_10_14g	Y_20181208_15693_10_7g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_12_4g	Y_20181208_15693_13_14g	Y_20181208_15693_13_1g	Y_20181208_15693_13_9g	Y_20181208_15693_14_6g	Y_20181208_15693_14_8g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_12g	Y_20181208_15693_18_7g	Y_20181208_15693_19_2g	Y_20181208_15693_2_3g	Y_20181208_15693_2_6g	Y_20181208_15693_2_7g	Y_20181208_15693_2_9g	Y_20181208_15693_20_4g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_5_2g	Y_20181208_15693_5_4g	Y_20181208_15693_6_4g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_7_9g	Y_20181208_15693_8_3g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_11g	Y_20181208_15693b_12_1g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_19g	Y_20181208_15693b_2_2g	Y_20181208_15693b_2_8g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_7g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
1.3342	38052.2148	30643.0918	32706.123	33427.0078	31016.0781	30117.6758	30661.541	29722.8828	31031.9199	31352.4258	28395.1289	29039.6406	31793.1367	34767.0117	37471.7266	31435.2031	35433.5469	36156.9883	33416.7695	33610.2578	32468.6875	33184.9336	31736.3984	33918.6016	30313.9922	33120.7773	27432.0352	32888.8164	31757.6523	34321.2383	37506.668	35251.9727	31345.6973	42153.4883	28534.6367	35053.0508	26883.4219	28472.666	33792.9258	30234.9941	29982.8125	37467.3672	30558.1055	30547.4121	30020.6094	34059.3203	36389.8281	31804.25	31525.7656	31863.9844	30513.4805	34327.2266	31913.1094	30046.8008	26439.7578	34408.8398	36498.8867	40797.0781	31906.1094	31538.1758
1.4676	39223.5273	31685.9043	33047.1758	33875.25	30779.3594	29024.8672	30475.4688	31019.584	30722.5137	32636.4141	29097.1816	29081.2363	34066.4805	35901.7578	43746.9375	33305	33700.1289	36923.2773	32928.1289	41985.2109	33774.2891	33336.7773	35538.1172	32634.1465	31143.418	32972.9727	26419.4434	41801.1719	30841.791	35912.6406	45596.1367	43483.2031	33223.2383	59309.5859	29442.4375	39025.2578	27133.7891	28678.8711	34064.4258	31381.3027	30828.5273	42433.8242	32510.6934	31353.3359	31262.918	33809.3008	37803.043	31720.0273	33446.8789	33074.6016	32365.3418	39336.3477	32262.8457	31565.9648	27334.3867	33247.9414	40811.6484	49719.3086	35562.9766	32411.791
1.6011	38799.9336	31951.6797	37062.0625	34897.3984	33146.8984	32382.6113	32561.2559	34044.9727	33712.3281	36548.3203	30067.959	32426.5098	36137.9336	35402.7344	46128.2344	34442.1758	35924.2617	35590.8242	33052.5039	45600.1328	36500.0273	34260.8672	45304.9453	33172.293	32789.4336	33755.8047	29748.1523	60821.1719	31823.6133	36609.6328	68499.5312	60892.3789	37125.0547	88750.6953	28489.2871	50263.8008	28530.0195	29667.7266	33401.0078	35577.7891	31154.6133	53668.8359	38664.4961	31431.918	31710.6074	34874.0859	46319.7422	33231.6523	38263.6016	32527.3125	32961.4141	47892.1172	32053.5801	33511.3672	28496.3008	36591.9766	51535.9492	71082.0156	44735.168	32357.9883
1.7345	43579.8984	31465.2266	50466.9727	36270.8242	39122.9375	36759.6484	38484.9961	36127.3398	32528.9121	46162.7656	36813.3594	36830.4609	44757.7461	38152.2773	43483.9219	39706.1875	44979.3086	35971.7617	35837.6172	38631.5859	46524.2148	35290.8242	58669.6016	35652.8789	33665.5117	36939.0273	38697.6523	63247.7188	32116.1484	41497.3555	85214.1328	72056.9375	46211.7383	109196.9297	27304.7441	51567.5781	28799.0566	33630.1953	35120.7031	44782.4844	34532.0469	79209.6875	54440.3555	36891.0742	32124.9375	35013.168	63127.207	37028.4258	44565.7812	34542.8789	34736.9727	71809.6953	31044.7051	37022.2539	28839.416	44169.7617	63254.6289	84513.5312	56769.1523	34384.1133
1.8679	57426.3242	33207.168	60656.9727	37227.0273	55514.6406	43130.2383	48626.2031	43333.1758	32075.1445	70381	44160.1836	44443.0078	53726.918	40297.5273	37488.5234	53764.2305	60427.8008	36863.5703	40301.3242	36531.3008	67692.1172	36096.5234	63669.2188	40540.6016	36923.4609	44149.4336	48719.9258	50318.8711	32747.9004	49686.2891	75474.3125	62939.0781	55408.8828	84626.3516	27617.4609	40284.6523	33012.375	40319.6094	40651.1289	58284.3438	41518.7344	107404.9375	84423.5078	45995.3438	31160.748	38962.2734	71048.6875	38719.5469	58265.7227	38632.1992	40135.8789	103918.6797	31123.9688	47235.7109	29715.4629	56694.0977	59310.75	68828.8359	59919.8672	35129.8984
2.0013	80039.8906	33454.0312	61618.4062	44400.2188	68861.25	41716.2422	49613.6055	48647.4805	29999.4609	86255.0547	49794.9609	61611.3164	64144.2422	46586.0117	32196.1289	75814.9688	80838.7344	35912.8164	56042.2461	NaN	72763.8984	40945.7461	47652.8242	51198	41775.1719	63021.4531	48627.6914	38562.375	34824.043	72170.2891	52414.2773	44949.1953	50344.4375	56916.7852	29000.1445	34927.8828	39162.5352	46750.9336	49125.2734	60659.6094	57689.7188	100464.5781	94612.6016	54477.0586	32544.7324	46634.9023	58069.7617	45846.0078	59977.7773	51205.7109	47404.8164	102840.4219	30840.7402	64052.9609	32981.1328	65539.2031	48333.7812	47855.125	55986.3281	37928.8047
2.1347	97351	35130.1641	45844.6641	60752.418	61726.5898	33370.5156	40659.5195	42317.4062	31948.0898	67987.8359	42802.2773	76575.0469	85618.2109	54922.8203	32253.334	82098.0625	82527.2188	36575.6484	71839.9219	NaN	60452.1094	51187.6523	38311.6289	60388.8789	45904.0547	89063.4844	39061.3359	33999.8945	40129.2812	87110.9531	41301.6133	35275.8438	41214.25	39837.918	29341.1348	33239.125	41224.3672	44213.1992	57096.9492	47800.0156	71586.1094	65657.0156	71079.0391	49290.1367	37074.4492	62604.1367	43759.1914	49512.8477	48123.7109	72213.3984	54043.793	70697.75	34333.2773	84292.2656	43866.6758	62158.5234	40708.4766	38221.9141	48167.9023	43808.5508
2.2682	82603.0078	39730.3047	36873.8398	76100.9531	47092.9336	32187.8301	34558.7109	35563.5039	35303.3828	44435.7109	34097.3867	63167.4688	108031.1641	71920.3828	31367.7422	58457.4961	60260.8047	38369.2695	63815.1562	NaN	46438.7461	60658.9727	33848.0078	53385.918	38737.6328	89787.875	29394.8223	NaN	43613.6758	69641.5078	35441.6289	32786.543	35900.6016	36253.3828	36357.9453	NaN	35443.582	37570.3359	53151.9922	37429.6641	62576.1484	50302.3984	48719.3047	38441.0039	43358.0547	78660.2812	37336.7812	45093.8477	37360.1367	83338.4922	48497.7812	48930.4062	38792.1914	81513.1484	65428.2695	56432.4453	35118.3555	36263.9141	40845.3555	47562.7188
2.4016	57826.3945	50532.8633	32598.6035	69414.5781	38145.9258	28735.0371	30723.502	33975.2617	37519.9336	34170.8828	30746.0215	46712.1289	88979.7734	65894.0703	32078.7793	43785.3945	42648.4141	42299.0898	51923.6914	NaN	43229.793	57999.4844	31856.1699	40386.0898	35817.8672	62671.3867	27288.1387	NaN	40620.375	47737.3672	33337.8633	NaN	34314.832	34609.5117	47597.5508	NaN	33129.1641	30794.9199	44715.9141	33071.5039	48144.8789	47761.6836	37741.6719	32882.9258	52423.3477	73248.8906	35305.7148	39537.5312	34169.8438	65338.9219	38369.1211	39103.5273	46966.9766	61750.6562	89828.6875	52483.1758	35752.2383	34402.9141	34253.9375	43871.6719
2.535	43176.1758	61619.9102	31460.332	50032.6133	34439.4336	28415.377	30086.6504	31825.334	42685.1484	31560.4512	NaN	36185.3086	NaN	48624.3281	NaN	34485.4688	34360.2148	47280.5898	43719.0312	NaN	NaN	46017.7656	NaN	35748.5742	34169.1367	43073.5625	NaN	NaN	38015.9375	40667.1797	33928.7422	NaN	33720.8945	NaN	54090.3516	NaN	32102.3008	29454.8184	37387.5117	31838.8828	37820.1797	NaN	33033.0625	29065.5312	52563.6367	52741.9219	33655.7734	34710.7344	33153.0352	46729.2656	34120.2227	33520.2188	58272.8555	45599.3594	74875.4375	NaN	NaN	NaN	NaN	37321.4883
