x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_10_7g	Y_20180224_15102_11_4g	Y_20180224_15102_12_13g	Y_20180224_15102_12_8g	Y_20180224_15102_13_2g	Y_20180224_15102_13_5g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_15_5g	Y_20180224_15102_15_8_S_g	Y_20180224_15102_18_1g	Y_20180224_15102_18_2g	Y_20180224_15102_2_8g	Y_20180224_15102_20_3g	Y_20180224_15102_20_4_S_g	Y_20180224_15102_22_2g	Y_20180224_15102_23_7g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_25_3g	Y_20180224_15102_25_9g	Y_20180224_15102_26_10g	Y_20180224_15102_26_3g	Y_20180224_15102_26_4g	Y_20180224_15102_27_12g	Y_20180224_15102_27_1g	Y_20180224_15102_28_13g	Y_20180224_15102_28_2g	Y_20180224_15102_28_5g	Y_20180224_15102_7_1g	Y_20180224_15102_7_5g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
1.8679	44492.648	39515.559	37845.512	38817.012	34902.832	37504.676	40307.73	42802.879	35549.66	35658.387	32906.719	33566.418	33433.703	38425.008	36245.98	33975.988	38729.113	38764.059	38730.418	40851.969	37130.934	40480.875	33920.27	36102.695	34666.516	35299.363	36623.469	33741.477	38118.496	37503.781	37160.605	39090.789	37808.66	35488.441	35217.648	37371.199	39778.902
2.0013	42994.777	38082.305	38052.406	37245.711	33461.488	36800.824	39026.23	39251.605	34321.523	34862.945	32544.094	33836.977	34104.996	39839.82	37000.062	34082.043	38362.672	37552.559	38404.504	39025.711	37820.203	40026.113	35470.051	34416.664	35758.469	35811.121	37214.73	32907.172	38767.488	38710.453	37487.594	38516.883	38138.496	36931.102	35537.047	35569.746	41698.598
2.1348	43585.977	37821.141	39883.57	37259.641	32854.539	36423.051	39724.305	38623.227	33383.074	35017.215	32786.203	33601.797	35009.027	39373.18	33192.488	34274.195	36992.648	37604.711	40188.043	37512.785	37998.66	39750.098	34668.57	35208.406	34909.254	36388.477	36702.617	32758.283	36680.129	37137.801	36629.805	37696.477	38262.465	36654.113	32724.207	35069.918	41669.422
2.2682	41451.789	37537.621	38336.227	39026.168	35789.809	34842.605	39043.547	39147.016	34590.332	35254.641	31761.525	33845.023	34632.582	40554.082	33504.488	34705.395	38381.23	38435.262	40912.719	39388.273	38292.031	39449.836	35410.781	35114.543	34045.777	36920.75	37812.352	33637.734	37321.785	36144.871	36195.367	38049.715	39038.852	36672.797	33991.949	36238.777	41445.48
2.4016	41276.984	38877.133	39557.766	38535.332	32986.566	35248.34	39485.102	38426.543	36019.027	35632.441	32529.461	32364.402	34787.754	41066.086	34304.066	33921.242	36688.523	38492.402	40016.223	39766.043	37577.594	38899.301	34494.539	35519.211	35881.719	34555.246	37484.66	33078.176	36079.758	35794.617	37384.906	39300.754	41978.074	35576.473	33647.285	35403.855	39999.816
2.535	40796.543	39809.617	39391.535	39478.258	34352.18	35067.664	39769.898	37985.043	35052.203	37116.445	33246.352	31952.578	35545.316	40358.719	35305.137	34076.184	37306.227	39457.949	39369.375	41685.223	39576.684	39954.395	31414.781	37099.918	35403.223	33177.969	36650.758	33763.258	35587.508	36441.676	38293.449	39126.246	37412.285	34909.16	35260.105	35564.07	40284.582
2.6684	42509.996	40441.785	38397.145	39817.219	36368.695	35879.367	37175.066	35746.406	34871.973	36517.547	33005.066	32492.926	33822.613	41013.387	35364.574	34630.641	38874.297	38500.473	37835.859	40342.324	39451.914	38191.422	33478.004	36215.746	33622.625	33900.727	36528.508	34733.551	35744.711	36398.305	37361.457	38845.891	39276.531	33697.168	35821.766	36578.355	40588.469
2.8019	40813.902	41663.984	37152.277	39512.098	36961.199	36509.074	38944.559	36089.461	33261.129	36448.305	33072.305	32769.781	36250.656	43237.641	36049.543	34178.906	38984.551	39327.062	38302	42075.305	40210.719	39609.199	34576.57	37110.711	34028.324	35252.426	36890.105	34858.258	36018.914	38338.305	39946.242	40274.117	38359.941	35040.496	35603.48	36362.551	41143.684
2.9353	39835.926	48464.266	38908.711	41528.461	36960.762	35992.18	38685.469	38919.684	34288.922	37764.617	33001.879	34325.793	35451.75	50399.832	39550.523	37113.363	40125.375	38857.484	38946.438	44463.375	39959.887	39611.137	34690.234	38007.953	36864.824	35180.016	36161.477	35313.605	36590.379	41711.848	41906.633	39782.109	38921.051	35144.25	35359.082	35612.43	41406.879
3.0687	40420.676	58885.547	40207.91	42683.82	43239.043	37108.16	39914.352	37783.711	34932.863	37204.852	34672.566	36685.828	35938.574	60853.566	45459.047	38912.316	42203.785	41213.566	39129.637	51556.43	40933.59	39206.117	34284.176	39260.094	36253.668	33068.152	37384.93	36612.852	38304.824	48895.73	49934.754	42901.801	40471.582	38604.598	37262.227	35812.824	42837.824
3.2021	42491.129	82280	43250.277	46118.438	53366.293	38533.008	42471	37590.578	38265.309	38155.004	35362.613	42819.508	35908.504	91845.312	58231.453	46577.52	46561.914	42145.371	39822.035	68389.461	41331.883	39500.047	34341.578	42842.535	38675.664	35593.141	40016.18	40095.711	43044.18	69607.984	65906.977	49611.562	39951.566	47220.801	37388.141	37028.105	45724.434
3.3356	45013.176	90275.406	49984.574	47564.637	79244.742	41046.969	50298.129	42709.504	45046.777	38932.637	38276.504	59666.574	37084.301	152193.734	89830.797	62675.68	59536.676	49336.758	42749.949	112783.297	45356.98	41178.598	37736.754	54219.918	43637.199	38437.941	45679.777	49233.207	53079.652	103519.555	86935.078	67424.391	43619.836	62850.25	47071.898	40898.133	52906.125
3.469	50741.656	70975.109	65982.438	59043.227	115177.125	46545.328	60824.391	51263.805	64480.441	41642.57	51079.402	74858.328	40605.941	187361.016	115080.68	100772.547	88162.219	62906.945	46704.484	162883.094	55079.43	43021.789	40957.113	81591.406	54410.223	41306.355	57310.133	62821.449	68251.539	112192.375	87155.758	108014.172	51669.281	75935.359	68451.281	44475.398	71949.016
3.6024	66482.188	52091.199	109429.672	65941.828	115261.422	58882.051	87343.359	67154.812	97580.75	48770.84	80601.016	70884.664	47465.715	143687.031	94392.414	138632.734	141869.656	71768.852	60576.918	150613.625	70339.461	47177.578	55608.766	142681.062	73723.68	47843.973	80703.672	80986.547	63325.801	86160.367	64577.051	133920.391	66545.891	67549.102	90211.102	55509.066	116361.023
3.7358	105942.195	44559.406	157728.109	65354.848	77625.25	65869	97192.805	86662.117	113173.938	68321.133	106651.766	52765.188	53385.66	88878.164	61487.555	119328.812	172467.609	63404.473	96546.086	95261.367	77678.133	60256.602	61941.887	190213.672	70765.047	54188.516	131960.016	72162.922	49839.344	59579.996	50128.023	108816.047	73360.797	49007.125	84957.367	84203.602	151003.516
3.8692	148103.547	NaN	155648.547	55621.309	54781.008	59405.035	75041.102	86376.984	84345.375	80884.102	90278.797	41298.117	50408.742	58441.707	47916.898	77602.109	133851.781	55843.98	143177.375	64145.18	67598.867	83026.164	52751.094	178062.453	55174.125	50039.156	171453.328	52093.098	42126.105	47705.594	42642.828	67706.008	61766.93	40795.332	65264.156	119279.953	124191.188
4.0027	135424.984	NaN	102230.078	47519.023	NaN	49176.883	55859.312	62280.645	57130.297	69595.883	59473.25	37077.633	42912.477	NaN	NaN	54048.508	84285.43	60863.785	141824.766	54210.91	53614.285	93509.141	42722.133	114989.414	41144.973	42359.137	141148.562	41087.27	40407.746	NaN	40985.055	47714.664	49265.535	NaN	55793.75	112131.188	76577.961
4.1361	90822.25	NaN	64745.137	42926.094	NaN	43043.762	47395.129	NaN	48688.539	62662.723	44697.242	NaN	37938.039	NaN	NaN	44918.949	59108.695	NaN	93340.633	NaN	44331.078	76394.656	39337.793	64689.578	38121.168	39318.938	88179.695	35616.914	NaN	NaN	NaN	45369.789	46547.699	NaN	NaN	71974.359	NaN
4.2695	59364.559	NaN	54669.711	NaN	NaN	41209.695	44346.316	NaN	43509.676	NaN	38481.395	NaN	34932.863	NaN	NaN	NaN	NaN	NaN	60281.324	NaN	41574.75	56222.895	NaN	49177.492	NaN	37544.453	53916.926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49584.156	NaN
4.4029	49382.125	NaN	NaN	NaN	NaN	38667.82	NaN	NaN	NaN	NaN	35969.797	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50098.801	NaN	41854.023	44718.07	NaN	44033.688	NaN	NaN	43221.566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41550.617	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	37636.922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41007.621	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38796.961	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
