x	Y_20180224_15102_10_2g	Y_20180224_15102_11_6g	Y_20180224_15102_12_5g	Y_20180224_15102_13_14g	Y_20180224_15102_13_5g	Y_20180224_15102_15_14g	Y_20180224_15102_15_15g	Y_20180224_15102_19_2g	Y_20180224_15102_19_3g	Y_20180224_15102_19_4g	Y_20180224_15102_1_1g	Y_20180224_15102_20_4_S_g	Y_20180224_15102_28_11_S_g	Y_20180224_15102_28_13g	Y_20180224_15102_28_6g	Y_20180224_15102_2_6g	Y_20180224_15102_4_9_s_g	Y_20180224_15102_6_1g	Y_20180224_15102_7_2g	Y_20180224_15102_7_6g	Y_20180224_15102_8_10g	Y_20180224_15102_8_5g	Y_20180224_15102_9_2g
2.6684	23905.312	23716.639	16347.142	18218.773	14171.674	14494.117	14542.528	16786.438	13890.477	13733.007	16782.133	15439.33	21644.146	15015.628	15104.496	14564.34	17171.816	16104.624	14086.079	18070.799	15910.311	20888.303	15088.789
2.8019	22467.191	21326.439	NaN	NaN	14478.447	13454.904	14781.465	16085.089	14351.976	14160.765	15974.253	15094.938	19595.281	14481.324	14691.167	13636.466	16123.539	15805.665	14148.995	19726.922	15506.836	19176.912	15907.195
2.9353	20744.502	18461.703	NaN	NaN	13790.755	13242.355	14159.181	NaN	13082.186	13276.983	NaN	15197.573	17861.447	NaN	15379.396	13430.847	14625.436	15699.99	14667.399	17839.32	14364.607	18038.662	16248.372
3.0687	18825.41	18343.969	NaN	NaN	NaN	13148.846	14439.199	NaN	NaN	13440.456	NaN	NaN	16631.283	NaN	NaN	13021.364	13367.715	15889.783	14982.408	NaN	NaN	16733.025	NaN
3.2021	NaN	18910.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15926.721	NaN
3.3356	NaN	18932.893	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15277.922	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15022.286	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
